_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,0.208916,2.058041,0.206,0.233,0.1000,alpkdce1,"1.962, 0.008, 0.204",0.9,30.0,0,9
2,0.198136,1.997707,0.258,0.247,0.1000,alpkdce1,"1.868, 0.010, 0.196",0.9,30.0,0,19
3,0.192211,1.971932,0.284,0.272,0.1000,alpkdce1,"1.811, 0.011, 0.191",0.9,30.0,0,29
4,0.186794,1.904087,0.308,0.288,0.1000,alpkdce1,"1.747, 0.012, 0.186",0.9,30.0,0,38
5,0.181897,1.874080,0.328,0.311,0.1000,alpkdce1,"1.669, 0.014, 0.179",0.9,30.0,0,48
6,0.177834,1.798301,0.347,0.328,0.1000,alpkdce1,"1.643, 0.015, 0.177",0.9,30.0,0,58
7,0.173930,1.770867,0.367,0.341,0.1000,alpkdce1,"1.583, 0.016, 0.172",0.9,30.0,0,67
8,0.171377,1.756025,0.381,0.350,0.1000,alpkdce1,"1.562, 0.016, 0.171",0.9,30.0,0,77
9,0.168709,1.719480,0.393,0.370,0.1000,alpkdce1,"1.530, 0.017, 0.168",0.9,30.0,0,87
10,0.166486,1.826461,0.405,0.327,0.1000,alpkdce1,"1.508, 0.017, 0.166",0.9,30.0,1,96
11,0.164508,1.715732,0.415,0.387,0.1000,alpkdce1,"1.480, 0.018, 0.164",0.9,30.0,0,106
12,0.162896,1.665889,0.424,0.385,0.1000,alpkdce1,"1.468, 0.018, 0.163",0.9,30.0,1,116
13,0.160725,1.664519,0.433,0.389,0.1000,alpkdce1,"1.454, 0.019, 0.162",0.9,30.0,0,125
14,0.159093,1.662532,0.441,0.398,0.1000,alpkdce1,"1.419, 0.019, 0.159",0.9,30.0,0,135
15,0.158142,1.644461,0.445,0.405,0.1000,alpkdce1,"1.404, 0.019, 0.157",0.9,30.0,0,145
16,0.156116,1.616383,0.456,0.417,0.1000,alpkdce1,"1.393, 0.019, 0.157",0.9,30.0,0,154
17,0.155053,1.633992,0.461,0.414,0.1000,alpkdce1,"1.375, 0.020, 0.155",0.9,30.0,1,164
18,0.154054,1.642845,0.463,0.431,0.1000,alpkdce1,"1.359, 0.020, 0.154",0.9,30.0,0,174
19,0.152435,1.554184,0.473,0.438,0.1000,alpkdce1,"1.339, 0.020, 0.152",0.9,30.0,0,183
20,0.151923,1.601345,0.475,0.420,0.1000,alpkdce1,"1.340, 0.020, 0.152",0.9,30.0,1,193
21,0.150938,1.646735,0.479,0.397,0.1000,alpkdce1,"1.331, 0.020, 0.151",0.9,30.0,2,203
22,0.150203,1.559253,0.485,0.439,0.1000,alpkdce1,"1.327, 0.020, 0.151",0.9,30.0,0,212
23,0.149247,1.543509,0.484,0.444,0.1000,alpkdce1,"1.313, 0.020, 0.149",0.9,30.0,0,222
24,0.148446,1.599665,0.491,0.426,0.1000,alpkdce1,"1.314, 0.020, 0.149",0.9,30.0,1,231
25,0.147417,1.577887,0.494,0.433,0.1000,alpkdce1,"1.290, 0.020, 0.147",0.9,30.0,2,241
26,0.147230,1.557067,0.496,0.439,0.1000,alpkdce1,"1.292, 0.020, 0.148",0.9,30.0,3,251
27,0.145745,1.623195,0.500,0.417,0.1000,alpkdce1,"1.273, 0.021, 0.146",0.9,30.0,4,260
28,0.145584,1.553002,0.504,0.442,0.1000,alpkdce1,"1.282, 0.021, 0.147",0.9,30.0,5,270
29,0.145020,1.484000,0.504,0.465,0.1000,alpkdce1,"1.263, 0.020, 0.145",0.9,30.0,0,280
30,0.144305,1.510654,0.508,0.467,0.1000,alpkdce1,"1.264, 0.021, 0.145",0.9,30.0,0,289
31,0.143919,1.505311,0.507,0.467,0.1000,alpkdce1,"1.259, 0.021, 0.145",0.9,30.0,1,299
32,0.143162,1.483547,0.515,0.467,0.1000,alpkdce1,"1.257, 0.021, 0.144",0.9,30.0,0,309
33,0.142443,1.485920,0.517,0.470,0.1000,alpkdce1,"1.249, 0.021, 0.144",0.9,30.0,0,318
34,0.142110,1.499367,0.521,0.456,0.1000,alpkdce1,"1.247, 0.020, 0.143",0.9,30.0,1,328
35,0.142028,1.510017,0.518,0.463,0.1000,alpkdce1,"1.246, 0.021, 0.143",0.9,30.0,2,338
36,0.141505,1.502828,0.519,0.467,0.1000,alpkdce1,"1.236, 0.021, 0.142",0.9,30.0,3,347
37,0.141555,1.501953,0.518,0.470,0.1000,alpkdce1,"1.231, 0.021, 0.142",0.9,30.0,4,357
38,0.140519,1.489172,0.524,0.457,0.1000,alpkdce1,"1.229, 0.021, 0.142",0.9,30.0,5,366
39,0.140732,1.510920,0.522,0.452,0.1000,alpkdce1,"1.235, 0.021, 0.143",0.9,30.0,6,376
40,0.140032,1.574740,0.529,0.438,0.1000,alpkdce1,"1.219, 0.021, 0.141",0.9,30.0,7,386
41,0.140066,1.488193,0.526,0.473,0.1000,alpkdce1,"1.220, 0.021, 0.141",0.9,30.0,0,395
42,0.139316,1.609044,0.529,0.404,0.1000,alpkdce1,"1.205, 0.021, 0.139",0.9,30.0,1,405
43,0.139612,1.487010,0.530,0.459,0.1000,alpkdce1,"1.217, 0.021, 0.141",0.9,30.0,2,415
44,0.139329,1.479102,0.531,0.459,0.1000,alpkdce1,"1.215, 0.021, 0.140",0.9,30.0,3,424
45,0.138457,1.474541,0.532,0.481,0.1000,alpkdce1,"1.214, 0.021, 0.140",0.9,30.0,0,434
46,0.138825,1.486300,0.534,0.479,0.1000,alpkdce1,"1.207, 0.021, 0.140",0.9,30.0,1,443
47,0.138244,1.443642,0.537,0.491,0.1000,alpkdce1,"1.181, 0.021, 0.137",0.9,30.0,0,453
48,0.137715,1.455999,0.538,0.478,0.1000,alpkdce1,"1.195, 0.021, 0.139",0.9,30.0,1,463
49,0.137794,1.463753,0.538,0.481,0.1000,alpkdce1,"1.200, 0.021, 0.139",0.9,30.0,2,473
50,0.137569,1.516065,0.538,0.473,0.1000,alpkdce1,"1.202, 0.022, 0.140",0.9,30.0,3,483
51,0.137623,1.475754,0.539,0.482,0.1000,alpkdce1,"1.203, 0.022, 0.140",0.9,30.0,4,492
52,0.137396,1.440296,0.538,0.489,0.1000,alpkdce1,"1.201, 0.021, 0.139",0.9,30.0,5,502
53,0.137032,1.494299,0.539,0.463,0.1000,alpkdce1,"1.205, 0.021, 0.140",0.9,30.0,6,511
