_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,1.979331,2.022720,0.226,0.253,0.1000,alp,"1.825, 0.074, 1.862",0.5,1.0,0,12
2,1.762684,1.954834,0.273,0.274,0.1000,alp,"1.661, 0.100, 1.710",0.5,1.0,0,24
3,1.631347,1.846254,0.307,0.288,0.1000,alp,"1.533, 0.118, 1.592",0.5,1.0,0,37
4,1.533215,1.851545,0.340,0.304,0.1000,alp,"1.444, 0.133, 1.510",0.5,1.0,0,49
5,1.472845,1.734926,0.361,0.337,0.1000,alp,"1.383, 0.140, 1.453",0.5,1.0,0,61
6,1.415413,1.820969,0.379,0.327,0.1000,alp,"1.339, 0.144, 1.411",0.5,1.0,1,74
7,1.373934,1.665364,0.392,0.373,0.1000,alp,"1.305, 0.152, 1.381",0.5,1.0,0,86
8,1.340179,1.631538,0.408,0.362,0.1000,alp,"1.266, 0.157, 1.345",0.5,1.0,1,99
9,1.312864,1.689548,0.413,0.356,0.1000,alp,"1.237, 0.160, 1.317",0.5,1.0,2,111
10,1.283262,1.616707,0.428,0.391,0.1000,alp,"1.196, 0.166, 1.279",0.5,1.0,0,123
11,1.261531,1.549502,0.437,0.399,0.1000,alp,"1.166, 0.166, 1.249",0.5,1.0,0,136
12,1.242065,1.628880,0.445,0.376,0.1000,alp,"1.153, 0.172, 1.239",0.5,1.0,1,148
13,1.221680,1.583443,0.450,0.414,0.1000,alp,"1.143, 0.174, 1.230",0.5,1.0,0,161
14,1.206738,1.605577,0.457,0.388,0.1000,alp,"1.123, 0.176, 1.211",0.5,1.0,1,173
15,1.194940,1.520105,0.462,0.409,0.1000,alp,"1.117, 0.178, 1.206",0.5,1.0,2,185
16,1.180290,1.479582,0.467,0.436,0.1000,alp,"1.075, 0.182, 1.166",0.5,1.0,0,198
17,1.160751,1.524793,0.474,0.419,0.1000,alp,"1.084, 0.183, 1.175",0.5,1.0,1,210
18,1.153260,1.495220,0.480,0.423,0.1000,alp,"1.072, 0.183, 1.163",0.5,1.0,2,222
19,1.140821,1.549339,0.483,0.405,0.1000,alp,"1.049, 0.187, 1.143",0.5,1.0,3,235
20,1.131142,1.531380,0.486,0.415,0.1000,alp,"1.047, 0.185, 1.140",0.5,1.0,4,247
21,1.117600,1.568049,0.491,0.409,0.1000,alp,"1.024, 0.188, 1.118",0.5,1.0,5,260
22,1.106506,1.496812,0.493,0.435,0.1000,alp,"1.023, 0.192, 1.119",0.5,1.0,6,272
23,1.102137,1.494256,0.497,0.437,0.1000,alp,"1.014, 0.192, 1.110",0.5,1.0,0,284
24,1.090836,1.473294,0.502,0.433,0.1000,alp,"1.011, 0.190, 1.106",0.5,1.0,1,297
25,1.081319,1.471172,0.505,0.445,0.1000,alp,"0.982, 0.196, 1.080",0.5,1.0,0,309
26,1.077773,1.490173,0.504,0.432,0.1000,alp,"0.993, 0.195, 1.091",0.5,1.0,1,321
27,1.070405,1.539024,0.509,0.414,0.1000,alp,"0.983, 0.196, 1.081",0.5,1.0,2,334
28,1.059130,1.488235,0.514,0.431,0.1000,alp,"0.978, 0.198, 1.077",0.5,1.0,3,346
29,1.054059,1.431101,0.514,0.449,0.1000,alp,"0.968, 0.199, 1.067",0.5,1.0,0,358
30,1.053420,1.471231,0.517,0.449,0.1000,alp,"0.978, 0.199, 1.078",0.5,1.0,0,371
31,1.046399,1.465830,0.518,0.445,0.1000,alp,"0.964, 0.202, 1.065",0.5,1.0,1,383
32,1.038770,1.494039,0.518,0.431,0.1000,alp,"0.958, 0.200, 1.058",0.5,1.0,2,396
33,1.035019,1.441957,0.522,0.451,0.1000,alp,"0.935, 0.206, 1.038",0.5,1.0,0,408
34,1.031759,1.487275,0.524,0.437,0.1000,alp,"0.948, 0.202, 1.049",0.5,1.0,1,420
35,1.028530,1.561609,0.527,0.404,0.1000,alp,"0.950, 0.204, 1.052",0.5,1.0,2,433
36,1.023397,1.425751,0.523,0.449,0.1000,alp,"0.933, 0.208, 1.037",0.5,1.0,3,445
37,1.017013,1.450586,0.530,0.454,0.1000,alp,"0.934, 0.209, 1.039",0.5,1.0,0,457
38,1.013652,1.568624,0.532,0.402,0.1000,alp,"0.933, 0.205, 1.035",0.5,1.0,1,470
39,1.011471,1.492213,0.530,0.442,0.1000,alp,"0.919, 0.208, 1.023",0.5,1.0,2,482
40,1.002845,1.444854,0.535,0.452,0.1000,alp,"0.914, 0.207, 1.018",0.5,1.0,3,494
41,1.004600,1.438900,0.534,0.455,0.1000,alp,"0.921, 0.209, 1.026",0.5,1.0,0,507
42,0.998250,1.516440,0.535,0.425,0.1000,alp,"0.902, 0.207, 1.006",0.5,1.0,1,519
43,0.998392,1.481213,0.534,0.437,0.1000,alp,"0.921, 0.208, 1.025",0.5,1.0,2,531
44,0.991202,1.432166,0.536,0.453,0.1000,alp,"0.907, 0.212, 1.013",0.5,1.0,3,544
45,0.988622,1.497287,0.539,0.433,0.1000,alp,"0.910, 0.213, 1.017",0.5,1.0,4,556
46,0.985254,1.432109,0.540,0.455,0.1000,alp,"0.907, 0.209, 1.011",0.5,1.0,0,568
47,0.988690,1.436025,0.536,0.448,0.1000,alp,"0.893, 0.212, 0.999",0.5,1.0,1,581
48,0.980409,1.437279,0.543,0.462,0.1000,alp,"0.892, 0.213, 0.998",0.5,1.0,0,593
49,0.979595,1.480960,0.542,0.444,0.1000,alp,"0.883, 0.213, 0.990",0.5,1.0,1,606
50,0.975279,1.452353,0.544,0.445,0.1000,alp,"0.899, 0.211, 1.004",0.5,1.0,2,618
51,0.974345,1.456827,0.544,0.449,0.1000,alp,"0.899, 0.214, 1.006",0.5,1.0,3,630
52,0.968383,1.517296,0.546,0.422,0.1000,alp,"0.882, 0.213, 0.988",0.5,1.0,4,643
53,0.968049,1.452484,0.545,0.446,0.1000,alp,"0.879, 0.212, 0.985",0.5,1.0,5,655
54,0.970855,1.455497,0.543,0.447,0.1000,alp,"0.889, 0.214, 0.996",0.5,1.0,6,667
55,0.958206,1.508608,0.551,0.446,0.1000,alp,"0.867, 0.219, 0.977",0.5,1.0,7,680
56,0.961926,1.525025,0.549,0.416,0.1000,alp,"0.873, 0.217, 0.981",0.5,1.0,8,692
57,0.964720,1.467187,0.547,0.450,0.1000,alp,"0.877, 0.216, 0.985",0.5,1.0,9,704
58,0.955015,1.409549,0.551,0.466,0.1000,alp,"0.861, 0.218, 0.970",0.5,1.0,0,717
59,0.961123,1.741536,0.551,0.393,0.1000,alp,"0.871, 0.213, 0.978",0.5,1.0,1,729
60,0.956343,1.439368,0.549,0.454,0.1000,alp,"0.874, 0.217, 0.982",0.5,1.0,2,741
61,0.956650,1.451466,0.549,0.452,0.1000,alp,"0.860, 0.218, 0.969",0.5,1.0,3,754
62,0.954224,1.578084,0.551,0.423,0.1000,alp,"0.869, 0.217, 0.977",0.5,1.0,4,766
63,0.951348,1.469253,0.551,0.449,0.1000,alp,"0.870, 0.218, 0.979",0.5,1.0,5,778
64,0.946271,1.449259,0.555,0.451,0.1000,alp,"0.849, 0.216, 0.957",0.5,1.0,6,791
65,0.947032,1.523744,0.553,0.435,0.1000,alp,"0.834, 0.219, 0.943",0.5,1.0,7,803
66,0.943870,1.486589,0.559,0.449,0.1000,alp,"0.848, 0.214, 0.955",0.5,1.0,8,816
67,0.943009,1.444757,0.558,0.455,0.1000,alp,"0.854, 0.218, 0.963",0.5,1.0,9,828
68,0.940150,1.487727,0.556,0.436,0.1000,alp,"0.858, 0.220, 0.968",0.5,1.0,10,840
69,0.939233,1.407348,0.558,0.464,0.1000,alp,"0.856, 0.219, 0.966",0.5,1.0,11,853
70,0.939617,1.426979,0.557,0.458,0.1000,alp,"0.860, 0.218, 0.969",0.5,1.0,12,865
71,0.939059,1.508717,0.556,0.434,0.1000,alp,"0.847, 0.219, 0.957",0.5,1.0,13,877
72,0.937658,1.431155,0.556,0.458,0.1000,alp,"0.852, 0.217, 0.961",0.5,1.0,14,890
73,0.931311,1.484836,0.560,0.436,0.1000,alp,"0.850, 0.217, 0.959",0.5,1.0,15,902
74,0.931942,1.461889,0.559,0.445,0.1000,alp,"0.846, 0.216, 0.954",0.5,1.0,16,914
75,0.932847,1.430727,0.561,0.451,0.1000,alp,"0.851, 0.219, 0.961",0.5,1.0,17,927
76,0.926960,1.467727,0.560,0.453,0.1000,alp,"0.843, 0.219, 0.952",0.5,1.0,18,939
77,0.937351,1.440798,0.560,0.466,0.1000,alp,"0.851, 0.220, 0.961",0.5,1.0,0,951
78,0.925338,1.608329,0.561,0.412,0.1000,alp,"0.842, 0.218, 0.951",0.5,1.0,1,964
79,0.924782,1.467000,0.564,0.442,0.1000,alp,"0.843, 0.219, 0.953",0.5,1.0,2,976
80,0.924288,1.444592,0.565,0.451,0.1000,alp,"0.836, 0.221, 0.946",0.5,1.0,3,988
81,0.922592,1.450924,0.561,0.458,0.1000,alp,"0.844, 0.222, 0.955",0.5,1.0,4,1001
82,0.927139,1.479335,0.563,0.442,0.1000,alp,"0.848, 0.218, 0.958",0.5,1.0,5,1013
83,0.925024,1.504716,0.562,0.437,0.1000,alp,"0.849, 0.219, 0.958",0.5,1.0,6,1026
84,0.926442,1.453916,0.561,0.458,0.1000,alp,"0.840, 0.215, 0.947",0.5,1.0,7,1038
85,0.914000,1.601264,0.566,0.414,0.1000,alp,"0.835, 0.218, 0.944",0.5,1.0,8,1050
86,0.924256,1.457094,0.563,0.455,0.1000,alp,"0.842, 0.219, 0.952",0.5,1.0,9,1063
87,0.918320,1.482332,0.564,0.441,0.1000,alp,"0.820, 0.220, 0.930",0.5,1.0,10,1075
88,0.923723,1.497143,0.560,0.413,0.1000,alp,"0.849, 0.219, 0.959",0.5,1.0,11,1087
89,0.915449,1.514165,0.564,0.438,0.1000,alp,"0.832, 0.218, 0.941",0.5,1.0,12,1100
90,0.916596,1.499142,0.564,0.440,0.1000,alp,"0.830, 0.216, 0.938",0.5,1.0,13,1112
91,0.916243,1.489995,0.566,0.447,0.1000,alp,"0.815, 0.221, 0.926",0.5,1.0,14,1124
