_epoch,train_loss,valid_loss,acc,val_acc,lr,type,early_stopping,elapsed_time
1,2.076746,2.082966,0.225,0.219,0.1000,AT,0,10
2,1.929021,1.944631,0.280,0.272,0.1000,AT,0,21
3,1.834454,1.851388,0.315,0.300,0.1000,AT,0,32
4,1.754076,1.833098,0.345,0.308,0.1000,AT,0,43
5,1.691552,1.730809,0.364,0.331,0.1000,AT,0,53
6,1.639217,1.948084,0.387,0.267,0.1000,AT,1,64
7,1.612390,1.679149,0.396,0.358,0.1000,AT,0,75
8,1.573001,1.674574,0.409,0.370,0.1000,AT,0,86
9,1.540501,1.695267,0.425,0.363,0.1000,AT,1,96
10,1.512316,1.695034,0.433,0.375,0.1000,AT,0,107
11,1.488655,1.647104,0.443,0.379,0.1000,AT,0,118
12,1.463116,1.619384,0.452,0.384,0.1000,AT,0,129
13,1.456124,1.681300,0.455,0.378,0.1000,AT,1,140
14,1.441296,1.498169,0.459,0.421,0.1000,AT,0,150
15,1.422110,1.566170,0.469,0.399,0.1000,AT,1,161
16,1.410130,1.594819,0.471,0.404,0.1000,AT,2,172
17,1.396517,1.700706,0.477,0.379,0.1000,AT,3,183
18,1.385615,1.494924,0.480,0.428,0.1000,AT,0,193
19,1.371189,1.531168,0.484,0.424,0.1000,AT,1,204
20,1.358205,1.493408,0.488,0.425,0.1000,AT,2,215
21,1.349391,1.565443,0.491,0.417,0.1000,AT,3,226
22,1.340236,2.196575,0.496,0.300,0.1000,AT,4,236
23,1.333794,1.463661,0.501,0.444,0.1000,AT,0,247
24,1.323163,1.580862,0.502,0.413,0.1000,AT,1,258
25,1.316729,1.452990,0.506,0.445,0.1000,AT,0,269
26,1.308274,1.645753,0.507,0.401,0.1000,AT,1,279
27,1.301144,1.534030,0.510,0.421,0.1000,AT,2,290
28,1.292859,1.509943,0.514,0.430,0.1000,AT,3,301
29,1.286405,1.511347,0.513,0.444,0.1000,AT,4,312
30,1.281593,1.517868,0.517,0.435,0.1000,AT,5,322
31,1.279119,1.543502,0.516,0.429,0.1000,AT,6,333
32,1.276669,1.533661,0.517,0.436,0.1000,AT,7,344
33,1.265994,1.601917,0.521,0.403,0.1000,AT,8,355
34,1.264494,1.407530,0.523,0.467,0.1000,AT,0,365
35,1.260739,1.496314,0.524,0.436,0.1000,AT,1,376
36,1.251607,1.646730,0.526,0.403,0.1000,AT,2,387
37,1.241881,1.450949,0.532,0.449,0.1000,AT,3,398
38,1.237169,1.498939,0.529,0.446,0.1000,AT,4,408
39,1.238986,1.433590,0.532,0.459,0.1000,AT,5,419
40,1.236345,1.447629,0.532,0.450,0.1000,AT,6,430
41,1.230648,1.480603,0.533,0.442,0.1000,AT,7,441
42,1.227390,1.446219,0.539,0.446,0.1000,AT,8,451
43,1.229101,1.436981,0.535,0.461,0.1000,AT,9,462
44,1.222440,1.500574,0.537,0.442,0.1000,AT,10,473
45,1.218374,1.481426,0.539,0.446,0.1000,AT,11,483
46,1.210351,1.557396,0.542,0.421,0.1000,AT,12,494
47,1.216291,1.469905,0.541,0.442,0.1000,AT,13,505
48,1.207715,1.489399,0.544,0.447,0.1000,AT,14,516
49,1.209236,1.547408,0.540,0.416,0.1000,AT,15,526
50,1.208291,1.432283,0.542,0.459,0.1000,AT,16,537
51,1.197708,1.485579,0.546,0.444,0.1000,AT,17,548
52,1.205612,1.444018,0.540,0.449,0.1000,AT,18,559
53,1.203092,1.418380,0.545,0.457,0.1000,AT,19,569
54,1.193204,1.424230,0.549,0.447,0.1000,AT,20,580
55,1.196943,1.471311,0.546,0.444,0.1000,AT,21,591
56,1.188458,1.522969,0.548,0.436,0.1000,AT,22,602
57,1.186629,1.419624,0.545,0.463,0.1000,AT,23,612
58,1.186127,1.409101,0.550,0.463,0.1000,AT,24,623
59,1.181906,1.494443,0.551,0.433,0.1000,AT,25,634
60,1.181469,1.421675,0.552,0.462,0.1000,AT,26,645
61,1.180194,1.550212,0.552,0.424,0.1000,AT,27,655
62,1.175680,1.657450,0.551,0.400,0.1000,AT,28,666
63,1.177637,1.458822,0.550,0.456,0.1000,AT,29,677
64,1.174872,1.415330,0.553,0.470,0.1000,AT,0,688
65,1.168079,1.516439,0.557,0.433,0.1000,AT,1,698
66,1.171798,1.509327,0.553,0.437,0.1000,AT,2,709
67,1.171713,1.495604,0.556,0.446,0.1000,AT,3,720
68,1.164339,1.587940,0.555,0.424,0.1000,AT,4,731
69,1.174011,1.548025,0.553,0.425,0.1000,AT,5,741
70,1.170210,1.418340,0.554,0.461,0.1000,AT,6,752
