_epoch,train_loss,valid_loss,acc,val_acc,lr,type,early_stopping,elapsed_time
1,1.619845,0.000000,0.401,0.000,0.1000,NT,0,1
2,1.071032,0.000000,0.617,0.000,0.1000,NT,0,2
3,0.820994,0.000000,0.712,0.000,0.1000,NT,0,3
4,0.672731,0.000000,0.767,0.000,0.1000,NT,0,4
5,0.597097,0.000000,0.793,0.000,0.1000,NT,0,6
6,0.532538,0.000000,0.817,0.000,0.1000,NT,0,7
7,0.493827,0.000000,0.829,0.000,0.1000,NT,0,8
8,0.469217,0.000000,0.838,0.000,0.1000,NT,0,9
9,0.435309,0.000000,0.848,0.000,0.1000,NT,0,11
10,0.418288,0.000000,0.857,0.000,0.1000,NT,0,12
11,0.411200,0.000000,0.858,0.000,0.1000,NT,0,13
12,0.397564,0.000000,0.865,0.000,0.1000,NT,0,14
13,0.384305,0.000000,0.867,0.000,0.1000,NT,0,15
14,0.373171,0.000000,0.872,0.000,0.1000,NT,0,17
15,0.366252,0.000000,0.874,0.000,0.1000,NT,0,18
16,0.356951,0.000000,0.879,0.000,0.1000,NT,0,19
17,0.346538,0.000000,0.880,0.000,0.1000,NT,0,20
18,0.341992,0.000000,0.882,0.000,0.1000,NT,0,22
19,0.337371,0.000000,0.884,0.000,0.1000,NT,0,23
20,0.323526,0.000000,0.888,0.000,0.1000,NT,0,24
21,0.327269,0.000000,0.888,0.000,0.1000,NT,0,25
22,0.313397,0.000000,0.893,0.000,0.1000,NT,0,27
23,0.312001,0.000000,0.892,0.000,0.1000,NT,0,28
24,0.305894,0.000000,0.897,0.000,0.1000,NT,0,29
25,0.304137,0.000000,0.895,0.000,0.1000,NT,0,30
26,0.302389,0.000000,0.895,0.000,0.1000,NT,0,31
27,0.298089,0.000000,0.898,0.000,0.1000,NT,0,33
28,0.293447,0.000000,0.899,0.000,0.1000,NT,0,34
29,0.292527,0.000000,0.900,0.000,0.1000,NT,0,35
30,0.288382,0.000000,0.901,0.000,0.1000,NT,0,36
31,0.286910,0.000000,0.901,0.000,0.1000,NT,0,38
32,0.281378,0.000000,0.904,0.000,0.1000,NT,0,39
33,0.282844,0.000000,0.903,0.000,0.1000,NT,0,40
34,0.283505,0.000000,0.901,0.000,0.1000,NT,0,41
35,0.271156,0.000000,0.906,0.000,0.1000,NT,0,42
36,0.276700,0.000000,0.905,0.000,0.1000,NT,0,44
37,0.274455,0.000000,0.905,0.000,0.1000,NT,0,45
38,0.269505,0.000000,0.907,0.000,0.1000,NT,0,46
39,0.272589,0.000000,0.907,0.000,0.1000,NT,0,47
40,0.266596,0.000000,0.908,0.000,0.1000,NT,0,49
41,0.269042,0.000000,0.908,0.000,0.1000,NT,0,50
42,0.266680,0.000000,0.908,0.000,0.1000,NT,0,51
43,0.266397,0.000000,0.907,0.000,0.1000,NT,0,52
44,0.263259,0.000000,0.910,0.000,0.1000,NT,0,53
45,0.266715,0.000000,0.908,0.000,0.1000,NT,0,55
46,0.261176,0.000000,0.909,0.000,0.1000,NT,0,56
47,0.256894,0.000000,0.912,0.000,0.1000,NT,0,57
48,0.263297,0.000000,0.908,0.000,0.1000,NT,0,58
49,0.259184,0.000000,0.911,0.000,0.1000,NT,0,60
50,0.256248,0.000000,0.911,0.000,0.1000,NT,0,61
51,0.253002,0.000000,0.913,0.000,0.1000,NT,0,62
52,0.255857,0.000000,0.912,0.000,0.1000,NT,0,63
53,0.255333,0.000000,0.912,0.000,0.1000,NT,0,64
54,0.254633,0.000000,0.912,0.000,0.1000,NT,0,66
55,0.262970,0.000000,0.910,0.000,0.1000,NT,0,67
56,0.248549,0.000000,0.913,0.000,0.1000,NT,0,68
57,0.250897,0.000000,0.913,0.000,0.1000,NT,0,69
58,0.248539,0.000000,0.915,0.000,0.1000,NT,0,70
59,0.258395,0.000000,0.910,0.000,0.1000,NT,0,72
60,0.247290,0.000000,0.915,0.000,0.1000,NT,0,73
61,0.247436,0.000000,0.913,0.000,0.1000,NT,0,74
62,0.245436,0.000000,0.915,0.000,0.1000,NT,0,75
63,0.249687,0.000000,0.914,0.000,0.1000,NT,0,77
64,0.241351,0.000000,0.918,0.000,0.1000,NT,0,78
65,0.254329,0.000000,0.911,0.000,0.1000,NT,0,79
66,0.243309,0.000000,0.917,0.000,0.1000,NT,0,80
67,0.243234,0.000000,0.917,0.000,0.1000,NT,0,81
68,0.244560,0.000000,0.917,0.000,0.1000,NT,0,83
69,0.248957,0.000000,0.915,0.000,0.1000,NT,0,84
70,0.246885,0.000000,0.916,0.000,0.1000,NT,0,85
71,0.243689,0.000000,0.916,0.000,0.1000,NT,0,86
72,0.241028,0.000000,0.917,0.000,0.1000,NT,0,88
73,0.242470,0.000000,0.917,0.000,0.1000,NT,0,89
74,0.248396,0.000000,0.914,0.000,0.1000,NT,0,90
75,0.236026,0.000000,0.919,0.000,0.1000,NT,0,91
76,0.243159,0.000000,0.917,0.000,0.1000,NT,0,92
77,0.246984,0.000000,0.913,0.000,0.1000,NT,0,94
78,0.243122,0.000000,0.917,0.000,0.1000,NT,0,95
79,0.235589,0.000000,0.919,0.000,0.1000,NT,0,96
80,0.240898,0.000000,0.916,0.000,0.1000,NT,0,97
81,0.238620,0.000000,0.918,0.000,0.1000,NT,0,99
82,0.241863,0.000000,0.917,0.000,0.1000,NT,0,100
83,0.240707,0.000000,0.917,0.000,0.1000,NT,0,101
84,0.244716,0.000000,0.916,0.000,0.1000,NT,0,102
85,0.241725,0.000000,0.917,0.000,0.1000,NT,0,103
86,0.234965,0.000000,0.919,0.000,0.1000,NT,0,105
