_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,0.220601,2.111509,0.257,0.224,0.1000,alpkdce2,"2.127, 0.004, 0.216",0.9,1.0,0,3
2,0.211770,2.049981,0.316,0.242,0.1000,alpkdce2,"2.053, 0.005, 0.210",0.9,1.0,0,6
3,0.208265,2.038089,0.345,0.256,0.1000,alpkdce2,"2.021, 0.006, 0.208",0.9,1.0,0,9
4,0.205433,1.979562,0.361,0.261,0.1000,alpkdce2,"1.980, 0.007, 0.204",0.9,1.0,0,13
5,0.203083,1.979492,0.382,0.269,0.1000,alpkdce2,"1.956, 0.007, 0.202",0.9,1.0,0,16
6,0.201228,1.950283,0.395,0.289,0.1000,alpkdce2,"1.937, 0.008, 0.201",0.9,1.0,0,19
7,0.199023,1.923835,0.416,0.293,0.1000,alpkdce2,"1.904, 0.008, 0.198",0.9,1.0,0,23
8,0.197500,1.891880,0.426,0.308,0.1000,alpkdce2,"1.895, 0.009, 0.197",0.9,1.0,0,26
9,0.195886,1.897080,0.438,0.321,0.1000,alpkdce2,"1.879, 0.009, 0.196",0.9,1.0,0,29
10,0.194322,1.875976,0.449,0.321,0.1000,alpkdce2,"1.859, 0.009, 0.194",0.9,1.0,0,32
11,0.192760,1.868007,0.459,0.321,0.1000,alpkdce2,"1.837, 0.010, 0.193",0.9,1.0,1,36
12,0.191287,1.831202,0.469,0.335,0.1000,alpkdce2,"1.818, 0.010, 0.191",0.9,1.0,0,39
13,0.189731,1.846948,0.483,0.327,0.1000,alpkdce2,"1.802, 0.011, 0.190",0.9,1.0,1,42
14,0.188763,1.808082,0.489,0.338,0.1000,alpkdce2,"1.792, 0.011, 0.189",0.9,1.0,0,45
15,0.187131,1.795248,0.499,0.341,0.1000,alpkdce2,"1.769, 0.011, 0.187",0.9,1.0,0,49
16,0.185449,1.784584,0.510,0.349,0.1000,alpkdce2,"1.739, 0.012, 0.185",0.9,1.0,0,52
17,0.184338,1.745223,0.517,0.376,0.1000,alpkdce2,"1.725, 0.012, 0.183",0.9,1.0,0,55
18,0.182651,1.771626,0.531,0.359,0.1000,alpkdce2,"1.712, 0.012, 0.182",0.9,1.0,1,59
19,0.181891,1.774358,0.530,0.369,0.1000,alpkdce2,"1.700, 0.013, 0.181",0.9,1.0,2,62
20,0.179967,1.752669,0.542,0.368,0.1000,alpkdce2,"1.687, 0.013, 0.180",0.9,1.0,3,65
21,0.179220,1.728754,0.545,0.381,0.1000,alpkdce2,"1.681, 0.013, 0.180",0.9,1.0,0,68
22,0.177709,1.679794,0.557,0.401,0.1000,alpkdce2,"1.665, 0.013, 0.179",0.9,1.0,0,72
23,0.176713,1.703789,0.561,0.389,0.1000,alpkdce2,"1.640, 0.014, 0.176",0.9,1.0,1,75
24,0.175261,1.697380,0.569,0.394,0.1000,alpkdce2,"1.611, 0.014, 0.174",0.9,1.0,2,78
25,0.174014,1.679103,0.576,0.395,0.1000,alpkdce2,"1.609, 0.014, 0.174",0.9,1.0,3,82
26,0.173470,1.690530,0.577,0.404,0.1000,alpkdce2,"1.610, 0.014, 0.174",0.9,1.0,0,85
27,0.172330,1.661015,0.583,0.408,0.1000,alpkdce2,"1.588, 0.014, 0.172",0.9,1.0,0,88
28,0.171186,1.642216,0.590,0.420,0.1000,alpkdce2,"1.584, 0.015, 0.172",0.9,1.0,0,91
29,0.169581,1.654361,0.595,0.418,0.1000,alpkdce2,"1.567, 0.015, 0.170",0.9,1.0,1,95
30,0.169151,1.644048,0.597,0.427,0.1000,alpkdce2,"1.555, 0.015, 0.169",0.9,1.0,0,98
31,0.168282,1.612270,0.602,0.434,0.1000,alpkdce2,"1.540, 0.015, 0.168",0.9,1.0,0,101
32,0.168117,1.632491,0.604,0.419,0.1000,alpkdce2,"1.545, 0.015, 0.168",0.9,1.0,1,105
33,0.165881,1.600924,0.610,0.445,0.1000,alpkdce2,"1.520, 0.016, 0.166",0.9,1.0,0,108
34,0.165023,1.583595,0.616,0.438,0.1000,alpkdce2,"1.522, 0.016, 0.166",0.9,1.0,1,111
