_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,0.219232,2.098077,0.266,0.227,0.1000,alpkdce2,"2.118, 0.004, 0.215",0.9,30.0,0,2
2,0.211187,2.050943,0.323,0.234,0.1000,alpkdce2,"2.051, 0.005, 0.210",0.9,30.0,0,4
3,0.207440,2.019561,0.353,0.262,0.1000,alpkdce2,"2.018, 0.006, 0.207",0.9,30.0,0,6
4,0.204915,1.980290,0.375,0.281,0.1000,alpkdce2,"1.985, 0.006, 0.204",0.9,30.0,0,9
5,0.202520,1.959103,0.394,0.280,0.1000,alpkdce2,"1.951, 0.007, 0.201",0.9,30.0,1,11
6,0.200780,1.951774,0.407,0.298,0.1000,alpkdce2,"1.940, 0.007, 0.201",0.9,30.0,0,13
7,0.198520,1.914569,0.425,0.303,0.1000,alpkdce2,"1.905, 0.008, 0.198",0.9,30.0,0,15
8,0.196972,1.895755,0.437,0.306,0.1000,alpkdce2,"1.892, 0.008, 0.197",0.9,30.0,0,18
9,0.194892,1.882294,0.453,0.302,0.1000,alpkdce2,"1.860, 0.009, 0.194",0.9,30.0,1,20
10,0.193315,1.863711,0.467,0.325,0.1000,alpkdce2,"1.846, 0.009, 0.193",0.9,30.0,0,22
11,0.191645,1.848131,0.479,0.331,0.1000,alpkdce2,"1.824, 0.010, 0.191",0.9,30.0,0,24
12,0.190241,1.834376,0.491,0.333,0.1000,alpkdce2,"1.811, 0.010, 0.190",0.9,30.0,0,27
13,0.188745,1.820693,0.500,0.339,0.1000,alpkdce2,"1.790, 0.010, 0.188",0.9,30.0,0,29
14,0.187272,1.796221,0.509,0.347,0.1000,alpkdce2,"1.769, 0.011, 0.187",0.9,30.0,0,31
15,0.185764,1.775785,0.523,0.355,0.1000,alpkdce2,"1.755, 0.011, 0.185",0.9,30.0,0,33
16,0.184507,1.782633,0.533,0.356,0.1000,alpkdce2,"1.732, 0.012, 0.184",0.9,30.0,0,36
17,0.182923,1.767831,0.541,0.367,0.1000,alpkdce2,"1.722, 0.012, 0.183",0.9,30.0,0,38
18,0.181516,1.755843,0.549,0.368,0.1000,alpkdce2,"1.710, 0.012, 0.182",0.9,30.0,0,40
19,0.180468,1.751705,0.561,0.371,0.1000,alpkdce2,"1.700, 0.012, 0.181",0.9,30.0,0,42
20,0.179225,1.710703,0.570,0.378,0.1000,alpkdce2,"1.683, 0.013, 0.180",0.9,30.0,0,45
21,0.177604,1.711377,0.579,0.383,0.1000,alpkdce2,"1.654, 0.013, 0.177",0.9,30.0,0,47
22,0.176638,1.674738,0.584,0.403,0.1000,alpkdce2,"1.639, 0.013, 0.176",0.9,30.0,0,49
23,0.175573,1.688879,0.590,0.395,0.1000,alpkdce2,"1.631, 0.013, 0.175",0.9,30.0,1,51
24,0.174016,1.676996,0.601,0.389,0.1000,alpkdce2,"1.623, 0.013, 0.174",0.9,30.0,2,54
25,0.172918,1.663091,0.604,0.407,0.1000,alpkdce2,"1.615, 0.013, 0.174",0.9,30.0,0,56
26,0.172336,1.643435,0.610,0.409,0.1000,alpkdce2,"1.611, 0.014, 0.173",0.9,30.0,0,58
27,0.170952,1.658217,0.613,0.403,0.1000,alpkdce2,"1.588, 0.014, 0.171",0.9,30.0,1,60
28,0.170551,1.635547,0.619,0.420,0.1000,alpkdce2,"1.573, 0.014, 0.170",0.9,30.0,0,63
29,0.169186,1.650700,0.626,0.415,0.1000,alpkdce2,"1.557, 0.014, 0.169",0.9,30.0,1,65
30,0.168102,1.644189,0.636,0.406,0.1000,alpkdce2,"1.555, 0.014, 0.168",0.9,30.0,2,67
31,0.167229,1.619668,0.633,0.436,0.1000,alpkdce2,"1.547, 0.014, 0.168",0.9,30.0,0,69
32,0.165792,1.614854,0.643,0.427,0.1000,alpkdce2,"1.537, 0.014, 0.167",0.9,30.0,1,72
33,0.165380,1.612686,0.644,0.433,0.1000,alpkdce2,"1.521, 0.015, 0.165",0.9,30.0,2,74
34,0.163922,1.590554,0.649,0.433,0.1000,alpkdce2,"1.511, 0.014, 0.164",0.9,30.0,3,76
35,0.162925,1.623479,0.653,0.435,0.1000,alpkdce2,"1.506, 0.015, 0.164",0.9,30.0,4,78
36,0.162388,1.604946,0.658,0.428,0.1000,alpkdce2,"1.495, 0.015, 0.163",0.9,30.0,5,81
37,0.161374,1.558235,0.657,0.442,0.1000,alpkdce2,"1.477, 0.015, 0.161",0.9,30.0,0,83
38,0.160477,1.552846,0.666,0.457,0.1000,alpkdce2,"1.478, 0.015, 0.161",0.9,30.0,0,85
39,0.159478,1.599890,0.668,0.438,0.1000,alpkdce2,"1.459, 0.015, 0.160",0.9,30.0,1,87
40,0.158897,1.603714,0.670,0.436,0.1000,alpkdce2,"1.462, 0.015, 0.160",0.9,30.0,2,90
41,0.158099,1.543240,0.675,0.443,0.1000,alpkdce2,"1.447, 0.015, 0.158",0.9,30.0,3,92
42,0.157386,1.578234,0.675,0.460,0.1000,alpkdce2,"1.443, 0.015, 0.158",0.9,30.0,0,94
43,0.156231,1.540015,0.681,0.460,0.1000,alpkdce2,"1.431, 0.015, 0.157",0.9,30.0,1,96
44,0.155245,1.554135,0.684,0.463,0.1000,alpkdce2,"1.420, 0.015, 0.156",0.9,30.0,0,99
