_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,0.209032,2.037776,0.220,0.241,0.1000,alpkdce2,"0.001, 2.053, 0.206",0.1,1.0,0,2
2,0.199443,1.955423,0.253,0.258,0.1000,alpkdce2,"0.001, 1.968, 0.198",0.1,1.0,0,4
3,0.193376,1.942509,0.273,0.264,0.1000,alpkdce2,"0.001, 1.915, 0.192",0.1,1.0,0,7
4,0.189001,1.899353,0.289,0.282,0.1000,alpkdce2,"0.001, 1.871, 0.188",0.1,1.0,0,9
5,0.185164,1.857746,0.303,0.289,0.1000,alpkdce2,"0.001, 1.831, 0.184",0.1,1.0,0,12
6,0.181816,1.834212,0.317,0.290,0.1000,alpkdce2,"0.001, 1.808, 0.182",0.1,1.0,0,14
7,0.178478,1.818937,0.330,0.307,0.1000,alpkdce2,"0.001, 1.773, 0.178",0.1,1.0,0,16
8,0.175775,1.895652,0.340,0.294,0.1000,alpkdce2,"0.001, 1.738, 0.175",0.1,1.0,1,19
9,0.172358,1.766893,0.354,0.323,0.1000,alpkdce2,"0.001, 1.707, 0.172",0.1,1.0,0,21
10,0.169405,1.771663,0.362,0.325,0.1000,alpkdce2,"0.001, 1.673, 0.168",0.1,1.0,0,24
11,0.166728,1.707804,0.371,0.354,0.1000,alpkdce2,"0.001, 1.664, 0.167",0.1,1.0,0,26
12,0.164386,1.706501,0.382,0.346,0.1000,alpkdce2,"0.001, 1.630, 0.164",0.1,1.0,1,29
13,0.162148,1.695671,0.388,0.345,0.1000,alpkdce2,"0.002, 1.606, 0.162",0.1,1.0,2,31
14,0.159332,1.641578,0.403,0.378,0.1000,alpkdce2,"0.001, 1.578, 0.159",0.1,1.0,0,33
15,0.156591,1.653325,0.409,0.367,0.1000,alpkdce2,"0.001, 1.552, 0.156",0.1,1.0,1,36
16,0.154698,1.990659,0.417,0.267,0.1000,alpkdce2,"0.001, 1.546, 0.156",0.1,1.0,2,38
17,0.152975,1.632481,0.424,0.379,0.1000,alpkdce2,"0.001, 1.529, 0.154",0.1,1.0,0,41
18,0.151339,1.584134,0.431,0.390,0.1000,alpkdce2,"0.001, 1.499, 0.151",0.1,1.0,0,43
19,0.149443,1.597051,0.436,0.395,0.1000,alpkdce2,"0.001, 1.484, 0.149",0.1,1.0,0,46
20,0.147777,1.633664,0.442,0.381,0.1000,alpkdce2,"0.001, 1.468, 0.148",0.1,1.0,1,48
21,0.146289,1.567846,0.449,0.409,0.1000,alpkdce2,"0.001, 1.444, 0.145",0.1,1.0,0,50
22,0.143650,1.699694,0.459,0.364,0.1000,alpkdce2,"0.001, 1.432, 0.144",0.1,1.0,1,53
23,0.143246,1.625725,0.461,0.378,0.1000,alpkdce2,"0.001, 1.421, 0.143",0.1,1.0,2,55
24,0.142219,1.543348,0.463,0.412,0.1000,alpkdce2,"0.001, 1.408, 0.142",0.1,1.0,0,58
25,0.140967,1.535105,0.467,0.423,0.1000,alpkdce2,"0.001, 1.404, 0.141",0.1,1.0,0,60
26,0.139638,1.639317,0.472,0.377,0.1000,alpkdce2,"0.001, 1.399, 0.141",0.1,1.0,1,63
