_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,1.762815,2.069283,0.339,0.214,0.1000,alpkdce1,"1.855, 0.067, 1.676",0.1,1.0,0,2
2,1.574615,2.000597,0.463,0.234,0.1000,alpkdce1,"1.709, 0.091, 1.547",0.1,1.0,0,4
3,1.456668,2.122602,0.536,0.247,0.1000,alpkdce1,"1.580, 0.111, 1.433",0.1,1.0,0,7
4,1.365828,2.034409,0.595,0.244,0.1000,alpkdce1,"1.482, 0.137, 1.347",0.1,1.0,1,9
5,1.300854,1.847496,0.634,0.307,0.1000,alpkdce1,"1.409, 0.161, 1.284",0.1,1.0,0,11
6,1.240283,1.899095,0.670,0.270,0.1000,alpkdce1,"1.349, 0.181, 1.232",0.1,1.0,1,14
7,1.197596,1.810480,0.696,0.330,0.1000,alpkdce1,"1.307, 0.193, 1.196",0.1,1.0,0,16
8,1.163293,1.706505,0.711,0.347,0.1000,alpkdce1,"1.262, 0.206, 1.156",0.1,1.0,0,19
9,1.128974,1.676471,0.728,0.350,0.1000,alpkdce1,"1.225, 0.215, 1.124",0.1,1.0,0,21
10,1.103348,1.689685,0.742,0.361,0.1000,alpkdce1,"1.213, 0.229, 1.114",0.1,1.0,0,23
11,1.077078,1.719823,0.754,0.357,0.1000,alpkdce1,"1.175, 0.230, 1.081",0.1,1.0,1,26
12,1.057666,1.727974,0.763,0.346,0.1000,alpkdce1,"1.150, 0.243, 1.059",0.1,1.0,2,28
13,1.032774,1.756410,0.776,0.341,0.1000,alpkdce1,"1.121, 0.251, 1.034",0.1,1.0,3,31
14,1.017317,1.659942,0.783,0.367,0.1000,alpkdce1,"1.096, 0.263, 1.013",0.1,1.0,0,33
15,0.996604,1.627100,0.793,0.380,0.1000,alpkdce1,"1.088, 0.264, 1.006",0.1,1.0,0,35
16,0.978752,1.732624,0.800,0.371,0.1000,alpkdce1,"1.060, 0.283, 0.982",0.1,1.0,1,38
17,0.960636,1.616448,0.806,0.387,0.1000,alpkdce1,"1.043, 0.291, 0.968",0.1,1.0,0,40
18,0.941672,1.639309,0.814,0.385,0.1000,alpkdce1,"1.019, 0.322, 0.949",0.1,1.0,1,43
19,0.927072,1.598565,0.824,0.387,0.1000,alpkdce1,"1.000, 0.353, 0.935",0.1,1.0,2,45
20,0.912028,1.589037,0.831,0.393,0.1000,alpkdce1,"0.978, 0.371, 0.917",0.1,1.0,0,47
21,0.899540,1.602352,0.836,0.402,0.1000,alpkdce1,"0.961, 0.406, 0.905",0.1,1.0,0,50
22,0.888859,1.689232,0.842,0.387,0.1000,alpkdce1,"0.950, 0.399, 0.895",0.1,1.0,1,52
23,0.877404,1.556267,0.845,0.395,0.1000,alpkdce1,"0.932, 0.415, 0.880",0.1,1.0,2,54
24,0.860049,1.586337,0.854,0.409,0.1000,alpkdce1,"0.913, 0.426, 0.864",0.1,1.0,0,57
25,0.847949,1.588714,0.860,0.407,0.1000,alpkdce1,"0.900, 0.463, 0.856",0.1,1.0,1,59
26,0.841560,1.634142,0.861,0.394,0.1000,alpkdce1,"0.885, 0.470, 0.844",0.1,1.0,2,62
27,0.830662,1.656350,0.868,0.404,0.1000,alpkdce1,"0.883, 0.478, 0.843",0.1,1.0,3,64
28,0.814320,1.588265,0.876,0.410,0.1000,alpkdce1,"0.861, 0.487, 0.823",0.1,1.0,0,66
29,0.820690,1.635636,0.874,0.402,0.1000,alpkdce1,"0.869, 0.474, 0.830",0.1,1.0,1,69
30,0.809294,1.629306,0.879,0.391,0.1000,alpkdce1,"0.870, 0.455, 0.829",0.1,1.0,2,71
31,0.790701,1.602084,0.888,0.397,0.1000,alpkdce1,"0.844, 0.491, 0.809",0.1,1.0,3,73
32,0.790555,1.606950,0.888,0.394,0.1000,alpkdce1,"0.840, 0.503, 0.806",0.1,1.0,4,76
33,0.785735,1.556702,0.889,0.415,0.1000,alpkdce1,"0.829, 0.515, 0.798",0.1,1.0,0,78
34,0.775716,1.592108,0.894,0.401,0.1000,alpkdce1,"0.829, 0.500, 0.796",0.1,1.0,1,81
35,0.762120,1.615139,0.898,0.408,0.1000,alpkdce1,"0.804, 0.521, 0.776",0.1,1.0,2,83
36,0.757725,1.629689,0.900,0.398,0.1000,alpkdce1,"0.790, 0.531, 0.764",0.1,1.0,3,85
37,0.761739,1.644650,0.900,0.394,0.1000,alpkdce1,"0.798, 0.522, 0.770",0.1,1.0,4,88
38,0.744685,1.576336,0.906,0.420,0.1000,alpkdce1,"0.780, 0.534, 0.756",0.1,1.0,0,90
39,0.742420,1.609188,0.908,0.405,0.1000,alpkdce1,"0.776, 0.551, 0.753",0.1,1.0,1,93
40,0.745339,1.603077,0.905,0.407,0.1000,alpkdce1,"0.770, 0.543, 0.748",0.1,1.0,2,95
41,0.732444,1.613629,0.912,0.399,0.1000,alpkdce1,"0.757, 0.564, 0.738",0.1,1.0,3,97
42,0.730390,1.600010,0.914,0.416,0.1000,alpkdce1,"0.757, 0.534, 0.735",0.1,1.0,4,100
