_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,0.984181,2.082909,0.346,0.209,0.1000,alpkdce1,"1.840, 0.041, 0.941",0.5,1.0,0,2
2,0.890424,1.920088,0.458,0.277,0.1000,alpkdce1,"1.688, 0.055, 0.872",0.5,1.0,0,4
3,0.845877,1.866373,0.511,0.278,0.1000,alpkdce1,"1.609, 0.063, 0.836",0.5,1.0,0,7
4,0.805340,1.795135,0.563,0.315,0.1000,alpkdce1,"1.522, 0.074, 0.798",0.5,1.0,0,9
5,0.774404,1.759140,0.596,0.320,0.1000,alpkdce1,"1.449, 0.081, 0.765",0.5,1.0,0,11
6,0.747843,1.709476,0.628,0.349,0.1000,alpkdce1,"1.409, 0.086, 0.748",0.5,1.0,0,14
7,0.727342,1.683061,0.651,0.349,0.1000,alpkdce1,"1.354, 0.091, 0.722",0.5,1.0,1,16
8,0.709919,1.676219,0.667,0.352,0.1000,alpkdce1,"1.320, 0.096, 0.708",0.5,1.0,0,18
9,0.694217,1.649613,0.682,0.370,0.1000,alpkdce1,"1.284, 0.098, 0.691",0.5,1.0,0,21
10,0.683777,1.622560,0.692,0.375,0.1000,alpkdce1,"1.261, 0.102, 0.682",0.5,1.0,0,23
11,0.673041,1.591244,0.705,0.397,0.1000,alpkdce1,"1.247, 0.102, 0.674",0.5,1.0,0,25
12,0.661072,1.557330,0.720,0.407,0.1000,alpkdce1,"1.216, 0.106, 0.661",0.5,1.0,0,28
13,0.651712,1.543759,0.727,0.406,0.1000,alpkdce1,"1.196, 0.108, 0.652",0.5,1.0,1,30
14,0.643741,1.624590,0.732,0.378,0.1000,alpkdce1,"1.181, 0.110, 0.645",0.5,1.0,2,33
15,0.633994,1.561831,0.744,0.403,0.1000,alpkdce1,"1.162, 0.111, 0.637",0.5,1.0,3,35
16,0.627102,1.522531,0.748,0.414,0.1000,alpkdce1,"1.150, 0.111, 0.631",0.5,1.0,0,37
17,0.618803,1.525227,0.758,0.419,0.1000,alpkdce1,"1.126, 0.113, 0.619",0.5,1.0,0,40
18,0.611681,1.498591,0.761,0.429,0.1000,alpkdce1,"1.116, 0.115, 0.616",0.5,1.0,0,42
19,0.607482,1.531318,0.767,0.405,0.1000,alpkdce1,"1.103, 0.116, 0.609",0.5,1.0,1,44
20,0.598773,1.519015,0.776,0.418,0.1000,alpkdce1,"1.091, 0.117, 0.604",0.5,1.0,2,47
21,0.593385,1.501085,0.777,0.432,0.1000,alpkdce1,"1.074, 0.116, 0.595",0.5,1.0,0,49
22,0.587588,1.477746,0.785,0.439,0.1000,alpkdce1,"1.062, 0.121, 0.592",0.5,1.0,0,51
23,0.582795,1.486216,0.787,0.437,0.1000,alpkdce1,"1.057, 0.119, 0.588",0.5,1.0,1,54
24,0.578039,1.472862,0.792,0.439,0.1000,alpkdce1,"1.041, 0.120, 0.581",0.5,1.0,2,56
25,0.572195,1.501875,0.797,0.438,0.1000,alpkdce1,"1.033, 0.122, 0.578",0.5,1.0,3,58
26,0.568685,1.501919,0.799,0.425,0.1000,alpkdce1,"1.033, 0.121, 0.577",0.5,1.0,4,61
27,0.562983,1.450040,0.805,0.446,0.1000,alpkdce1,"1.011, 0.123, 0.567",0.5,1.0,0,63
28,0.557436,1.501699,0.810,0.443,0.1000,alpkdce1,"1.000, 0.123, 0.562",0.5,1.0,1,66
29,0.555412,1.457150,0.811,0.449,0.1000,alpkdce1,"1.005, 0.123, 0.564",0.5,1.0,0,68
30,0.549392,1.451140,0.815,0.453,0.1000,alpkdce1,"0.988, 0.123, 0.555",0.5,1.0,0,70
31,0.547511,1.459434,0.819,0.453,0.1000,alpkdce1,"0.985, 0.123, 0.554",0.5,1.0,1,73
32,0.538523,1.473314,0.824,0.449,0.1000,alpkdce1,"0.968, 0.123, 0.546",0.5,1.0,2,75
33,0.538866,1.474574,0.825,0.442,0.1000,alpkdce1,"0.966, 0.124, 0.545",0.5,1.0,3,77
34,0.531998,1.504455,0.830,0.433,0.1000,alpkdce1,"0.951, 0.126, 0.539",0.5,1.0,4,80
35,0.530494,1.440620,0.831,0.459,0.1000,alpkdce1,"0.947, 0.125, 0.536",0.5,1.0,0,82
36,0.526791,1.447176,0.834,0.447,0.1000,alpkdce1,"0.934, 0.126, 0.530",0.5,1.0,1,84
37,0.524483,1.448817,0.833,0.450,0.1000,alpkdce1,"0.940, 0.125, 0.532",0.5,1.0,2,87
38,0.520554,1.445316,0.838,0.452,0.1000,alpkdce1,"0.932, 0.125, 0.529",0.5,1.0,3,89
39,0.517241,1.475722,0.841,0.446,0.1000,alpkdce1,"0.921, 0.129, 0.525",0.5,1.0,4,91
40,0.514847,1.454785,0.840,0.454,0.1000,alpkdce1,"0.917, 0.126, 0.522",0.5,1.0,5,94
41,0.510965,1.468560,0.842,0.457,0.1000,alpkdce1,"0.918, 0.125, 0.522",0.5,1.0,6,96
42,0.508807,1.497719,0.847,0.444,0.1000,alpkdce1,"0.905, 0.127, 0.516",0.5,1.0,7,99
43,0.505843,1.461394,0.847,0.456,0.1000,alpkdce1,"0.889, 0.127, 0.508",0.5,1.0,8,101
44,0.503518,1.487272,0.850,0.449,0.1000,alpkdce1,"0.893, 0.126, 0.510",0.5,1.0,9,103
45,0.499851,1.447943,0.854,0.454,0.1000,alpkdce1,"0.887, 0.126, 0.507",0.5,1.0,10,106
46,0.497967,1.467710,0.855,0.456,0.1000,alpkdce1,"0.877, 0.127, 0.502",0.5,1.0,11,108
47,0.495603,1.465779,0.858,0.453,0.1000,alpkdce1,"0.867, 0.130, 0.499",0.5,1.0,12,110
48,0.492264,1.469944,0.859,0.449,0.1000,alpkdce1,"0.877, 0.127, 0.502",0.5,1.0,13,113
49,0.489658,1.443914,0.860,0.456,0.1000,alpkdce1,"0.869, 0.127, 0.498",0.5,1.0,14,115
50,0.487643,1.472839,0.859,0.458,0.1000,alpkdce1,"0.861, 0.128, 0.495",0.5,1.0,15,117
51,0.485629,1.491175,0.863,0.454,0.1000,alpkdce1,"0.850, 0.129, 0.490",0.5,1.0,16,120
52,0.484683,1.482423,0.863,0.465,0.1000,alpkdce1,"0.863, 0.129, 0.496",0.5,1.0,0,122
53,0.479482,1.473143,0.865,0.448,0.1000,alpkdce1,"0.837, 0.130, 0.483",0.5,1.0,1,124
54,0.478907,1.445709,0.870,0.457,0.1000,alpkdce1,"0.843, 0.131, 0.487",0.5,1.0,2,127
55,0.477681,1.471568,0.868,0.456,0.1000,alpkdce1,"0.841, 0.128, 0.485",0.5,1.0,3,129
56,0.474655,1.462496,0.872,0.463,0.1000,alpkdce1,"0.839, 0.130, 0.484",0.5,1.0,4,132
57,0.471448,1.484967,0.873,0.457,0.1000,alpkdce1,"0.823, 0.131, 0.477",0.5,1.0,5,134
58,0.471012,1.510450,0.871,0.441,0.1000,alpkdce1,"0.829, 0.128, 0.479",0.5,1.0,6,136
59,0.469942,1.499615,0.874,0.451,0.1000,alpkdce1,"0.823, 0.131, 0.477",0.5,1.0,7,139
60,0.468185,1.513829,0.875,0.450,0.1000,alpkdce1,"0.818, 0.131, 0.474",0.5,1.0,8,141
61,0.465246,1.458232,0.875,0.459,0.1000,alpkdce1,"0.813, 0.129, 0.471",0.5,1.0,9,143
62,0.464369,1.440243,0.877,0.468,0.1000,alpkdce1,"0.812, 0.133, 0.472",0.5,1.0,0,146
63,0.458487,1.471674,0.882,0.463,0.1000,alpkdce1,"0.796, 0.130, 0.463",0.5,1.0,1,148
64,0.458245,1.502374,0.881,0.444,0.1000,alpkdce1,"0.810, 0.132, 0.471",0.5,1.0,2,150
65,0.459087,1.484557,0.881,0.462,0.1000,alpkdce1,"0.803, 0.132, 0.467",0.5,1.0,3,153
66,0.455324,1.526841,0.885,0.447,0.1000,alpkdce1,"0.793, 0.132, 0.463",0.5,1.0,4,155
67,0.456081,1.541085,0.883,0.445,0.1000,alpkdce1,"0.797, 0.133, 0.465",0.5,1.0,5,157
68,0.451788,1.488668,0.885,0.447,0.1000,alpkdce1,"0.780, 0.133, 0.457",0.5,1.0,6,160
69,0.450554,1.438406,0.887,0.470,0.1000,alpkdce1,"0.783, 0.132, 0.457",0.5,1.0,0,162
70,0.449583,1.519190,0.888,0.445,0.1000,alpkdce1,"0.780, 0.131, 0.456",0.5,1.0,1,164
71,0.447956,1.490506,0.888,0.456,0.1000,alpkdce1,"0.781, 0.131, 0.456",0.5,1.0,2,167
72,0.445541,1.550303,0.889,0.454,0.1000,alpkdce1,"0.768, 0.130, 0.449",0.5,1.0,3,169
73,0.445658,1.509544,0.890,0.451,0.1000,alpkdce1,"0.778, 0.132, 0.455",0.5,1.0,4,172
74,0.443556,1.516480,0.891,0.447,0.1000,alpkdce1,"0.767, 0.132, 0.449",0.5,1.0,5,174
75,0.440864,1.486175,0.892,0.454,0.1000,alpkdce1,"0.774, 0.132, 0.453",0.5,1.0,6,176
76,0.442215,1.484091,0.893,0.462,0.1000,alpkdce1,"0.764, 0.132, 0.448",0.5,1.0,7,179
77,0.437761,1.528108,0.894,0.458,0.1000,alpkdce1,"0.758, 0.132, 0.445",0.5,1.0,8,181
78,0.438383,1.497935,0.897,0.450,0.1000,alpkdce1,"0.757, 0.133, 0.445",0.5,1.0,9,183
79,0.437359,1.501939,0.895,0.452,0.1000,alpkdce1,"0.767, 0.133, 0.450",0.5,1.0,10,186
80,0.433637,1.582487,0.897,0.447,0.1000,alpkdce1,"0.755, 0.133, 0.444",0.5,1.0,11,188
81,0.435786,1.500108,0.898,0.451,0.1000,alpkdce1,"0.758, 0.135, 0.447",0.5,1.0,12,190
82,0.429824,1.518016,0.901,0.442,0.1000,alpkdce1,"0.741, 0.133, 0.437",0.5,1.0,13,193
83,0.428615,1.494751,0.902,0.458,0.1000,alpkdce1,"0.743, 0.132, 0.437",0.5,1.0,14,195
84,0.431272,1.537491,0.899,0.459,0.1000,alpkdce1,"0.752, 0.133, 0.442",0.5,1.0,15,197
85,0.428947,1.489372,0.901,0.464,0.1000,alpkdce1,"0.745, 0.134, 0.439",0.5,1.0,16,200
86,0.426509,1.523889,0.900,0.457,0.1000,alpkdce1,"0.736, 0.133, 0.435",0.5,1.0,17,202
87,0.425848,1.531636,0.902,0.449,0.1000,alpkdce1,"0.737, 0.133, 0.435",0.5,1.0,18,205
88,0.425001,1.507809,0.900,0.457,0.1000,alpkdce1,"0.724, 0.133, 0.428",0.5,1.0,19,207
89,0.423304,1.562503,0.906,0.451,0.1000,alpkdce1,"0.735, 0.136, 0.436",0.5,1.0,20,209
90,0.423184,1.555729,0.905,0.442,0.1000,alpkdce1,"0.730, 0.135, 0.433",0.5,1.0,21,212
91,0.419810,1.511004,0.905,0.452,0.1000,alpkdce1,"0.730, 0.135, 0.432",0.5,1.0,22,214
92,0.419082,1.595548,0.907,0.434,0.1000,alpkdce1,"0.725, 0.134, 0.429",0.5,1.0,23,216
93,0.417488,1.505137,0.908,0.462,0.1000,alpkdce1,"0.719, 0.135, 0.427",0.5,1.0,24,219
94,0.419676,1.520253,0.907,0.456,0.1000,alpkdce1,"0.724, 0.134, 0.429",0.5,1.0,25,221
95,0.418136,1.585299,0.908,0.433,0.1000,alpkdce1,"0.714, 0.134, 0.424",0.5,1.0,26,223
96,0.416374,1.553009,0.908,0.449,0.1000,alpkdce1,"0.721, 0.137, 0.429",0.5,1.0,27,226
97,0.413814,1.560888,0.909,0.446,0.1000,alpkdce1,"0.715, 0.136, 0.426",0.5,1.0,28,228
98,0.415291,1.521445,0.910,0.456,0.1000,alpkdce1,"0.720, 0.136, 0.428",0.5,1.0,29,230
99,0.411813,1.526501,0.911,0.450,0.1000,alpkdce1,"0.713, 0.135, 0.424",0.5,1.0,30,233
100,0.411080,1.560818,0.912,0.444,0.1000,alpkdce1,"0.704, 0.136, 0.420",0.5,1.0,31,235
101,0.339880,1.451058,0.947,0.492,0.0100,alpkdce1,"0.532, 0.124, 0.328",0.5,1.0,0,237
102,0.305202,1.463034,0.958,0.488,0.0100,alpkdce1,"0.490, 0.119, 0.305",0.5,1.0,1,240
103,0.292514,1.505416,0.963,0.480,0.0100,alpkdce1,"0.465, 0.118, 0.292",0.5,1.0,2,242
104,0.281571,1.538387,0.964,0.482,0.0100,alpkdce1,"0.447, 0.116, 0.281",0.5,1.0,3,245
105,0.274209,1.546336,0.966,0.482,0.0100,alpkdce1,"0.438, 0.114, 0.276",0.5,1.0,4,247
106,0.265722,1.607258,0.968,0.471,0.0100,alpkdce1,"0.414, 0.114, 0.264",0.5,1.0,5,249
107,0.260551,1.602260,0.971,0.477,0.0100,alpkdce1,"0.411, 0.113, 0.262",0.5,1.0,6,252
108,0.254924,1.616024,0.972,0.475,0.0100,alpkdce1,"0.403, 0.113, 0.258",0.5,1.0,7,254
109,0.249992,1.609700,0.973,0.472,0.0100,alpkdce1,"0.398, 0.113, 0.255",0.5,1.0,8,256
110,0.246372,1.644108,0.974,0.474,0.0100,alpkdce1,"0.389, 0.111, 0.250",0.5,1.0,9,259
111,0.242179,1.673583,0.975,0.468,0.0100,alpkdce1,"0.379, 0.110, 0.245",0.5,1.0,10,261
112,0.237941,1.674925,0.976,0.474,0.0100,alpkdce1,"0.371, 0.112, 0.241",0.5,1.0,11,263
113,0.233443,1.726813,0.977,0.464,0.0100,alpkdce1,"0.361, 0.108, 0.234",0.5,1.0,12,266
114,0.231223,1.717174,0.977,0.472,0.0100,alpkdce1,"0.360, 0.109, 0.234",0.5,1.0,13,268
115,0.228536,1.739608,0.977,0.462,0.0100,alpkdce1,"0.351, 0.108, 0.229",0.5,1.0,14,271
116,0.224325,1.799956,0.978,0.460,0.0100,alpkdce1,"0.351, 0.109, 0.230",0.5,1.0,15,273
117,0.221307,1.765216,0.979,0.465,0.0100,alpkdce1,"0.339, 0.109, 0.224",0.5,1.0,16,275
118,0.219065,1.774985,0.979,0.456,0.0100,alpkdce1,"0.339, 0.107, 0.223",0.5,1.0,17,278
119,0.216133,1.832684,0.980,0.459,0.0100,alpkdce1,"0.332, 0.107, 0.219",0.5,1.0,18,280
120,0.212678,1.873916,0.981,0.460,0.0100,alpkdce1,"0.329, 0.108, 0.218",0.5,1.0,19,282
121,0.212154,1.860822,0.980,0.451,0.0100,alpkdce1,"0.324, 0.110, 0.217",0.5,1.0,20,285
122,0.209415,1.886173,0.982,0.454,0.0100,alpkdce1,"0.324, 0.108, 0.216",0.5,1.0,21,287
123,0.207244,1.913067,0.982,0.457,0.0100,alpkdce1,"0.311, 0.108, 0.209",0.5,1.0,22,289
124,0.206806,1.887559,0.982,0.447,0.0100,alpkdce1,"0.315, 0.107, 0.211",0.5,1.0,23,292
125,0.203498,1.891514,0.983,0.450,0.0100,alpkdce1,"0.312, 0.106, 0.209",0.5,1.0,24,294
126,0.201192,1.943871,0.983,0.451,0.0100,alpkdce1,"0.303, 0.106, 0.204",0.5,1.0,25,296
127,0.198484,1.924628,0.984,0.447,0.0100,alpkdce1,"0.297, 0.104, 0.201",0.5,1.0,26,299
