_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,0.837187,2.381326,0.188,0.147,0.1000,alpkdce2,"1.420, 0.115, 0.768",0.5,30.0,0,1
2,0.685239,2.315451,0.211,0.191,0.1000,alpkdce2,"1.185, 0.145, 0.665",0.5,30.0,0,3
3,0.612935,2.247498,0.233,0.193,0.1000,alpkdce2,"1.030, 0.165, 0.597",0.5,30.0,0,5
4,0.562383,2.215002,0.257,0.206,0.1000,alpkdce2,"0.935, 0.175, 0.555",0.5,30.0,0,6
5,0.526267,2.120127,0.279,0.230,0.1000,alpkdce2,"0.865, 0.180, 0.523",0.5,30.0,0,8
6,0.503122,2.174737,0.295,0.243,0.1000,alpkdce2,"0.807, 0.184, 0.495",0.5,30.0,0,10
7,0.481532,2.195350,0.309,0.252,0.1000,alpkdce2,"0.776, 0.187, 0.482",0.5,30.0,0,12
8,0.465031,2.084393,0.321,0.265,0.1000,alpkdce2,"0.729, 0.190, 0.460",0.5,30.0,0,13
9,0.452754,1.965368,0.328,0.297,0.1000,alpkdce2,"0.710, 0.192, 0.451",0.5,30.0,0,15
10,0.437891,1.997436,0.340,0.272,0.1000,alpkdce2,"0.684, 0.193, 0.438",0.5,30.0,1,17
11,0.426219,1.939123,0.353,0.290,0.1000,alpkdce2,"0.665, 0.193, 0.429",0.5,30.0,2,19
12,0.417823,2.025821,0.357,0.275,0.1000,alpkdce2,"0.638, 0.196, 0.417",0.5,30.0,3,21
13,0.407222,1.923026,0.365,0.303,0.1000,alpkdce2,"0.617, 0.197, 0.407",0.5,30.0,0,22
14,0.397742,1.986055,0.374,0.295,0.1000,alpkdce2,"0.605, 0.201, 0.403",0.5,30.0,1,24
15,0.392136,1.800196,0.380,0.325,0.1000,alpkdce2,"0.592, 0.200, 0.396",0.5,30.0,0,26
16,0.384908,1.913946,0.380,0.302,0.1000,alpkdce2,"0.570, 0.200, 0.385",0.5,30.0,1,28
17,0.376326,1.891851,0.388,0.328,0.1000,alpkdce2,"0.564, 0.202, 0.383",0.5,30.0,0,30
18,0.369947,1.843130,0.395,0.327,0.1000,alpkdce2,"0.540, 0.202, 0.371",0.5,30.0,1,31
19,0.364468,1.780174,0.401,0.348,0.1000,alpkdce2,"0.539, 0.200, 0.369",0.5,30.0,0,33
20,0.357715,1.901492,0.407,0.322,0.1000,alpkdce2,"0.520, 0.204, 0.362",0.5,30.0,1,35
21,0.352007,1.842161,0.409,0.322,0.1000,alpkdce2,"0.499, 0.205, 0.352",0.5,30.0,2,37
22,0.345493,1.855573,0.414,0.334,0.1000,alpkdce2,"0.493, 0.205, 0.349",0.5,30.0,3,38
23,0.341225,1.818651,0.416,0.334,0.1000,alpkdce2,"0.484, 0.206, 0.345",0.5,30.0,4,40
24,0.336996,1.794893,0.423,0.349,0.1000,alpkdce2,"0.468, 0.205, 0.337",0.5,30.0,0,42
25,0.330928,1.817591,0.421,0.340,0.1000,alpkdce2,"0.467, 0.208, 0.338",0.5,30.0,1,44
26,0.326311,1.801391,0.428,0.339,0.1000,alpkdce2,"0.459, 0.208, 0.334",0.5,30.0,2,46
27,0.321475,1.740804,0.428,0.367,0.1000,alpkdce2,"0.439, 0.210, 0.325",0.5,30.0,0,48
28,0.315539,1.796186,0.439,0.349,0.1000,alpkdce2,"0.432, 0.211, 0.321",0.5,30.0,1,49
29,0.314603,1.801537,0.438,0.342,0.1000,alpkdce2,"0.426, 0.212, 0.319",0.5,30.0,2,51
30,0.308387,1.836203,0.444,0.324,0.1000,alpkdce2,"0.418, 0.211, 0.314",0.5,30.0,3,53
31,0.306838,1.778842,0.446,0.360,0.1000,alpkdce2,"0.403, 0.213, 0.308",0.5,30.0,4,55
32,0.301000,1.778163,0.449,0.344,0.1000,alpkdce2,"0.398, 0.215, 0.307",0.5,30.0,5,56
33,0.297769,1.844649,0.458,0.341,0.1000,alpkdce2,"0.397, 0.211, 0.304",0.5,30.0,6,58
34,0.295613,1.763286,0.457,0.354,0.1000,alpkdce2,"0.383, 0.215, 0.299",0.5,30.0,7,60
35,0.292065,1.769925,0.457,0.344,0.1000,alpkdce2,"0.376, 0.215, 0.296",0.5,30.0,8,62
36,0.291015,1.757756,0.462,0.363,0.1000,alpkdce2,"0.378, 0.217, 0.298",0.5,30.0,9,63
37,0.288721,1.749983,0.465,0.371,0.1000,alpkdce2,"0.372, 0.215, 0.294",0.5,30.0,0,65
38,0.284739,1.810075,0.467,0.342,0.1000,alpkdce2,"0.367, 0.216, 0.292",0.5,30.0,1,67
39,0.284638,1.727091,0.469,0.368,0.1000,alpkdce2,"0.369, 0.215, 0.292",0.5,30.0,2,69
40,0.279452,1.786647,0.474,0.355,0.1000,alpkdce2,"0.353, 0.215, 0.284",0.5,30.0,3,70
41,0.281213,1.775442,0.475,0.358,0.1000,alpkdce2,"0.355, 0.217, 0.286",0.5,30.0,4,72
42,0.275544,1.673694,0.482,0.384,0.1000,alpkdce2,"0.348, 0.217, 0.283",0.5,30.0,0,74
43,0.276395,1.750188,0.479,0.371,0.1000,alpkdce2,"0.348, 0.215, 0.281",0.5,30.0,1,76
44,0.274464,1.708220,0.482,0.369,0.1000,alpkdce2,"0.344, 0.218, 0.281",0.5,30.0,2,77
45,0.273026,1.716054,0.482,0.368,0.1000,alpkdce2,"0.344, 0.216, 0.280",0.5,30.0,3,79
46,0.270122,1.722228,0.490,0.372,0.1000,alpkdce2,"0.337, 0.217, 0.277",0.5,30.0,4,81
47,0.268336,1.760733,0.491,0.351,0.1000,alpkdce2,"0.333, 0.217, 0.275",0.5,30.0,5,83
48,0.266053,1.685496,0.495,0.376,0.1000,alpkdce2,"0.323, 0.218, 0.270",0.5,30.0,6,84
49,0.266204,1.770118,0.495,0.350,0.1000,alpkdce2,"0.322, 0.214, 0.268",0.5,30.0,7,86
50,0.263964,1.745891,0.494,0.371,0.1000,alpkdce2,"0.322, 0.219, 0.270",0.5,30.0,8,88
51,0.263863,1.750598,0.497,0.357,0.1000,alpkdce2,"0.321, 0.217, 0.269",0.5,30.0,9,89
52,0.261988,1.707817,0.501,0.373,0.1000,alpkdce2,"0.321, 0.215, 0.268",0.5,30.0,10,91
53,0.262619,1.714715,0.500,0.387,0.1000,alpkdce2,"0.326, 0.216, 0.271",0.5,30.0,0,93
54,0.259562,1.716875,0.501,0.365,0.1000,alpkdce2,"0.311, 0.212, 0.262",0.5,30.0,1,95
55,0.259180,1.774485,0.501,0.364,0.1000,alpkdce2,"0.309, 0.218, 0.264",0.5,30.0,2,97
56,0.256366,1.704453,0.507,0.378,0.1000,alpkdce2,"0.307, 0.216, 0.261",0.5,30.0,3,99
57,0.254656,1.716124,0.510,0.371,0.1000,alpkdce2,"0.303, 0.218, 0.260",0.5,30.0,4,101
58,0.254959,1.839705,0.511,0.349,0.1000,alpkdce2,"0.305, 0.215, 0.260",0.5,30.0,5,102
59,0.255401,1.726222,0.513,0.365,0.1000,alpkdce2,"0.306, 0.215, 0.260",0.5,30.0,6,104
60,0.253193,1.675015,0.511,0.372,0.1000,alpkdce2,"0.297, 0.216, 0.257",0.5,30.0,7,106
61,0.252227,1.695550,0.516,0.387,0.1000,alpkdce2,"0.305, 0.215, 0.260",0.5,30.0,0,108
62,0.252883,1.665813,0.513,0.382,0.1000,alpkdce2,"0.304, 0.216, 0.260",0.5,30.0,1,109
63,0.248777,1.723530,0.522,0.363,0.1000,alpkdce2,"0.293, 0.215, 0.254",0.5,30.0,2,111
64,0.247396,1.681478,0.519,0.388,0.1000,alpkdce2,"0.290, 0.215, 0.253",0.5,30.0,0,113
65,0.247332,1.718102,0.521,0.363,0.1000,alpkdce2,"0.289, 0.214, 0.252",0.5,30.0,1,115
66,0.248336,1.743639,0.522,0.363,0.1000,alpkdce2,"0.299, 0.216, 0.257",0.5,30.0,2,116
67,0.246420,1.688706,0.522,0.379,0.1000,alpkdce2,"0.288, 0.215, 0.252",0.5,30.0,3,118
68,0.245769,1.633742,0.523,0.394,0.1000,alpkdce2,"0.285, 0.215, 0.250",0.5,30.0,0,120
69,0.245657,1.688545,0.524,0.383,0.1000,alpkdce2,"0.291, 0.214, 0.253",0.5,30.0,1,121
70,0.244110,1.669744,0.527,0.387,0.1000,alpkdce2,"0.287, 0.216, 0.251",0.5,30.0,2,123
71,0.242186,1.694874,0.526,0.388,0.1000,alpkdce2,"0.278, 0.214, 0.246",0.5,30.0,3,125
72,0.243156,1.653486,0.530,0.386,0.1000,alpkdce2,"0.286, 0.215, 0.250",0.5,30.0,4,127
73,0.241134,1.653681,0.532,0.390,0.1000,alpkdce2,"0.278, 0.212, 0.245",0.5,30.0,5,128
74,0.240254,1.700913,0.530,0.386,0.1000,alpkdce2,"0.278, 0.214, 0.246",0.5,30.0,6,130
75,0.238927,1.683628,0.535,0.382,0.1000,alpkdce2,"0.279, 0.211, 0.245",0.5,30.0,7,132
76,0.243321,1.645153,0.530,0.394,0.1000,alpkdce2,"0.291, 0.213, 0.252",0.5,30.0,0,134
77,0.235400,1.671075,0.540,0.383,0.1000,alpkdce2,"0.271, 0.212, 0.242",0.5,30.0,1,135
78,0.237934,1.634797,0.535,0.397,0.1000,alpkdce2,"0.274, 0.211, 0.243",0.5,30.0,0,137
79,0.237588,1.718371,0.538,0.361,0.1000,alpkdce2,"0.274, 0.212, 0.243",0.5,30.0,1,139
80,0.237289,1.658087,0.536,0.404,0.1000,alpkdce2,"0.278, 0.212, 0.245",0.5,30.0,0,141
81,0.237136,1.683709,0.538,0.379,0.1000,alpkdce2,"0.273, 0.214, 0.243",0.5,30.0,1,142
