_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.139275,2.096729,0.224,0.224,0.1000,alp,"2.145, 0.037, 2.178",0.9,1.0,0,3
2,2.048626,1.972903,0.255,0.264,0.1000,alp,"2.115, 0.039, 2.149",0.9,1.0,0,6
3,1.975068,1.920888,0.272,0.286,0.1000,alp,"2.105, 0.041, 2.142",0.9,1.0,0,9
4,1.919613,1.836325,0.293,0.303,0.1000,alp,"2.117, 0.046, 2.158",0.9,1.0,0,12
5,1.866318,1.822965,0.303,0.317,0.1000,alp,"2.036, 0.051, 2.082",0.9,1.0,0,15
6,1.847473,1.877410,0.313,0.283,0.1000,alp,"2.019, 0.055, 2.069",0.9,1.0,1,18
7,1.830533,1.770464,0.320,0.328,0.1000,alp,"2.043, 0.055, 2.092",0.9,1.0,0,21
8,1.770135,1.740877,0.332,0.333,0.1000,alp,"1.943, 0.070, 2.006",0.9,1.0,0,24
9,1.767569,1.709244,0.338,0.354,0.1000,alp,"1.898, 0.070, 1.962",0.9,1.0,0,27
10,1.755807,1.657166,0.343,0.390,0.1000,alp,"1.998, 0.061, 2.052",0.9,1.0,0,30
11,1.749048,1.710091,0.353,0.376,0.1000,alp,"1.955, 0.067, 2.015",0.9,1.0,1,33
12,1.689449,1.655209,0.360,0.380,0.1000,alp,"1.954, 0.070, 2.017",0.9,1.0,2,36
13,1.708641,1.651191,0.362,0.379,0.1000,alp,"1.931, 0.070, 1.994",0.9,1.0,3,39
14,1.687089,1.621806,0.368,0.394,0.1000,alp,"1.937, 0.067, 1.998",0.9,1.0,0,43
15,1.650182,1.597685,0.379,0.397,0.1000,alp,"1.898, 0.073, 1.964",0.9,1.0,0,46
16,1.654965,1.628087,0.380,0.404,0.1000,alp,"1.847, 0.079, 1.918",0.9,1.0,0,49
17,1.657120,1.596086,0.384,0.393,0.1000,alp,"1.893, 0.078, 1.964",0.9,1.0,1,52
18,1.648762,1.571950,0.389,0.411,0.1000,alp,"1.861, 0.079, 1.933",0.9,1.0,0,55
19,1.637855,1.624453,0.394,0.407,0.1000,alp,"1.928, 0.070, 1.992",0.9,1.0,1,58
20,1.622153,1.582676,0.398,0.422,0.1000,alp,"1.802, 0.081, 1.875",0.9,1.0,0,61
21,1.648783,1.593153,0.392,0.434,0.1000,alp,"1.880, 0.076, 1.949",0.9,1.0,0,64
22,1.619527,1.567985,0.402,0.424,0.1000,alp,"1.867, 0.079, 1.938",0.9,1.0,1,67
23,1.613896,1.603535,0.407,0.430,0.1000,alp,"1.829, 0.071, 1.892",0.9,1.0,2,70
24,1.575991,1.586152,0.419,0.436,0.1000,alp,"1.873, 0.079, 1.944",0.9,1.0,0,73
25,1.569059,1.585876,0.417,0.432,0.1000,alp,"1.857, 0.078, 1.927",0.9,1.0,1,76
26,1.558390,1.632802,0.424,0.403,0.1000,alp,"1.765, 0.090, 1.846",0.9,1.0,2,80
27,1.595262,1.529454,0.412,0.426,0.1000,alp,"1.715, 0.090, 1.797",0.9,1.0,3,83
28,1.524465,1.522170,0.429,0.447,0.1000,alp,"1.738, 0.095, 1.823",0.9,1.0,0,86
29,1.596438,1.566761,0.413,0.429,0.1000,alp,"1.839, 0.071, 1.903",0.9,1.0,1,89
30,1.524540,1.482513,0.425,0.434,0.1000,alp,"1.692, 0.092, 1.775",0.9,1.0,2,92
31,1.566860,1.564685,0.420,0.457,0.1000,alp,"1.830, 0.081, 1.903",0.9,1.0,0,95
32,1.548370,1.610128,0.429,0.431,0.1000,alp,"1.911, 0.074, 1.977",0.9,1.0,1,98
33,1.535408,1.504333,0.434,0.447,0.1000,alp,"1.795, 0.086, 1.872",0.9,1.0,2,101
34,1.559651,1.595905,0.427,0.446,0.1000,alp,"1.797, 0.081, 1.871",0.9,1.0,3,104
35,1.566967,1.586105,0.424,0.433,0.1000,alp,"1.799, 0.084, 1.875",0.9,1.0,4,107
36,1.547227,1.513698,0.430,0.450,0.1000,alp,"1.770, 0.087, 1.848",0.9,1.0,5,110
37,1.507091,1.586566,0.445,0.457,0.1000,alp,"1.714, 0.091, 1.796",0.9,1.0,6,113
38,1.567554,1.526825,0.431,0.445,0.1000,alp,"1.766, 0.085, 1.842",0.9,1.0,7,116
39,1.527108,1.564539,0.440,0.451,0.1000,alp,"1.863, 0.079, 1.935",0.9,1.0,8,119
40,1.491494,1.544770,0.448,0.429,0.1000,alp,"1.761, 0.094, 1.845",0.9,1.0,9,122
41,1.522548,1.549897,0.443,0.449,0.1000,alp,"1.814, 0.077, 1.884",0.9,1.0,10,126
42,1.567722,1.580095,0.438,0.452,0.1000,alp,"1.820, 0.081, 1.892",0.9,1.0,11,129
43,1.532533,1.543098,0.439,0.452,0.1000,alp,"1.683, 0.097, 1.770",0.9,1.0,12,132
44,1.472895,1.483349,0.456,0.446,0.1000,alp,"1.649, 0.096, 1.736",0.9,1.0,13,135
45,1.472271,1.481451,0.457,0.446,0.1000,alp,"1.705, 0.089, 1.785",0.9,1.0,14,138
46,1.484336,1.522414,0.455,0.457,0.1000,alp,"1.769, 0.084, 1.845",0.9,1.0,15,141
47,1.511646,1.564056,0.447,0.456,0.1000,alp,"1.747, 0.091, 1.829",0.9,1.0,16,144
48,1.472228,1.553531,0.458,0.432,0.1000,alp,"1.776, 0.090, 1.857",0.9,1.0,17,147
49,1.521894,1.507711,0.440,0.465,0.1000,alp,"1.746, 0.088, 1.826",0.9,1.0,0,150
50,1.515912,1.464218,0.451,0.462,0.1000,alp,"1.807, 0.083, 1.882",0.9,1.0,1,153
51,1.526499,1.520309,0.452,0.445,0.1000,alp,"1.747, 0.090, 1.827",0.9,1.0,2,156
52,1.436246,1.524955,0.469,0.437,0.1000,alp,"1.749, 0.090, 1.830",0.9,1.0,3,159
53,1.497368,1.533456,0.454,0.473,0.1000,alp,"1.732, 0.088, 1.811",0.9,1.0,0,162
54,1.435209,1.445539,0.463,0.461,0.1000,alp,"1.725, 0.094, 1.810",0.9,1.0,1,165
