_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,1.962288,2.038596,0.346,0.218,0.1000,alp,"1.861, 0.126, 1.874",0.1,1.0,0,2
2,1.757090,1.988442,0.461,0.250,0.1000,alp,"1.705, 0.150, 1.720",0.1,1.0,0,4
3,1.623631,1.944067,0.536,0.269,0.1000,alp,"1.579, 0.176, 1.596",0.1,1.0,0,6
4,1.522726,1.928091,0.593,0.257,0.1000,alp,"1.491, 0.203, 1.511",0.1,1.0,1,9
5,1.443725,1.843519,0.639,0.302,0.1000,alp,"1.415, 0.222, 1.437",0.1,1.0,0,11
6,1.378727,1.791965,0.670,0.319,0.1000,alp,"1.344, 0.237, 1.368",0.1,1.0,0,14
7,1.332018,1.728829,0.695,0.336,0.1000,alp,"1.288, 0.255, 1.313",0.1,1.0,0,16
8,1.290216,1.698271,0.717,0.350,0.1000,alp,"1.258, 0.263, 1.284",0.1,1.0,0,18
9,1.252326,1.677874,0.729,0.357,0.1000,alp,"1.216, 0.274, 1.243",0.1,1.0,0,21
10,1.219131,1.735368,0.748,0.345,0.1000,alp,"1.192, 0.282, 1.220",0.1,1.0,1,23
11,1.195811,1.637853,0.758,0.364,0.1000,alp,"1.173, 0.291, 1.202",0.1,1.0,0,25
12,1.171703,1.767300,0.768,0.332,0.1000,alp,"1.150, 0.307, 1.180",0.1,1.0,1,28
13,1.145944,1.658949,0.782,0.375,0.1000,alp,"1.113, 0.328, 1.146",0.1,1.0,0,30
14,1.123250,1.707028,0.790,0.357,0.1000,alp,"1.094, 0.346, 1.129",0.1,1.0,1,32
15,1.102074,1.621238,0.798,0.391,0.1000,alp,"1.070, 0.356, 1.105",0.1,1.0,0,35
16,1.078714,1.602112,0.807,0.387,0.1000,alp,"1.052, 0.395, 1.092",0.1,1.0,1,37
17,1.062180,1.663658,0.817,0.370,0.1000,alp,"1.020, 0.407, 1.061",0.1,1.0,2,39
18,1.044985,1.550887,0.822,0.402,0.1000,alp,"1.000, 0.431, 1.043",0.1,1.0,0,42
19,1.030169,1.623851,0.829,0.379,0.1000,alp,"0.984, 0.453, 1.029",0.1,1.0,1,44
20,1.018862,1.602514,0.836,0.384,0.1000,alp,"0.980, 0.440, 1.024",0.1,1.0,2,46
21,0.999802,1.626232,0.843,0.383,0.1000,alp,"0.966, 0.455, 1.011",0.1,1.0,3,49
22,0.990825,1.618873,0.848,0.396,0.1000,alp,"0.954, 0.444, 0.999",0.1,1.0,4,51
23,0.972276,1.631596,0.853,0.374,0.1000,alp,"0.925, 0.490, 0.974",0.1,1.0,5,54
24,0.965717,1.555858,0.857,0.407,0.1000,alp,"0.923, 0.492, 0.972",0.1,1.0,0,56
25,0.949759,1.631173,0.865,0.388,0.1000,alp,"0.913, 0.505, 0.964",0.1,1.0,1,58
26,0.937378,1.633423,0.871,0.374,0.1000,alp,"0.893, 0.527, 0.946",0.1,1.0,2,61
27,0.932554,1.600761,0.871,0.400,0.1000,alp,"0.881, 0.519, 0.933",0.1,1.0,3,63
28,0.917752,1.645874,0.877,0.374,0.1000,alp,"0.879, 0.542, 0.933",0.1,1.0,4,65
29,0.910314,1.617692,0.881,0.384,0.1000,alp,"0.875, 0.534, 0.929",0.1,1.0,5,68
30,0.914926,1.618047,0.881,0.387,0.1000,alp,"0.879, 0.527, 0.932",0.1,1.0,6,70
31,0.901575,1.601819,0.885,0.381,0.1000,alp,"0.854, 0.535, 0.907",0.1,1.0,7,72
32,0.886209,1.560607,0.890,0.411,0.1000,alp,"0.850, 0.559, 0.906",0.1,1.0,0,75
33,0.876269,1.540896,0.895,0.419,0.1000,alp,"0.829, 0.565, 0.885",0.1,1.0,0,77
34,0.871497,1.562605,0.898,0.409,0.1000,alp,"0.835, 0.557, 0.891",0.1,1.0,1,80
35,0.875190,1.633117,0.893,0.389,0.1000,alp,"0.845, 0.537, 0.898",0.1,1.0,2,82
36,0.858543,1.678497,0.901,0.378,0.1000,alp,"0.807, 0.568, 0.864",0.1,1.0,3,84
37,0.856413,1.534132,0.903,0.415,0.1000,alp,"0.812, 0.588, 0.870",0.1,1.0,4,87
38,0.853635,1.553404,0.903,0.414,0.1000,alp,"0.813, 0.559, 0.869",0.1,1.0,5,89
39,0.825570,1.595650,0.913,0.403,0.1000,alp,"0.769, 0.600, 0.829",0.1,1.0,6,92
40,0.829601,1.568992,0.913,0.410,0.1000,alp,"0.795, 0.584, 0.853",0.1,1.0,7,94
41,0.817162,1.526863,0.916,0.426,0.1000,alp,"0.776, 0.616, 0.838",0.1,1.0,0,96
42,0.832504,1.620536,0.912,0.399,0.1000,alp,"0.776, 0.588, 0.835",0.1,1.0,1,99
43,0.824226,1.642102,0.916,0.393,0.1000,alp,"0.779, 0.592, 0.838",0.1,1.0,2,101
44,0.813293,1.554955,0.918,0.421,0.1000,alp,"0.764, 0.600, 0.824",0.1,1.0,3,104
45,0.805070,1.532551,0.922,0.416,0.1000,alp,"0.766, 0.585, 0.824",0.1,1.0,4,106
46,0.798116,1.601734,0.924,0.392,0.1000,alp,"0.747, 0.625, 0.810",0.1,1.0,5,108
47,0.792253,1.576727,0.925,0.393,0.1000,alp,"0.743, 0.625, 0.806",0.1,1.0,6,111
48,0.792882,1.545628,0.925,0.424,0.1000,alp,"0.739, 0.611, 0.800",0.1,1.0,7,113
49,0.779574,1.658352,0.930,0.397,0.1000,alp,"0.725, 0.638, 0.789",0.1,1.0,8,115
50,0.782822,1.572448,0.929,0.411,0.1000,alp,"0.738, 0.618, 0.799",0.1,1.0,9,118
51,0.773472,1.498518,0.933,0.439,0.1000,alp,"0.724, 0.636, 0.788",0.1,1.0,0,120
52,0.771516,1.641865,0.931,0.387,0.1000,alp,"0.727, 0.616, 0.788",0.1,1.0,1,123
53,0.775985,1.593095,0.931,0.410,0.1000,alp,"0.726, 0.621, 0.789",0.1,1.0,2,125
54,0.779897,1.572667,0.931,0.427,0.1000,alp,"0.720, 0.616, 0.781",0.1,1.0,3,127
55,0.766484,1.593614,0.934,0.409,0.1000,alp,"0.729, 0.598, 0.789",0.1,1.0,4,130
56,0.761865,1.583865,0.936,0.434,0.1000,alp,"0.701, 0.626, 0.764",0.1,1.0,5,132
57,0.763454,1.708200,0.932,0.378,0.1000,alp,"0.717, 0.612, 0.778",0.1,1.0,6,135
58,0.756675,1.592473,0.938,0.399,0.1000,alp,"0.702, 0.629, 0.765",0.1,1.0,7,137
59,0.736853,1.686112,0.942,0.400,0.1000,alp,"0.690, 0.626, 0.753",0.1,1.0,8,139
60,0.747821,1.554969,0.941,0.424,0.1000,alp,"0.700, 0.623, 0.763",0.1,1.0,9,142
61,0.739148,1.599714,0.943,0.415,0.1000,alp,"0.678, 0.649, 0.743",0.1,1.0,10,144
62,0.750983,1.664619,0.940,0.410,0.1000,alp,"0.703, 0.624, 0.766",0.1,1.0,11,147
63,0.725677,1.607873,0.945,0.407,0.1000,alp,"0.678, 0.653, 0.743",0.1,1.0,12,149
64,0.737736,1.624099,0.943,0.408,0.1000,alp,"0.672, 0.644, 0.737",0.1,1.0,13,151
65,0.727667,1.591885,0.945,0.415,0.1000,alp,"0.694, 0.626, 0.757",0.1,1.0,14,154
66,0.721184,1.652914,0.948,0.394,0.1000,alp,"0.673, 0.631, 0.736",0.1,1.0,15,156
67,0.723325,1.652753,0.946,0.398,0.1000,alp,"0.672, 0.636, 0.735",0.1,1.0,16,159
68,0.726600,1.670812,0.948,0.400,0.1000,alp,"0.680, 0.631, 0.743",0.1,1.0,17,161
69,0.723308,1.646433,0.947,0.417,0.1000,alp,"0.678, 0.632, 0.741",0.1,1.0,18,164
70,0.709130,1.594264,0.951,0.421,0.1000,alp,"0.661, 0.650, 0.726",0.1,1.0,19,166
71,0.710057,1.657757,0.949,0.412,0.1000,alp,"0.666, 0.626, 0.729",0.1,1.0,20,168
72,0.717315,1.595946,0.949,0.421,0.1000,alp,"0.656, 0.653, 0.722",0.1,1.0,21,171
73,0.709462,1.708073,0.951,0.402,0.1000,alp,"0.656, 0.641, 0.720",0.1,1.0,22,173
74,0.696368,1.608335,0.953,0.431,0.1000,alp,"0.646, 0.642, 0.710",0.1,1.0,23,176
75,0.702971,1.673330,0.952,0.394,0.1000,alp,"0.664, 0.632, 0.727",0.1,1.0,24,178
76,0.695917,1.581593,0.955,0.414,0.1000,alp,"0.638, 0.655, 0.703",0.1,1.0,25,180
77,0.692926,1.574347,0.954,0.425,0.1000,alp,"0.650, 0.647, 0.714",0.1,1.0,26,183
78,0.697265,1.618475,0.954,0.425,0.1000,alp,"0.655, 0.634, 0.719",0.1,1.0,27,185
79,0.699756,1.793116,0.953,0.377,0.1000,alp,"0.654, 0.636, 0.718",0.1,1.0,28,188
80,0.686868,1.609877,0.956,0.414,0.1000,alp,"0.636, 0.640, 0.700",0.1,1.0,29,190
81,0.686210,1.568156,0.957,0.437,0.1000,alp,"0.628, 0.654, 0.693",0.1,1.0,30,192
82,0.689569,1.746339,0.955,0.384,0.1000,alp,"0.646, 0.643, 0.710",0.1,1.0,31,195
83,0.687620,1.629341,0.956,0.406,0.1000,alp,"0.636, 0.642, 0.700",0.1,1.0,32,197
84,0.684681,1.701185,0.956,0.394,0.1000,alp,"0.651, 0.623, 0.713",0.1,1.0,33,200
85,0.670264,1.653196,0.960,0.406,0.1000,alp,"0.623, 0.644, 0.688",0.1,1.0,34,202
86,0.671231,1.612682,0.959,0.422,0.1000,alp,"0.628, 0.648, 0.693",0.1,1.0,35,204
87,0.680932,1.635239,0.957,0.425,0.1000,alp,"0.628, 0.644, 0.692",0.1,1.0,36,207
88,0.672064,1.648404,0.960,0.408,0.1000,alp,"0.633, 0.634, 0.696",0.1,1.0,37,209
89,0.668048,1.663838,0.961,0.409,0.1000,alp,"0.625, 0.637, 0.689",0.1,1.0,38,212
90,0.664814,1.647852,0.959,0.403,0.1000,alp,"0.608, 0.648, 0.673",0.1,1.0,39,214
91,0.658100,1.602262,0.962,0.430,0.1000,alp,"0.600, 0.660, 0.666",0.1,1.0,40,216
92,0.653618,1.619663,0.962,0.408,0.1000,alp,"0.613, 0.655, 0.679",0.1,1.0,41,219
93,0.657006,1.657289,0.963,0.415,0.1000,alp,"0.599, 0.666, 0.665",0.1,1.0,42,221
94,0.668615,1.666551,0.959,0.411,0.1000,alp,"0.642, 0.618, 0.704",0.1,1.0,43,223
95,0.656770,1.606127,0.962,0.421,0.1000,alp,"0.605, 0.651, 0.670",0.1,1.0,44,226
96,0.666756,1.634501,0.959,0.427,0.1000,alp,"0.623, 0.641, 0.687",0.1,1.0,45,228
97,0.657861,1.642106,0.962,0.419,0.1000,alp,"0.627, 0.631, 0.690",0.1,1.0,46,231
98,0.653301,1.634213,0.964,0.422,0.1000,alp,"0.603, 0.642, 0.667",0.1,1.0,47,233
99,0.648852,1.619990,0.963,0.416,0.1000,alp,"0.605, 0.644, 0.669",0.1,1.0,48,236
100,0.645427,1.615878,0.966,0.427,0.1000,alp,"0.598, 0.642, 0.662",0.1,1.0,49,238
101,0.515945,1.543751,0.988,0.468,0.0100,alp,"0.427, 0.657, 0.493",0.1,1.0,0,240
102,0.460478,1.603164,0.994,0.463,0.0100,alp,"0.392, 0.646, 0.456",0.1,1.0,1,243
103,0.439233,1.619786,0.995,0.458,0.0100,alp,"0.374, 0.635, 0.438",0.1,1.0,2,245
104,0.424420,1.660595,0.996,0.457,0.0100,alp,"0.362, 0.638, 0.426",0.1,1.0,3,248
105,0.413194,1.667111,0.996,0.464,0.0100,alp,"0.352, 0.631, 0.415",0.1,1.0,4,250
106,0.405963,1.680910,0.997,0.460,0.0100,alp,"0.346, 0.621, 0.408",0.1,1.0,5,252
107,0.396679,1.682749,0.997,0.463,0.0100,alp,"0.338, 0.625, 0.401",0.1,1.0,6,255
108,0.389075,1.724222,0.997,0.455,0.0100,alp,"0.328, 0.618, 0.389",0.1,1.0,7,257
109,0.384743,1.732148,0.998,0.456,0.0100,alp,"0.324, 0.615, 0.386",0.1,1.0,8,260
110,0.376448,1.752569,0.998,0.454,0.0100,alp,"0.315, 0.605, 0.376",0.1,1.0,9,262
111,0.370456,1.781473,0.998,0.455,0.0100,alp,"0.311, 0.604, 0.371",0.1,1.0,10,264
112,0.363783,1.789573,0.998,0.446,0.0100,alp,"0.307, 0.605, 0.367",0.1,1.0,11,267
113,0.359956,1.798803,0.999,0.452,0.0100,alp,"0.302, 0.608, 0.363",0.1,1.0,12,269
114,0.355947,1.793393,0.999,0.456,0.0100,alp,"0.302, 0.602, 0.362",0.1,1.0,13,272
115,0.348566,1.802030,0.999,0.456,0.0100,alp,"0.293, 0.601, 0.353",0.1,1.0,14,274
116,0.343945,1.821841,0.999,0.450,0.0100,alp,"0.289, 0.595, 0.349",0.1,1.0,15,276
117,0.338446,1.843222,0.999,0.445,0.0100,alp,"0.282, 0.587, 0.341",0.1,1.0,16,279
118,0.335130,1.840877,0.999,0.449,0.0100,alp,"0.282, 0.590, 0.341",0.1,1.0,17,281
119,0.330886,1.842232,0.999,0.447,0.0100,alp,"0.272, 0.583, 0.331",0.1,1.0,18,284
120,0.326458,1.872985,0.999,0.452,0.0100,alp,"0.272, 0.583, 0.330",0.1,1.0,19,286
121,0.322362,1.922907,0.999,0.444,0.0100,alp,"0.266, 0.582, 0.324",0.1,1.0,20,288
122,0.320412,1.875072,0.999,0.452,0.0100,alp,"0.265, 0.578, 0.323",0.1,1.0,21,291
123,0.315068,1.910159,0.999,0.444,0.0100,alp,"0.262, 0.572, 0.320",0.1,1.0,22,293
124,0.311698,1.905345,0.999,0.446,0.0100,alp,"0.259, 0.577, 0.317",0.1,1.0,23,296
125,0.306571,1.933519,0.999,0.446,0.0100,alp,"0.251, 0.572, 0.309",0.1,1.0,24,298
126,0.303984,1.968190,0.999,0.438,0.0100,alp,"0.251, 0.571, 0.308",0.1,1.0,25,300
127,0.302153,1.919964,0.999,0.446,0.0100,alp,"0.246, 0.560, 0.302",0.1,1.0,26,303
128,0.297316,1.982310,0.999,0.434,0.0100,alp,"0.246, 0.564, 0.302",0.1,1.0,27,305
129,0.292585,1.990271,0.999,0.442,0.0100,alp,"0.244, 0.565, 0.300",0.1,1.0,28,308
130,0.289999,1.974769,0.999,0.442,0.0100,alp,"0.235, 0.556, 0.290",0.1,1.0,29,310
131,0.286782,2.006225,0.999,0.437,0.0100,alp,"0.235, 0.553, 0.290",0.1,1.0,30,312
132,0.282766,2.025909,0.999,0.441,0.0100,alp,"0.231, 0.553, 0.287",0.1,1.0,31,315
133,0.281252,2.063345,0.999,0.437,0.0100,alp,"0.229, 0.549, 0.284",0.1,1.0,32,317
134,0.277531,2.050749,0.999,0.437,0.0100,alp,"0.229, 0.556, 0.284",0.1,1.0,33,320
135,0.274500,2.066142,0.999,0.434,0.0100,alp,"0.222, 0.545, 0.277",0.1,1.0,34,322
136,0.272102,2.061488,0.999,0.429,0.0100,alp,"0.225, 0.542, 0.279",0.1,1.0,35,324
137,0.269160,2.075477,1.000,0.429,0.0100,alp,"0.218, 0.546, 0.272",0.1,1.0,36,327
138,0.266248,2.068017,1.000,0.430,0.0100,alp,"0.216, 0.540, 0.270",0.1,1.0,37,329
139,0.261435,2.102572,1.000,0.448,0.0100,alp,"0.215, 0.536, 0.268",0.1,1.0,38,332
140,0.262265,2.128743,0.999,0.432,0.0100,alp,"0.216, 0.539, 0.270",0.1,1.0,39,334
141,0.257163,2.098875,1.000,0.432,0.0100,alp,"0.207, 0.529, 0.260",0.1,1.0,40,336
142,0.257203,2.143450,1.000,0.434,0.0100,alp,"0.209, 0.531, 0.262",0.1,1.0,41,339
143,0.253800,2.138656,1.000,0.431,0.0100,alp,"0.206, 0.531, 0.259",0.1,1.0,42,341
144,0.250466,2.161487,1.000,0.435,0.0100,alp,"0.204, 0.529, 0.257",0.1,1.0,43,344
145,0.247140,2.183827,1.000,0.429,0.0100,alp,"0.198, 0.523, 0.250",0.1,1.0,44,346
146,0.247297,2.112657,1.000,0.442,0.0100,alp,"0.202, 0.527, 0.255",0.1,1.0,45,348
147,0.243667,2.200450,1.000,0.435,0.0100,alp,"0.195, 0.525, 0.248",0.1,1.0,46,351
148,0.241105,2.183505,1.000,0.432,0.0100,alp,"0.194, 0.516, 0.246",0.1,1.0,47,353
149,0.238719,2.224094,1.000,0.432,0.0100,alp,"0.191, 0.512, 0.242",0.1,1.0,48,356
150,0.236744,2.166386,1.000,0.429,0.0100,alp,"0.188, 0.517, 0.240",0.1,1.0,49,358
151,0.212660,2.210216,1.000,0.433,0.0010,alp,"0.160, 0.484, 0.208",0.1,1.0,50,360
152,0.202854,2.200573,1.000,0.437,0.0010,alp,"0.156, 0.486, 0.204",0.1,1.0,51,363
153,0.198970,2.257815,1.000,0.428,0.0010,alp,"0.152, 0.480, 0.200",0.1,1.0,52,365
154,0.197375,2.247192,1.000,0.435,0.0010,alp,"0.152, 0.482, 0.200",0.1,1.0,53,368
155,0.195114,2.257501,1.000,0.434,0.0010,alp,"0.148, 0.482, 0.196",0.1,1.0,54,370
156,0.193916,2.239301,1.000,0.428,0.0010,alp,"0.146, 0.475, 0.193",0.1,1.0,55,372
157,0.191824,2.315197,1.000,0.435,0.0010,alp,"0.143, 0.474, 0.190",0.1,1.0,56,375
158,0.192023,2.291800,1.000,0.433,0.0010,alp,"0.148, 0.475, 0.195",0.1,1.0,57,377
159,0.189319,2.279405,1.000,0.433,0.0010,alp,"0.144, 0.473, 0.192",0.1,1.0,58,380
160,0.187951,2.315281,1.000,0.429,0.0010,alp,"0.142, 0.477, 0.190",0.1,1.0,59,382
161,0.187716,2.316250,1.000,0.427,0.0010,alp,"0.145, 0.474, 0.192",0.1,1.0,60,385
162,0.187065,2.308045,1.000,0.432,0.0010,alp,"0.141, 0.471, 0.188",0.1,1.0,61,387
163,0.185506,2.304798,1.000,0.435,0.0010,alp,"0.140, 0.472, 0.188",0.1,1.0,62,389
164,0.184756,2.283398,1.000,0.433,0.0010,alp,"0.136, 0.461, 0.182",0.1,1.0,63,392
165,0.183524,2.311893,1.000,0.433,0.0010,alp,"0.137, 0.459, 0.183",0.1,1.0,64,394
166,0.182803,2.327877,1.000,0.425,0.0010,alp,"0.138, 0.469, 0.185",0.1,1.0,65,397
167,0.182392,2.325135,1.000,0.429,0.0010,alp,"0.139, 0.473, 0.186",0.1,1.0,66,399
168,0.181475,2.318516,1.000,0.428,0.0010,alp,"0.136, 0.464, 0.183",0.1,1.0,67,401
169,0.180954,2.321605,1.000,0.428,0.0010,alp,"0.136, 0.461, 0.182",0.1,1.0,68,404
170,0.180457,2.374713,1.000,0.436,0.0010,alp,"0.135, 0.463, 0.181",0.1,1.0,69,406
171,0.179014,2.341931,1.000,0.433,0.0010,alp,"0.133, 0.459, 0.178",0.1,1.0,70,409
172,0.179565,2.346448,1.000,0.435,0.0010,alp,"0.137, 0.464, 0.184",0.1,1.0,71,411
173,0.177533,2.331939,1.000,0.430,0.0010,alp,"0.132, 0.461, 0.178",0.1,1.0,72,413
