_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.005749,2.032608,0.330,0.223,0.1000,alp,"1.870, 0.078, 1.910",0.5,1.0,0,2
2,1.795453,1.950675,0.452,0.252,0.1000,alp,"1.720, 0.094, 1.767",0.5,1.0,0,4
3,1.675778,1.887573,0.520,0.276,0.1000,alp,"1.596, 0.109, 1.650",0.5,1.0,0,7
4,1.586289,1.834382,0.576,0.309,0.1000,alp,"1.512, 0.122, 1.574",0.5,1.0,0,9
5,1.515909,1.745738,0.613,0.338,0.1000,alp,"1.433, 0.132, 1.499",0.5,1.0,0,11
6,1.457385,1.778905,0.646,0.311,0.1000,alp,"1.378, 0.140, 1.448",0.5,1.0,1,14
7,1.417808,1.728519,0.672,0.340,0.1000,alp,"1.340, 0.146, 1.413",0.5,1.0,0,16
8,1.373889,1.699665,0.693,0.354,0.1000,alp,"1.297, 0.154, 1.374",0.5,1.0,0,18
9,1.342329,1.677766,0.708,0.366,0.1000,alp,"1.267, 0.156, 1.346",0.5,1.0,0,21
10,1.314073,1.633382,0.719,0.370,0.1000,alp,"1.233, 0.163, 1.314",0.5,1.0,0,23
11,1.283201,1.702797,0.734,0.362,0.1000,alp,"1.202, 0.165, 1.284",0.5,1.0,1,25
12,1.262880,1.596781,0.747,0.386,0.1000,alp,"1.183, 0.168, 1.267",0.5,1.0,0,28
13,1.241702,1.572070,0.754,0.396,0.1000,alp,"1.153, 0.173, 1.239",0.5,1.0,0,30
14,1.224960,1.560595,0.760,0.397,0.1000,alp,"1.135, 0.175, 1.222",0.5,1.0,0,32
15,1.208421,1.528327,0.770,0.406,0.1000,alp,"1.125, 0.180, 1.216",0.5,1.0,0,35
16,1.190319,1.532423,0.777,0.403,0.1000,alp,"1.103, 0.183, 1.194",0.5,1.0,1,37
17,1.178181,1.560219,0.783,0.402,0.1000,alp,"1.086, 0.185, 1.178",0.5,1.0,2,40
18,1.160246,1.514584,0.790,0.415,0.1000,alp,"1.068, 0.185, 1.160",0.5,1.0,0,42
19,1.144795,1.507829,0.799,0.417,0.1000,alp,"1.048, 0.191, 1.143",0.5,1.0,0,44
20,1.133068,1.502110,0.804,0.419,0.1000,alp,"1.043, 0.192, 1.139",0.5,1.0,0,47
21,1.119002,1.548704,0.809,0.403,0.1000,alp,"1.032, 0.193, 1.128",0.5,1.0,1,49
22,1.108052,1.546237,0.815,0.415,0.1000,alp,"1.019, 0.195, 1.117",0.5,1.0,2,51
23,1.100535,1.549011,0.820,0.411,0.1000,alp,"1.004, 0.199, 1.104",0.5,1.0,3,54
24,1.081047,1.559007,0.824,0.409,0.1000,alp,"0.984, 0.202, 1.085",0.5,1.0,4,56
25,1.075451,1.513701,0.827,0.419,0.1000,alp,"0.979, 0.203, 1.081",0.5,1.0,5,58
26,1.064400,1.505985,0.833,0.419,0.1000,alp,"0.965, 0.204, 1.067",0.5,1.0,6,61
27,1.052683,1.505087,0.837,0.426,0.1000,alp,"0.953, 0.207, 1.057",0.5,1.0,0,63
28,1.044067,1.491820,0.839,0.431,0.1000,alp,"0.953, 0.206, 1.056",0.5,1.0,0,65
29,1.036998,1.519655,0.843,0.423,0.1000,alp,"0.933, 0.212, 1.039",0.5,1.0,1,68
30,1.030877,1.508371,0.846,0.418,0.1000,alp,"0.931, 0.208, 1.035",0.5,1.0,2,70
31,1.021110,1.501613,0.848,0.433,0.1000,alp,"0.929, 0.211, 1.034",0.5,1.0,0,72
32,1.014875,1.507638,0.852,0.416,0.1000,alp,"0.932, 0.211, 1.038",0.5,1.0,1,75
33,1.005987,1.535054,0.855,0.410,0.1000,alp,"0.903, 0.214, 1.010",0.5,1.0,2,77
34,0.999790,1.509455,0.858,0.429,0.1000,alp,"0.899, 0.217, 1.007",0.5,1.0,3,79
35,0.992104,1.494828,0.860,0.433,0.1000,alp,"0.898, 0.216, 1.006",0.5,1.0,4,82
36,0.984972,1.511943,0.863,0.426,0.1000,alp,"0.883, 0.222, 0.994",0.5,1.0,5,84
37,0.974308,1.457146,0.868,0.448,0.1000,alp,"0.873, 0.221, 0.984",0.5,1.0,0,86
38,0.974164,1.492068,0.870,0.433,0.1000,alp,"0.873, 0.220, 0.983",0.5,1.0,1,89
39,0.966642,1.491849,0.872,0.435,0.1000,alp,"0.869, 0.224, 0.981",0.5,1.0,2,91
40,0.958327,1.500084,0.875,0.443,0.1000,alp,"0.857, 0.223, 0.969",0.5,1.0,3,94
41,0.955934,1.458735,0.876,0.442,0.1000,alp,"0.859, 0.225, 0.971",0.5,1.0,4,96
42,0.947424,1.530601,0.881,0.418,0.1000,alp,"0.844, 0.230, 0.958",0.5,1.0,5,98
43,0.946336,1.525801,0.880,0.429,0.1000,alp,"0.856, 0.224, 0.969",0.5,1.0,6,101
44,0.932350,1.493879,0.884,0.438,0.1000,alp,"0.833, 0.227, 0.947",0.5,1.0,7,103
45,0.931685,1.504507,0.883,0.438,0.1000,alp,"0.829, 0.227, 0.943",0.5,1.0,8,105
46,0.924762,1.461362,0.887,0.440,0.1000,alp,"0.828, 0.229, 0.942",0.5,1.0,9,108
47,0.921462,1.550194,0.887,0.431,0.1000,alp,"0.818, 0.227, 0.932",0.5,1.0,10,110
48,0.916996,1.541648,0.892,0.421,0.1000,alp,"0.818, 0.231, 0.933",0.5,1.0,11,112
49,0.914214,1.533836,0.891,0.436,0.1000,alp,"0.811, 0.230, 0.926",0.5,1.0,12,115
50,0.907036,1.485756,0.894,0.445,0.1000,alp,"0.814, 0.231, 0.930",0.5,1.0,13,117
51,0.898857,1.479893,0.895,0.434,0.1000,alp,"0.801, 0.231, 0.917",0.5,1.0,14,119
52,0.895694,1.549374,0.896,0.419,0.1000,alp,"0.794, 0.231, 0.909",0.5,1.0,15,122
53,0.891783,1.523966,0.899,0.438,0.1000,alp,"0.788, 0.235, 0.905",0.5,1.0,16,124
54,0.892093,1.503461,0.900,0.435,0.1000,alp,"0.788, 0.234, 0.905",0.5,1.0,17,126
55,0.886890,1.541613,0.901,0.429,0.1000,alp,"0.785, 0.235, 0.903",0.5,1.0,18,129
56,0.879048,1.490199,0.903,0.434,0.1000,alp,"0.773, 0.236, 0.891",0.5,1.0,19,131
57,0.876387,1.513697,0.906,0.437,0.1000,alp,"0.775, 0.237, 0.894",0.5,1.0,20,133
58,0.872775,1.550848,0.907,0.430,0.1000,alp,"0.775, 0.236, 0.893",0.5,1.0,21,136
59,0.870895,1.548370,0.906,0.431,0.1000,alp,"0.772, 0.238, 0.890",0.5,1.0,22,138
60,0.865104,1.551769,0.909,0.431,0.1000,alp,"0.761, 0.239, 0.881",0.5,1.0,23,140
61,0.861689,1.510998,0.910,0.442,0.1000,alp,"0.756, 0.238, 0.875",0.5,1.0,24,143
62,0.860158,1.491868,0.912,0.449,0.1000,alp,"0.758, 0.236, 0.876",0.5,1.0,0,145
63,0.852856,1.482931,0.914,0.452,0.1000,alp,"0.753, 0.240, 0.873",0.5,1.0,0,148
64,0.849541,1.508252,0.915,0.435,0.1000,alp,"0.748, 0.239, 0.868",0.5,1.0,1,150
65,0.845760,1.477148,0.916,0.451,0.1000,alp,"0.738, 0.240, 0.858",0.5,1.0,2,152
66,0.842287,1.553678,0.916,0.436,0.1000,alp,"0.739, 0.240, 0.859",0.5,1.0,3,155
67,0.844382,1.578608,0.918,0.431,0.1000,alp,"0.742, 0.239, 0.861",0.5,1.0,4,157
68,0.838926,1.559707,0.918,0.431,0.1000,alp,"0.730, 0.242, 0.851",0.5,1.0,5,159
69,0.835907,1.464727,0.918,0.456,0.1000,alp,"0.731, 0.243, 0.852",0.5,1.0,0,162
70,0.831392,1.521903,0.921,0.441,0.1000,alp,"0.730, 0.240, 0.851",0.5,1.0,1,164
71,0.827247,1.479348,0.922,0.460,0.1000,alp,"0.727, 0.243, 0.849",0.5,1.0,0,166
72,0.827343,1.614715,0.921,0.412,0.1000,alp,"0.723, 0.245, 0.846",0.5,1.0,1,169
73,0.822621,1.521432,0.924,0.435,0.1000,alp,"0.715, 0.242, 0.836",0.5,1.0,2,171
74,0.819971,1.551936,0.924,0.439,0.1000,alp,"0.717, 0.245, 0.840",0.5,1.0,3,173
75,0.816610,1.524409,0.925,0.429,0.1000,alp,"0.713, 0.243, 0.835",0.5,1.0,4,176
76,0.811717,1.552549,0.925,0.427,0.1000,alp,"0.711, 0.242, 0.832",0.5,1.0,5,178
77,0.816363,1.550602,0.925,0.433,0.1000,alp,"0.706, 0.240, 0.826",0.5,1.0,6,180
78,0.813393,1.554371,0.926,0.427,0.1000,alp,"0.709, 0.241, 0.829",0.5,1.0,7,183
79,0.803614,1.632256,0.930,0.425,0.1000,alp,"0.701, 0.240, 0.821",0.5,1.0,8,185
80,0.797627,1.574283,0.931,0.430,0.1000,alp,"0.689, 0.245, 0.812",0.5,1.0,9,187
81,0.800920,1.555866,0.931,0.441,0.1000,alp,"0.696, 0.245, 0.819",0.5,1.0,10,190
82,0.798907,1.539168,0.930,0.447,0.1000,alp,"0.696, 0.243, 0.818",0.5,1.0,11,192
83,0.797398,1.546679,0.930,0.435,0.1000,alp,"0.696, 0.245, 0.818",0.5,1.0,12,194
84,0.792180,1.510277,0.931,0.445,0.1000,alp,"0.686, 0.245, 0.808",0.5,1.0,13,197
85,0.790771,1.514639,0.933,0.442,0.1000,alp,"0.685, 0.246, 0.808",0.5,1.0,14,199
86,0.788248,1.558174,0.932,0.440,0.1000,alp,"0.682, 0.246, 0.806",0.5,1.0,15,202
87,0.787898,1.568275,0.933,0.429,0.1000,alp,"0.683, 0.244, 0.805",0.5,1.0,16,204
88,0.779851,1.579346,0.936,0.436,0.1000,alp,"0.666, 0.247, 0.790",0.5,1.0,17,206
89,0.779747,1.587229,0.935,0.432,0.1000,alp,"0.682, 0.245, 0.805",0.5,1.0,18,209
90,0.778396,1.549928,0.938,0.429,0.1000,alp,"0.670, 0.248, 0.794",0.5,1.0,19,211
91,0.774027,1.595855,0.938,0.422,0.1000,alp,"0.666, 0.245, 0.789",0.5,1.0,20,213
92,0.770753,1.558640,0.940,0.434,0.1000,alp,"0.667, 0.249, 0.792",0.5,1.0,21,216
93,0.772888,1.591332,0.939,0.430,0.1000,alp,"0.664, 0.248, 0.788",0.5,1.0,22,218
