_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,0.207415,1.998368,0.217,0.260,0.1000,alpkdce1,"1.915, 0.009, 0.200",0.9,1.0,0,3
2,0.193106,1.901866,0.282,0.284,0.1000,alpkdce1,"1.792, 0.012, 0.190",0.9,1.0,0,6
3,0.186023,1.834874,0.313,0.306,0.1000,alpkdce1,"1.714, 0.014, 0.184",0.9,1.0,0,10
4,0.181045,1.783737,0.340,0.341,0.1000,alpkdce1,"1.657, 0.015, 0.179",0.9,1.0,0,13
5,0.176838,1.759893,0.358,0.334,0.1000,alpkdce1,"1.605, 0.016, 0.175",0.9,1.0,1,17
6,0.173278,1.732242,0.374,0.366,0.1000,alpkdce1,"1.558, 0.017, 0.171",0.9,1.0,0,20
7,0.169844,1.677561,0.392,0.379,0.1000,alpkdce1,"1.524, 0.018, 0.169",0.9,1.0,0,23
8,0.167048,1.678337,0.405,0.383,0.1000,alpkdce1,"1.498, 0.019, 0.167",0.9,1.0,0,27
9,0.164418,1.631640,0.417,0.402,0.1000,alpkdce1,"1.465, 0.019, 0.164",0.9,1.0,0,30
10,0.162082,1.594759,0.429,0.412,0.1000,alpkdce1,"1.443, 0.020, 0.162",0.9,1.0,0,34
11,0.159805,1.588292,0.439,0.419,0.1000,alpkdce1,"1.414, 0.020, 0.159",0.9,1.0,0,37
12,0.158027,1.562466,0.448,0.440,0.1000,alpkdce1,"1.396, 0.021, 0.158",0.9,1.0,0,41
13,0.155681,1.609509,0.459,0.414,0.1000,alpkdce1,"1.360, 0.021, 0.155",0.9,1.0,1,44
14,0.153850,1.539398,0.469,0.439,0.1000,alpkdce1,"1.345, 0.021, 0.154",0.9,1.0,2,47
15,0.152528,1.542715,0.474,0.447,0.1000,alpkdce1,"1.338, 0.021, 0.153",0.9,1.0,0,51
16,0.150580,1.533415,0.482,0.444,0.1000,alpkdce1,"1.313, 0.022, 0.151",0.9,1.0,1,54
17,0.148908,1.468234,0.490,0.464,0.1000,alpkdce1,"1.290, 0.022, 0.149",0.9,1.0,0,58
18,0.147981,1.489123,0.496,0.460,0.1000,alpkdce1,"1.279, 0.022, 0.147",0.9,1.0,1,61
19,0.146341,1.451002,0.506,0.465,0.1000,alpkdce1,"1.269, 0.022, 0.147",0.9,1.0,0,65
20,0.145394,1.452578,0.506,0.476,0.1000,alpkdce1,"1.259, 0.022, 0.146",0.9,1.0,0,68
21,0.144062,1.421065,0.512,0.482,0.1000,alpkdce1,"1.242, 0.022, 0.144",0.9,1.0,0,71
22,0.143403,1.464082,0.517,0.481,0.1000,alpkdce1,"1.237, 0.022, 0.144",0.9,1.0,1,75
23,0.142245,1.438177,0.524,0.482,0.1000,alpkdce1,"1.223, 0.022, 0.142",0.9,1.0,2,78
24,0.141284,1.429333,0.526,0.475,0.1000,alpkdce1,"1.209, 0.022, 0.141",0.9,1.0,3,82
25,0.140073,1.417066,0.531,0.495,0.1000,alpkdce1,"1.204, 0.022, 0.140",0.9,1.0,0,85
26,0.139064,1.408991,0.537,0.490,0.1000,alpkdce1,"1.185, 0.022, 0.139",0.9,1.0,1,89
27,0.138503,1.422669,0.539,0.491,0.1000,alpkdce1,"1.176, 0.023, 0.138",0.9,1.0,2,92
28,0.137522,1.384958,0.542,0.494,0.1000,alpkdce1,"1.172, 0.023, 0.138",0.9,1.0,3,95
29,0.136596,1.393170,0.549,0.494,0.1000,alpkdce1,"1.163, 0.023, 0.137",0.9,1.0,4,99
30,0.135789,1.391205,0.550,0.493,0.1000,alpkdce1,"1.159, 0.022, 0.136",0.9,1.0,5,102
31,0.135194,1.386358,0.555,0.507,0.1000,alpkdce1,"1.148, 0.023, 0.136",0.9,1.0,0,106
32,0.134499,1.369201,0.558,0.509,0.1000,alpkdce1,"1.150, 0.022, 0.135",0.9,1.0,0,109
33,0.134403,1.376737,0.557,0.502,0.1000,alpkdce1,"1.139, 0.022, 0.134",0.9,1.0,1,113
34,0.133833,1.356125,0.561,0.502,0.1000,alpkdce1,"1.138, 0.023, 0.135",0.9,1.0,2,116
35,0.132226,1.325353,0.566,0.520,0.1000,alpkdce1,"1.122, 0.022, 0.132",0.9,1.0,0,119
36,0.132730,1.354925,0.565,0.509,0.1000,alpkdce1,"1.117, 0.023, 0.132",0.9,1.0,1,123
37,0.131673,1.344456,0.569,0.516,0.1000,alpkdce1,"1.122, 0.023, 0.132",0.9,1.0,2,126
38,0.131296,1.356318,0.571,0.510,0.1000,alpkdce1,"1.106, 0.022, 0.131",0.9,1.0,3,130
39,0.131083,1.396203,0.572,0.508,0.1000,alpkdce1,"1.103, 0.023, 0.131",0.9,1.0,4,133
40,0.131028,1.369863,0.573,0.517,0.1000,alpkdce1,"1.115, 0.023, 0.132",0.9,1.0,5,137
41,0.130306,1.344085,0.574,0.517,0.1000,alpkdce1,"1.108, 0.022, 0.131",0.9,1.0,6,140
42,0.129834,1.335592,0.578,0.516,0.1000,alpkdce1,"1.093, 0.023, 0.130",0.9,1.0,7,143
43,0.129667,1.313124,0.577,0.516,0.1000,alpkdce1,"1.085, 0.023, 0.129",0.9,1.0,8,147
44,0.128912,1.335250,0.581,0.525,0.1000,alpkdce1,"1.094, 0.023, 0.130",0.9,1.0,0,150
45,0.128568,1.330589,0.580,0.523,0.1000,alpkdce1,"1.092, 0.023, 0.130",0.9,1.0,1,154
