_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,0.210675,2.045502,0.201,0.232,0.1000,alpkdce1,"2.016, 0.007, 0.208",0.9,1.0,0,7
2,0.198114,1.953368,0.261,0.268,0.1000,alpkdce1,"1.879, 0.010, 0.197",0.9,1.0,0,14
3,0.191520,1.893229,0.291,0.283,0.1000,alpkdce1,"1.803, 0.012, 0.191",0.9,1.0,0,22
4,0.186486,1.850887,0.313,0.309,0.1000,alpkdce1,"1.740, 0.013, 0.186",0.9,1.0,0,29
5,0.182613,1.826509,0.331,0.315,0.1000,alpkdce1,"1.691, 0.014, 0.182",0.9,1.0,0,36
6,0.179608,1.801502,0.344,0.325,0.1000,alpkdce1,"1.658, 0.015, 0.179",0.9,1.0,0,44
7,0.176760,1.756583,0.359,0.338,0.1000,alpkdce1,"1.622, 0.016, 0.177",0.9,1.0,0,51
8,0.174308,1.735282,0.371,0.351,0.1000,alpkdce1,"1.595, 0.016, 0.174",0.9,1.0,0,58
9,0.172179,1.706430,0.381,0.361,0.1000,alpkdce1,"1.567, 0.017, 0.172",0.9,1.0,0,66
10,0.169926,1.683847,0.391,0.368,0.1000,alpkdce1,"1.538, 0.018, 0.170",0.9,1.0,0,73
11,0.167771,1.663549,0.401,0.383,0.1000,alpkdce1,"1.512, 0.018, 0.167",0.9,1.0,0,81
12,0.166072,1.645134,0.410,0.389,0.1000,alpkdce1,"1.494, 0.018, 0.166",0.9,1.0,0,88
13,0.164047,1.627896,0.419,0.392,0.1000,alpkdce1,"1.469, 0.019, 0.164",0.9,1.0,0,95
14,0.162483,1.607256,0.426,0.399,0.1000,alpkdce1,"1.452, 0.019, 0.162",0.9,1.0,0,103
15,0.160557,1.598920,0.434,0.404,0.1000,alpkdce1,"1.429, 0.019, 0.160",0.9,1.0,0,110
16,0.158890,1.595857,0.443,0.407,0.1000,alpkdce1,"1.405, 0.020, 0.158",0.9,1.0,0,118
17,0.157171,1.555151,0.451,0.419,0.1000,alpkdce1,"1.389, 0.020, 0.157",0.9,1.0,0,127
18,0.155971,1.531237,0.457,0.424,0.1000,alpkdce1,"1.378, 0.020, 0.156",0.9,1.0,0,138
19,0.154578,1.537627,0.460,0.432,0.1000,alpkdce1,"1.356, 0.021, 0.154",0.9,1.0,0,146
20,0.152826,1.523609,0.468,0.422,0.1000,alpkdce1,"1.340, 0.021, 0.153",0.9,1.0,1,153
21,0.151778,1.527383,0.474,0.433,0.1000,alpkdce1,"1.329, 0.021, 0.152",0.9,1.0,0,161
