_epoch,train_loss,valid_loss,acc,val_acc,lr,type,early_stopping,elapsed_time
1,2.361594,2.192057,0.209,0.184,0.1000,AT,0,2
2,2.218980,2.151324,0.230,0.209,0.1000,AT,0,4
3,2.174044,2.099488,0.245,0.223,0.1000,AT,0,6
4,2.172259,2.083714,0.262,0.232,0.1000,AT,0,8
5,2.133450,2.013740,0.274,0.253,0.1000,AT,0,11
6,2.089646,1.999990,0.278,0.255,0.1000,AT,0,13
7,2.086480,1.983818,0.287,0.263,0.1000,AT,0,15
8,2.053543,1.917388,0.296,0.285,0.1000,AT,0,17
9,2.048972,1.889284,0.301,0.294,0.1000,AT,0,19
10,2.001821,1.858913,0.312,0.299,0.1000,AT,0,21
11,2.012113,1.837484,0.315,0.324,0.1000,AT,0,23
12,1.993817,1.842585,0.328,0.320,0.1000,AT,1,26
13,1.984345,1.834062,0.333,0.323,0.1000,AT,2,28
14,1.983058,1.848430,0.337,0.325,0.1000,AT,0,30
15,1.939869,1.789752,0.346,0.355,0.1000,AT,0,32
16,1.967862,1.761330,0.345,0.346,0.1000,AT,1,34
17,1.885696,1.733347,0.362,0.349,0.1000,AT,2,36
18,1.917980,1.759028,0.355,0.345,0.1000,AT,3,39
19,1.886589,1.709810,0.363,0.367,0.1000,AT,0,41
20,1.884195,1.724910,0.369,0.383,0.1000,AT,0,43
21,1.887697,1.655174,0.376,0.384,0.1000,AT,0,45
22,1.852337,1.661800,0.386,0.395,0.1000,AT,0,47
23,1.857550,1.648593,0.385,0.395,0.1000,AT,0,50
24,1.869373,1.659076,0.389,0.403,0.1000,AT,0,52
25,1.844089,1.619860,0.391,0.398,0.1000,AT,1,54
26,1.805648,1.625334,0.396,0.392,0.1000,AT,2,56
27,1.821988,1.689587,0.395,0.396,0.1000,AT,3,58
28,1.831162,1.676603,0.395,0.411,0.1000,AT,0,60
29,1.773485,1.575946,0.408,0.425,0.1000,AT,0,62
30,1.815557,1.718843,0.406,0.394,0.1000,AT,1,65
31,1.745116,1.632209,0.419,0.421,0.1000,AT,2,67
32,1.763642,1.603629,0.419,0.432,0.1000,AT,0,69
33,1.776615,1.621656,0.419,0.428,0.1000,AT,1,71
34,1.730219,1.579990,0.427,0.410,0.1000,AT,2,73
35,1.769908,1.563032,0.415,0.427,0.1000,AT,3,75
36,1.745920,1.574729,0.426,0.420,0.1000,AT,4,78
37,1.760601,1.674427,0.422,0.421,0.1000,AT,5,80
38,1.737645,1.624591,0.429,0.425,0.1000,AT,6,82
39,1.705906,1.660685,0.434,0.422,0.1000,AT,7,84
40,1.708687,1.577650,0.442,0.435,0.1000,AT,0,86
41,1.738636,1.623740,0.432,0.426,0.1000,AT,1,88
42,1.730521,1.600272,0.441,0.442,0.1000,AT,0,91
43,1.678829,1.621363,0.451,0.427,0.1000,AT,1,93
44,1.765962,1.585799,0.433,0.441,0.1000,AT,2,95
45,1.673903,1.688494,0.452,0.410,0.1000,AT,3,97
46,1.726266,1.677376,0.441,0.418,0.1000,AT,4,99
47,1.747358,1.666918,0.441,0.445,0.1000,AT,0,102
48,1.691831,1.607575,0.450,0.453,0.1000,AT,0,104
49,1.700330,1.639574,0.454,0.424,0.1000,AT,1,106
50,1.715018,1.714370,0.440,0.429,0.1000,AT,2,108
51,1.713410,1.588732,0.439,0.438,0.1000,AT,3,110
52,1.714738,1.525651,0.444,0.443,0.1000,AT,4,112
53,1.677926,1.606104,0.451,0.420,0.1000,AT,5,115
54,1.684205,1.665442,0.460,0.415,0.1000,AT,6,117
55,1.694702,1.635130,0.455,0.422,0.1000,AT,7,119
56,1.679716,1.517961,0.456,0.460,0.1000,AT,0,121
57,1.662225,1.748907,0.459,0.410,0.1000,AT,1,123
58,1.667211,1.687516,0.466,0.426,0.1000,AT,2,126
59,1.709067,1.574914,0.457,0.463,0.1000,AT,0,128
60,1.693195,1.570990,0.460,0.447,0.1000,AT,1,130
