_epoch,train_loss,valid_loss,acc,val_acc,lr,type,early_stopping,elapsed_time
1,2.086058,2.024288,0.226,0.227,0.1000,AT,0,3
2,1.963032,1.981313,0.266,0.254,0.1000,AT,0,6
3,1.886734,1.897155,0.289,0.282,0.1000,AT,0,9
4,1.817688,1.851408,0.319,0.300,0.1000,AT,0,12
5,1.759907,1.923508,0.340,0.286,0.1000,AT,1,15
6,1.716583,1.771720,0.352,0.328,0.1000,AT,0,18
7,1.664936,1.778144,0.372,0.321,0.1000,AT,1,22
8,1.630296,1.685255,0.386,0.355,0.1000,AT,0,25
9,1.597263,1.700331,0.396,0.347,0.1000,AT,1,28
10,1.568583,1.661623,0.408,0.366,0.1000,AT,0,31
11,1.539644,1.640988,0.418,0.368,0.1000,AT,0,34
12,1.515912,1.590692,0.426,0.396,0.1000,AT,0,37
13,1.491615,1.600313,0.438,0.388,0.1000,AT,1,40
14,1.470828,1.576313,0.443,0.389,0.1000,AT,2,43
15,1.453787,1.571208,0.448,0.399,0.1000,AT,0,46
16,1.432866,1.566799,0.458,0.397,0.1000,AT,1,50
17,1.414064,1.557104,0.465,0.411,0.1000,AT,0,53
18,1.399682,1.515781,0.468,0.419,0.1000,AT,0,56
19,1.382494,1.524617,0.476,0.424,0.1000,AT,0,59
20,1.369551,1.526125,0.482,0.413,0.1000,AT,1,62
21,1.358373,1.608364,0.484,0.408,0.1000,AT,2,65
22,1.343406,1.588919,0.488,0.408,0.1000,AT,3,68
23,1.327303,1.479212,0.494,0.438,0.1000,AT,0,71
24,1.325648,1.489775,0.495,0.432,0.1000,AT,1,75
25,1.308538,1.503891,0.503,0.429,0.1000,AT,2,78
26,1.297232,1.611071,0.506,0.400,0.1000,AT,3,81
27,1.290305,1.501294,0.507,0.440,0.1000,AT,0,84
28,1.278350,1.557464,0.512,0.412,0.1000,AT,1,87
29,1.269618,1.535754,0.512,0.421,0.1000,AT,2,90
30,1.265125,1.528418,0.514,0.432,0.1000,AT,3,93
31,1.250059,1.495851,0.519,0.432,0.1000,AT,4,96
32,1.243783,1.484358,0.525,0.444,0.1000,AT,0,100
33,1.240311,1.498069,0.523,0.443,0.1000,AT,1,103
34,1.227791,1.569898,0.528,0.424,0.1000,AT,2,106
35,1.223764,1.505200,0.529,0.433,0.1000,AT,3,109
36,1.212257,1.461414,0.534,0.443,0.1000,AT,4,112
37,1.204335,1.470417,0.538,0.447,0.1000,AT,0,115
38,1.193719,1.512611,0.539,0.432,0.1000,AT,1,118
39,1.189855,1.496322,0.538,0.441,0.1000,AT,2,122
40,1.184906,1.535751,0.541,0.435,0.1000,AT,3,125
41,1.182442,1.511403,0.543,0.442,0.1000,AT,4,128
42,1.167031,1.536710,0.550,0.426,0.1000,AT,5,131
43,1.165339,1.494877,0.547,0.442,0.1000,AT,6,134
44,1.159030,1.490967,0.550,0.443,0.1000,AT,7,137
45,1.153761,1.539227,0.550,0.438,0.1000,AT,8,140
46,1.148870,1.523853,0.554,0.440,0.1000,AT,9,144
47,1.138917,1.493612,0.555,0.442,0.1000,AT,10,147
48,1.139130,1.498175,0.556,0.443,0.1000,AT,11,150
49,1.131839,1.499014,0.557,0.443,0.1000,AT,12,153
50,1.128398,1.525929,0.560,0.454,0.1000,AT,0,156
51,1.121878,1.481480,0.560,0.450,0.1000,AT,1,159
52,1.115986,1.588074,0.564,0.441,0.1000,AT,2,162
53,1.113645,1.528336,0.563,0.449,0.1000,AT,3,165
54,1.107298,1.548942,0.568,0.437,0.1000,AT,4,169
55,1.095559,2.033071,0.572,0.338,0.1000,AT,5,172
56,1.108381,1.522824,0.565,0.459,0.1000,AT,0,175
57,1.096871,1.562710,0.570,0.448,0.1000,AT,1,178
58,1.089231,1.521324,0.571,0.449,0.1000,AT,2,181
59,1.082082,1.523981,0.576,0.437,0.1000,AT,3,184
60,1.075604,1.631285,0.574,0.429,0.1000,AT,4,187
61,1.079403,1.525518,0.575,0.451,0.1000,AT,5,190
62,1.075134,1.559286,0.576,0.447,0.1000,AT,6,193
63,1.069264,1.546363,0.577,0.450,0.1000,AT,7,197
64,1.062630,1.631612,0.582,0.422,0.1000,AT,8,200
65,1.063852,1.562963,0.580,0.441,0.1000,AT,9,203
66,1.054621,1.613324,0.585,0.431,0.1000,AT,10,206
67,1.056728,1.584777,0.583,0.446,0.1000,AT,11,209
68,1.047725,1.543108,0.585,0.449,0.1000,AT,12,212
69,1.043854,1.583417,0.587,0.436,0.1000,AT,13,215
70,1.045580,1.556461,0.588,0.455,0.1000,AT,14,218
71,1.038798,1.663408,0.590,0.420,0.1000,AT,15,222
72,1.034311,1.531078,0.591,0.455,0.1000,AT,16,225
73,1.028592,1.575373,0.595,0.434,0.1000,AT,17,228
74,1.034877,1.589497,0.587,0.452,0.1000,AT,18,231
75,1.026421,1.630017,0.591,0.427,0.1000,AT,19,234
