_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,16.094338,2.838934,0.205,0.172,0.1000,alpkdce1,"3.377, 15.667, 14.438",0.9,30.0,0,3
2,14.441391,2.471893,0.226,0.195,0.1000,alpkdce1,"3.221, 14.052, 12.968",0.9,30.0,0,6
3,14.802899,2.548660,0.235,0.218,0.1000,alpkdce1,"3.198, 14.302, 13.192",0.9,30.0,0,9
4,14.014863,2.622491,0.241,0.234,0.1000,alpkdce1,"3.349, 13.311, 12.315",0.9,30.0,0,12
5,13.823949,2.705704,0.252,0.223,0.1000,alpkdce1,"3.455, 14.200, 13.125",0.9,30.0,1,15
6,12.784454,2.688168,0.250,0.235,0.1000,alpkdce1,"3.729, 12.103, 11.266",0.9,30.0,0,18
7,13.659602,2.725871,0.262,0.244,0.1000,alpkdce1,"3.446, 13.464, 12.462",0.9,30.0,0,21
8,12.565497,2.480509,0.261,0.276,0.1000,alpkdce1,"3.557, 12.400, 11.515",0.9,30.0,0,25
9,12.374403,2.534669,0.273,0.267,0.1000,alpkdce1,"3.675, 11.212, 10.458",0.9,30.0,1,28
10,12.032232,2.658245,0.273,0.286,0.1000,alpkdce1,"3.861, 11.492, 10.729",0.9,30.0,0,31
11,12.108578,2.618230,0.293,0.295,0.1000,alpkdce1,"3.384, 12.125, 11.251",0.9,30.0,0,34
12,11.621007,2.610834,0.295,0.312,0.1000,alpkdce1,"3.865, 11.050, 10.332",0.9,30.0,0,37
13,11.391409,2.515164,0.302,0.314,0.1000,alpkdce1,"3.713, 10.733, 10.031",0.9,30.0,0,40
14,11.561451,2.704130,0.328,0.306,0.1000,alpkdce1,"4.181, 11.013, 10.330",0.9,30.0,1,44
15,10.875692,2.638290,0.320,0.322,0.1000,alpkdce1,"3.738, 10.571, 9.887",0.9,30.0,0,47
16,10.439884,2.567759,0.319,0.343,0.1000,alpkdce1,"4.290, 9.994, 9.424",0.9,30.0,0,50
17,10.208797,2.514871,0.322,0.365,0.1000,alpkdce1,"4.132, 9.358, 8.835",0.9,30.0,0,53
18,10.539611,3.022646,0.341,0.340,0.1000,alpkdce1,"4.157, 9.766, 9.205",0.9,30.0,1,57
19,10.505348,2.785061,0.349,0.369,0.1000,alpkdce1,"3.620, 10.376, 9.700",0.9,30.0,0,60
20,10.158249,3.266864,0.348,0.367,0.1000,alpkdce1,"4.371, 9.949, 9.392",0.9,30.0,1,63
21,9.938522,2.811977,0.353,0.362,0.1000,alpkdce1,"4.356, 9.399, 8.895",0.9,30.0,2,66
22,9.868970,2.930036,0.350,0.372,0.1000,alpkdce1,"4.130, 9.042, 8.551",0.9,30.0,0,69
23,9.988772,2.528063,0.367,0.389,0.1000,alpkdce1,"4.045, 9.693, 9.128",0.9,30.0,0,73
24,9.876251,2.773403,0.369,0.385,0.1000,alpkdce1,"4.105, 9.669, 9.113",0.9,30.0,1,76
25,9.645404,3.116754,0.371,0.377,0.1000,alpkdce1,"3.959, 9.178, 8.656",0.9,30.0,2,79
26,9.516090,3.023832,0.372,0.370,0.1000,alpkdce1,"4.170, 9.109, 8.615",0.9,30.0,3,82
27,9.510783,2.793376,0.370,0.377,0.1000,alpkdce1,"3.810, 9.748, 9.154",0.9,30.0,4,86
28,9.192932,2.804307,0.366,0.392,0.1000,alpkdce1,"4.185, 8.576, 8.137",0.9,30.0,0,89
29,9.290486,2.559838,0.373,0.402,0.1000,alpkdce1,"4.194, 8.562, 8.125",0.9,30.0,0,92
30,9.282446,3.195618,0.374,0.391,0.1000,alpkdce1,"4.192, 8.556, 8.120",0.9,30.0,1,95
31,9.236074,2.753580,0.387,0.413,0.1000,alpkdce1,"4.202, 8.732, 8.279",0.9,30.0,0,99
32,9.318176,2.745109,0.384,0.411,0.1000,alpkdce1,"3.653, 8.874, 8.352",0.9,30.0,1,102
33,8.954547,2.771284,0.379,0.403,0.1000,alpkdce1,"4.118, 8.292, 7.875",0.9,30.0,2,105
34,9.081370,2.408937,0.386,0.419,0.1000,alpkdce1,"3.964, 8.671, 8.201",0.9,30.0,0,108
35,9.025573,2.600691,0.392,0.382,0.1000,alpkdce1,"4.303, 8.456, 8.041",0.9,30.0,1,112
36,8.895788,2.583099,0.384,0.412,0.1000,alpkdce1,"4.272, 8.448, 8.030",0.9,30.0,2,115
