_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,1.986238,2.013987,0.222,0.242,0.1000,alpkdce1,"1.021, 2.038, 1.936",0.9,1.0,0,2
2,1.862256,2.059266,0.263,0.233,0.1000,alpkdce1,"0.970, 1.936, 1.839",0.9,1.0,1,4
3,1.784720,1.915945,0.294,0.272,0.1000,alpkdce1,"0.933, 1.860, 1.767",0.9,1.0,0,7
4,1.720479,1.827263,0.318,0.295,0.1000,alpkdce1,"0.901, 1.796, 1.706",0.9,1.0,0,9
5,1.666431,1.805360,0.338,0.327,0.1000,alpkdce1,"0.878, 1.751, 1.663",0.9,1.0,0,11
6,1.611218,1.823900,0.360,0.289,0.1000,alpkdce1,"0.843, 1.679, 1.596",0.9,1.0,1,14
7,1.572612,1.748415,0.371,0.336,0.1000,alpkdce1,"0.828, 1.650, 1.568",0.9,1.0,0,16
8,1.535870,1.698734,0.389,0.339,0.1000,alpkdce1,"0.808, 1.610, 1.530",0.9,1.0,0,19
9,1.501139,1.694920,0.399,0.358,0.1000,alpkdce1,"0.791, 1.576, 1.497",0.9,1.0,0,21
10,1.473298,1.607996,0.414,0.391,0.1000,alpkdce1,"0.782, 1.558, 1.481",0.9,1.0,0,24
11,1.446101,1.595934,0.419,0.391,0.1000,alpkdce1,"0.762, 1.520, 1.444",0.9,1.0,0,26
12,1.417478,1.704581,0.436,0.349,0.1000,alpkdce1,"0.748, 1.490, 1.416",0.9,1.0,1,28
13,1.401570,1.708570,0.439,0.359,0.1000,alpkdce1,"0.734, 1.462, 1.389",0.9,1.0,2,31
14,1.379101,1.580684,0.451,0.402,0.1000,alpkdce1,"0.727, 1.449, 1.377",0.9,1.0,0,33
15,1.361305,1.548659,0.457,0.413,0.1000,alpkdce1,"0.727, 1.448, 1.375",0.9,1.0,0,36
16,1.342273,1.686341,0.464,0.370,0.1000,alpkdce1,"0.710, 1.415, 1.344",0.9,1.0,1,38
17,1.336375,1.494339,0.465,0.433,0.1000,alpkdce1,"0.705, 1.404, 1.334",0.9,1.0,0,40
18,1.318129,1.511543,0.472,0.422,0.1000,alpkdce1,"0.699, 1.392, 1.323",0.9,1.0,1,43
19,1.300235,1.528950,0.478,0.415,0.1000,alpkdce1,"0.684, 1.363, 1.295",0.9,1.0,2,45
20,1.291390,1.539887,0.482,0.417,0.1000,alpkdce1,"0.680, 1.356, 1.288",0.9,1.0,3,48
21,1.276240,1.542594,0.486,0.408,0.1000,alpkdce1,"0.678, 1.350, 1.283",0.9,1.0,4,50
22,1.265666,1.496082,0.491,0.431,0.1000,alpkdce1,"0.672, 1.338, 1.271",0.9,1.0,5,53
23,1.257035,1.470471,0.496,0.437,0.1000,alpkdce1,"0.666, 1.327, 1.261",0.9,1.0,0,55
24,1.245904,1.536018,0.499,0.426,0.1000,alpkdce1,"0.661, 1.317, 1.251",0.9,1.0,1,57
25,1.239311,1.464988,0.500,0.449,0.1000,alpkdce1,"0.662, 1.318, 1.252",0.9,1.0,0,60
26,1.222181,1.462692,0.508,0.449,0.1000,alpkdce1,"0.654, 1.302, 1.238",0.9,1.0,0,62
