_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.094977,2.054381,0.219,0.231,0.1000,alpkdce2,"2.056, 2.051, 2.055",0.1,1.0,0,2
2,2.011888,2.027051,0.246,0.232,0.1000,alpkdce2,"1.988, 1.983, 1.987",0.1,1.0,0,4
3,1.908357,1.982961,0.282,0.248,0.1000,alpkdce2,"1.883, 1.879, 1.883",0.1,1.0,0,6
4,1.848937,1.894398,0.304,0.287,0.1000,alpkdce2,"1.843, 1.839, 1.842",0.1,1.0,0,9
5,1.791623,1.858053,0.327,0.298,0.1000,alpkdce2,"1.776, 1.772, 1.776",0.1,1.0,0,11
6,1.735681,1.799402,0.349,0.311,0.1000,alpkdce2,"1.742, 1.737, 1.741",0.1,1.0,0,13
7,1.689836,1.750761,0.363,0.329,0.1000,alpkdce2,"1.686, 1.682, 1.686",0.1,1.0,0,15
8,1.649856,1.704789,0.378,0.342,0.1000,alpkdce2,"1.642, 1.638, 1.641",0.1,1.0,0,18
9,1.615758,1.681976,0.389,0.359,0.1000,alpkdce2,"1.608, 1.604, 1.608",0.1,1.0,0,20
10,1.581074,1.661611,0.402,0.357,0.1000,alpkdce2,"1.569, 1.565, 1.569",0.1,1.0,1,22
11,1.547452,1.715225,0.417,0.344,0.1000,alpkdce2,"1.546, 1.542, 1.546",0.1,1.0,2,24
12,1.527801,1.646210,0.424,0.365,0.1000,alpkdce2,"1.517, 1.512, 1.517",0.1,1.0,0,27
13,1.502450,1.579296,0.430,0.401,0.1000,alpkdce2,"1.503, 1.499, 1.502",0.1,1.0,0,29
14,1.476033,1.616304,0.444,0.386,0.1000,alpkdce2,"1.481, 1.476, 1.480",0.1,1.0,1,31
15,1.464912,1.572879,0.445,0.395,0.1000,alpkdce2,"1.473, 1.468, 1.473",0.1,1.0,2,33
16,1.441363,1.592605,0.455,0.394,0.1000,alpkdce2,"1.450, 1.446, 1.450",0.1,1.0,3,36
17,1.428556,1.550842,0.459,0.409,0.1000,alpkdce2,"1.423, 1.419, 1.423",0.1,1.0,0,38
18,1.408885,1.546530,0.466,0.410,0.1000,alpkdce2,"1.411, 1.406, 1.410",0.1,1.0,0,40
19,1.391666,1.525575,0.471,0.421,0.1000,alpkdce2,"1.398, 1.393, 1.397",0.1,1.0,0,42
