_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,24.513402,3.583075,0.173,0.176,0.1000,alpkdce1,"1.545, 26.318, 23.841",0.9,5.0,0,3
2,22.580078,3.256285,0.235,0.212,0.1000,alpkdce1,"1.606, 24.380, 22.102",0.9,5.0,0,6
3,21.523452,3.965254,0.253,0.199,0.1000,alpkdce1,"1.617, 23.434, 21.252",0.9,5.0,1,10
4,20.080801,3.170467,0.277,0.247,0.1000,alpkdce1,"1.594, 21.716, 19.703",0.9,5.0,0,13
5,18.742362,3.420043,0.311,0.284,0.1000,alpkdce1,"1.575, 20.075, 18.225",0.9,5.0,0,17
6,17.346265,2.887025,0.344,0.324,0.1000,alpkdce1,"1.553, 18.778, 17.055",0.9,5.0,0,20
7,16.174105,2.919384,0.373,0.330,0.1000,alpkdce1,"1.509, 17.462, 15.866",0.9,5.0,0,23
8,15.270665,3.031946,0.397,0.363,0.1000,alpkdce1,"1.493, 16.601, 15.091",0.9,5.0,0,27
9,14.523538,3.051831,0.421,0.369,0.1000,alpkdce1,"1.476, 15.894, 14.452",0.9,5.0,0,30
10,13.875561,2.857417,0.434,0.393,0.1000,alpkdce1,"1.449, 14.971, 13.618",0.9,5.0,0,34
11,13.375913,3.019727,0.450,0.398,0.1000,alpkdce1,"1.434, 14.554, 13.242",0.9,5.0,0,37
12,12.966416,2.876300,0.460,0.417,0.1000,alpkdce1,"1.416, 14.285, 12.998",0.9,5.0,0,40
13,12.593548,3.195258,0.473,0.397,0.1000,alpkdce1,"1.407, 13.804, 12.565",0.9,5.0,1,44
14,12.275194,3.071155,0.480,0.427,0.1000,alpkdce1,"1.383, 13.459, 12.251",0.9,5.0,0,47
15,12.005424,3.307017,0.488,0.415,0.1000,alpkdce1,"1.391, 13.123, 11.950",0.9,5.0,1,51
16,11.756105,3.130986,0.493,0.434,0.1000,alpkdce1,"1.358, 12.945, 11.786",0.9,5.0,0,54
