_epoch,train_loss,valid_loss,acc,val_acc,lr,type,early_stopping,elapsed_time
1,1.588855,1.975052,0.412,0.381,0.1000,NT,0,0
2,1.114307,1.063817,0.599,0.632,0.1000,NT,0,0
3,0.878680,0.838673,0.687,0.713,0.1000,NT,0,1
4,0.730109,0.802960,0.743,0.722,0.1000,NT,0,1
5,0.625268,0.943824,0.781,0.699,0.1000,NT,1,1
6,0.548533,0.639436,0.809,0.783,0.1000,NT,0,2
7,0.485700,0.617966,0.832,0.792,0.1000,NT,0,2
8,0.436160,0.582484,0.848,0.802,0.1000,NT,0,2
9,0.401048,0.602554,0.862,0.800,0.1000,NT,1,3
10,0.367025,0.442035,0.874,0.848,0.1000,NT,0,3
11,0.343720,0.469587,0.882,0.843,0.1000,NT,1,3
12,0.318453,0.432199,0.889,0.855,0.1000,NT,0,4
13,0.295705,0.460681,0.897,0.842,0.1000,NT,1,4
14,0.273293,0.447406,0.907,0.855,0.1000,NT,0,4
15,0.265859,0.426619,0.908,0.858,0.1000,NT,0,5
16,0.245909,0.442152,0.914,0.854,0.1000,NT,1,5
17,0.238896,0.406700,0.916,0.864,0.1000,NT,0,5
18,0.230862,0.419452,0.919,0.862,0.1000,NT,1,6
19,0.220504,0.389878,0.923,0.871,0.1000,NT,0,6
20,0.213554,0.386279,0.924,0.867,0.1000,NT,1,6
21,0.197024,0.362462,0.931,0.883,0.1000,NT,0,7
22,0.196878,0.431610,0.931,0.857,0.1000,NT,1,7
23,0.193393,0.493975,0.931,0.842,0.1000,NT,2,7
24,0.188482,0.354370,0.934,0.886,0.1000,NT,0,8
25,0.175139,0.400341,0.939,0.876,0.1000,NT,1,8
26,0.182792,0.401766,0.936,0.871,0.1000,NT,2,8
27,0.165890,0.380211,0.941,0.879,0.1000,NT,3,9
28,0.171771,0.372866,0.941,0.883,0.1000,NT,4,9
29,0.163646,0.424089,0.943,0.869,0.1000,NT,5,9
30,0.158229,0.545814,0.945,0.840,0.1000,NT,6,10
