_epoch,train_loss,valid_loss,acc,val_acc,lr,type,early_stopping,elapsed_time
1,1.815715,1.550792,0.351,0.453,0.1000,NT,0,0
2,1.422022,1.271638,0.527,0.551,0.1000,NT,0,0
3,1.337590,0.896217,0.568,0.692,0.1000,NT,0,1
4,1.196371,1.094995,0.608,0.629,0.1000,NT,1,1
5,1.074441,0.906814,0.659,0.691,0.1000,NT,2,1
6,0.977146,0.709824,0.705,0.762,0.1000,NT,0,2
7,0.943902,0.671588,0.707,0.773,0.1000,NT,0,2
8,0.936345,0.586570,0.706,0.811,0.1000,NT,0,2
9,0.904411,0.550991,0.721,0.826,0.1000,NT,0,3
10,0.877491,0.533539,0.723,0.827,0.1000,NT,0,3
11,0.801022,0.453227,0.772,0.864,0.1000,NT,0,4
12,0.886181,0.530785,0.723,0.833,0.1000,NT,1,4
13,0.751636,0.475196,0.779,0.844,0.1000,NT,2,4
14,0.764344,0.472141,0.783,0.849,0.1000,NT,3,5
15,0.788040,0.452314,0.762,0.856,0.1000,NT,4,5
16,0.725997,0.474903,0.775,0.844,0.1000,NT,5,5
17,0.676797,0.454064,0.809,0.849,0.1000,NT,6,6
18,0.717430,0.420445,0.783,0.870,0.1000,NT,0,6
19,0.777944,0.461955,0.765,0.852,0.1000,NT,1,6
20,0.728465,0.385569,0.791,0.877,0.1000,NT,0,7
21,0.701438,0.490638,0.799,0.839,0.1000,NT,1,7
22,0.689195,0.407810,0.796,0.880,0.1000,NT,0,7
23,0.707542,0.356671,0.769,0.889,0.1000,NT,0,8
24,0.700207,0.403530,0.791,0.870,0.1000,NT,1,8
25,0.716573,0.403593,0.772,0.870,0.1000,NT,2,9
26,0.687964,0.407391,0.796,0.871,0.1000,NT,3,9
27,0.652121,0.475366,0.807,0.861,0.1000,NT,4,9
28,0.654042,0.507692,0.793,0.840,0.1000,NT,5,10
29,0.613656,0.425259,0.829,0.878,0.1000,NT,6,10
30,0.609838,0.434805,0.807,0.862,0.1000,NT,7,10
31,0.770682,0.418979,0.756,0.888,0.1000,NT,8,11
32,0.638506,0.403533,0.811,0.876,0.1000,NT,9,11
33,0.607237,0.460435,0.822,0.853,0.1000,NT,10,11
34,0.606965,0.357880,0.819,0.886,0.1000,NT,11,12
