_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,1.993991,2.986290,0.230,0.212,0.1000,alpkdce2,"0.001, 19.554, 1.956",0.1,30.0,0,2
2,1.867870,2.943326,0.256,0.210,0.1000,alpkdce2,"0.001, 18.276, 1.829",0.1,30.0,1,4
3,1.755942,3.798297,0.293,0.219,0.1000,alpkdce2,"0.001, 17.222, 1.723",0.1,30.0,0,6
4,1.674740,3.564668,0.315,0.270,0.1000,alpkdce2,"0.001, 16.564, 1.657",0.1,30.0,0,9
5,1.610771,3.382158,0.334,0.280,0.1000,alpkdce2,"0.002, 15.902, 1.592",0.1,30.0,0,11
6,1.553222,3.756608,0.351,0.303,0.1000,alpkdce2,"0.001, 15.439, 1.545",0.1,30.0,0,13
7,1.502764,3.575437,0.366,0.319,0.1000,alpkdce2,"0.001, 14.954, 1.496",0.1,30.0,0,15
8,1.448956,3.145066,0.389,0.335,0.1000,alpkdce2,"0.001, 14.468, 1.447",0.1,30.0,0,18
9,1.417223,3.296184,0.395,0.337,0.1000,alpkdce2,"0.001, 14.138, 1.415",0.1,30.0,0,20
10,1.384906,3.078054,0.408,0.361,0.1000,alpkdce2,"0.001, 13.773, 1.378",0.1,30.0,0,22
11,1.356804,3.043214,0.422,0.366,0.1000,alpkdce2,"0.001, 13.593, 1.360",0.1,30.0,0,24
12,1.330254,3.242637,0.427,0.379,0.1000,alpkdce2,"0.001, 13.223, 1.323",0.1,30.0,0,27
13,1.308471,3.620993,0.433,0.367,0.1000,alpkdce2,"0.001, 13.102, 1.311",0.1,30.0,1,29
14,1.283107,3.692081,0.442,0.365,0.1000,alpkdce2,"0.001, 12.759, 1.277",0.1,30.0,2,31
15,1.270273,3.641287,0.446,0.376,0.1000,alpkdce2,"0.001, 12.732, 1.274",0.1,30.0,3,33
16,1.247746,3.604605,0.455,0.364,0.1000,alpkdce2,"0.001, 12.449, 1.246",0.1,30.0,4,36
17,1.230380,3.555576,0.463,0.396,0.1000,alpkdce2,"0.001, 12.238, 1.225",0.1,30.0,0,38
18,1.215416,2.872549,0.466,0.400,0.1000,alpkdce2,"0.001, 12.244, 1.225",0.1,30.0,0,40
19,1.202155,3.548916,0.471,0.389,0.1000,alpkdce2,"0.001, 12.139, 1.215",0.1,30.0,1,42
20,1.190063,2.996035,0.475,0.420,0.1000,alpkdce2,"0.001, 11.897, 1.191",0.1,30.0,0,45
21,1.179598,3.165149,0.478,0.403,0.1000,alpkdce2,"0.001, 11.864, 1.187",0.1,30.0,1,47
22,1.169093,3.314086,0.482,0.416,0.1000,alpkdce2,"0.001, 11.682, 1.169",0.1,30.0,2,49
23,1.152040,3.456798,0.487,0.418,0.1000,alpkdce2,"0.001, 11.567, 1.158",0.1,30.0,3,51
24,1.145746,3.683392,0.489,0.415,0.1000,alpkdce2,"0.001, 11.509, 1.152",0.1,30.0,4,54
25,1.136034,2.967081,0.495,0.422,0.1000,alpkdce2,"0.001, 11.483, 1.149",0.1,30.0,0,56
26,1.124596,3.376617,0.498,0.416,0.1000,alpkdce2,"0.001, 11.278, 1.129",0.1,30.0,1,58
27,1.115756,3.473685,0.500,0.412,0.1000,alpkdce2,"0.001, 11.280, 1.129",0.1,30.0,2,61
28,1.106127,3.224143,0.504,0.429,0.1000,alpkdce2,"0.001, 11.100, 1.111",0.1,30.0,0,63
29,1.096278,3.694813,0.507,0.430,0.1000,alpkdce2,"0.001, 10.987, 1.100",0.1,30.0,0,65
30,1.097408,3.403325,0.510,0.426,0.1000,alpkdce2,"0.001, 10.976, 1.099",0.1,30.0,1,67
31,1.084430,3.153629,0.515,0.433,0.1000,alpkdce2,"0.001, 10.963, 1.097",0.1,30.0,0,70
32,1.067326,3.683996,0.516,0.442,0.1000,alpkdce2,"0.001, 10.748, 1.076",0.1,30.0,0,72
33,1.065074,3.152033,0.520,0.423,0.1000,alpkdce2,"0.001, 10.731, 1.074",0.1,30.0,1,74
34,1.064028,3.348834,0.521,0.434,0.1000,alpkdce2,"0.001, 10.735, 1.075",0.1,30.0,2,76
35,1.057471,3.799430,0.523,0.410,0.1000,alpkdce2,"0.001, 10.552, 1.056",0.1,30.0,3,79
36,1.042408,3.505993,0.526,0.410,0.1000,alpkdce2,"0.001, 10.449, 1.046",0.1,30.0,4,81
37,1.046921,3.329806,0.529,0.436,0.1000,alpkdce2,"0.001, 10.578, 1.059",0.1,30.0,5,83
38,1.035471,3.534283,0.531,0.427,0.1000,alpkdce2,"0.001, 10.485, 1.049",0.1,30.0,6,85
39,1.031666,3.146490,0.534,0.434,0.1000,alpkdce2,"0.001, 10.391, 1.040",0.1,30.0,7,88
40,1.030010,3.364753,0.535,0.427,0.1000,alpkdce2,"0.001, 10.404, 1.041",0.1,30.0,8,90
41,1.022446,3.615555,0.536,0.415,0.1000,alpkdce2,"0.001, 10.387, 1.039",0.1,30.0,9,92
42,1.017146,3.352855,0.538,0.432,0.1000,alpkdce2,"0.001, 10.208, 1.022",0.1,30.0,10,94
43,1.012554,3.483216,0.539,0.438,0.1000,alpkdce2,"0.001, 10.269, 1.028",0.1,30.0,11,97
44,1.017187,3.755752,0.541,0.419,0.1000,alpkdce2,"0.001, 10.277, 1.029",0.1,30.0,12,99
45,1.007206,3.405200,0.543,0.436,0.1000,alpkdce2,"0.001, 10.128, 1.014",0.1,30.0,13,101
46,0.998724,3.486727,0.545,0.439,0.1000,alpkdce2,"0.001, 10.202, 1.021",0.1,30.0,14,103
47,0.996842,3.570991,0.546,0.423,0.1000,alpkdce2,"0.001, 9.966, 0.998",0.1,30.0,15,106
48,0.988597,3.238311,0.551,0.423,0.1000,alpkdce2,"0.001, 10.028, 1.004",0.1,30.0,16,108
49,0.984734,3.316457,0.551,0.421,0.1000,alpkdce2,"0.001, 9.940, 0.995",0.1,30.0,17,110
50,0.986348,3.726313,0.550,0.436,0.1000,alpkdce2,"0.001, 9.848, 0.986",0.1,30.0,18,112
51,0.977785,3.054597,0.556,0.444,0.1000,alpkdce2,"0.001, 9.879, 0.989",0.1,30.0,0,115
52,0.978786,3.670024,0.554,0.444,0.1000,alpkdce2,"0.001, 9.757, 0.977",0.1,30.0,1,117
53,0.968058,4.603646,0.559,0.375,0.1000,alpkdce2,"0.001, 9.750, 0.976",0.1,30.0,2,119
54,0.973485,3.775204,0.558,0.444,0.1000,alpkdce2,"0.001, 9.830, 0.984",0.1,30.0,0,121
55,0.966607,3.909030,0.559,0.430,0.1000,alpkdce2,"0.001, 9.766, 0.978",0.1,30.0,1,124
56,0.962270,3.322023,0.558,0.446,0.1000,alpkdce2,"0.001, 9.732, 0.974",0.1,30.0,0,126
57,0.961008,3.502156,0.561,0.435,0.1000,alpkdce2,"0.001, 9.695, 0.971",0.1,30.0,1,128
58,0.953698,3.291107,0.562,0.445,0.1000,alpkdce2,"0.001, 9.634, 0.964",0.1,30.0,2,130
59,0.946196,3.659989,0.567,0.438,0.1000,alpkdce2,"0.001, 9.515, 0.953",0.1,30.0,3,133
60,0.949528,3.589202,0.567,0.438,0.1000,alpkdce2,"0.001, 9.565, 0.957",0.1,30.0,4,135
61,0.945629,3.866138,0.569,0.446,0.1000,alpkdce2,"0.001, 9.481, 0.949",0.1,30.0,0,137
62,0.942593,3.568810,0.569,0.434,0.1000,alpkdce2,"0.001, 9.608, 0.962",0.1,30.0,1,139
63,0.942372,3.434570,0.566,0.444,0.1000,alpkdce2,"0.001, 9.493, 0.950",0.1,30.0,2,142
64,0.943682,3.609888,0.569,0.438,0.1000,alpkdce2,"0.001, 9.548, 0.956",0.1,30.0,3,144
65,0.935479,3.629824,0.572,0.444,0.1000,alpkdce2,"0.001, 9.543, 0.955",0.1,30.0,4,146
66,0.929955,3.329277,0.572,0.440,0.1000,alpkdce2,"0.001, 9.427, 0.944",0.1,30.0,5,148
67,0.930034,3.481524,0.575,0.450,0.1000,alpkdce2,"0.001, 9.386, 0.940",0.1,30.0,0,151
68,0.928604,3.379512,0.573,0.451,0.1000,alpkdce2,"0.001, 9.392, 0.940",0.1,30.0,0,153
69,0.922309,3.835675,0.578,0.435,0.1000,alpkdce2,"0.001, 9.363, 0.937",0.1,30.0,1,155
70,0.925701,3.910193,0.579,0.418,0.1000,alpkdce2,"0.001, 9.411, 0.942",0.1,30.0,2,157
71,0.917347,3.662951,0.578,0.442,0.1000,alpkdce2,"0.001, 9.255, 0.926",0.1,30.0,3,160
72,0.914290,4.031590,0.579,0.421,0.1000,alpkdce2,"0.001, 9.322, 0.933",0.1,30.0,4,162
73,0.917124,3.949479,0.581,0.433,0.1000,alpkdce2,"0.001, 9.295, 0.931",0.1,30.0,5,164
74,0.915720,3.764358,0.580,0.432,0.1000,alpkdce2,"0.001, 9.257, 0.927",0.1,30.0,6,166
75,0.919211,3.800782,0.581,0.435,0.1000,alpkdce2,"0.001, 9.271, 0.928",0.1,30.0,7,169
76,0.908251,3.608439,0.584,0.426,0.1000,alpkdce2,"0.001, 9.241, 0.925",0.1,30.0,8,171
77,0.912276,3.468555,0.581,0.451,0.1000,alpkdce2,"0.001, 9.313, 0.932",0.1,30.0,0,173
78,0.901051,3.830251,0.585,0.437,0.1000,alpkdce2,"0.001, 9.157, 0.917",0.1,30.0,1,175
79,0.895175,3.521517,0.587,0.434,0.1000,alpkdce2,"0.001, 9.108, 0.912",0.1,30.0,2,178
80,0.907014,3.591026,0.586,0.446,0.1000,alpkdce2,"0.001, 9.169, 0.918",0.1,30.0,3,180
81,0.902955,3.498019,0.588,0.434,0.1000,alpkdce2,"0.001, 9.127, 0.914",0.1,30.0,4,182
82,0.899592,3.773122,0.587,0.442,0.1000,alpkdce2,"0.001, 9.159, 0.917",0.1,30.0,5,184
83,0.894356,4.180490,0.591,0.445,0.1000,alpkdce2,"0.001, 9.083, 0.909",0.1,30.0,6,187
84,0.890333,4.095222,0.591,0.434,0.1000,alpkdce2,"0.001, 8.914, 0.892",0.1,30.0,7,189
85,0.891287,3.724340,0.590,0.439,0.1000,alpkdce2,"0.001, 9.011, 0.902",0.1,30.0,8,191
86,0.889616,4.224555,0.593,0.444,0.1000,alpkdce2,"0.001, 9.056, 0.907",0.1,30.0,9,193
87,0.890938,3.688465,0.591,0.448,0.1000,alpkdce2,"0.001, 9.034, 0.905",0.1,30.0,10,196
88,0.883327,3.824873,0.593,0.443,0.1000,alpkdce2,"0.001, 8.959, 0.897",0.1,30.0,11,198
89,0.883637,4.012389,0.593,0.432,0.1000,alpkdce2,"0.001, 8.970, 0.898",0.1,30.0,12,200
90,0.881125,3.775124,0.595,0.438,0.1000,alpkdce2,"0.001, 8.967, 0.898",0.1,30.0,13,202
91,0.885722,3.968589,0.596,0.419,0.1000,alpkdce2,"0.001, 9.058, 0.907",0.1,30.0,14,205
92,0.878012,3.842063,0.596,0.448,0.1000,alpkdce2,"0.001, 8.894, 0.891",0.1,30.0,15,207
93,0.880783,4.133038,0.596,0.429,0.1000,alpkdce2,"0.001, 8.949, 0.896",0.1,30.0,16,209
94,0.876362,3.759517,0.596,0.431,0.1000,alpkdce2,"0.001, 8.854, 0.886",0.1,30.0,17,212
95,0.875107,3.853083,0.597,0.456,0.1000,alpkdce2,"0.001, 8.921, 0.893",0.1,30.0,0,214
96,0.877497,3.753464,0.598,0.444,0.1000,alpkdce2,"0.001, 8.940, 0.895",0.1,30.0,1,216
97,0.872085,3.816790,0.600,0.435,0.1000,alpkdce2,"0.001, 8.899, 0.891",0.1,30.0,2,218
98,0.867705,4.341351,0.602,0.425,0.1000,alpkdce2,"0.001, 8.759, 0.877",0.1,30.0,3,220
99,0.871997,3.889533,0.600,0.435,0.1000,alpkdce2,"0.001, 8.846, 0.886",0.1,30.0,4,223
100,0.869754,3.823662,0.601,0.452,0.1000,alpkdce2,"0.001, 8.788, 0.880",0.1,30.0,5,225
101,0.731518,3.549355,0.648,0.495,0.0100,alpkdce2,"0.001, 7.026, 0.703",0.1,30.0,0,227
102,0.678418,3.676564,0.674,0.490,0.0100,alpkdce2,"0.001, 6.739, 0.675",0.1,30.0,1,229
103,0.655426,3.639030,0.683,0.495,0.0100,alpkdce2,"0.001, 6.581, 0.659",0.1,30.0,2,232
104,0.643252,3.703023,0.688,0.490,0.0100,alpkdce2,"0.001, 6.388, 0.640",0.1,30.0,3,234
105,0.631378,3.745157,0.696,0.499,0.0100,alpkdce2,"0.001, 6.318, 0.633",0.1,30.0,0,236
106,0.621644,3.826725,0.700,0.494,0.0100,alpkdce2,"0.001, 6.205, 0.621",0.1,30.0,1,238
107,0.613195,3.818689,0.702,0.488,0.0100,alpkdce2,"0.001, 6.178, 0.619",0.1,30.0,2,241
108,0.603202,3.856786,0.708,0.498,0.0100,alpkdce2,"0.001, 6.083, 0.609",0.1,30.0,3,243
109,0.596553,3.973221,0.710,0.491,0.0100,alpkdce2,"0.001, 5.977, 0.599",0.1,30.0,4,245
110,0.587265,4.003343,0.715,0.491,0.0100,alpkdce2,"0.001, 5.948, 0.596",0.1,30.0,5,247
111,0.578618,4.033405,0.718,0.487,0.0100,alpkdce2,"0.001, 5.810, 0.582",0.1,30.0,6,250
112,0.576442,4.089744,0.723,0.491,0.0100,alpkdce2,"0.001, 5.800, 0.581",0.1,30.0,7,252
113,0.569408,4.039110,0.724,0.486,0.0100,alpkdce2,"0.001, 5.673, 0.568",0.1,30.0,8,254
114,0.563019,4.082538,0.727,0.486,0.0100,alpkdce2,"0.001, 5.637, 0.565",0.1,30.0,9,256
115,0.556509,4.186958,0.730,0.484,0.0100,alpkdce2,"0.001, 5.555, 0.556",0.1,30.0,10,259
116,0.551059,4.170292,0.733,0.483,0.0100,alpkdce2,"0.001, 5.545, 0.555",0.1,30.0,11,261
117,0.545703,4.188998,0.738,0.489,0.0100,alpkdce2,"0.001, 5.480, 0.549",0.1,30.0,12,263
118,0.540153,4.247697,0.739,0.489,0.0100,alpkdce2,"0.001, 5.364, 0.537",0.1,30.0,13,265
119,0.538963,4.260533,0.740,0.484,0.0100,alpkdce2,"0.001, 5.426, 0.544",0.1,30.0,14,268
120,0.530640,4.293358,0.743,0.488,0.0100,alpkdce2,"0.001, 5.288, 0.530",0.1,30.0,15,270
121,0.528049,4.398183,0.744,0.491,0.0100,alpkdce2,"0.001, 5.272, 0.528",0.1,30.0,16,272
122,0.522788,4.318665,0.748,0.486,0.0100,alpkdce2,"0.001, 5.212, 0.522",0.1,30.0,17,274
123,0.519571,4.365534,0.750,0.482,0.0100,alpkdce2,"0.001, 5.262, 0.527",0.1,30.0,18,277
124,0.512775,4.597141,0.755,0.477,0.0100,alpkdce2,"0.001, 5.203, 0.521",0.1,30.0,19,279
125,0.510892,4.569099,0.755,0.477,0.0100,alpkdce2,"0.001, 5.184, 0.519",0.1,30.0,20,281
