_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,1.026415,2.025281,0.228,0.237,0.1000,alpkdce2,"0.001, 2.016, 1.008",0.5,1.0,0,1
2,0.971637,2.025919,0.266,0.248,0.1000,alpkdce2,"0.001, 1.918, 0.960",0.5,1.0,0,3
3,0.933771,1.875668,0.293,0.280,0.1000,alpkdce2,"0.001, 1.845, 0.923",0.5,1.0,0,5
4,0.896647,1.934332,0.322,0.267,0.1000,alpkdce2,"0.001, 1.783, 0.892",0.5,1.0,1,6
5,0.869728,1.843702,0.346,0.301,0.1000,alpkdce2,"0.001, 1.719, 0.860",0.5,1.0,0,8
6,0.849830,1.744905,0.357,0.345,0.1000,alpkdce2,"0.001, 1.680, 0.841",0.5,1.0,0,10
7,0.825814,1.772433,0.375,0.321,0.1000,alpkdce2,"0.001, 1.639, 0.820",0.5,1.0,1,11
8,0.808073,1.690381,0.389,0.361,0.1000,alpkdce2,"0.001, 1.604, 0.803",0.5,1.0,0,13
9,0.789604,1.682870,0.402,0.353,0.1000,alpkdce2,"0.001, 1.583, 0.792",0.5,1.0,1,15
10,0.780063,1.604132,0.408,0.392,0.1000,alpkdce2,"0.001, 1.561, 0.781",0.5,1.0,0,16
11,0.763406,1.639320,0.423,0.377,0.1000,alpkdce2,"0.001, 1.522, 0.762",0.5,1.0,1,18
12,0.748253,1.585961,0.431,0.389,0.1000,alpkdce2,"0.001, 1.492, 0.746",0.5,1.0,2,20
13,0.736761,1.621806,0.443,0.378,0.1000,alpkdce2,"0.001, 1.480, 0.741",0.5,1.0,3,22
14,0.730207,1.572505,0.447,0.403,0.1000,alpkdce2,"0.001, 1.450, 0.726",0.5,1.0,0,23
15,0.720989,1.528304,0.457,0.423,0.1000,alpkdce2,"0.001, 1.459, 0.730",0.5,1.0,0,25
16,0.712178,1.561100,0.460,0.406,0.1000,alpkdce2,"0.001, 1.423, 0.712",0.5,1.0,1,27
17,0.707311,1.563827,0.463,0.411,0.1000,alpkdce2,"0.001, 1.408, 0.705",0.5,1.0,2,28
18,0.697314,1.515153,0.471,0.413,0.1000,alpkdce2,"0.001, 1.403, 0.702",0.5,1.0,3,30
19,0.687784,1.573011,0.478,0.406,0.1000,alpkdce2,"0.001, 1.378, 0.689",0.5,1.0,4,32
20,0.686520,1.518394,0.477,0.420,0.1000,alpkdce2,"0.001, 1.380, 0.691",0.5,1.0,5,33
21,0.678678,1.566054,0.479,0.415,0.1000,alpkdce2,"0.001, 1.361, 0.681",0.5,1.0,6,35
22,0.669770,1.489771,0.491,0.433,0.1000,alpkdce2,"0.001, 1.350, 0.676",0.5,1.0,0,37
23,0.662286,1.528425,0.497,0.419,0.1000,alpkdce2,"0.001, 1.335, 0.668",0.5,1.0,1,39
24,0.658830,1.558820,0.498,0.409,0.1000,alpkdce2,"0.001, 1.322, 0.662",0.5,1.0,2,40
25,0.654073,1.512495,0.502,0.425,0.1000,alpkdce2,"0.001, 1.322, 0.661",0.5,1.0,3,42
26,0.645594,1.561602,0.506,0.417,0.1000,alpkdce2,"0.001, 1.297, 0.649",0.5,1.0,4,44
27,0.642597,1.551966,0.510,0.420,0.1000,alpkdce2,"0.001, 1.291, 0.646",0.5,1.0,5,45
28,0.637521,1.470847,0.513,0.446,0.1000,alpkdce2,"0.001, 1.293, 0.647",0.5,1.0,0,47
29,0.631473,1.565878,0.517,0.412,0.1000,alpkdce2,"0.001, 1.274, 0.638",0.5,1.0,1,49
30,0.629069,1.478920,0.518,0.445,0.1000,alpkdce2,"0.001, 1.261, 0.631",0.5,1.0,2,51
31,0.622086,1.481243,0.523,0.437,0.1000,alpkdce2,"0.001, 1.250, 0.625",0.5,1.0,3,52
32,0.619265,1.539258,0.526,0.421,0.1000,alpkdce2,"0.001, 1.242, 0.622",0.5,1.0,4,54
33,0.613835,1.627127,0.527,0.407,0.1000,alpkdce2,"0.001, 1.242, 0.621",0.5,1.0,5,56
