_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,1.896005,2.006111,0.295,0.236,0.1000,alpkdce2,"2.029, 0.025, 1.829",0.1,1.0,0,2
2,1.759894,1.939993,0.388,0.277,0.1000,alpkdce2,"1.929, 0.033, 1.739",0.1,1.0,0,4
3,1.690299,1.853219,0.442,0.302,0.1000,alpkdce2,"1.854, 0.039, 1.672",0.1,1.0,0,6
4,1.627807,1.789177,0.488,0.323,0.1000,alpkdce2,"1.790, 0.047, 1.616",0.1,1.0,0,9
5,1.580961,1.760826,0.525,0.334,0.1000,alpkdce2,"1.740, 0.057, 1.572",0.1,1.0,0,11
6,1.539995,1.708641,0.555,0.349,0.1000,alpkdce2,"1.695, 0.062, 1.532",0.1,1.0,0,13
7,1.500557,1.697731,0.582,0.351,0.1000,alpkdce2,"1.646, 0.068, 1.488",0.1,1.0,0,15
8,1.468759,1.690654,0.604,0.366,0.1000,alpkdce2,"1.619, 0.074, 1.464",0.1,1.0,0,18
9,1.437367,1.612041,0.626,0.382,0.1000,alpkdce2,"1.586, 0.081, 1.435",0.1,1.0,0,20
10,1.411849,1.635024,0.643,0.373,0.1000,alpkdce2,"1.559, 0.086, 1.411",0.1,1.0,1,22
11,1.388630,1.593684,0.656,0.388,0.1000,alpkdce2,"1.524, 0.089, 1.381",0.1,1.0,0,24
12,1.363651,1.579313,0.669,0.403,0.1000,alpkdce2,"1.501, 0.094, 1.360",0.1,1.0,0,27
13,1.345843,1.569497,0.683,0.401,0.1000,alpkdce2,"1.489, 0.095, 1.350",0.1,1.0,1,29
14,1.328877,1.534283,0.690,0.416,0.1000,alpkdce2,"1.457, 0.101, 1.321",0.1,1.0,0,31
15,1.311129,1.513510,0.702,0.427,0.1000,alpkdce2,"1.445, 0.103, 1.311",0.1,1.0,0,34
16,1.292081,1.531859,0.710,0.416,0.1000,alpkdce2,"1.424, 0.108, 1.293",0.1,1.0,1,36
17,1.280135,1.506507,0.714,0.430,0.1000,alpkdce2,"1.412, 0.107, 1.282",0.1,1.0,0,38
18,1.266597,1.500120,0.725,0.433,0.1000,alpkdce2,"1.395, 0.112, 1.267",0.1,1.0,0,40
19,1.253764,1.503462,0.733,0.430,0.1000,alpkdce2,"1.385, 0.115, 1.258",0.1,1.0,1,43
20,1.243513,1.506547,0.737,0.424,0.1000,alpkdce2,"1.380, 0.117, 1.253",0.1,1.0,2,45
21,1.227430,1.463667,0.744,0.444,0.1000,alpkdce2,"1.347, 0.118, 1.224",0.1,1.0,0,47
22,1.216290,1.452013,0.752,0.452,0.1000,alpkdce2,"1.343, 0.120, 1.221",0.1,1.0,0,49
23,1.209492,1.456117,0.757,0.443,0.1000,alpkdce2,"1.345, 0.120, 1.222",0.1,1.0,1,52
24,1.197202,1.443850,0.761,0.447,0.1000,alpkdce2,"1.322, 0.124, 1.202",0.1,1.0,2,54
25,1.186867,1.467514,0.766,0.443,0.1000,alpkdce2,"1.316, 0.126, 1.197",0.1,1.0,3,56
26,1.178696,1.450905,0.768,0.451,0.1000,alpkdce2,"1.311, 0.126, 1.192",0.1,1.0,4,58
27,1.172031,1.477197,0.775,0.447,0.1000,alpkdce2,"1.295, 0.130, 1.178",0.1,1.0,5,61
28,1.161436,1.457367,0.778,0.446,0.1000,alpkdce2,"1.278, 0.132, 1.164",0.1,1.0,6,63
29,1.153219,1.460879,0.780,0.443,0.1000,alpkdce2,"1.276, 0.132, 1.162",0.1,1.0,7,65
30,1.148182,1.441360,0.783,0.453,0.1000,alpkdce2,"1.272, 0.133, 1.159",0.1,1.0,0,67
31,1.136213,1.455228,0.788,0.454,0.1000,alpkdce2,"1.257, 0.134, 1.145",0.1,1.0,0,70
32,1.129217,1.497536,0.793,0.449,0.1000,alpkdce2,"1.247, 0.136, 1.136",0.1,1.0,1,72
