_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,1.047781,1.999407,0.309,0.240,0.1000,alpkdce2,"2.022, 0.019, 1.021",0.5,1.0,0,2
2,0.990897,1.963204,0.384,0.262,0.1000,alpkdce2,"1.940, 0.023, 0.982",0.5,1.0,0,4
3,0.960916,1.908090,0.424,0.284,0.1000,alpkdce2,"1.877, 0.027, 0.952",0.5,1.0,0,6
4,0.933071,1.846089,0.465,0.299,0.1000,alpkdce2,"1.821, 0.031, 0.926",0.5,1.0,0,9
5,0.908675,1.782408,0.499,0.325,0.1000,alpkdce2,"1.765, 0.036, 0.900",0.5,1.0,0,11
6,0.886628,1.761430,0.529,0.340,0.1000,alpkdce2,"1.725, 0.039, 0.882",0.5,1.0,0,14
7,0.869995,1.724411,0.551,0.342,0.1000,alpkdce2,"1.697, 0.042, 0.869",0.5,1.0,0,16
8,0.853335,1.678668,0.571,0.364,0.1000,alpkdce2,"1.644, 0.045, 0.845",0.5,1.0,0,18
9,0.838382,1.652687,0.588,0.368,0.1000,alpkdce2,"1.634, 0.047, 0.841",0.5,1.0,0,21
10,0.825786,1.644862,0.606,0.380,0.1000,alpkdce2,"1.595, 0.050, 0.823",0.5,1.0,0,23
11,0.813920,1.634876,0.620,0.386,0.1000,alpkdce2,"1.574, 0.053, 0.814",0.5,1.0,0,25
12,0.803962,1.602370,0.631,0.402,0.1000,alpkdce2,"1.547, 0.055, 0.801",0.5,1.0,0,28
13,0.791957,1.710339,0.645,0.347,0.1000,alpkdce2,"1.531, 0.055, 0.793",0.5,1.0,1,30
14,0.784058,1.560902,0.653,0.418,0.1000,alpkdce2,"1.508, 0.058, 0.783",0.5,1.0,0,32
15,0.774347,1.593134,0.666,0.412,0.1000,alpkdce2,"1.489, 0.059, 0.774",0.5,1.0,1,35
16,0.765881,1.535287,0.675,0.420,0.1000,alpkdce2,"1.477, 0.061, 0.769",0.5,1.0,0,37
17,0.759154,1.548163,0.680,0.423,0.1000,alpkdce2,"1.459, 0.061, 0.760",0.5,1.0,0,39
18,0.749317,1.517048,0.691,0.437,0.1000,alpkdce2,"1.434, 0.063, 0.748",0.5,1.0,0,42
19,0.744038,1.496494,0.696,0.438,0.1000,alpkdce2,"1.430, 0.063, 0.746",0.5,1.0,0,44
20,0.737578,1.532702,0.700,0.437,0.1000,alpkdce2,"1.415, 0.062, 0.739",0.5,1.0,1,47
21,0.731065,1.494088,0.709,0.439,0.1000,alpkdce2,"1.405, 0.064, 0.735",0.5,1.0,0,49
22,0.724680,1.510517,0.711,0.445,0.1000,alpkdce2,"1.378, 0.064, 0.721",0.5,1.0,0,51
23,0.720619,1.481949,0.716,0.441,0.1000,alpkdce2,"1.384, 0.062, 0.723",0.5,1.0,1,54
24,0.711565,1.505088,0.720,0.432,0.1000,alpkdce2,"1.366, 0.063, 0.714",0.5,1.0,2,56
25,0.707096,1.465437,0.727,0.442,0.1000,alpkdce2,"1.351, 0.062, 0.707",0.5,1.0,3,58
26,0.702227,1.514975,0.731,0.435,0.1000,alpkdce2,"1.349, 0.064, 0.706",0.5,1.0,4,61
27,0.694736,1.446134,0.737,0.459,0.1000,alpkdce2,"1.335, 0.062, 0.699",0.5,1.0,0,63
28,0.688307,1.458644,0.740,0.458,0.1000,alpkdce2,"1.313, 0.065, 0.689",0.5,1.0,1,66
29,0.684491,1.475721,0.741,0.442,0.1000,alpkdce2,"1.324, 0.065, 0.694",0.5,1.0,2,68
30,0.680535,1.453404,0.746,0.454,0.1000,alpkdce2,"1.304, 0.065, 0.685",0.5,1.0,3,70
31,0.676681,1.430761,0.751,0.469,0.1000,alpkdce2,"1.299, 0.066, 0.683",0.5,1.0,0,73
32,0.669420,1.505136,0.755,0.426,0.1000,alpkdce2,"1.282, 0.064, 0.673",0.5,1.0,1,75
33,0.666727,1.425951,0.756,0.479,0.1000,alpkdce2,"1.274, 0.064, 0.669",0.5,1.0,0,77
34,0.663168,1.439376,0.758,0.469,0.1000,alpkdce2,"1.281, 0.066, 0.674",0.5,1.0,1,80
35,0.659156,1.440144,0.761,0.451,0.1000,alpkdce2,"1.252, 0.067, 0.659",0.5,1.0,2,82
36,0.649745,1.427222,0.765,0.473,0.1000,alpkdce2,"1.245, 0.064, 0.655",0.5,1.0,3,85
37,0.649163,1.450540,0.767,0.468,0.1000,alpkdce2,"1.244, 0.067, 0.655",0.5,1.0,4,87
38,0.646050,1.423955,0.769,0.478,0.1000,alpkdce2,"1.246, 0.066, 0.656",0.5,1.0,5,89
39,0.643640,1.423325,0.770,0.476,0.1000,alpkdce2,"1.232, 0.067, 0.650",0.5,1.0,6,92
40,0.636597,1.414178,0.774,0.474,0.1000,alpkdce2,"1.213, 0.066, 0.639",0.5,1.0,7,94
41,0.636269,1.450688,0.772,0.471,0.1000,alpkdce2,"1.219, 0.068, 0.643",0.5,1.0,8,96
42,0.631140,1.405674,0.778,0.481,0.1000,alpkdce2,"1.204, 0.068, 0.636",0.5,1.0,0,99
43,0.627693,1.406942,0.780,0.469,0.1000,alpkdce2,"1.198, 0.068, 0.633",0.5,1.0,1,101
44,0.625251,1.462278,0.779,0.459,0.1000,alpkdce2,"1.193, 0.068, 0.631",0.5,1.0,2,104
45,0.621044,1.418545,0.781,0.472,0.1000,alpkdce2,"1.181, 0.067, 0.624",0.5,1.0,3,106
46,0.619969,1.433072,0.783,0.468,0.1000,alpkdce2,"1.182, 0.068, 0.625",0.5,1.0,4,108
47,0.618493,1.458609,0.786,0.478,0.1000,alpkdce2,"1.186, 0.073, 0.629",0.5,1.0,5,111
48,0.614101,1.427037,0.787,0.475,0.1000,alpkdce2,"1.171, 0.071, 0.621",0.5,1.0,6,113
49,0.610997,1.450953,0.787,0.466,0.1000,alpkdce2,"1.159, 0.070, 0.614",0.5,1.0,7,115
50,0.609156,1.407530,0.788,0.479,0.1000,alpkdce2,"1.155, 0.070, 0.613",0.5,1.0,8,118
51,0.605695,1.411339,0.791,0.479,0.1000,alpkdce2,"1.145, 0.070, 0.607",0.5,1.0,9,120
52,0.602836,1.479769,0.791,0.466,0.1000,alpkdce2,"1.155, 0.071, 0.613",0.5,1.0,10,123
53,0.599415,1.433528,0.795,0.471,0.1000,alpkdce2,"1.147, 0.072, 0.609",0.5,1.0,11,125
54,0.596066,1.446752,0.797,0.472,0.1000,alpkdce2,"1.144, 0.072, 0.608",0.5,1.0,12,127
55,0.595649,1.407198,0.797,0.486,0.1000,alpkdce2,"1.139, 0.071, 0.605",0.5,1.0,0,130
56,0.591668,1.443469,0.802,0.470,0.1000,alpkdce2,"1.133, 0.071, 0.602",0.5,1.0,1,132
57,0.590821,1.408940,0.802,0.477,0.1000,alpkdce2,"1.134, 0.073, 0.603",0.5,1.0,2,135
58,0.584489,1.427120,0.804,0.480,0.1000,alpkdce2,"1.124, 0.072, 0.598",0.5,1.0,3,137
59,0.584758,1.417222,0.807,0.473,0.1000,alpkdce2,"1.113, 0.074, 0.593",0.5,1.0,4,139
60,0.579298,1.408447,0.809,0.484,0.1000,alpkdce2,"1.103, 0.073, 0.588",0.5,1.0,5,142
61,0.582884,1.424857,0.804,0.490,0.1000,alpkdce2,"1.117, 0.076, 0.596",0.5,1.0,0,144
62,0.575938,1.434440,0.807,0.475,0.1000,alpkdce2,"1.091, 0.073, 0.582",0.5,1.0,1,146
63,0.573052,1.482663,0.811,0.455,0.1000,alpkdce2,"1.088, 0.073, 0.581",0.5,1.0,2,149
64,0.572757,1.427279,0.813,0.472,0.1000,alpkdce2,"1.089, 0.074, 0.582",0.5,1.0,3,151
65,0.570099,1.407834,0.811,0.485,0.1000,alpkdce2,"1.080, 0.074, 0.577",0.5,1.0,4,154
66,0.567502,1.433428,0.811,0.478,0.1000,alpkdce2,"1.078, 0.073, 0.576",0.5,1.0,5,156
67,0.564406,1.447782,0.815,0.459,0.1000,alpkdce2,"1.064, 0.074, 0.569",0.5,1.0,6,158
68,0.567534,1.447193,0.814,0.468,0.1000,alpkdce2,"1.083, 0.076, 0.579",0.5,1.0,7,161
69,0.561121,1.423793,0.821,0.483,0.1000,alpkdce2,"1.067, 0.074, 0.571",0.5,1.0,8,163
70,0.557103,1.422905,0.818,0.483,0.1000,alpkdce2,"1.070, 0.074, 0.572",0.5,1.0,9,165
71,0.555742,1.442157,0.819,0.466,0.1000,alpkdce2,"1.061, 0.074, 0.567",0.5,1.0,10,168
72,0.555972,1.430103,0.821,0.483,0.1000,alpkdce2,"1.059, 0.076, 0.568",0.5,1.0,11,170
73,0.555445,1.423744,0.822,0.480,0.1000,alpkdce2,"1.048, 0.077, 0.563",0.5,1.0,12,173
74,0.553155,1.434528,0.823,0.467,0.1000,alpkdce2,"1.058, 0.076, 0.567",0.5,1.0,13,175
75,0.552765,1.497285,0.821,0.445,0.1000,alpkdce2,"1.034, 0.076, 0.555",0.5,1.0,14,177
