_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,0.221758,2.125907,0.199,0.213,0.1000,alpkdce1,"2.213, 0.004, 0.225",0.9,1.0,0,2
2,0.214713,2.084683,0.249,0.226,0.1000,alpkdce1,"2.185, 0.005, 0.223",0.9,1.0,0,4
3,0.211699,2.051142,0.257,0.242,0.1000,alpkdce1,"2.155, 0.006, 0.221",0.9,1.0,0,6
4,0.211187,2.023547,0.269,0.246,0.1000,alpkdce1,"2.146, 0.006, 0.220",0.9,1.0,0,9
5,0.207955,2.007185,0.275,0.271,0.1000,alpkdce1,"2.118, 0.007, 0.218",0.9,1.0,0,11
6,0.207098,1.968415,0.285,0.280,0.1000,alpkdce1,"2.121, 0.007, 0.219",0.9,1.0,0,13
7,0.207246,1.962570,0.288,0.286,0.1000,alpkdce1,"2.126, 0.007, 0.219",0.9,1.0,0,16
8,0.206182,1.959300,0.292,0.291,0.1000,alpkdce1,"2.129, 0.007, 0.219",0.9,1.0,0,18
9,0.203117,1.946574,0.305,0.296,0.1000,alpkdce1,"2.115, 0.007, 0.218",0.9,1.0,0,20
10,0.202269,1.915910,0.306,0.312,0.1000,alpkdce1,"2.081, 0.009, 0.216",0.9,1.0,0,22
11,0.200168,1.889178,0.312,0.319,0.1000,alpkdce1,"2.057, 0.009, 0.214",0.9,1.0,0,25
12,0.203955,1.906561,0.311,0.321,0.1000,alpkdce1,"2.096, 0.008, 0.217",0.9,1.0,0,27
13,0.198367,1.889149,0.320,0.318,0.1000,alpkdce1,"2.044, 0.010, 0.213",0.9,1.0,1,29
14,0.196434,1.866736,0.325,0.331,0.1000,alpkdce1,"2.028, 0.010, 0.212",0.9,1.0,0,32
15,0.197720,1.859796,0.335,0.333,0.1000,alpkdce1,"2.047, 0.009, 0.213",0.9,1.0,0,34
16,0.199721,1.873157,0.328,0.335,0.1000,alpkdce1,"2.072, 0.008, 0.215",0.9,1.0,0,36
17,0.198093,1.848289,0.332,0.342,0.1000,alpkdce1,"2.043, 0.010, 0.213",0.9,1.0,0,38
18,0.195363,1.813835,0.346,0.341,0.1000,alpkdce1,"2.033, 0.010, 0.212",0.9,1.0,1,41
19,0.194419,1.813815,0.346,0.358,0.1000,alpkdce1,"2.021, 0.010, 0.211",0.9,1.0,0,43
20,0.194825,1.854657,0.350,0.354,0.1000,alpkdce1,"1.994, 0.011, 0.209",0.9,1.0,1,45
21,0.194080,1.819487,0.354,0.355,0.1000,alpkdce1,"2.013, 0.011, 0.211",0.9,1.0,2,47
22,0.194163,1.790089,0.358,0.370,0.1000,alpkdce1,"2.000, 0.011, 0.210",0.9,1.0,0,50
23,0.191680,1.783309,0.363,0.376,0.1000,alpkdce1,"2.003, 0.011, 0.210",0.9,1.0,0,52
24,0.191828,1.788363,0.363,0.355,0.1000,alpkdce1,"2.019, 0.010, 0.211",0.9,1.0,1,54
25,0.191438,1.794041,0.363,0.350,0.1000,alpkdce1,"1.967, 0.012, 0.207",0.9,1.0,2,56
26,0.189981,1.796583,0.376,0.376,0.1000,alpkdce1,"2.019, 0.011, 0.212",0.9,1.0,3,59
27,0.191730,1.757428,0.372,0.382,0.1000,alpkdce1,"1.988, 0.011, 0.208",0.9,1.0,0,61
28,0.191161,1.800954,0.372,0.366,0.1000,alpkdce1,"1.983, 0.011, 0.208",0.9,1.0,1,63
29,0.190312,1.759427,0.381,0.374,0.1000,alpkdce1,"1.991, 0.011, 0.209",0.9,1.0,2,66
30,0.185542,1.782603,0.391,0.382,0.1000,alpkdce1,"1.966, 0.012, 0.208",0.9,1.0,3,68
31,0.184586,1.758111,0.395,0.386,0.1000,alpkdce1,"1.953, 0.012, 0.206",0.9,1.0,0,70
32,0.187851,1.805356,0.388,0.395,0.1000,alpkdce1,"1.961, 0.011, 0.206",0.9,1.0,0,72
33,0.185560,1.721340,0.398,0.412,0.1000,alpkdce1,"1.916, 0.013, 0.203",0.9,1.0,0,75
34,0.186523,1.775244,0.397,0.396,0.1000,alpkdce1,"1.889, 0.013, 0.200",0.9,1.0,1,77
35,0.187514,1.740752,0.396,0.409,0.1000,alpkdce1,"2.004, 0.011, 0.210",0.9,1.0,2,79
36,0.186965,1.809329,0.401,0.403,0.1000,alpkdce1,"1.920, 0.012, 0.202",0.9,1.0,3,82
