_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,0.222200,2.143759,0.198,0.191,0.1000,alpkdce1,"2.207, 0.004, 0.224",0.9,30.0,0,3
2,0.214901,2.082529,0.241,0.237,0.1000,alpkdce1,"2.160, 0.005, 0.221",0.9,30.0,0,6
3,0.211563,2.063024,0.252,0.244,0.1000,alpkdce1,"2.125, 0.006, 0.218",0.9,30.0,0,9
4,0.209179,2.014467,0.264,0.254,0.1000,alpkdce1,"2.082, 0.007, 0.215",0.9,30.0,0,12
5,0.207884,1.999778,0.272,0.259,0.1000,alpkdce1,"2.142, 0.006, 0.220",0.9,30.0,0,15
6,0.205393,1.964481,0.280,0.271,0.1000,alpkdce1,"2.094, 0.007, 0.216",0.9,30.0,0,19
7,0.205339,1.959196,0.288,0.284,0.1000,alpkdce1,"2.086, 0.008, 0.216",0.9,30.0,0,22
8,0.202069,1.941847,0.294,0.281,0.1000,alpkdce1,"2.040, 0.009, 0.212",0.9,30.0,1,25
9,0.202064,1.937524,0.300,0.293,0.1000,alpkdce1,"2.069, 0.009, 0.215",0.9,30.0,0,28
10,0.201356,1.899586,0.302,0.310,0.1000,alpkdce1,"2.050, 0.009, 0.213",0.9,30.0,0,31
11,0.199216,1.901150,0.310,0.307,0.1000,alpkdce1,"2.016, 0.009, 0.210",0.9,30.0,1,35
12,0.198023,1.883590,0.316,0.318,0.1000,alpkdce1,"2.066, 0.009, 0.214",0.9,30.0,0,38
13,0.195349,1.866550,0.320,0.326,0.1000,alpkdce1,"2.033, 0.009, 0.212",0.9,30.0,0,41
14,0.195224,1.864090,0.328,0.321,0.1000,alpkdce1,"2.048, 0.010, 0.214",0.9,30.0,1,44
15,0.197196,1.850909,0.326,0.328,0.1000,alpkdce1,"2.049, 0.009, 0.213",0.9,30.0,0,47
16,0.194377,1.804853,0.333,0.333,0.1000,alpkdce1,"1.969, 0.011, 0.207",0.9,30.0,0,51
17,0.193942,1.815267,0.339,0.342,0.1000,alpkdce1,"1.956, 0.011, 0.206",0.9,30.0,0,54
18,0.193089,1.791537,0.340,0.360,0.1000,alpkdce1,"2.012, 0.010, 0.210",0.9,30.0,0,57
19,0.191602,1.779888,0.349,0.362,0.1000,alpkdce1,"1.999, 0.010, 0.209",0.9,30.0,0,60
20,0.191393,1.781501,0.349,0.366,0.1000,alpkdce1,"1.959, 0.011, 0.206",0.9,30.0,0,63
21,0.191034,1.782863,0.352,0.375,0.1000,alpkdce1,"2.035, 0.010, 0.213",0.9,30.0,0,67
22,0.186635,1.723136,0.361,0.373,0.1000,alpkdce1,"1.873, 0.013, 0.199",0.9,30.0,1,70
23,0.187203,1.794178,0.364,0.371,0.1000,alpkdce1,"2.018, 0.011, 0.211",0.9,30.0,2,73
24,0.188365,1.729769,0.366,0.381,0.1000,alpkdce1,"1.957, 0.012, 0.207",0.9,30.0,0,76
