_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,0.201205,2.075991,0.177,0.218,0.1000,alpkdce2,"1.811, 0.013, 0.193",0.9,30.0,0,2
2,0.184713,2.005033,0.238,0.240,0.1000,alpkdce2,"1.689, 0.016, 0.183",0.9,30.0,0,4
3,0.176881,1.945349,0.262,0.265,0.1000,alpkdce2,"1.588, 0.018, 0.175",0.9,30.0,0,7
4,0.171331,1.930124,0.283,0.266,0.1000,alpkdce2,"1.517, 0.020, 0.169",0.9,30.0,0,9
5,0.166818,1.897724,0.296,0.287,0.1000,alpkdce2,"1.476, 0.021, 0.166",0.9,30.0,0,12
6,0.163020,1.875450,0.313,0.295,0.1000,alpkdce2,"1.429, 0.022, 0.163",0.9,30.0,0,14
7,0.159326,1.810489,0.324,0.324,0.1000,alpkdce2,"1.383, 0.023, 0.159",0.9,30.0,0,17
8,0.156672,1.785473,0.335,0.329,0.1000,alpkdce2,"1.352, 0.024, 0.157",0.9,30.0,0,19
9,0.153812,1.768385,0.347,0.327,0.1000,alpkdce2,"1.318, 0.024, 0.154",0.9,30.0,1,22
10,0.151125,1.772167,0.359,0.334,0.1000,alpkdce2,"1.283, 0.025, 0.151",0.9,30.0,0,24
11,0.149033,1.724241,0.368,0.356,0.1000,alpkdce2,"1.253, 0.026, 0.149",0.9,30.0,0,27
12,0.147228,1.719409,0.377,0.351,0.1000,alpkdce2,"1.235, 0.027, 0.147",0.9,30.0,1,29
13,0.145187,1.723464,0.386,0.361,0.1000,alpkdce2,"1.205, 0.027, 0.145",0.9,30.0,0,31
14,0.143630,1.712549,0.392,0.354,0.1000,alpkdce2,"1.190, 0.027, 0.143",0.9,30.0,1,34
15,0.142259,1.687158,0.401,0.376,0.1000,alpkdce2,"1.174, 0.028, 0.142",0.9,30.0,0,36
16,0.140680,1.651157,0.409,0.383,0.1000,alpkdce2,"1.156, 0.028, 0.141",0.9,30.0,0,39
17,0.139433,1.651020,0.412,0.384,0.1000,alpkdce2,"1.134, 0.028, 0.139",0.9,30.0,0,41
18,0.138288,1.646614,0.419,0.386,0.1000,alpkdce2,"1.128, 0.028, 0.138",0.9,30.0,0,43
19,0.137244,1.621217,0.423,0.388,0.1000,alpkdce2,"1.118, 0.028, 0.137",0.9,30.0,0,46
20,0.135819,1.619121,0.432,0.403,0.1000,alpkdce2,"1.103, 0.029, 0.136",0.9,30.0,0,48
21,0.134949,1.619727,0.438,0.410,0.1000,alpkdce2,"1.095, 0.029, 0.135",0.9,30.0,0,51
22,0.133842,1.630288,0.441,0.394,0.1000,alpkdce2,"1.074, 0.029, 0.134",0.9,30.0,1,53
23,0.132716,1.607867,0.445,0.402,0.1000,alpkdce2,"1.059, 0.030, 0.132",0.9,30.0,2,56
24,0.132040,1.589263,0.451,0.406,0.1000,alpkdce2,"1.061, 0.029, 0.133",0.9,30.0,3,58
25,0.131374,1.576041,0.452,0.410,0.1000,alpkdce2,"1.044, 0.030, 0.131",0.9,30.0,0,60
26,0.130517,1.573063,0.459,0.405,0.1000,alpkdce2,"1.037, 0.030, 0.131",0.9,30.0,1,63
27,0.129469,1.562757,0.461,0.427,0.1000,alpkdce2,"1.029, 0.030, 0.130",0.9,30.0,0,65
28,0.128674,1.579616,0.468,0.413,0.1000,alpkdce2,"1.018, 0.030, 0.129",0.9,30.0,1,68
29,0.127841,1.580733,0.472,0.417,0.1000,alpkdce2,"1.007, 0.030, 0.128",0.9,30.0,2,70
30,0.127301,1.564654,0.474,0.418,0.1000,alpkdce2,"1.012, 0.030, 0.128",0.9,30.0,3,73
31,0.126725,1.562524,0.477,0.418,0.1000,alpkdce2,"1.001, 0.031, 0.128",0.9,30.0,4,75
32,0.125981,1.545703,0.481,0.432,0.1000,alpkdce2,"0.982, 0.030, 0.125",0.9,30.0,0,77
33,0.125306,1.548488,0.485,0.426,0.1000,alpkdce2,"0.979, 0.031, 0.125",0.9,30.0,1,80
34,0.124716,1.548422,0.487,0.429,0.1000,alpkdce2,"0.977, 0.031, 0.125",0.9,30.0,2,82
35,0.123883,1.525617,0.490,0.429,0.1000,alpkdce2,"0.975, 0.031, 0.125",0.9,30.0,3,85
36,0.123282,1.513223,0.491,0.434,0.1000,alpkdce2,"0.960, 0.031, 0.124",0.9,30.0,0,87
37,0.122441,1.532023,0.500,0.443,0.1000,alpkdce2,"0.959, 0.031, 0.123",0.9,30.0,0,90
38,0.121849,1.530646,0.503,0.446,0.1000,alpkdce2,"0.951, 0.031, 0.123",0.9,30.0,0,92
39,0.121410,1.506848,0.501,0.445,0.1000,alpkdce2,"0.941, 0.031, 0.122",0.9,30.0,1,95
40,0.120785,1.531348,0.507,0.431,0.1000,alpkdce2,"0.939, 0.031, 0.122",0.9,30.0,2,97
