_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.026772,2.013360,0.322,0.228,0.1000,alp,"1.885, 0.055, 1.934",0.9,1.0,0,2
2,1.827508,1.946499,0.439,0.254,0.1000,alp,"1.737, 0.067, 1.798",0.9,1.0,0,4
3,1.720921,1.856657,0.509,0.294,0.1000,alp,"1.625, 0.079, 1.696",0.9,1.0,0,6
4,1.625093,1.812604,0.565,0.317,0.1000,alp,"1.523, 0.092, 1.605",0.9,1.0,0,9
5,1.562035,1.750970,0.598,0.326,0.1000,alp,"1.461, 0.098, 1.550",0.9,1.0,0,11
6,1.507129,1.715704,0.632,0.343,0.1000,alp,"1.408, 0.104, 1.502",0.9,1.0,0,14
7,1.467811,1.680227,0.657,0.357,0.1000,alp,"1.358, 0.109, 1.456",0.9,1.0,0,16
8,1.430135,1.649372,0.677,0.371,0.1000,alp,"1.322, 0.113, 1.423",0.9,1.0,0,18
9,1.408450,1.628717,0.686,0.382,0.1000,alp,"1.291, 0.116, 1.395",0.9,1.0,0,21
10,1.371980,1.679453,0.703,0.362,0.1000,alp,"1.259, 0.120, 1.367",0.9,1.0,1,23
11,1.348047,1.592967,0.715,0.378,0.1000,alp,"1.245, 0.121, 1.354",0.9,1.0,2,26
12,1.325729,1.595404,0.725,0.384,0.1000,alp,"1.215, 0.123, 1.326",0.9,1.0,0,28
13,1.307077,1.590842,0.737,0.387,0.1000,alp,"1.201, 0.126, 1.314",0.9,1.0,0,30
14,1.286882,1.539397,0.745,0.414,0.1000,alp,"1.173, 0.129, 1.289",0.9,1.0,0,33
15,1.270210,1.551410,0.752,0.410,0.1000,alp,"1.155, 0.132, 1.273",0.9,1.0,1,35
16,1.254745,1.536756,0.761,0.405,0.1000,alp,"1.135, 0.134, 1.256",0.9,1.0,2,38
17,1.241570,1.544853,0.767,0.409,0.1000,alp,"1.121, 0.135, 1.243",0.9,1.0,3,40
