_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.116106,2.056047,0.285,0.221,0.1000,alp,"1.953, 0.045, 1.998",1.0,1.0,0,2
2,1.900680,1.957957,0.392,0.248,0.1000,alp,"1.812, 0.056, 1.868",1.0,1.0,0,4
3,1.806563,1.898976,0.453,0.284,0.1000,alp,"1.717, 0.066, 1.783",1.0,1.0,0,7
4,1.720329,1.855958,0.505,0.297,0.1000,alp,"1.627, 0.075, 1.702",1.0,1.0,0,9
5,1.650332,1.795273,0.553,0.319,0.1000,alp,"1.550, 0.082, 1.632",1.0,1.0,0,11
6,1.585961,1.753038,0.590,0.340,0.1000,alp,"1.473, 0.091, 1.564",1.0,1.0,0,14
7,1.534251,1.709172,0.623,0.342,0.1000,alp,"1.430, 0.097, 1.527",1.0,1.0,0,16
8,1.490581,1.686641,0.645,0.357,0.1000,alp,"1.378, 0.103, 1.480",1.0,1.0,0,18
9,1.453787,1.667072,0.665,0.363,0.1000,alp,"1.338, 0.106, 1.444",1.0,1.0,0,21
10,1.427096,1.648096,0.680,0.364,0.1000,alp,"1.322, 0.107, 1.429",1.0,1.0,0,23
11,1.398493,1.632372,0.693,0.384,0.1000,alp,"1.293, 0.110, 1.403",1.0,1.0,0,26
12,1.372491,1.621776,0.707,0.378,0.1000,alp,"1.257, 0.114, 1.370",1.0,1.0,1,28
13,1.350669,1.561228,0.718,0.395,0.1000,alp,"1.230, 0.117, 1.347",1.0,1.0,0,30
14,1.324346,1.556601,0.730,0.402,0.1000,alp,"1.205, 0.118, 1.323",1.0,1.0,0,33
15,1.310488,1.543991,0.737,0.404,0.1000,alp,"1.191, 0.121, 1.312",1.0,1.0,0,35
16,1.292207,1.528731,0.743,0.416,0.1000,alp,"1.177, 0.120, 1.297",1.0,1.0,0,38
17,1.272664,1.512720,0.755,0.423,0.1000,alp,"1.149, 0.123, 1.273",1.0,1.0,0,40
18,1.261533,1.512153,0.757,0.421,0.1000,alp,"1.136, 0.127, 1.263",1.0,1.0,1,42
19,1.246239,1.522772,0.768,0.417,0.1000,alp,"1.126, 0.127, 1.252",1.0,1.0,2,45
20,1.229835,1.522343,0.775,0.421,0.1000,alp,"1.115, 0.129, 1.243",1.0,1.0,3,47
21,1.221090,1.534084,0.779,0.410,0.1000,alp,"1.100, 0.130, 1.230",1.0,1.0,4,49
22,1.207485,1.480450,0.784,0.438,0.1000,alp,"1.085, 0.131, 1.215",1.0,1.0,0,52
23,1.194661,1.483749,0.791,0.438,0.1000,alp,"1.065, 0.132, 1.197",1.0,1.0,0,54
24,1.185638,1.475104,0.795,0.431,0.1000,alp,"1.058, 0.133, 1.190",1.0,1.0,1,57
25,1.177034,1.465560,0.799,0.445,0.1000,alp,"1.048, 0.134, 1.181",1.0,1.0,0,59
26,1.163413,1.454361,0.804,0.446,0.1000,alp,"1.031, 0.135, 1.166",1.0,1.0,0,61
27,1.157677,1.455266,0.806,0.443,0.1000,alp,"1.030, 0.136, 1.166",1.0,1.0,1,64
28,1.147830,1.476113,0.809,0.438,0.1000,alp,"1.017, 0.137, 1.154",1.0,1.0,2,66
29,1.136874,1.486133,0.816,0.435,0.1000,alp,"1.017, 0.137, 1.153",1.0,1.0,3,69
30,1.130026,1.438289,0.819,0.457,0.1000,alp,"1.009, 0.137, 1.147",1.0,1.0,0,71
31,1.120782,1.462579,0.823,0.443,0.1000,alp,"0.994, 0.137, 1.131",1.0,1.0,1,73
32,1.115642,1.455562,0.823,0.450,0.1000,alp,"0.991, 0.139, 1.130",1.0,1.0,2,76
33,1.103591,1.447319,0.830,0.456,0.1000,alp,"0.969, 0.140, 1.110",1.0,1.0,3,78
34,1.104155,1.461773,0.830,0.434,0.1000,alp,"0.972, 0.140, 1.113",1.0,1.0,4,81
35,1.091023,1.434022,0.833,0.446,0.1000,alp,"0.960, 0.140, 1.101",1.0,1.0,5,83
36,1.081061,1.482194,0.838,0.438,0.1000,alp,"0.951, 0.142, 1.093",1.0,1.0,6,85
37,1.080084,1.444819,0.838,0.449,0.1000,alp,"0.936, 0.142, 1.079",1.0,1.0,7,88
38,1.072660,1.437255,0.843,0.451,0.1000,alp,"0.933, 0.143, 1.077",1.0,1.0,8,90
39,1.067264,1.427272,0.841,0.456,0.1000,alp,"0.944, 0.142, 1.086",1.0,1.0,9,93
40,1.053516,1.439322,0.849,0.446,0.1000,alp,"0.917, 0.145, 1.062",1.0,1.0,10,95
41,1.054732,1.464755,0.848,0.443,0.1000,alp,"0.920, 0.144, 1.065",1.0,1.0,11,97
42,1.046655,1.444727,0.851,0.456,0.1000,alp,"0.913, 0.146, 1.059",1.0,1.0,12,100
43,1.042618,1.468623,0.852,0.453,0.1000,alp,"0.914, 0.145, 1.059",1.0,1.0,13,102
44,1.037750,1.502021,0.855,0.443,0.1000,alp,"0.905, 0.147, 1.053",1.0,1.0,14,105
45,1.030776,1.481509,0.858,0.440,0.1000,alp,"0.898, 0.145, 1.043",1.0,1.0,15,107
46,1.028826,1.451395,0.858,0.446,0.1000,alp,"0.895, 0.147, 1.042",1.0,1.0,16,109
47,1.023432,1.444415,0.860,0.452,0.1000,alp,"0.886, 0.147, 1.033",1.0,1.0,17,112
48,1.016694,1.470366,0.863,0.446,0.1000,alp,"0.892, 0.147, 1.039",1.0,1.0,18,114
49,1.011376,1.463091,0.865,0.445,0.1000,alp,"0.875, 0.147, 1.022",1.0,1.0,19,116
50,1.008724,1.471694,0.866,0.442,0.1000,alp,"0.868, 0.149, 1.017",1.0,1.0,20,119
51,1.001929,1.447551,0.869,0.453,0.1000,alp,"0.871, 0.147, 1.019",1.0,1.0,21,121
52,0.997430,1.504791,0.869,0.441,0.1000,alp,"0.860, 0.148, 1.009",1.0,1.0,22,124
53,0.995278,1.434575,0.871,0.453,0.1000,alp,"0.863, 0.148, 1.011",1.0,1.0,23,126
54,0.987090,1.464579,0.874,0.444,0.1000,alp,"0.847, 0.151, 0.998",1.0,1.0,24,129
55,0.986433,1.472022,0.873,0.447,0.1000,alp,"0.857, 0.150, 1.007",1.0,1.0,25,131
56,0.980480,1.469295,0.877,0.444,0.1000,alp,"0.839, 0.150, 0.989",1.0,1.0,26,133
57,0.976853,1.459817,0.878,0.461,0.1000,alp,"0.844, 0.150, 0.994",1.0,1.0,0,136
58,0.974254,1.460501,0.879,0.452,0.1000,alp,"0.834, 0.151, 0.984",1.0,1.0,1,138
59,0.966207,1.459984,0.882,0.455,0.1000,alp,"0.832, 0.151, 0.983",1.0,1.0,2,140
60,0.961886,1.469972,0.882,0.451,0.1000,alp,"0.827, 0.152, 0.979",1.0,1.0,3,143
61,0.955519,1.514976,0.885,0.434,0.1000,alp,"0.817, 0.149, 0.967",1.0,1.0,4,145
62,0.955598,1.442420,0.885,0.457,0.1000,alp,"0.821, 0.151, 0.972",1.0,1.0,5,148
63,0.951774,1.463424,0.888,0.456,0.1000,alp,"0.818, 0.150, 0.967",1.0,1.0,6,150
64,0.949016,1.490960,0.887,0.438,0.1000,alp,"0.818, 0.153, 0.970",1.0,1.0,7,153
65,0.946898,1.524202,0.888,0.434,0.1000,alp,"0.814, 0.151, 0.965",1.0,1.0,8,155
66,0.944414,1.456359,0.889,0.458,0.1000,alp,"0.801, 0.153, 0.954",1.0,1.0,9,157
67,0.936968,1.445389,0.891,0.452,0.1000,alp,"0.795, 0.152, 0.948",1.0,1.0,10,160
68,0.935302,1.443888,0.893,0.458,0.1000,alp,"0.796, 0.154, 0.950",1.0,1.0,11,162
69,0.929711,1.442735,0.894,0.456,0.1000,alp,"0.793, 0.154, 0.946",1.0,1.0,12,165
70,0.924238,1.479915,0.895,0.451,0.1000,alp,"0.790, 0.153, 0.942",1.0,1.0,13,167
71,0.923006,1.447423,0.895,0.456,0.1000,alp,"0.784, 0.155, 0.938",1.0,1.0,14,169
72,0.919513,1.483909,0.896,0.453,0.1000,alp,"0.784, 0.153, 0.937",1.0,1.0,15,172
73,0.912912,1.478995,0.899,0.446,0.1000,alp,"0.782, 0.153, 0.935",1.0,1.0,16,174
74,0.915256,1.460355,0.900,0.451,0.1000,alp,"0.777, 0.155, 0.932",1.0,1.0,17,177
75,0.904860,1.466742,0.903,0.447,0.1000,alp,"0.758, 0.156, 0.915",1.0,1.0,18,179
76,0.906499,1.517318,0.901,0.431,0.1000,alp,"0.766, 0.154, 0.920",1.0,1.0,19,181
77,0.906211,1.493742,0.903,0.443,0.1000,alp,"0.776, 0.155, 0.931",1.0,1.0,20,184
78,0.901069,1.488577,0.904,0.451,0.1000,alp,"0.769, 0.154, 0.923",1.0,1.0,21,186
79,0.902353,1.472798,0.905,0.449,0.1000,alp,"0.761, 0.156, 0.916",1.0,1.0,22,189
80,0.892977,1.485714,0.907,0.445,0.1000,alp,"0.755, 0.156, 0.911",1.0,1.0,23,191
81,0.891535,1.492553,0.907,0.445,0.1000,alp,"0.753, 0.154, 0.908",1.0,1.0,24,193
82,0.892431,1.493006,0.905,0.450,0.1000,alp,"0.759, 0.156, 0.915",1.0,1.0,25,196
83,0.884378,1.466603,0.910,0.457,0.1000,alp,"0.751, 0.156, 0.907",1.0,1.0,26,198
84,0.880737,1.493730,0.912,0.443,0.1000,alp,"0.731, 0.156, 0.887",1.0,1.0,27,201
85,0.883980,1.485828,0.909,0.450,0.1000,alp,"0.747, 0.154, 0.902",1.0,1.0,28,203
86,0.878778,1.513733,0.911,0.441,0.1000,alp,"0.743, 0.156, 0.899",1.0,1.0,29,205
87,0.873567,1.508906,0.913,0.448,0.1000,alp,"0.729, 0.156, 0.885",1.0,1.0,30,208
88,0.873292,1.508163,0.914,0.448,0.1000,alp,"0.739, 0.157, 0.896",1.0,1.0,31,210
89,0.876740,1.476636,0.912,0.457,0.1000,alp,"0.734, 0.155, 0.889",1.0,1.0,32,213
90,0.872492,1.537082,0.912,0.433,0.1000,alp,"0.730, 0.155, 0.885",1.0,1.0,33,215
91,0.862990,1.539415,0.913,0.436,0.1000,alp,"0.722, 0.156, 0.878",1.0,1.0,34,217
92,0.865319,1.514017,0.916,0.442,0.1000,alp,"0.729, 0.158, 0.887",1.0,1.0,35,220
93,0.864121,1.524344,0.917,0.436,0.1000,alp,"0.722, 0.157, 0.879",1.0,1.0,36,222
94,0.857931,1.521304,0.919,0.429,0.1000,alp,"0.725, 0.158, 0.883",1.0,1.0,37,225
95,0.856895,1.472030,0.919,0.460,0.1000,alp,"0.722, 0.157, 0.879",1.0,1.0,38,227
96,0.854812,1.504081,0.918,0.444,0.1000,alp,"0.720, 0.156, 0.877",1.0,1.0,39,229
97,0.854885,1.489428,0.919,0.448,0.1000,alp,"0.728, 0.159, 0.886",1.0,1.0,40,232
98,0.855509,1.485966,0.919,0.447,0.1000,alp,"0.724, 0.158, 0.882",1.0,1.0,41,234
99,0.849843,1.475442,0.920,0.450,0.1000,alp,"0.710, 0.158, 0.868",1.0,1.0,42,237
100,0.850617,1.490822,0.920,0.450,0.1000,alp,"0.714, 0.158, 0.872",1.0,1.0,43,239
101,0.699656,1.400939,0.954,0.487,0.0100,alp,"0.524, 0.149, 0.673",1.0,1.0,0,241
102,0.631750,1.411261,0.964,0.490,0.0100,alp,"0.478, 0.147, 0.625",1.0,1.0,0,244
103,0.605625,1.431137,0.968,0.474,0.0100,alp,"0.458, 0.145, 0.604",1.0,1.0,1,246
104,0.590277,1.434720,0.970,0.479,0.0100,alp,"0.447, 0.145, 0.592",1.0,1.0,2,248
