_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,0.205452,1.975560,0.223,0.264,0.1000,alpkdce1,"1.886, 0.010, 0.197",0.9,30.0,0,3
2,0.189509,1.880531,0.289,0.300,0.1000,alpkdce1,"1.753, 0.012, 0.186",0.9,30.0,0,6
3,0.181884,1.820682,0.323,0.321,0.1000,alpkdce1,"1.677, 0.014, 0.180",0.9,30.0,0,10
4,0.175810,1.774007,0.349,0.349,0.1000,alpkdce1,"1.599, 0.016, 0.174",0.9,30.0,0,13
5,0.170720,1.719717,0.371,0.363,0.1000,alpkdce1,"1.538, 0.016, 0.169",0.9,30.0,0,16
6,0.166252,1.675632,0.391,0.381,0.1000,alpkdce1,"1.493, 0.018, 0.165",0.9,30.0,0,20
7,0.162663,1.639510,0.406,0.393,0.1000,alpkdce1,"1.454, 0.018, 0.162",0.9,30.0,0,23
8,0.159531,1.609166,0.421,0.405,0.1000,alpkdce1,"1.409, 0.019, 0.158",0.9,30.0,0,26
9,0.156634,1.592372,0.436,0.411,0.1000,alpkdce1,"1.387, 0.020, 0.156",0.9,30.0,0,30
10,0.154223,1.559725,0.448,0.428,0.1000,alpkdce1,"1.350, 0.020, 0.153",0.9,30.0,0,33
11,0.151955,1.544472,0.457,0.431,0.1000,alpkdce1,"1.335, 0.021, 0.152",0.9,30.0,0,36
12,0.150098,1.523279,0.465,0.448,0.1000,alpkdce1,"1.304, 0.021, 0.149",0.9,30.0,0,40
13,0.148250,1.499447,0.475,0.447,0.1000,alpkdce1,"1.290, 0.021, 0.148",0.9,30.0,1,43
14,0.146489,1.495673,0.481,0.459,0.1000,alpkdce1,"1.259, 0.022, 0.145",0.9,30.0,0,46
15,0.144996,1.484279,0.488,0.463,0.1000,alpkdce1,"1.252, 0.022, 0.145",0.9,30.0,0,50
16,0.143641,1.466192,0.497,0.466,0.1000,alpkdce1,"1.240, 0.022, 0.144",0.9,30.0,0,53
17,0.142394,1.464789,0.500,0.462,0.1000,alpkdce1,"1.224, 0.022, 0.142",0.9,30.0,1,56
18,0.141274,1.448506,0.505,0.475,0.1000,alpkdce1,"1.214, 0.022, 0.141",0.9,30.0,0,60
19,0.140159,1.430251,0.511,0.476,0.1000,alpkdce1,"1.201, 0.022, 0.140",0.9,30.0,0,63
20,0.138976,1.431607,0.519,0.467,0.1000,alpkdce1,"1.192, 0.022, 0.139",0.9,30.0,1,66
21,0.138101,1.421787,0.521,0.487,0.1000,alpkdce1,"1.182, 0.022, 0.138",0.9,30.0,0,70
22,0.137271,1.444471,0.526,0.471,0.1000,alpkdce1,"1.178, 0.022, 0.138",0.9,30.0,1,73
23,0.136256,1.440935,0.528,0.482,0.1000,alpkdce1,"1.159, 0.022, 0.136",0.9,30.0,2,76
24,0.135558,1.394596,0.534,0.489,0.1000,alpkdce1,"1.157, 0.022, 0.136",0.9,30.0,0,80
25,0.134134,1.394517,0.536,0.495,0.1000,alpkdce1,"1.142, 0.022, 0.134",0.9,30.0,0,83
26,0.133625,1.381815,0.539,0.494,0.1000,alpkdce1,"1.140, 0.022, 0.134",0.9,30.0,1,86
27,0.132767,1.379978,0.542,0.502,0.1000,alpkdce1,"1.125, 0.022, 0.133",0.9,30.0,0,90
28,0.131723,1.382569,0.546,0.498,0.1000,alpkdce1,"1.116, 0.022, 0.132",0.9,30.0,1,93
29,0.130930,1.376137,0.548,0.509,0.1000,alpkdce1,"1.113, 0.022, 0.131",0.9,30.0,0,96
30,0.130165,1.401912,0.552,0.483,0.1000,alpkdce1,"1.103, 0.022, 0.130",0.9,30.0,1,100
31,0.129729,1.359568,0.554,0.510,0.1000,alpkdce1,"1.105, 0.022, 0.131",0.9,30.0,0,103
32,0.129116,1.373790,0.557,0.501,0.1000,alpkdce1,"1.094, 0.022, 0.129",0.9,30.0,1,106
33,0.128495,1.340561,0.561,0.518,0.1000,alpkdce1,"1.095, 0.022, 0.129",0.9,30.0,0,110
34,0.127559,1.366647,0.564,0.500,0.1000,alpkdce1,"1.080, 0.022, 0.128",0.9,30.0,1,113
35,0.127149,1.332379,0.566,0.517,0.1000,alpkdce1,"1.072, 0.022, 0.127",0.9,30.0,2,116
36,0.126794,1.366250,0.565,0.502,0.1000,alpkdce1,"1.070, 0.022, 0.127",0.9,30.0,3,120
37,0.126256,1.345017,0.568,0.506,0.1000,alpkdce1,"1.076, 0.022, 0.128",0.9,30.0,4,123
38,0.125543,1.321502,0.571,0.519,0.1000,alpkdce1,"1.063, 0.022, 0.126",0.9,30.0,0,126
39,0.125138,1.342722,0.572,0.518,0.1000,alpkdce1,"1.061, 0.022, 0.126",0.9,30.0,1,130
40,0.124926,1.314555,0.574,0.521,0.1000,alpkdce1,"1.053, 0.022, 0.125",0.9,30.0,0,133
41,0.124126,1.311101,0.574,0.528,0.1000,alpkdce1,"1.053, 0.022, 0.125",0.9,30.0,0,137
42,0.124205,1.320667,0.577,0.512,0.1000,alpkdce1,"1.048, 0.022, 0.125",0.9,30.0,1,140
43,0.123809,1.302584,0.580,0.529,0.1000,alpkdce1,"1.054, 0.022, 0.126",0.9,30.0,0,143
44,0.123010,1.338794,0.579,0.520,0.1000,alpkdce1,"1.034, 0.022, 0.123",0.9,30.0,1,146
45,0.123109,1.304375,0.580,0.528,0.1000,alpkdce1,"1.043, 0.022, 0.124",0.9,30.0,2,150
46,0.122055,1.300118,0.584,0.522,0.1000,alpkdce1,"1.032, 0.022, 0.123",0.9,30.0,3,153
47,0.122480,1.328944,0.583,0.513,0.1000,alpkdce1,"1.039, 0.022, 0.124",0.9,30.0,4,157
48,0.121738,1.301093,0.585,0.533,0.1000,alpkdce1,"1.035, 0.022, 0.123",0.9,30.0,0,160
49,0.121453,1.305512,0.586,0.526,0.1000,alpkdce1,"1.021, 0.022, 0.122",0.9,30.0,1,163
50,0.121211,1.299948,0.588,0.524,0.1000,alpkdce1,"1.021, 0.022, 0.122",0.9,30.0,2,166
51,0.121060,1.295715,0.588,0.524,0.1000,alpkdce1,"1.009, 0.022, 0.120",0.9,30.0,3,170
52,0.120653,1.293672,0.589,0.523,0.1000,alpkdce1,"1.011, 0.022, 0.121",0.9,30.0,4,173
53,0.120591,1.310692,0.591,0.528,0.1000,alpkdce1,"1.013, 0.022, 0.121",0.9,30.0,5,176
54,0.120121,1.289680,0.593,0.526,0.1000,alpkdce1,"1.004, 0.022, 0.120",0.9,30.0,6,180
55,0.120077,1.273714,0.594,0.531,0.1000,alpkdce1,"1.014, 0.022, 0.121",0.9,30.0,7,183
56,0.119443,1.294555,0.594,0.529,0.1000,alpkdce1,"1.006, 0.022, 0.120",0.9,30.0,8,186
57,0.119657,1.295443,0.594,0.532,0.1000,alpkdce1,"1.005, 0.022, 0.120",0.9,30.0,9,190
58,0.119358,1.285601,0.596,0.527,0.1000,alpkdce1,"1.013, 0.022, 0.121",0.9,30.0,10,193
59,0.119147,1.290259,0.597,0.523,0.1000,alpkdce1,"1.003, 0.022, 0.120",0.9,30.0,11,197
60,0.118888,1.292898,0.596,0.531,0.1000,alpkdce1,"0.996, 0.022, 0.119",0.9,30.0,12,200
61,0.118565,1.302529,0.599,0.518,0.1000,alpkdce1,"0.998, 0.022, 0.120",0.9,30.0,13,203
62,0.118273,1.296877,0.601,0.533,0.1000,alpkdce1,"0.999, 0.022, 0.120",0.9,30.0,0,206
63,0.118251,1.315495,0.601,0.525,0.1000,alpkdce1,"0.992, 0.022, 0.119",0.9,30.0,1,210
64,0.118302,1.274388,0.601,0.530,0.1000,alpkdce1,"0.985, 0.022, 0.118",0.9,30.0,2,213
65,0.117828,1.289402,0.600,0.536,0.1000,alpkdce1,"0.991, 0.022, 0.119",0.9,30.0,0,216
66,0.117853,1.286323,0.601,0.538,0.1000,alpkdce1,"0.988, 0.022, 0.118",0.9,30.0,0,220
67,0.117418,1.342228,0.604,0.506,0.1000,alpkdce1,"0.984, 0.022, 0.118",0.9,30.0,1,223
68,0.117719,1.319330,0.602,0.535,0.1000,alpkdce1,"0.987, 0.022, 0.118",0.9,30.0,2,226
69,0.117571,1.275689,0.604,0.530,0.1000,alpkdce1,"0.983, 0.022, 0.118",0.9,30.0,3,230
70,0.116915,1.280304,0.604,0.533,0.1000,alpkdce1,"0.977, 0.022, 0.117",0.9,30.0,4,233
71,0.116706,1.314078,0.606,0.529,0.1000,alpkdce1,"0.983, 0.022, 0.118",0.9,30.0,5,236
72,0.116870,1.288937,0.607,0.523,0.1000,alpkdce1,"0.987, 0.022, 0.119",0.9,30.0,6,240
73,0.116421,1.263668,0.607,0.529,0.1000,alpkdce1,"0.986, 0.022, 0.118",0.9,30.0,7,243
74,0.116255,1.301048,0.608,0.528,0.1000,alpkdce1,"0.963, 0.022, 0.116",0.9,30.0,8,246
75,0.116338,1.286851,0.608,0.535,0.1000,alpkdce1,"0.973, 0.022, 0.117",0.9,30.0,9,250
76,0.116192,1.285480,0.610,0.531,0.1000,alpkdce1,"0.978, 0.022, 0.117",0.9,30.0,10,253
77,0.116125,1.288111,0.609,0.534,0.1000,alpkdce1,"0.973, 0.022, 0.117",0.9,30.0,11,256
78,0.116351,1.290701,0.608,0.526,0.1000,alpkdce1,"0.978, 0.022, 0.118",0.9,30.0,12,260
79,0.115698,1.290430,0.610,0.523,0.1000,alpkdce1,"0.966, 0.022, 0.116",0.9,30.0,13,263
80,0.115835,1.280761,0.609,0.533,0.1000,alpkdce1,"0.965, 0.022, 0.116",0.9,30.0,14,266
81,0.115565,1.281326,0.611,0.533,0.1000,alpkdce1,"0.969, 0.022, 0.117",0.9,30.0,15,270
82,0.115505,1.305273,0.611,0.521,0.1000,alpkdce1,"0.964, 0.022, 0.116",0.9,30.0,16,273
83,0.115712,1.269579,0.611,0.529,0.1000,alpkdce1,"0.967, 0.022, 0.116",0.9,30.0,17,276
84,0.115028,1.281062,0.613,0.532,0.1000,alpkdce1,"0.965, 0.022, 0.116",0.9,30.0,18,280
85,0.115402,1.287994,0.612,0.536,0.1000,alpkdce1,"0.968, 0.022, 0.117",0.9,30.0,19,283
86,0.115207,1.273640,0.614,0.538,0.1000,alpkdce1,"0.979, 0.022, 0.118",0.9,30.0,0,286
87,0.114954,1.271219,0.615,0.532,0.1000,alpkdce1,"0.966, 0.022, 0.116",0.9,30.0,1,290
88,0.114833,1.286052,0.614,0.529,0.1000,alpkdce1,"0.959, 0.022, 0.116",0.9,30.0,2,293
89,0.115130,1.283816,0.614,0.534,0.1000,alpkdce1,"0.962, 0.022, 0.116",0.9,30.0,3,296
90,0.113953,1.274846,0.617,0.530,0.1000,alpkdce1,"0.943, 0.022, 0.114",0.9,30.0,4,300
91,0.114463,1.276491,0.617,0.527,0.1000,alpkdce1,"0.958, 0.022, 0.116",0.9,30.0,5,303
92,0.114325,1.271336,0.616,0.535,0.1000,alpkdce1,"0.957, 0.022, 0.115",0.9,30.0,6,306
93,0.114207,1.271433,0.617,0.534,0.1000,alpkdce1,"0.947, 0.022, 0.114",0.9,30.0,7,310
94,0.114002,1.284571,0.618,0.525,0.1000,alpkdce1,"0.954, 0.022, 0.115",0.9,30.0,8,313
95,0.114381,1.268030,0.618,0.529,0.1000,alpkdce1,"0.950, 0.022, 0.115",0.9,30.0,9,316
96,0.114256,1.279657,0.619,0.534,0.1000,alpkdce1,"0.956, 0.022, 0.116",0.9,30.0,10,320
97,0.113657,1.292791,0.619,0.538,0.1000,alpkdce1,"0.954, 0.022, 0.115",0.9,30.0,11,323
98,0.114070,1.299110,0.617,0.528,0.1000,alpkdce1,"0.957, 0.022, 0.116",0.9,30.0,12,326
99,0.113998,1.277684,0.617,0.523,0.1000,alpkdce1,"0.954, 0.022, 0.115",0.9,30.0,13,330
100,0.113539,1.252039,0.619,0.540,0.1000,alpkdce1,"0.951, 0.022, 0.115",0.9,30.0,0,333
101,0.102581,1.176532,0.656,0.569,0.0100,alpkdce1,"0.818, 0.019, 0.099",0.9,30.0,0,336
102,0.098524,1.161219,0.672,0.571,0.0100,alpkdce1,"0.814, 0.020, 0.099",0.9,30.0,0,340
103,0.096811,1.156413,0.679,0.569,0.0100,alpkdce1,"0.792, 0.020, 0.097",0.9,30.0,1,343
104,0.095838,1.153705,0.682,0.568,0.0100,alpkdce1,"0.779, 0.020, 0.096",0.9,30.0,2,346
105,0.094889,1.158179,0.686,0.563,0.0100,alpkdce1,"0.770, 0.020, 0.095",0.9,30.0,3,350
106,0.094219,1.157473,0.690,0.565,0.0100,alpkdce1,"0.772, 0.020, 0.095",0.9,30.0,4,353
107,0.093520,1.162991,0.692,0.567,0.0100,alpkdce1,"0.758, 0.020, 0.094",0.9,30.0,5,356
108,0.092784,1.159321,0.696,0.565,0.0100,alpkdce1,"0.757, 0.020, 0.094",0.9,30.0,6,360
109,0.092213,1.157921,0.698,0.565,0.0100,alpkdce1,"0.751, 0.020, 0.093",0.9,30.0,7,363
110,0.091888,1.160674,0.698,0.565,0.0100,alpkdce1,"0.740, 0.020, 0.092",0.9,30.0,8,366
111,0.091028,1.161396,0.699,0.567,0.0100,alpkdce1,"0.737, 0.020, 0.091",0.9,30.0,9,370
112,0.090805,1.162827,0.703,0.565,0.0100,alpkdce1,"0.737, 0.020, 0.092",0.9,30.0,10,373
113,0.090227,1.159370,0.706,0.565,0.0100,alpkdce1,"0.729, 0.020, 0.091",0.9,30.0,11,376
114,0.089578,1.163280,0.709,0.564,0.0100,alpkdce1,"0.728, 0.020, 0.091",0.9,30.0,12,380
115,0.089385,1.168458,0.710,0.563,0.0100,alpkdce1,"0.723, 0.020, 0.090",0.9,30.0,13,383
116,0.089211,1.167315,0.711,0.560,0.0100,alpkdce1,"0.720, 0.020, 0.090",0.9,30.0,14,386
117,0.088677,1.167717,0.713,0.561,0.0100,alpkdce1,"0.720, 0.020, 0.090",0.9,30.0,15,390
118,0.088275,1.168427,0.716,0.558,0.0100,alpkdce1,"0.710, 0.020, 0.089",0.9,30.0,16,393
119,0.088051,1.175036,0.713,0.557,0.0100,alpkdce1,"0.708, 0.020, 0.089",0.9,30.0,17,396
120,0.087553,1.179610,0.717,0.556,0.0100,alpkdce1,"0.709, 0.020, 0.089",0.9,30.0,18,400
121,0.086967,1.178259,0.719,0.553,0.0100,alpkdce1,"0.696, 0.020, 0.087",0.9,30.0,19,403
122,0.087080,1.179148,0.720,0.557,0.0100,alpkdce1,"0.691, 0.020, 0.087",0.9,30.0,20,406
123,0.086422,1.182886,0.722,0.551,0.0100,alpkdce1,"0.693, 0.020, 0.087",0.9,30.0,21,410
124,0.086266,1.182865,0.724,0.554,0.0100,alpkdce1,"0.689, 0.020, 0.087",0.9,30.0,22,413
125,0.086245,1.182260,0.725,0.554,0.0100,alpkdce1,"0.686, 0.020, 0.086",0.9,30.0,23,416
126,0.085849,1.181859,0.727,0.554,0.0100,alpkdce1,"0.684, 0.020, 0.087",0.9,30.0,24,420
127,0.085494,1.182248,0.727,0.552,0.0100,alpkdce1,"0.682, 0.020, 0.086",0.9,30.0,25,423
128,0.085434,1.188718,0.729,0.553,0.0100,alpkdce1,"0.683, 0.020, 0.086",0.9,30.0,26,426
129,0.085028,1.192132,0.730,0.550,0.0100,alpkdce1,"0.683, 0.020, 0.086",0.9,30.0,27,430
130,0.085015,1.188686,0.730,0.553,0.0100,alpkdce1,"0.678, 0.020, 0.086",0.9,30.0,28,433
131,0.084245,1.198962,0.733,0.546,0.0100,alpkdce1,"0.674, 0.020, 0.085",0.9,30.0,29,436
132,0.084365,1.197891,0.732,0.549,0.0100,alpkdce1,"0.673, 0.020, 0.085",0.9,30.0,30,440
133,0.084363,1.205197,0.735,0.546,0.0100,alpkdce1,"0.669, 0.020, 0.085",0.9,30.0,31,443
134,0.083736,1.195526,0.738,0.549,0.0100,alpkdce1,"0.664, 0.020, 0.085",0.9,30.0,32,446
135,0.083673,1.203797,0.737,0.547,0.0100,alpkdce1,"0.663, 0.020, 0.084",0.9,30.0,33,450
136,0.083335,1.198364,0.739,0.546,0.0100,alpkdce1,"0.665, 0.020, 0.084",0.9,30.0,34,453
137,0.083051,1.211019,0.740,0.546,0.0100,alpkdce1,"0.653, 0.020, 0.083",0.9,30.0,35,456
138,0.082675,1.210182,0.742,0.545,0.0100,alpkdce1,"0.648, 0.020, 0.083",0.9,30.0,36,460
139,0.082573,1.209960,0.744,0.542,0.0100,alpkdce1,"0.655, 0.021, 0.084",0.9,30.0,37,463
140,0.082468,1.221701,0.744,0.540,0.0100,alpkdce1,"0.652, 0.021, 0.084",0.9,30.0,38,466
141,0.082712,1.224248,0.744,0.535,0.0100,alpkdce1,"0.655, 0.021, 0.084",0.9,30.0,39,470
142,0.082588,1.221226,0.742,0.539,0.0100,alpkdce1,"0.654, 0.020, 0.083",0.9,30.0,40,473
143,0.082075,1.224508,0.744,0.534,0.0100,alpkdce1,"0.645, 0.021, 0.083",0.9,30.0,41,476
144,0.081976,1.215378,0.745,0.542,0.0100,alpkdce1,"0.645, 0.020, 0.083",0.9,30.0,42,480
145,0.081833,1.223198,0.746,0.539,0.0100,alpkdce1,"0.641, 0.021, 0.083",0.9,30.0,43,483
146,0.081715,1.232418,0.748,0.531,0.0100,alpkdce1,"0.647, 0.021, 0.083",0.9,30.0,44,486
147,0.081505,1.210643,0.748,0.543,0.0100,alpkdce1,"0.641, 0.020, 0.082",0.9,30.0,45,490
148,0.081661,1.220151,0.749,0.544,0.0100,alpkdce1,"0.646, 0.021, 0.084",0.9,30.0,46,493
149,0.081441,1.222248,0.750,0.532,0.0100,alpkdce1,"0.639, 0.020, 0.082",0.9,30.0,47,496
150,0.080882,1.225770,0.751,0.538,0.0100,alpkdce1,"0.635, 0.020, 0.082",0.9,30.0,48,500
151,0.075137,1.208545,0.773,0.543,0.0010,alpkdce1,"0.580, 0.018, 0.074",0.9,30.0,49,503
152,0.072870,1.213759,0.782,0.540,0.0010,alpkdce1,"0.567, 0.018, 0.073",0.9,30.0,50,506
153,0.072282,1.207967,0.782,0.541,0.0010,alpkdce1,"0.561, 0.017, 0.072",0.9,30.0,51,510
154,0.071641,1.216661,0.787,0.539,0.0010,alpkdce1,"0.560, 0.018, 0.072",0.9,30.0,52,513
155,0.071323,1.218750,0.787,0.534,0.0010,alpkdce1,"0.558, 0.018, 0.072",0.9,30.0,53,516
156,0.070998,1.219433,0.789,0.537,0.0010,alpkdce1,"0.555, 0.018, 0.072",0.9,30.0,54,520
157,0.070671,1.218099,0.789,0.541,0.0010,alpkdce1,"0.551, 0.018, 0.071",0.9,30.0,55,523
158,0.070547,1.225515,0.791,0.533,0.0010,alpkdce1,"0.547, 0.018, 0.071",0.9,30.0,56,526
159,0.069911,1.219858,0.793,0.541,0.0010,alpkdce1,"0.538, 0.018, 0.070",0.9,30.0,57,530
160,0.069764,1.228284,0.793,0.540,0.0010,alpkdce1,"0.535, 0.018, 0.070",0.9,30.0,58,533
161,0.069530,1.232843,0.795,0.534,0.0010,alpkdce1,"0.538, 0.018, 0.070",0.9,30.0,59,536
162,0.069360,1.232096,0.795,0.535,0.0010,alpkdce1,"0.537, 0.018, 0.070",0.9,30.0,60,540
163,0.069061,1.239094,0.795,0.532,0.0010,alpkdce1,"0.534, 0.018, 0.069",0.9,30.0,61,543
164,0.068927,1.238045,0.796,0.536,0.0010,alpkdce1,"0.539, 0.018, 0.070",0.9,30.0,62,546
165,0.068857,1.240085,0.797,0.533,0.0010,alpkdce1,"0.527, 0.018, 0.069",0.9,30.0,63,550
166,0.068540,1.235743,0.800,0.531,0.0010,alpkdce1,"0.524, 0.018, 0.068",0.9,30.0,64,553
167,0.068511,1.238774,0.800,0.533,0.0010,alpkdce1,"0.519, 0.018, 0.068",0.9,30.0,65,556
168,0.068462,1.236928,0.800,0.535,0.0010,alpkdce1,"0.525, 0.018, 0.069",0.9,30.0,66,560
169,0.068234,1.245082,0.800,0.533,0.0010,alpkdce1,"0.522, 0.018, 0.068",0.9,30.0,67,563
170,0.068012,1.237041,0.800,0.533,0.0010,alpkdce1,"0.523, 0.018, 0.069",0.9,30.0,68,566
171,0.067779,1.239009,0.803,0.532,0.0010,alpkdce1,"0.523, 0.018, 0.069",0.9,30.0,69,570
172,0.067647,1.250333,0.802,0.530,0.0010,alpkdce1,"0.523, 0.018, 0.069",0.9,30.0,70,573
173,0.067715,1.240210,0.802,0.536,0.0010,alpkdce1,"0.519, 0.018, 0.068",0.9,30.0,71,576
174,0.067381,1.240047,0.804,0.530,0.0010,alpkdce1,"0.515, 0.017, 0.067",0.9,30.0,72,580
