_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.061138,1.999553,0.215,0.242,0.1000,alp,"1.863, 0.057, 1.915",0.9,1.0,0,2
2,1.777183,1.886002,0.283,0.286,0.1000,alp,"1.643, 0.080, 1.715",0.9,1.0,0,4
3,1.615244,1.800753,0.335,0.299,0.1000,alp,"1.494, 0.092, 1.576",0.9,1.0,0,7
4,1.495356,1.750777,0.370,0.325,0.1000,alp,"1.376, 0.103, 1.469",0.9,1.0,0,9
5,1.410425,1.649354,0.403,0.360,0.1000,alp,"1.293, 0.112, 1.394",0.9,1.0,0,12
6,1.347895,1.540820,0.425,0.400,0.1000,alp,"1.231, 0.117, 1.336",0.9,1.0,0,14
7,1.297321,1.502328,0.444,0.418,0.1000,alp,"1.178, 0.121, 1.288",0.9,1.0,0,16
8,1.256045,1.507756,0.459,0.420,0.1000,alp,"1.146, 0.123, 1.256",0.9,1.0,0,19
9,1.227246,1.467626,0.473,0.437,0.1000,alp,"1.106, 0.126, 1.219",0.9,1.0,0,21
10,1.198167,1.434552,0.481,0.451,0.1000,alp,"1.077, 0.127, 1.191",0.9,1.0,0,24
11,1.174949,1.419373,0.493,0.450,0.1000,alp,"1.057, 0.131, 1.175",0.9,1.0,1,26
12,1.156602,1.379870,0.500,0.468,0.1000,alp,"1.049, 0.129, 1.165",0.9,1.0,0,29
13,1.140198,1.405543,0.507,0.454,0.1000,alp,"1.019, 0.132, 1.138",0.9,1.0,1,31
14,1.127760,1.351145,0.512,0.472,0.1000,alp,"1.018, 0.133, 1.137",0.9,1.0,0,34
15,1.113264,1.346571,0.518,0.473,0.1000,alp,"0.993, 0.132, 1.112",0.9,1.0,0,36
16,1.101918,1.327398,0.524,0.480,0.1000,alp,"0.982, 0.134, 1.103",0.9,1.0,0,38
17,1.088338,1.372070,0.527,0.474,0.1000,alp,"0.972, 0.133, 1.091",0.9,1.0,1,41
18,1.079254,1.332080,0.531,0.479,0.1000,alp,"0.969, 0.134, 1.090",0.9,1.0,2,43
19,1.074371,1.334462,0.534,0.480,0.1000,alp,"0.952, 0.133, 1.072",0.9,1.0,0,46
20,1.061420,1.328852,0.540,0.485,0.1000,alp,"0.944, 0.135, 1.066",0.9,1.0,0,48
21,1.052553,1.321423,0.544,0.493,0.1000,alp,"0.944, 0.134, 1.065",0.9,1.0,0,50
22,1.045867,1.327281,0.545,0.492,0.1000,alp,"0.925, 0.136, 1.048",0.9,1.0,1,53
23,1.040520,1.325017,0.549,0.498,0.1000,alp,"0.918, 0.136, 1.040",0.9,1.0,0,55
24,1.033478,1.321869,0.550,0.487,0.1000,alp,"0.921, 0.135, 1.043",0.9,1.0,1,58
25,1.027324,1.292253,0.553,0.501,0.1000,alp,"0.918, 0.135, 1.040",0.9,1.0,0,60
26,1.019821,1.307433,0.557,0.489,0.1000,alp,"0.901, 0.135, 1.023",0.9,1.0,1,63
27,1.015960,1.296020,0.557,0.497,0.1000,alp,"0.901, 0.133, 1.021",0.9,1.0,2,65
28,1.009532,1.326925,0.560,0.490,0.1000,alp,"0.896, 0.137, 1.019",0.9,1.0,3,67
29,1.006131,1.338409,0.560,0.487,0.1000,alp,"0.889, 0.136, 1.011",0.9,1.0,4,70
30,1.003334,1.306260,0.562,0.499,0.1000,alp,"0.901, 0.134, 1.022",0.9,1.0,5,72
31,0.994216,1.297416,0.563,0.498,0.1000,alp,"0.874, 0.134, 0.995",0.9,1.0,6,75
