_epoch,train_loss,valid_loss,acc,val_acc,lr,type,early_stopping,elapsed_time
1,2.099720,2.041771,0.220,0.235,0.1000,AT,0,2
2,1.990073,2.027683,0.256,0.226,0.1000,AT,1,4
3,1.926782,1.954831,0.279,0.267,0.1000,AT,0,6
4,1.856811,1.993801,0.302,0.252,0.1000,AT,1,8
5,1.801509,1.890760,0.325,0.277,0.1000,AT,0,11
6,1.758316,1.874474,0.340,0.296,0.1000,AT,0,13
7,1.700105,1.960147,0.362,0.267,0.1000,AT,1,15
8,1.657423,1.831654,0.376,0.303,0.1000,AT,0,17
9,1.625432,1.721686,0.386,0.349,0.1000,AT,0,19
10,1.595622,1.670057,0.396,0.356,0.1000,AT,0,22
11,1.564283,1.635864,0.407,0.370,0.1000,AT,0,24
12,1.532843,1.663762,0.421,0.372,0.1000,AT,0,26
13,1.509434,1.578496,0.430,0.405,0.1000,AT,0,28
14,1.488865,1.645200,0.438,0.374,0.1000,AT,1,31
15,1.469168,1.568691,0.444,0.404,0.1000,AT,2,33
16,1.449263,1.535784,0.450,0.410,0.1000,AT,0,35
17,1.430715,1.616884,0.458,0.376,0.1000,AT,1,37
18,1.415112,1.540752,0.464,0.409,0.1000,AT,2,39
19,1.398483,1.613649,0.471,0.394,0.1000,AT,3,42
20,1.388640,1.492570,0.474,0.442,0.1000,AT,0,44
21,1.367387,1.504821,0.480,0.425,0.1000,AT,1,46
22,1.357726,1.590225,0.487,0.399,0.1000,AT,2,48
23,1.346666,1.595494,0.491,0.399,0.1000,AT,3,51
24,1.331609,1.507757,0.492,0.421,0.1000,AT,4,53
25,1.321897,1.515837,0.496,0.422,0.1000,AT,5,55
26,1.309793,1.531764,0.500,0.420,0.1000,AT,6,57
27,1.299883,1.493320,0.503,0.440,0.1000,AT,7,60
28,1.286850,1.460247,0.507,0.448,0.1000,AT,0,62
29,1.278867,1.472323,0.511,0.444,0.1000,AT,1,64
30,1.271388,1.473303,0.515,0.440,0.1000,AT,2,66
31,1.258924,1.578666,0.517,0.409,0.1000,AT,3,69
32,1.254232,1.468908,0.518,0.444,0.1000,AT,4,71
33,1.244873,1.479982,0.523,0.444,0.1000,AT,5,73
34,1.232842,1.493912,0.528,0.433,0.1000,AT,6,75
35,1.226009,1.595820,0.530,0.420,0.1000,AT,7,78
36,1.218321,1.491957,0.532,0.440,0.1000,AT,8,80
37,1.208548,1.517754,0.536,0.435,0.1000,AT,9,82
38,1.209177,1.477317,0.532,0.450,0.1000,AT,0,84
39,1.197853,1.510528,0.539,0.434,0.1000,AT,1,86
40,1.187665,1.514478,0.541,0.445,0.1000,AT,2,89
41,1.181528,1.566870,0.545,0.430,0.1000,AT,3,91
42,1.174628,1.512643,0.546,0.440,0.1000,AT,4,93
43,1.170995,1.494370,0.546,0.453,0.1000,AT,0,95
44,1.164743,1.529685,0.548,0.439,0.1000,AT,1,98
45,1.161389,1.491370,0.550,0.442,0.1000,AT,2,100
46,1.150110,1.469534,0.555,0.455,0.1000,AT,0,102
47,1.144762,1.718419,0.555,0.405,0.1000,AT,1,104
48,1.143193,1.520339,0.554,0.441,0.1000,AT,2,107
49,1.137417,1.492730,0.557,0.443,0.1000,AT,3,109
50,1.127610,1.515076,0.561,0.446,0.1000,AT,4,111
51,1.127281,1.453568,0.560,0.455,0.1000,AT,0,113
52,1.117669,1.604572,0.565,0.434,0.1000,AT,1,116
53,1.112582,1.488861,0.565,0.447,0.1000,AT,2,118
54,1.111427,1.486958,0.567,0.452,0.1000,AT,3,120
55,1.099369,1.546146,0.569,0.440,0.1000,AT,4,122
56,1.098968,1.569301,0.571,0.440,0.1000,AT,5,124
57,1.094091,1.505437,0.569,0.448,0.1000,AT,6,127
58,1.088267,1.547726,0.575,0.442,0.1000,AT,7,129
59,1.084875,1.541258,0.575,0.443,0.1000,AT,8,131
60,1.079027,1.538794,0.578,0.442,0.1000,AT,9,133
61,1.076193,1.580879,0.576,0.444,0.1000,AT,10,136
62,1.073059,1.643009,0.577,0.425,0.1000,AT,11,138
63,1.065341,1.558360,0.583,0.451,0.1000,AT,12,140
64,1.067519,1.563434,0.580,0.449,0.1000,AT,13,142
65,1.053751,1.697873,0.587,0.412,0.1000,AT,14,145
66,1.053723,1.636526,0.583,0.430,0.1000,AT,15,147
67,1.056095,1.549225,0.585,0.453,0.1000,AT,16,149
68,1.051337,1.552333,0.586,0.448,0.1000,AT,17,151
69,1.044011,1.509010,0.587,0.460,0.1000,AT,0,154
70,1.038708,1.555112,0.588,0.445,0.1000,AT,1,156
71,1.035571,1.565599,0.591,0.447,0.1000,AT,2,158
72,1.033811,1.581726,0.591,0.447,0.1000,AT,3,160
73,1.025227,1.683321,0.594,0.421,0.1000,AT,4,163
74,1.036159,1.618378,0.590,0.434,0.1000,AT,5,165
75,1.022142,1.584445,0.595,0.442,0.1000,AT,6,167
76,1.019868,1.539970,0.593,0.459,0.1000,AT,7,169
77,1.010837,1.576073,0.598,0.452,0.1000,AT,8,172
78,1.012056,1.583945,0.595,0.445,0.1000,AT,9,174
79,1.007773,1.629684,0.599,0.436,0.1000,AT,10,176
80,1.004489,1.598420,0.598,0.439,0.1000,AT,11,178
81,0.999267,1.633460,0.603,0.434,0.1000,AT,12,181
82,0.998282,1.705791,0.604,0.424,0.1000,AT,13,183
83,0.998413,1.655465,0.600,0.419,0.1000,AT,14,185
84,0.998265,1.623127,0.602,0.438,0.1000,AT,15,187
85,0.992356,1.532226,0.602,0.458,0.1000,AT,16,190
86,0.982039,1.716063,0.607,0.435,0.1000,AT,17,192
87,0.984803,1.866306,0.605,0.408,0.1000,AT,18,194
88,0.984837,1.671624,0.610,0.439,0.1000,AT,19,196
89,0.976472,1.679508,0.609,0.432,0.1000,AT,20,199
90,0.978971,1.626861,0.609,0.443,0.1000,AT,21,201
91,0.966862,1.597885,0.612,0.445,0.1000,AT,22,203
92,0.968497,1.667701,0.612,0.430,0.1000,AT,23,205
93,0.963412,1.613799,0.615,0.428,0.1000,AT,24,207
94,0.965613,1.647963,0.612,0.439,0.1000,AT,25,210
95,0.958850,1.732756,0.613,0.421,0.1000,AT,26,212
96,0.953292,1.676889,0.616,0.421,0.1000,AT,27,214
97,0.954668,1.831924,0.616,0.414,0.1000,AT,28,216
98,0.955588,1.685108,0.617,0.435,0.1000,AT,29,219
99,0.948040,1.697914,0.617,0.440,0.1000,AT,30,221
100,0.942350,1.733402,0.623,0.424,0.1000,AT,31,223
101,0.770078,1.649217,0.686,0.474,0.0100,AT,0,225
102,0.686382,1.706174,0.717,0.485,0.0100,AT,0,228
103,0.654259,1.756493,0.727,0.478,0.0100,AT,1,230
104,0.629873,1.865959,0.735,0.467,0.0100,AT,2,232
105,0.609756,1.901482,0.743,0.472,0.0100,AT,3,234
106,0.591403,1.958369,0.751,0.471,0.0100,AT,4,237
107,0.576503,2.000499,0.758,0.472,0.0100,AT,5,239
108,0.565449,2.080571,0.762,0.473,0.0100,AT,6,241
109,0.552689,2.127906,0.766,0.460,0.0100,AT,7,243
110,0.540435,2.159417,0.771,0.464,0.0100,AT,8,245
111,0.529571,2.229417,0.773,0.461,0.0100,AT,9,248
112,0.520192,2.260166,0.778,0.460,0.0100,AT,10,250
113,0.509352,2.298553,0.782,0.460,0.0100,AT,11,252
114,0.501084,2.378248,0.788,0.459,0.0100,AT,12,254
115,0.492895,2.406065,0.788,0.459,0.0100,AT,13,257
116,0.482629,2.440413,0.794,0.456,0.0100,AT,14,259
117,0.476537,2.530545,0.798,0.450,0.0100,AT,15,261
118,0.467738,2.536211,0.800,0.453,0.0100,AT,16,263
119,0.458662,2.615636,0.804,0.446,0.0100,AT,17,266
120,0.450970,2.648840,0.806,0.451,0.0100,AT,18,268
121,0.446459,2.620503,0.811,0.445,0.0100,AT,19,270
122,0.438430,2.701827,0.813,0.448,0.0100,AT,20,272
123,0.433678,2.741643,0.814,0.450,0.0100,AT,21,275
124,0.426791,2.825367,0.817,0.441,0.0100,AT,22,277
125,0.422542,2.830478,0.818,0.449,0.0100,AT,23,279
126,0.417100,2.905846,0.822,0.434,0.0100,AT,24,281
127,0.410718,2.854969,0.824,0.442,0.0100,AT,25,284
128,0.404671,2.914433,0.824,0.438,0.0100,AT,26,286
129,0.402181,2.970381,0.827,0.437,0.0100,AT,27,288
130,0.394491,3.084227,0.830,0.434,0.0100,AT,28,290
131,0.389516,3.086949,0.833,0.440,0.0100,AT,29,292
132,0.382735,3.043465,0.834,0.443,0.0100,AT,30,295
133,0.381435,3.138638,0.837,0.430,0.0100,AT,31,297
134,0.380113,3.125129,0.837,0.439,0.0100,AT,32,299
135,0.372186,3.174893,0.840,0.432,0.0100,AT,33,301
