_epoch,train_loss,valid_loss,acc,val_acc,lr,type,early_stopping,elapsed_time
1,2.123666,2.055276,0.214,0.237,0.1000,AT,0,3
2,1.965319,2.019973,0.273,0.252,0.1000,AT,0,6
3,1.885407,1.969642,0.300,0.257,0.1000,AT,0,9
4,1.825776,1.862489,0.323,0.311,0.1000,AT,0,12
5,1.786104,1.828125,0.339,0.325,0.1000,AT,0,15
6,1.743938,1.846816,0.355,0.324,0.1000,AT,1,18
7,1.717101,1.788454,0.367,0.332,0.1000,AT,0,21
8,1.692862,1.770661,0.375,0.338,0.1000,AT,0,24
9,1.674758,1.738378,0.383,0.363,0.1000,AT,0,27
10,1.654982,1.752004,0.388,0.349,0.1000,AT,1,30
11,1.635301,1.736962,0.399,0.355,0.1000,AT,2,32
12,1.621919,1.691796,0.404,0.372,0.1000,AT,0,35
13,1.607603,1.711230,0.406,0.372,0.1000,AT,1,38
14,1.595189,1.688881,0.414,0.373,0.1000,AT,0,41
15,1.580732,1.662726,0.421,0.381,0.1000,AT,0,44
16,1.573412,1.651274,0.421,0.388,0.1000,AT,0,47
17,1.563213,1.665881,0.423,0.385,0.1000,AT,1,50
18,1.552631,1.703634,0.430,0.358,0.1000,AT,2,53
19,1.538273,1.650464,0.432,0.388,0.1000,AT,0,56
20,1.537151,1.672347,0.436,0.386,0.1000,AT,1,59
21,1.528436,1.656814,0.434,0.396,0.1000,AT,0,62
22,1.519819,1.615533,0.443,0.400,0.1000,AT,0,65
23,1.516041,1.619056,0.442,0.406,0.1000,AT,0,68
24,1.510133,1.662281,0.446,0.381,0.1000,AT,1,71
25,1.502896,1.630960,0.446,0.406,0.1000,AT,2,74
26,1.496887,1.614151,0.448,0.406,0.1000,AT,3,77
27,1.495071,1.605580,0.453,0.407,0.1000,AT,0,80
28,1.488163,1.612426,0.452,0.409,0.1000,AT,0,83
29,1.487257,1.710464,0.450,0.381,0.1000,AT,1,86
30,1.471641,1.643529,0.459,0.395,0.1000,AT,2,89
31,1.481103,1.629177,0.454,0.398,0.1000,AT,3,92
32,1.475542,1.592049,0.457,0.413,0.1000,AT,0,95
33,1.466669,1.647007,0.461,0.397,0.1000,AT,1,98
34,1.467508,1.634215,0.460,0.406,0.1000,AT,2,101
35,1.460039,1.651589,0.461,0.391,0.1000,AT,3,104
36,1.460520,1.675800,0.459,0.392,0.1000,AT,4,107
