_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,1.557383,2.100875,0.224,0.216,0.1000,alpkdce1,"1.019, 2.032, 1.526",0.5,1.0,0,2
2,1.467710,1.956721,0.263,0.259,0.1000,alpkdce1,"0.969, 1.933, 1.451",0.5,1.0,0,4
3,1.410024,1.876837,0.290,0.294,0.1000,alpkdce1,"0.930, 1.855, 1.393",0.5,1.0,0,6
4,1.356846,1.871588,0.323,0.289,0.1000,alpkdce1,"0.899, 1.793, 1.346",0.5,1.0,1,9
5,1.306996,1.926454,0.343,0.275,0.1000,alpkdce1,"0.863, 1.721, 1.292",0.5,1.0,2,11
6,1.275927,1.825597,0.358,0.314,0.1000,alpkdce1,"0.839, 1.672, 1.256",0.5,1.0,0,13
7,1.242977,1.729362,0.377,0.346,0.1000,alpkdce1,"0.829, 1.652, 1.240",0.5,1.0,0,15
8,1.213657,1.718085,0.390,0.339,0.1000,alpkdce1,"0.814, 1.622, 1.218",0.5,1.0,1,18
9,1.190350,1.819319,0.400,0.319,0.1000,alpkdce1,"0.793, 1.580, 1.186",0.5,1.0,2,20
10,1.161613,1.662151,0.416,0.361,0.1000,alpkdce1,"0.772, 1.539, 1.156",0.5,1.0,0,22
11,1.154508,1.651957,0.418,0.372,0.1000,alpkdce1,"0.770, 1.535, 1.152",0.5,1.0,0,24
12,1.129228,1.588213,0.431,0.393,0.1000,alpkdce1,"0.756, 1.505, 1.130",0.5,1.0,0,27
13,1.114898,1.554951,0.438,0.406,0.1000,alpkdce1,"0.744, 1.483, 1.113",0.5,1.0,0,29
14,1.099543,1.627679,0.444,0.385,0.1000,alpkdce1,"0.734, 1.463, 1.099",0.5,1.0,1,31
15,1.081857,1.596612,0.453,0.390,0.1000,alpkdce1,"0.726, 1.445, 1.086",0.5,1.0,2,33
16,1.072835,1.533014,0.458,0.416,0.1000,alpkdce1,"0.716, 1.428, 1.072",0.5,1.0,0,36
17,1.060310,1.535602,0.464,0.413,0.1000,alpkdce1,"0.710, 1.415, 1.062",0.5,1.0,1,38
18,1.044646,1.530359,0.470,0.415,0.1000,alpkdce1,"0.702, 1.399, 1.051",0.5,1.0,2,40
19,1.030704,1.604756,0.479,0.383,0.1000,alpkdce1,"0.693, 1.381, 1.037",0.5,1.0,3,42
20,1.022789,1.485446,0.482,0.427,0.1000,alpkdce1,"0.686, 1.366, 1.026",0.5,1.0,0,45
21,1.015858,1.513777,0.486,0.429,0.1000,alpkdce1,"0.680, 1.355, 1.018",0.5,1.0,0,47
22,1.001687,1.522224,0.490,0.421,0.1000,alpkdce1,"0.676, 1.346, 1.011",0.5,1.0,1,49
23,0.997811,1.501871,0.495,0.430,0.1000,alpkdce1,"0.676, 1.345, 1.010",0.5,1.0,0,51
24,0.989016,1.483291,0.496,0.436,0.1000,alpkdce1,"0.666, 1.327, 0.996",0.5,1.0,0,54
25,0.978473,1.483741,0.503,0.439,0.1000,alpkdce1,"0.656, 1.306, 0.981",0.5,1.0,0,56
26,0.971499,1.481114,0.505,0.441,0.1000,alpkdce1,"0.651, 1.297, 0.974",0.5,1.0,0,58
27,0.963824,1.489340,0.508,0.437,0.1000,alpkdce1,"0.645, 1.285, 0.965",0.5,1.0,1,60
28,0.954982,1.603328,0.514,0.408,0.1000,alpkdce1,"0.638, 1.270, 0.954",0.5,1.0,2,63
29,0.948467,1.514515,0.518,0.429,0.1000,alpkdce1,"0.640, 1.274, 0.957",0.5,1.0,3,65
30,0.943369,1.472562,0.514,0.431,0.1000,alpkdce1,"0.641, 1.275, 0.958",0.5,1.0,4,67
