_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,nan,nan,0.100,0.101,0.1000,alpkdce2,"nan, nan, nan",0.9,30.0,0,2
2,nan,nan,0.100,0.101,0.1000,alpkdce2,"nan, nan, nan",0.9,30.0,0,4
1,19.354535,2.814469,0.187,0.177,0.1000,alpkdce2,"2.592, 20.800, 18.979",0.9,30.0,0,2
2,18.391797,2.598545,0.221,0.221,0.1000,alpkdce2,"2.665, 20.091, 18.348",0.9,30.0,0,4
3,17.849489,2.809851,0.241,0.213,0.1000,alpkdce2,"2.658, 19.375, 17.703",0.9,30.0,1,7
4,17.334007,2.710511,0.254,0.232,0.1000,alpkdce2,"2.693, 18.876, 17.258",0.9,30.0,0,9
5,16.854152,3.063574,0.272,0.237,0.1000,alpkdce2,"2.721, 18.370, 16.805",0.9,30.0,0,11
6,16.397026,3.051574,0.284,0.243,0.1000,alpkdce2,"2.706, 17.730, 16.227",0.9,30.0,0,14
7,15.922080,3.068537,0.303,0.258,0.1000,alpkdce2,"2.700, 17.176, 15.728",0.9,30.0,0,16
8,15.492017,2.845710,0.311,0.290,0.1000,alpkdce2,"2.668, 16.774, 15.363",0.9,30.0,0,18
9,15.002232,3.186919,0.328,0.274,0.1000,alpkdce2,"2.708, 16.277, 14.920",0.9,30.0,1,21
10,14.562549,3.063455,0.348,0.289,0.1000,alpkdce2,"2.678, 15.711, 14.408",0.9,30.0,2,23
11,14.233976,2.973233,0.358,0.323,0.1000,alpkdce2,"2.715, 15.359, 14.095",0.9,30.0,0,25
12,13.843309,3.391895,0.372,0.324,0.1000,alpkdce2,"2.702, 14.982, 13.754",0.9,30.0,0,28
13,13.515169,2.901887,0.382,0.327,0.1000,alpkdce2,"2.662, 14.470, 13.290",0.9,30.0,0,30
14,13.244104,2.871123,0.390,0.349,0.1000,alpkdce2,"2.674, 14.350, 13.182",0.9,30.0,0,32
15,12.952542,3.342386,0.400,0.332,0.1000,alpkdce2,"2.686, 14.049, 12.913",0.9,30.0,1,35
16,12.692264,3.108164,0.410,0.346,0.1000,alpkdce2,"2.652, 13.792, 12.678",0.9,30.0,2,37
