_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,1.870643,1.984911,0.240,0.246,0.1000,alpkdce1,"1.126, 1.834, 1.763",0.9,1.0,0,3
2,1.655563,1.803500,0.309,0.307,0.1000,alpkdce1,"1.043, 1.668, 1.605",0.9,1.0,0,6
3,1.509857,1.852873,0.365,0.295,0.1000,alpkdce1,"0.981, 1.542, 1.486",0.9,1.0,1,9
4,1.409377,2.029456,0.397,0.258,0.1000,alpkdce1,"0.924, 1.419, 1.370",0.9,1.0,2,12
5,1.335832,1.857180,0.426,0.302,0.1000,alpkdce1,"0.902, 1.348, 1.303",0.9,1.0,3,15
6,1.286252,1.534802,0.443,0.393,0.1000,alpkdce1,"0.880, 1.319, 1.275",0.9,1.0,0,19
7,1.234235,1.564465,0.464,0.397,0.1000,alpkdce1,"0.865, 1.268, 1.228",0.9,1.0,0,22
8,1.198088,1.480812,0.478,0.430,0.1000,alpkdce1,"0.842, 1.235, 1.196",0.9,1.0,0,25
9,1.171114,1.523098,0.486,0.416,0.1000,alpkdce1,"0.831, 1.213, 1.175",0.9,1.0,1,28
10,1.146341,1.406005,0.495,0.457,0.1000,alpkdce1,"0.823, 1.197, 1.160",0.9,1.0,0,31
11,1.124950,1.475317,0.502,0.426,0.1000,alpkdce1,"0.814, 1.160, 1.125",0.9,1.0,1,34
12,1.100383,1.360418,0.513,0.471,0.1000,alpkdce1,"0.801, 1.131, 1.098",0.9,1.0,0,38
13,1.083145,1.408974,0.518,0.455,0.1000,alpkdce1,"0.788, 1.115, 1.082",0.9,1.0,1,41
14,1.072842,1.367468,0.524,0.472,0.1000,alpkdce1,"0.785, 1.107, 1.075",0.9,1.0,0,44
15,1.055087,1.422257,0.528,0.452,0.1000,alpkdce1,"0.792, 1.090, 1.060",0.9,1.0,1,47
16,1.044940,1.343194,0.532,0.477,0.1000,alpkdce1,"0.774, 1.078, 1.048",0.9,1.0,0,50
17,1.032952,1.428251,0.537,0.455,0.1000,alpkdce1,"0.771, 1.060, 1.031",0.9,1.0,1,54
18,1.023630,1.328646,0.541,0.488,0.1000,alpkdce1,"0.752, 1.051, 1.021",0.9,1.0,0,57
19,1.017621,1.330074,0.542,0.481,0.1000,alpkdce1,"0.761, 1.049, 1.020",0.9,1.0,1,60
20,1.006561,1.337641,0.547,0.492,0.1000,alpkdce1,"0.753, 1.047, 1.017",0.9,1.0,0,63
21,1.000934,1.323304,0.550,0.497,0.1000,alpkdce1,"0.755, 1.035, 1.007",0.9,1.0,0,66
22,0.993375,1.389037,0.552,0.474,0.1000,alpkdce1,"0.760, 1.040, 1.012",0.9,1.0,1,69
23,0.987984,1.322348,0.553,0.494,0.1000,alpkdce1,"0.743, 1.022, 0.994",0.9,1.0,2,73
24,0.978043,1.328876,0.556,0.491,0.1000,alpkdce1,"0.741, 1.006, 0.980",0.9,1.0,3,76
25,0.974331,1.455921,0.559,0.461,0.1000,alpkdce1,"0.737, 1.017, 0.989",0.9,1.0,4,79
26,0.966440,1.332678,0.563,0.496,0.1000,alpkdce1,"0.734, 0.994, 0.968",0.9,1.0,5,82
27,0.961791,1.345593,0.563,0.492,0.1000,alpkdce1,"0.737, 1.000, 0.974",0.9,1.0,6,85
28,0.954646,1.294269,0.566,0.508,0.1000,alpkdce1,"0.726, 0.983, 0.957",0.9,1.0,0,88
29,0.949135,1.366070,0.568,0.481,0.1000,alpkdce1,"0.728, 0.986, 0.960",0.9,1.0,1,92
