_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,1.837750,1.889942,0.250,0.281,0.1000,alpkdce1,"1.117, 1.813, 1.743",0.9,1.0,0,3
2,1.617839,1.750373,0.321,0.324,0.1000,alpkdce1,"1.021, 1.623, 1.563",0.9,1.0,0,6
3,1.470840,1.904546,0.375,0.280,0.1000,alpkdce1,"0.964, 1.484, 1.432",0.9,1.0,1,9
4,1.382696,1.671934,0.405,0.347,0.1000,alpkdce1,"0.925, 1.405, 1.357",0.9,1.0,0,12
5,1.304268,1.564787,0.438,0.395,0.1000,alpkdce1,"0.899, 1.330, 1.287",0.9,1.0,0,16
6,1.256120,1.530881,0.453,0.401,0.1000,alpkdce1,"0.874, 1.292, 1.250",0.9,1.0,0,19
7,1.210302,1.591641,0.471,0.392,0.1000,alpkdce1,"0.851, 1.243, 1.204",0.9,1.0,1,22
8,1.185138,1.425177,0.478,0.448,0.1000,alpkdce1,"0.844, 1.220, 1.182",0.9,1.0,0,25
9,1.154869,1.492510,0.492,0.436,0.1000,alpkdce1,"0.831, 1.182, 1.147",0.9,1.0,1,28
10,1.135407,1.413556,0.501,0.446,0.1000,alpkdce1,"0.818, 1.171, 1.136",0.9,1.0,2,32
11,1.108061,1.380303,0.509,0.461,0.1000,alpkdce1,"0.797, 1.138, 1.104",0.9,1.0,0,35
12,1.091593,1.380008,0.513,0.463,0.1000,alpkdce1,"0.798, 1.131, 1.097",0.9,1.0,0,38
13,1.077031,1.343133,0.521,0.475,0.1000,alpkdce1,"0.792, 1.122, 1.089",0.9,1.0,0,41
14,1.064103,1.352589,0.523,0.468,0.1000,alpkdce1,"0.788, 1.094, 1.063",0.9,1.0,1,44
15,1.044408,1.402131,0.532,0.469,0.1000,alpkdce1,"0.770, 1.070, 1.040",0.9,1.0,2,48
16,1.036163,1.405078,0.538,0.465,0.1000,alpkdce1,"0.772, 1.069, 1.039",0.9,1.0,3,51
17,1.033386,1.349778,0.537,0.483,0.1000,alpkdce1,"0.771, 1.069, 1.039",0.9,1.0,0,54
18,1.017407,1.321537,0.544,0.494,0.1000,alpkdce1,"0.746, 1.050, 1.019",0.9,1.0,0,57
