_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,15.879302,2.889294,0.199,0.193,0.1000,alpkdce1,"1.452, 16.937, 15.388",0.9,30.0,0,3
2,14.509272,2.653139,0.253,0.238,0.1000,alpkdce1,"1.504, 15.571, 14.164",0.9,30.0,0,6
3,13.521579,2.884111,0.284,0.268,0.1000,alpkdce1,"1.511, 14.510, 13.210",0.9,30.0,0,9
4,12.608347,2.815877,0.323,0.303,0.1000,alpkdce1,"1.503, 13.469, 12.272",0.9,30.0,0,13
5,11.643172,3.105760,0.362,0.322,0.1000,alpkdce1,"1.499, 12.424, 11.332",0.9,30.0,0,16
6,10.762147,5.371258,0.406,0.234,0.1000,alpkdce1,"1.485, 11.438, 10.443",0.9,30.0,1,19
7,10.226114,3.502365,0.417,0.356,0.1000,alpkdce1,"1.514, 10.891, 9.953",0.9,30.0,0,23
8,9.720057,2.930126,0.438,0.401,0.1000,alpkdce1,"1.512, 10.554, 9.649",0.9,30.0,0,26
9,9.328126,2.977444,0.452,0.417,0.1000,alpkdce1,"1.489, 10.085, 9.225",0.9,30.0,0,29
10,8.951773,3.119784,0.464,0.408,0.1000,alpkdce1,"1.481, 9.719, 8.895",0.9,30.0,1,33
11,8.665298,3.212387,0.479,0.425,0.1000,alpkdce1,"1.477, 9.453, 8.655",0.9,30.0,0,36
12,8.502865,3.159299,0.484,0.430,0.1000,alpkdce1,"1.458, 9.198, 8.424",0.9,30.0,0,39
13,8.341494,3.010823,0.494,0.436,0.1000,alpkdce1,"1.436, 9.089, 8.324",0.9,30.0,0,42
14,8.163400,3.083448,0.500,0.449,0.1000,alpkdce1,"1.455, 8.864, 8.123",0.9,30.0,0,46
15,7.998159,3.138926,0.508,0.452,0.1000,alpkdce1,"1.448, 8.821, 8.083",0.9,30.0,0,49
16,7.907888,3.153247,0.512,0.453,0.1000,alpkdce1,"1.441, 8.611, 7.894",0.9,30.0,0,52
17,7.767993,3.318526,0.515,0.452,0.1000,alpkdce1,"1.428, 8.526, 7.816",0.9,30.0,1,56
18,7.639646,3.193146,0.521,0.456,0.1000,alpkdce1,"1.418, 8.362, 7.667",0.9,30.0,0,59
19,7.562463,3.142488,0.522,0.469,0.1000,alpkdce1,"1.401, 8.247, 7.562",0.9,30.0,0,62
20,7.464505,2.976021,0.527,0.475,0.1000,alpkdce1,"1.416, 8.200, 7.521",0.9,30.0,0,66
21,7.439688,2.900573,0.532,0.469,0.1000,alpkdce1,"1.380, 8.123, 7.449",0.9,30.0,1,69
22,7.312676,2.905245,0.535,0.466,0.1000,alpkdce1,"1.397, 7.993, 7.333",0.9,30.0,2,72
23,7.253526,3.188681,0.539,0.470,0.1000,alpkdce1,"1.392, 7.951, 7.295",0.9,30.0,3,76
24,7.200761,3.028541,0.541,0.468,0.1000,alpkdce1,"1.371, 7.944, 7.286",0.9,30.0,4,79
25,7.117963,3.157916,0.544,0.457,0.1000,alpkdce1,"1.372, 7.819, 7.174",0.9,30.0,5,82
26,7.133318,3.676331,0.545,0.449,0.1000,alpkdce1,"1.383, 7.866, 7.218",0.9,30.0,6,86
27,7.044811,2.922496,0.546,0.481,0.1000,alpkdce1,"1.357, 7.770, 7.129",0.9,30.0,0,89
28,7.003319,3.107909,0.550,0.461,0.1000,alpkdce1,"1.346, 7.723, 7.085",0.9,30.0,1,92
29,6.951130,3.151129,0.551,0.480,0.1000,alpkdce1,"1.351, 7.637, 7.008",0.9,30.0,2,96
30,6.883788,3.251527,0.551,0.474,0.1000,alpkdce1,"1.373, 7.539, 6.922",0.9,30.0,3,99
31,6.873010,3.346069,0.554,0.462,0.1000,alpkdce1,"1.342, 7.513, 6.896",0.9,30.0,4,102
32,6.852398,2.974307,0.556,0.486,0.1000,alpkdce1,"1.352, 7.487, 6.874",0.9,30.0,0,106
33,6.823335,3.082654,0.555,0.471,0.1000,alpkdce1,"1.353, 7.580, 6.957",0.9,30.0,1,109
34,6.761194,3.278424,0.561,0.453,0.1000,alpkdce1,"1.331, 7.419, 6.810",0.9,30.0,2,112
35,6.750784,3.072301,0.560,0.484,0.1000,alpkdce1,"1.333, 7.448, 6.836",0.9,30.0,3,116
36,6.709756,3.188792,0.562,0.461,0.1000,alpkdce1,"1.322, 7.337, 6.735",0.9,30.0,4,119
37,6.700778,3.340927,0.564,0.464,0.1000,alpkdce1,"1.330, 7.392, 6.786",0.9,30.0,5,122
38,6.647638,2.707006,0.566,0.489,0.1000,alpkdce1,"1.325, 7.270, 6.676",0.9,30.0,0,126
39,6.650222,3.226558,0.567,0.457,0.1000,alpkdce1,"1.328, 7.307, 6.709",0.9,30.0,1,129
40,6.610161,3.075068,0.566,0.480,0.1000,alpkdce1,"1.320, 7.293, 6.695",0.9,30.0,2,132
41,6.579679,2.986147,0.569,0.494,0.1000,alpkdce1,"1.328, 7.178, 6.593",0.9,30.0,0,136
