_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.749407,3.156154,0.383,0.238,0.1000,kl_2_3a,"0.000, 0.000, 2.519",0.9,30.0,0,4
2,2.382711,2.384183,0.514,0.307,0.1000,kl_2_3a,"0.000, 0.000, 2.310",0.9,30.0,0,9
3,2.220604,2.248941,0.567,0.355,0.1000,kl_2_3a,"0.000, 0.000, 2.187",0.9,30.0,0,14
4,2.124458,2.112200,0.599,0.389,0.1000,kl_2_3a,"0.000, 0.000, 2.089",0.9,30.0,0,18
5,2.067639,2.035505,0.618,0.396,0.1000,kl_2_3a,"0.000, 0.000, 2.045",0.9,30.0,0,23
6,2.015354,2.036772,0.633,0.441,0.1000,kl_2_3a,"0.000, 0.000, 2.018",0.9,30.0,0,28
7,1.980423,1.978378,0.645,0.434,0.1000,kl_2_3a,"0.000, 0.000, 1.963",0.9,30.0,1,33
8,1.955235,1.926237,0.653,0.426,0.1000,kl_2_3a,"0.000, 0.000, 1.949",0.9,30.0,2,37
9,1.923236,2.132325,0.657,0.453,0.1000,kl_2_3a,"0.000, 0.000, 1.926",0.9,30.0,0,42
10,1.910602,1.867061,0.666,0.443,0.1000,kl_2_3a,"0.000, 0.000, 1.903",0.9,30.0,1,47
11,1.903180,1.945503,0.667,0.477,0.1000,kl_2_3a,"0.000, 0.000, 1.899",0.9,30.0,0,51
12,1.884173,2.020181,0.671,0.471,0.1000,kl_2_3a,"0.000, 0.000, 1.885",0.9,30.0,1,56
13,1.875607,1.963928,0.675,0.439,0.1000,kl_2_3a,"0.000, 0.000, 1.887",0.9,30.0,2,61
14,1.857252,2.142639,0.682,0.443,0.1000,kl_2_3a,"0.000, 0.000, 1.865",0.9,30.0,3,66
15,1.854655,1.856755,0.681,0.465,0.1000,kl_2_3a,"0.000, 0.000, 1.859",0.9,30.0,4,70
16,1.853259,1.784515,0.681,0.490,0.1000,kl_2_3a,"0.000, 0.000, 1.860",0.9,30.0,0,75
17,1.844021,1.989510,0.682,0.479,0.1000,kl_2_3a,"0.000, 0.000, 1.839",0.9,30.0,1,80
18,1.839195,1.876554,0.687,0.471,0.1000,kl_2_3a,"0.000, 0.000, 1.836",0.9,30.0,2,85
19,1.827410,1.780577,0.688,0.479,0.1000,kl_2_3a,"0.000, 0.000, 1.843",0.9,30.0,3,89
20,1.821718,2.077260,0.692,0.482,0.1000,kl_2_3a,"0.000, 0.000, 1.849",0.9,30.0,4,94
21,1.811379,1.931678,0.692,0.488,0.1000,kl_2_3a,"0.000, 0.000, 1.823",0.9,30.0,5,99
22,1.815398,1.837178,0.692,0.473,0.1000,kl_2_3a,"0.000, 0.000, 1.828",0.9,30.0,6,103
23,1.809197,1.839764,0.693,0.482,0.1000,kl_2_3a,"0.000, 0.000, 1.829",0.9,30.0,7,108
