_epoch,train_loss,valid_loss,acc,val_acc,lr,type,early_stopping,elapsed_time
1,1.588116,1.708216,0.417,0.423,0.1000,NT,0,0
2,1.081425,1.198022,0.614,0.592,0.1000,NT,0,0
3,0.820089,0.843766,0.710,0.706,0.1000,NT,0,1
4,0.676030,0.747791,0.766,0.738,0.1000,NT,0,1
5,0.575271,0.726014,0.800,0.746,0.1000,NT,0,1
6,0.503658,0.697479,0.825,0.764,0.1000,NT,0,2
7,0.455725,0.511605,0.841,0.827,0.1000,NT,0,2
8,0.414798,0.544251,0.855,0.817,0.1000,NT,1,2
9,0.374150,0.487699,0.870,0.834,0.1000,NT,0,3
10,0.350995,0.443630,0.879,0.856,0.1000,NT,0,3
11,0.320743,0.455328,0.889,0.844,0.1000,NT,1,3
12,0.304590,0.437271,0.895,0.853,0.1000,NT,2,4
13,0.280066,0.509470,0.902,0.832,0.1000,NT,3,4
14,0.267489,0.481702,0.906,0.847,0.1000,NT,4,4
15,0.250467,0.417233,0.913,0.859,0.1000,NT,0,5
16,0.241426,0.369917,0.916,0.879,0.1000,NT,0,5
17,0.225825,0.464130,0.922,0.846,0.1000,NT,1,5
18,0.226091,0.362938,0.920,0.878,0.1000,NT,2,6
19,0.207199,0.419620,0.928,0.868,0.1000,NT,3,6
20,0.206734,0.461522,0.928,0.852,0.1000,NT,4,6
21,0.197705,0.421828,0.931,0.857,0.1000,NT,5,7
22,0.195755,0.448335,0.932,0.860,0.1000,NT,6,7
23,0.182209,0.402048,0.936,0.872,0.1000,NT,7,8
24,0.183678,0.368839,0.935,0.885,0.1000,NT,0,8
25,0.178371,0.391519,0.938,0.876,0.1000,NT,1,8
26,0.177985,0.348299,0.938,0.890,0.1000,NT,0,9
27,0.169328,0.402622,0.940,0.870,0.1000,NT,1,9
28,0.162894,0.378389,0.942,0.880,0.1000,NT,2,9
29,0.165957,0.339724,0.941,0.891,0.1000,NT,0,9
30,0.160164,0.375523,0.945,0.879,0.1000,NT,1,10
31,0.156256,0.425932,0.946,0.871,0.1000,NT,2,10
32,0.156167,0.473538,0.945,0.852,0.1000,NT,3,10
33,0.144401,0.459531,0.950,0.866,0.1000,NT,4,11
34,0.147116,0.476736,0.948,0.866,0.1000,NT,5,11
35,0.147714,0.371345,0.949,0.879,0.1000,NT,6,11
36,0.145787,0.443239,0.949,0.869,0.1000,NT,7,12
37,0.143708,0.413213,0.950,0.869,0.1000,NT,8,12
38,0.134567,0.519549,0.953,0.846,0.1000,NT,9,12
39,0.137779,0.413760,0.952,0.875,0.1000,NT,10,13
40,0.144495,0.449196,0.949,0.865,0.1000,NT,11,13
41,0.136581,0.349828,0.953,0.888,0.1000,NT,12,13
42,0.129594,0.411201,0.955,0.882,0.1000,NT,13,14
43,0.129406,0.363410,0.956,0.886,0.1000,NT,14,14
44,0.139061,0.338854,0.951,0.895,0.1000,NT,0,15
45,0.125971,0.409259,0.955,0.876,0.1000,NT,1,15
46,0.129622,0.521844,0.955,0.847,0.1000,NT,2,15
47,0.125599,0.355118,0.956,0.892,0.1000,NT,3,16
48,0.127202,0.487086,0.954,0.853,0.1000,NT,4,16
49,0.132417,0.416773,0.953,0.874,0.1000,NT,5,16
50,0.123384,0.420885,0.957,0.877,0.1000,NT,6,17
51,0.128003,0.338970,0.955,0.898,0.1000,NT,0,17
52,0.117857,0.401287,0.959,0.884,0.1000,NT,1,17
53,0.122794,0.426698,0.957,0.873,0.1000,NT,2,18
54,0.122874,0.578498,0.958,0.833,0.1000,NT,3,18
55,0.119870,0.395298,0.958,0.879,0.1000,NT,4,19
56,0.121722,0.436804,0.958,0.876,0.1000,NT,5,19
57,0.120720,0.451260,0.958,0.875,0.1000,NT,6,19
58,0.116581,0.416134,0.959,0.874,0.1000,NT,7,20
59,0.115363,0.424136,0.959,0.874,0.1000,NT,8,20
