filename,_epoch,train_acc,train_PGD10_acc,val_acc,val_PGD20_acc,test_acc,test_PGD200_acc,test_Auto_acc
_Net_resnet18__C_10__176_MSE_APGD_noT_kl_2_3v_A_0.9_T_30.0_.pth,176,88.216327,65.733110,84.800000,56.347656,82.220000,50.039557,49.693434
_Net_resnet18__C_10__188_MSE_Original_kl_2_3v_A_0.9_T_30.0_.pth,188,89.024490,63.942151,84.800000,56.152344,82.540000,50.435127,49.990111
_Net_resnet18__C_10__174_MSE_Original_kl_2_3v_A_0.9_T_30.0_.pth,174,89.085714,63.676975,85.600000,56.054688,82.470000,50.464794,50.098892
_Net_resnet18__C_10__144_MSE_Adv_Multiplier_kl_2_3v_A_0.9_T_30.0_.pth,144,88.863265,63.472993,85.100000,55.175781,82.520000,50.316456,49.930775
_Net_resnet18__C_10__186_MSE_variant_mul_kl_2_3v_A_0.9_T_30.0_.pth,186,88.977551,63.738169,85.100000,56.542969,82.590000,50.227453,49.802215
_Net_resnet18__C_10__118_PenalizeNatural_kl_2_3v_A_0.9_T_30.0_.pth,118,92.726531,65.755548,87.800000,56.640625,84.910000,49.535206,49.307753
_Net_resnet18__C_10__110_MSE_V_kl_2_3v_A_0.9_T_30.0_.pth,110,88.618367,63.424037,84.600000,55.664062,82.450000,50.632911,50.098892
_Net_resnet18__C_10__134_MSE_Both_terms_kl_2_3v_A_0.9_T_30.0_.pth,134,85.671429,61.724869,83.100000,54.785156,80.000000,50.810918,49.901108
_Net_resnet18__C_10__107_MSEadv_LG10_kl_2_3a_A_0.9_T_30.0_.pth,107,86.490000,64.097481,83.600000,56.250000,83.490000,56.230222,55.725870
_Net_resnet18__C_10__143_MSEa_C10s_kl_2_3a_A_0.9_T_30.0_.pth,143,88.532653,63.609661,85.000000,55.175781,82.040000,50.652690,50.178006
_Net_resnet18__C_10__143_MSEa_C10s_kl_2_3a_A_0.9_T_30.0_.pth,143,88.526531,63.473469,84.300000,57.000000,82.040000,51.190000,50.720000
