_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,0.000520,2.419429,0.074,0.097,0.1000,custom6,"0.000, 0.000, 0.000",1.0,30.0,0,3
2,0.000047,2.372813,0.099,0.097,0.1000,custom6,"0.000, 0.000, 0.000",1.0,30.0,0,6
3,0.000023,2.353295,0.100,0.097,0.1000,custom6,"0.000, 0.000, 0.000",1.0,30.0,0,10
4,0.000014,2.340994,0.100,0.098,0.1000,custom6,"0.000, 0.000, 0.000",1.0,30.0,0,13
5,0.000009,2.335563,0.100,0.097,0.1000,custom6,"0.000, 0.000, 0.000",1.0,30.0,1,16
6,0.000006,2.327813,0.100,0.098,0.1000,custom6,"0.000, 0.000, 0.000",1.0,30.0,0,20
7,0.000005,2.323988,0.100,0.098,0.1000,custom6,"0.000, 0.000, 0.000",1.0,30.0,0,23
8,0.000004,2.320686,0.100,0.097,0.1000,custom6,"0.000, 0.000, 0.000",1.0,30.0,1,27
9,0.000003,2.318229,0.100,0.097,0.1000,custom6,"0.000, 0.000, 0.000",1.0,30.0,2,30
10,0.000002,2.316151,0.100,0.097,0.1000,custom6,"0.000, 0.000, 0.000",1.0,30.0,3,33
11,0.000002,2.314299,0.099,0.097,0.1000,custom6,"0.000, 0.000, 0.000",1.0,30.0,4,37
12,0.000001,2.312858,0.099,0.097,0.1000,custom6,"0.000, 0.000, 0.000",1.0,30.0,5,40
13,0.000001,2.311777,0.099,0.097,0.1000,custom6,"0.000, 0.000, 0.000",1.0,30.0,6,43
14,0.000001,2.311155,0.099,0.097,0.1000,custom6,"0.000, 0.000, 0.000",1.0,30.0,7,47
15,0.000001,2.309675,0.098,0.096,0.1000,custom6,"0.000, 0.000, 0.000",1.0,30.0,8,50
16,0.000001,2.308905,0.098,0.096,0.1000,custom6,"0.000, 0.000, 0.000",1.0,30.0,9,53
17,0.000000,2.308591,0.098,0.094,0.1000,custom6,"0.000, 0.000, 0.000",1.0,30.0,10,57
18,0.000000,2.307874,0.097,0.093,0.1000,custom6,"0.000, 0.000, 0.000",1.0,30.0,11,60
19,0.000000,2.307042,0.096,0.094,0.1000,custom6,"0.000, 0.000, 0.000",1.0,30.0,12,64
20,0.000000,2.306796,0.095,0.090,0.1000,custom6,"0.000, 0.000, 0.000",1.0,30.0,13,67
21,0.000000,2.306369,0.093,0.088,0.1000,custom6,"0.000, 0.000, 0.000",1.0,30.0,14,70
22,0.000000,2.305801,0.091,0.086,0.1000,custom6,"0.000, 0.000, 0.000",1.0,30.0,15,74
23,0.000000,2.305387,0.088,0.075,0.1000,custom6,"0.000, 0.000, 0.000",1.0,30.0,16,77
24,0.000000,2.305162,0.081,0.071,0.1000,custom6,"0.000, 0.000, 0.000",1.0,30.0,17,80
25,0.000000,2.304870,0.069,0.048,0.1000,custom6,"0.000, 0.000, 0.000",1.0,30.0,18,84
26,0.000000,2.304587,0.050,0.025,0.1000,custom6,"0.000, 0.000, 0.000",1.0,30.0,19,87
27,0.000000,2.304376,0.025,0.007,0.1000,custom6,"-0.000, 0.000, 0.000",1.0,30.0,20,90
