_epoch,train_loss,valid_loss,acc,val_acc,lr,type,early_stopping,elapsed_time
1,nan,nan,0.100,0.117,0.000000,AT,0,2
2,nan,nan,0.100,0.117,0.000000,AT,0,5
3,nan,nan,0.100,0.117,0.000000,AT,0,8
4,nan,nan,0.100,0.117,0.000000,AT,0,11
5,nan,nan,0.100,0.117,0.000000,AT,0,14
6,nan,nan,0.100,0.117,0.000000,AT,0,16
7,nan,nan,0.100,0.117,0.000000,AT,0,19
1,2.087083,1.995221,0.228,0.256,0.000000,AT,0,2
2,2.002950,1.993329,0.253,0.248,0.000000,AT,1,5
3,2.003456,2.001590,0.252,0.248,0.000000,AT,2,8
4,2.001493,1.991619,0.253,0.256,0.000000,AT,0,11
5,2.003544,1.991080,0.253,0.258,0.000000,AT,0,14
6,2.002472,2.004012,0.254,0.238,0.000000,AT,1,16
7,2.002117,1.997724,0.254,0.264,0.000000,AT,0,19
8,2.003786,2.000577,0.253,0.238,0.000000,AT,1,22
9,2.001339,2.006221,0.255,0.252,0.000000,AT,2,25
10,2.002236,1.984129,0.252,0.268,0.000000,AT,0,28
11,2.002228,1.986100,0.253,0.254,0.000000,AT,1,30
12,2.003293,1.997575,0.253,0.254,0.000000,AT,2,33
13,2.002654,2.001545,0.254,0.260,0.000000,AT,3,36
14,2.003737,1.983566,0.254,0.252,0.000000,AT,4,39
15,2.003142,2.003215,0.253,0.240,0.000000,AT,5,42
16,2.003268,1.989612,0.252,0.230,0.000000,AT,6,44
17,2.001928,2.005963,0.253,0.246,0.000000,AT,7,47
18,2.002926,1.984205,0.253,0.252,0.000000,AT,8,50
19,2.001836,1.999421,0.253,0.246,0.000000,AT,9,53
20,2.002655,1.986593,0.255,0.264,0.000000,AT,10,56
21,2.004454,1.982539,0.252,0.252,0.000000,AT,11,58
22,2.003050,1.996155,0.253,0.227,0.000000,AT,12,61
23,2.003224,1.993004,0.255,0.238,0.000000,AT,13,64
24,2.004003,1.987184,0.253,0.250,0.000000,AT,14,67
25,2.003209,2.012910,0.252,0.252,0.000000,AT,15,69
26,2.002729,1.979811,0.254,0.262,0.000000,AT,16,72
27,2.002776,1.992136,0.253,0.250,0.000000,AT,17,75
28,2.006077,1.998217,0.253,0.256,0.000000,AT,18,78
29,2.004996,1.985710,0.252,0.262,0.000000,AT,19,81
30,2.002492,1.991412,0.253,0.252,0.000000,AT,20,83
31,2.002961,1.986965,0.251,0.250,0.000000,AT,21,86
32,2.003421,1.994592,0.255,0.244,0.000000,AT,22,89
33,2.003618,1.989940,0.255,0.240,0.000000,AT,23,92
34,2.006717,1.999830,0.249,0.240,0.000000,AT,24,95
35,2.003799,1.992456,0.253,0.250,0.000000,AT,25,97
36,2.003357,1.997524,0.253,0.230,0.000000,AT,26,100
37,2.003228,1.996872,0.253,0.236,0.000000,AT,27,103
38,2.004398,1.987968,0.253,0.264,0.000000,AT,28,106
39,2.001856,1.987991,0.255,0.250,0.000000,AT,29,108
40,2.003936,2.002060,0.254,0.240,0.000000,AT,30,111
41,2.003733,1.982249,0.254,0.258,0.000000,AT,31,114
42,2.004816,1.994242,0.255,0.252,0.000000,AT,32,117
43,2.002882,1.996120,0.255,0.246,0.000000,AT,33,120
44,2.004056,1.996073,0.254,0.240,0.000000,AT,34,122
45,2.003051,1.998462,0.254,0.250,0.000000,AT,35,125
46,2.002931,2.004635,0.254,0.248,0.000000,AT,36,128
47,2.003058,1.984516,0.254,0.250,0.000000,AT,37,131
48,2.004317,1.994571,0.254,0.254,0.000000,AT,38,134
49,2.003507,1.983807,0.252,0.260,0.000000,AT,39,136
