_epoch,train_loss,valid_loss,acc,val_acc,lr,type,early_stopping,elapsed_time
1,2.107349,2.067586,0.218,0.217,0.1000,AT,0,3
2,1.966901,1.978509,0.264,0.244,0.1000,AT,0,7
3,1.884581,1.868881,0.292,0.291,0.1000,AT,0,11
4,1.812176,1.825328,0.317,0.289,0.1000,AT,1,15
5,1.746630,1.753680,0.342,0.326,0.1000,AT,0,19
6,1.688379,1.686744,0.363,0.338,0.1000,AT,0,22
7,1.643615,1.675040,0.382,0.352,0.1000,AT,0,26
8,1.600175,1.616278,0.397,0.387,0.1000,AT,0,30
9,1.569010,1.614811,0.407,0.379,0.1000,AT,1,34
10,1.536577,1.558257,0.422,0.410,0.1000,AT,0,38
11,1.509896,1.530041,0.429,0.422,0.1000,AT,0,41
12,1.486269,1.505140,0.437,0.447,0.1000,AT,0,45
13,1.466298,1.508532,0.447,0.424,0.1000,AT,1,49
14,1.446304,1.498551,0.455,0.422,0.1000,AT,2,53
15,1.429627,1.470940,0.459,0.420,0.1000,AT,3,56
16,1.415963,1.475063,0.466,0.447,0.1000,AT,0,60
17,1.397846,1.469417,0.471,0.432,0.1000,AT,1,64
18,1.383881,1.420126,0.477,0.451,0.1000,AT,0,68
19,1.371353,1.457419,0.480,0.424,0.1000,AT,1,72
20,1.362054,1.433887,0.483,0.447,0.1000,AT,2,75
21,1.346525,1.480487,0.491,0.436,0.1000,AT,3,79
22,1.339817,1.437316,0.491,0.463,0.1000,AT,0,83
23,1.328537,1.471403,0.496,0.434,0.1000,AT,1,87
24,1.321286,1.409002,0.499,0.455,0.1000,AT,2,91
25,1.313291,1.378415,0.501,0.461,0.1000,AT,3,94
26,1.303543,1.507727,0.505,0.420,0.1000,AT,4,98
27,1.296725,1.419111,0.507,0.465,0.1000,AT,0,102
28,1.289155,1.481429,0.510,0.426,0.1000,AT,1,106
29,1.282924,1.414169,0.512,0.463,0.1000,AT,2,109
30,1.272439,1.430614,0.514,0.451,0.1000,AT,3,113
31,1.264632,1.492043,0.516,0.428,0.1000,AT,4,117
32,1.261607,1.390582,0.518,0.451,0.1000,AT,5,121
33,1.255631,1.516990,0.522,0.445,0.1000,AT,6,125
34,1.248850,1.462474,0.523,0.463,0.1000,AT,7,128
35,1.241774,1.359196,0.526,0.471,0.1000,AT,0,132
36,1.240358,1.374344,0.523,0.461,0.1000,AT,1,136
37,1.233183,1.432779,0.527,0.420,0.1000,AT,2,140
38,1.229151,1.457828,0.531,0.424,0.1000,AT,3,144
39,1.227701,1.426801,0.529,0.459,0.1000,AT,4,147
40,1.220696,1.457425,0.530,0.471,0.1000,AT,0,151
41,1.213536,1.390644,0.534,0.484,0.1000,AT,0,155
42,1.213844,1.440706,0.533,0.447,0.1000,AT,1,159
43,1.207114,1.467691,0.537,0.463,0.1000,AT,2,162
44,1.206664,1.414364,0.537,0.492,0.1000,AT,0,166
45,1.203048,1.441970,0.538,0.461,0.1000,AT,1,170
46,1.194441,1.492277,0.540,0.439,0.1000,AT,2,174
47,1.189198,1.395483,0.546,0.471,0.1000,AT,3,178
48,1.188470,1.371198,0.544,0.475,0.1000,AT,4,181
49,1.187640,1.412337,0.543,0.465,0.1000,AT,5,185
50,1.179798,1.398243,0.545,0.459,0.1000,AT,6,189
51,1.185338,1.419193,0.544,0.439,0.1000,AT,7,193
52,1.175054,1.458044,0.547,0.459,0.1000,AT,8,197
53,1.176481,1.426702,0.546,0.461,0.1000,AT,9,200
54,1.172121,1.473778,0.550,0.432,0.1000,AT,10,204
55,1.170457,1.366668,0.549,0.461,0.1000,AT,11,208
56,1.165973,1.407832,0.550,0.477,0.1000,AT,12,212
57,1.164038,1.372023,0.549,0.488,0.1000,AT,13,215
58,1.162830,1.394404,0.551,0.465,0.1000,AT,14,219
59,1.161095,1.370292,0.552,0.475,0.1000,AT,15,223
60,1.157524,1.483839,0.552,0.449,0.1000,AT,16,227
61,1.150637,1.435932,0.555,0.418,0.1000,AT,17,231
62,1.150669,1.381189,0.555,0.471,0.1000,AT,18,234
63,1.147572,1.395486,0.557,0.467,0.1000,AT,19,238
64,1.146786,1.359975,0.557,0.488,0.1000,AT,20,242
65,1.143594,1.448353,0.556,0.482,0.1000,AT,21,246
66,1.144305,1.399257,0.560,0.463,0.1000,AT,22,250
67,1.145325,1.404905,0.559,0.453,0.1000,AT,23,253
68,1.142297,1.422504,0.558,0.469,0.1000,AT,24,257
69,1.138379,1.449200,0.561,0.449,0.1000,AT,25,261
70,1.136775,1.447363,0.559,0.479,0.1000,AT,26,265
71,1.134897,1.401614,0.561,0.449,0.1000,AT,27,268
72,1.130288,1.654090,0.562,0.434,0.1000,AT,28,272
73,1.126871,1.433771,0.563,0.482,0.1000,AT,29,276
74,1.132989,1.431715,0.561,0.461,0.1000,AT,30,280
75,1.127480,1.395526,0.565,0.482,0.1000,AT,31,284
76,0.961143,1.301492,0.622,0.529,0.0100,AT,0,287
77,0.883592,1.311366,0.646,0.529,0.0100,AT,0,291
78,0.855408,1.358760,0.657,0.518,0.0100,AT,1,295
79,0.831304,1.322444,0.665,0.525,0.0100,AT,2,299
80,0.812006,1.389288,0.672,0.531,0.0100,AT,0,303
81,0.797838,1.471937,0.678,0.527,0.0100,AT,1,306
82,0.781797,1.452137,0.684,0.508,0.0100,AT,2,310
83,0.762096,1.475196,0.689,0.523,0.0100,AT,3,314
84,0.757728,1.495056,0.691,0.516,0.0100,AT,4,318
85,0.744882,1.518034,0.695,0.527,0.0100,AT,5,321
86,0.732573,1.534104,0.700,0.527,0.0100,AT,6,325
87,0.721692,1.622659,0.703,0.490,0.0100,AT,7,329
88,0.716063,1.615467,0.704,0.514,0.0100,AT,8,333
89,0.705217,1.618536,0.711,0.508,0.0100,AT,9,337
90,0.696703,1.645512,0.713,0.508,0.0100,AT,10,340
91,0.641619,1.695361,0.734,0.520,0.0010,AT,11,344
92,0.622812,1.669054,0.742,0.514,0.0010,AT,12,348
93,0.616759,1.725895,0.744,0.498,0.0010,AT,13,352
94,0.612610,1.804620,0.745,0.523,0.0010,AT,14,355
95,0.604947,1.769056,0.748,0.504,0.0010,AT,15,359
96,0.603502,1.790175,0.748,0.514,0.0010,AT,16,363
97,0.597622,1.829876,0.750,0.488,0.0010,AT,17,367
98,0.595324,1.836619,0.751,0.516,0.0010,AT,18,371
99,0.590698,1.929625,0.752,0.498,0.0010,AT,19,374
100,0.588656,1.877841,0.753,0.502,0.0010,AT,20,378
101,0.580686,1.859817,0.758,0.508,0.0001,AT,21,382
102,0.575257,1.858844,0.759,0.506,0.0001,AT,22,386
103,0.576386,1.811663,0.758,0.512,0.0001,AT,23,390
104,0.572826,1.862171,0.761,0.514,0.0001,AT,24,393
105,0.573955,1.787721,0.761,0.523,0.0001,AT,25,397
106,0.574450,1.869283,0.760,0.510,0.0001,AT,26,401
107,0.574332,1.833325,0.759,0.508,0.0001,AT,27,405
108,0.574379,1.859874,0.759,0.508,0.0001,AT,28,408
109,0.573933,1.890946,0.759,0.506,0.0001,AT,29,412
110,0.574055,1.876742,0.760,0.523,0.0001,AT,30,416
111,0.573224,1.852396,0.760,0.520,0.0001,AT,31,420
112,0.572946,1.800917,0.760,0.504,0.0001,AT,32,424
113,0.573083,1.903290,0.759,0.484,0.0001,AT,33,427
114,0.570688,1.860160,0.760,0.520,0.0001,AT,34,431
115,0.572029,1.913336,0.761,0.514,0.0001,AT,35,435
116,0.571486,1.874643,0.759,0.510,0.0001,AT,36,439
117,0.571399,1.896254,0.761,0.502,0.0001,AT,37,443
118,0.570426,1.810982,0.760,0.512,0.0001,AT,38,446
119,0.567338,1.865766,0.762,0.500,0.0001,AT,39,450
120,0.568673,1.953448,0.761,0.512,0.0001,AT,40,454
121,0.569121,1.883840,0.762,0.494,0.0001,AT,41,458
122,0.569933,1.896770,0.761,0.512,0.0001,AT,42,461
123,0.568223,1.864968,0.760,0.523,0.0001,AT,43,465
124,0.568651,1.963523,0.760,0.504,0.0001,AT,44,469
125,0.564283,1.995601,0.763,0.482,0.0001,AT,45,473
126,0.566577,1.868914,0.762,0.502,0.0001,AT,46,477
127,0.567613,1.902998,0.760,0.492,0.0001,AT,47,480
