_epoch,train_loss,valid_loss,acc,val_acc,lr,type,early_stopping,elapsed_time
1,2.230113,2.099267,0.176,0.225,0.1000,AT,0,3
2,2.037670,2.028003,0.239,0.229,0.1000,AT,0,6
3,1.962434,1.945580,0.265,0.256,0.1000,AT,0,10
4,1.895396,1.896403,0.288,0.258,0.1000,AT,0,13
5,1.838841,1.829008,0.307,0.305,0.1000,AT,0,16
6,1.778091,1.754130,0.330,0.334,0.1000,AT,0,19
7,1.725277,1.779573,0.351,0.289,0.1000,AT,1,23
8,1.670858,1.650351,0.368,0.361,0.1000,AT,0,26
9,1.626886,1.607595,0.386,0.395,0.1000,AT,0,29
10,1.594189,1.596978,0.399,0.389,0.1000,AT,1,33
11,1.558800,1.586409,0.411,0.396,0.1000,AT,0,36
12,1.529259,1.555450,0.424,0.398,0.1000,AT,0,39
13,1.503737,1.545854,0.434,0.414,0.1000,AT,0,42
14,1.484411,1.516890,0.440,0.416,0.1000,AT,0,46
15,1.464805,1.532932,0.447,0.418,0.1000,AT,0,49
16,1.447042,1.485379,0.452,0.410,0.1000,AT,1,52
17,1.434986,1.468974,0.457,0.436,0.1000,AT,0,56
18,1.422605,1.798758,0.464,0.340,0.1000,AT,1,59
19,1.408904,1.519438,0.468,0.398,0.1000,AT,2,62
20,1.391166,1.499621,0.473,0.410,0.1000,AT,3,66
21,1.385972,1.476888,0.473,0.430,0.1000,AT,4,69
22,1.369850,1.465466,0.482,0.434,0.1000,AT,5,72
23,1.359709,1.442753,0.483,0.445,0.1000,AT,0,76
24,1.350090,1.507375,0.488,0.402,0.1000,AT,1,79
25,1.343037,1.441097,0.489,0.438,0.1000,AT,2,82
26,1.336586,1.488988,0.491,0.424,0.1000,AT,3,86
27,1.322364,1.443066,0.497,0.422,0.1000,AT,4,89
28,1.316222,1.415310,0.497,0.443,0.1000,AT,5,92
29,1.307971,1.469048,0.500,0.441,0.1000,AT,6,95
30,1.300082,1.402245,0.505,0.475,0.1000,AT,0,99
31,1.291344,1.523425,0.510,0.434,0.1000,AT,1,102
32,1.281421,1.386659,0.510,0.449,0.1000,AT,2,105
33,1.280503,1.425701,0.510,0.449,0.1000,AT,3,109
34,1.272249,1.438183,0.515,0.441,0.1000,AT,4,112
35,1.272071,1.476620,0.513,0.441,0.1000,AT,5,115
36,1.265554,1.455522,0.516,0.459,0.1000,AT,6,118
37,1.261734,1.488209,0.517,0.441,0.1000,AT,7,122
38,1.255323,1.447432,0.524,0.449,0.1000,AT,8,125
39,1.245439,1.401799,0.525,0.459,0.1000,AT,9,128
40,1.242090,1.431892,0.524,0.447,0.1000,AT,10,132
41,1.236586,1.439804,0.525,0.475,0.1000,AT,0,135
42,1.234927,1.412395,0.529,0.473,0.1000,AT,1,138
