_epoch,train_loss,valid_loss,acc,val_acc,lr,type,early_stopping,elapsed_time
1,2.144081,2.073964,0.203,0.219,0.1000,AT,0,4
2,2.001940,1.990305,0.252,0.238,0.1000,AT,0,8
3,1.915830,1.884546,0.282,0.291,0.1000,AT,0,12
4,1.835555,1.847815,0.308,0.293,0.1000,AT,0,15
5,1.772672,1.735001,0.333,0.334,0.1000,AT,0,19
6,1.701801,1.903581,0.361,0.293,0.1000,AT,1,23
7,1.654480,1.683273,0.376,0.336,0.1000,AT,0,27
8,1.610572,1.618261,0.393,0.377,0.1000,AT,0,31
9,1.574258,1.693036,0.406,0.359,0.1000,AT,1,35
10,1.543793,1.530423,0.417,0.396,0.1000,AT,0,39
11,1.510717,1.566217,0.429,0.412,0.1000,AT,0,43
12,1.491105,1.552211,0.438,0.400,0.1000,AT,1,47
13,1.468269,1.545346,0.446,0.395,0.1000,AT,2,51
14,1.446929,1.477338,0.454,0.441,0.1000,AT,0,55
15,1.432928,1.494050,0.460,0.408,0.1000,AT,1,59
16,1.416136,1.472592,0.465,0.438,0.1000,AT,2,63
17,1.405279,1.528876,0.470,0.404,0.1000,AT,3,67
18,1.388332,1.460284,0.474,0.451,0.1000,AT,0,71
19,1.378584,1.483775,0.478,0.422,0.1000,AT,1,75
20,1.363259,1.445502,0.484,0.438,0.1000,AT,2,79
21,1.353501,1.469998,0.485,0.428,0.1000,AT,3,83
22,1.342140,1.498655,0.492,0.438,0.1000,AT,4,87
23,1.336433,1.528120,0.491,0.428,0.1000,AT,5,91
24,1.322223,1.435223,0.499,0.424,0.1000,AT,6,95
25,1.315037,1.458179,0.502,0.439,0.1000,AT,7,99
26,1.306327,1.477503,0.504,0.430,0.1000,AT,8,103
27,1.303443,1.500639,0.502,0.410,0.1000,AT,9,107
28,1.294318,1.477863,0.508,0.443,0.1000,AT,10,111
29,1.285537,1.420064,0.510,0.449,0.1000,AT,11,115
30,1.282986,1.450294,0.512,0.469,0.1000,AT,0,119
31,1.272555,1.437092,0.513,0.457,0.1000,AT,1,123
32,1.268948,1.464803,0.517,0.441,0.1000,AT,2,127
33,1.261907,1.517108,0.517,0.445,0.1000,AT,3,131
34,1.256100,1.460043,0.521,0.434,0.1000,AT,4,135
35,1.254243,1.390906,0.522,0.482,0.1000,AT,0,139
36,1.242564,1.457287,0.525,0.471,0.1000,AT,1,143
37,1.237087,1.422814,0.525,0.473,0.1000,AT,2,147
38,1.235714,1.448832,0.527,0.453,0.1000,AT,3,151
39,1.234279,1.373275,0.528,0.480,0.1000,AT,4,155
40,1.226104,1.539629,0.531,0.430,0.1000,AT,5,159
41,1.220264,1.409951,0.534,0.453,0.1000,AT,6,163
42,1.222893,1.407356,0.530,0.471,0.1000,AT,7,167
43,1.214890,1.384533,0.534,0.447,0.1000,AT,8,171
44,1.209366,1.439565,0.536,0.455,0.1000,AT,9,175
45,1.204631,1.394692,0.536,0.484,0.1000,AT,0,179
46,1.201965,1.433605,0.537,0.436,0.1000,AT,1,182
47,1.200042,1.417519,0.540,0.467,0.1000,AT,2,186
48,1.195039,1.401029,0.538,0.465,0.1000,AT,3,190
49,1.193519,1.393265,0.541,0.480,0.1000,AT,4,194
50,1.183122,1.440046,0.545,0.473,0.1000,AT,5,198
51,1.182411,1.466077,0.546,0.447,0.1000,AT,6,202
52,1.182315,1.423371,0.545,0.451,0.1000,AT,7,206
53,1.180063,1.452121,0.546,0.459,0.1000,AT,8,210
54,1.181147,1.420599,0.545,0.471,0.1000,AT,9,214
55,1.178128,1.422253,0.547,0.465,0.1000,AT,10,218
56,1.173570,1.342593,0.547,0.500,0.1000,AT,0,222
57,1.167717,1.564619,0.550,0.434,0.1000,AT,1,226
58,1.169826,1.502243,0.548,0.424,0.1000,AT,2,230
59,1.165412,1.396658,0.549,0.488,0.1000,AT,3,234
60,1.162580,1.393064,0.552,0.477,0.1000,AT,4,238
61,1.161215,1.417786,0.552,0.475,0.1000,AT,5,242
62,1.156300,1.567836,0.554,0.445,0.1000,AT,6,246
63,1.159026,1.536460,0.553,0.438,0.1000,AT,7,250
64,1.153840,1.444061,0.555,0.449,0.1000,AT,8,254
65,1.155079,1.423297,0.552,0.477,0.1000,AT,9,258
66,1.153595,1.443832,0.554,0.479,0.1000,AT,10,262
67,1.150302,1.461466,0.556,0.461,0.1000,AT,11,266
68,1.142781,1.509038,0.556,0.447,0.1000,AT,12,270
69,1.146249,1.468603,0.558,0.449,0.1000,AT,13,274
70,1.141601,1.353350,0.557,0.484,0.1000,AT,14,278
71,1.140243,1.458377,0.558,0.461,0.1000,AT,15,282
72,1.136790,1.521258,0.558,0.471,0.1000,AT,16,286
73,1.139117,1.467497,0.560,0.465,0.1000,AT,17,290
74,1.136737,1.401136,0.558,0.469,0.1000,AT,18,294
75,1.134677,1.444922,0.561,0.469,0.1000,AT,19,298
76,0.975891,1.309490,0.616,0.518,0.0100,AT,0,302
77,0.905212,1.321833,0.642,0.518,0.0100,AT,0,306
78,0.876822,1.338270,0.648,0.535,0.0100,AT,0,310
79,0.858396,1.373128,0.656,0.518,0.0100,AT,1,314
80,0.840591,1.381539,0.661,0.520,0.0100,AT,2,318
81,0.826679,1.440684,0.667,0.500,0.0100,AT,3,322
82,0.811731,1.425538,0.673,0.512,0.0100,AT,4,326
83,0.801210,1.479192,0.674,0.523,0.0100,AT,5,330
84,0.786568,1.535967,0.682,0.500,0.0100,AT,6,334
85,0.779250,1.528588,0.681,0.516,0.0100,AT,7,338
86,0.770486,1.549497,0.686,0.527,0.0100,AT,8,341
87,0.758334,1.587471,0.689,0.502,0.0100,AT,9,345
88,0.750051,1.566088,0.692,0.502,0.0100,AT,10,349
89,0.741721,1.670769,0.695,0.484,0.0100,AT,11,353
90,0.729971,1.673979,0.698,0.504,0.0100,AT,12,357
91,0.681117,1.678667,0.719,0.502,0.0010,AT,13,361
92,0.665442,1.691813,0.724,0.521,0.0010,AT,14,365
93,0.658525,1.719055,0.725,0.508,0.0010,AT,15,369
94,0.651690,1.762576,0.730,0.508,0.0010,AT,16,373
95,0.647839,1.769052,0.730,0.521,0.0010,AT,17,377
96,0.643319,1.798361,0.732,0.500,0.0010,AT,18,381
97,0.638382,1.781273,0.733,0.510,0.0010,AT,19,385
98,0.636937,1.826122,0.734,0.498,0.0010,AT,20,389
99,0.632378,1.880885,0.736,0.506,0.0010,AT,21,393
100,0.630273,1.860546,0.736,0.508,0.0010,AT,22,397
101,0.625496,1.849543,0.739,0.502,0.0001,AT,23,401
102,0.624341,1.873357,0.741,0.504,0.0001,AT,24,405
103,0.623382,1.845905,0.739,0.506,0.0001,AT,25,409
104,0.622899,1.850751,0.738,0.518,0.0001,AT,26,413
105,0.620022,1.856067,0.740,0.494,0.0001,AT,27,417
106,0.622312,1.872821,0.740,0.504,0.0001,AT,28,421
107,0.622451,1.828781,0.739,0.502,0.0001,AT,29,425
108,0.620370,1.830526,0.742,0.516,0.0001,AT,30,429
109,0.620617,1.880045,0.739,0.508,0.0001,AT,31,433
110,0.617998,1.882018,0.740,0.514,0.0001,AT,32,437
111,0.619882,1.906024,0.741,0.512,0.0001,AT,33,441
112,0.615851,1.931072,0.743,0.500,0.0001,AT,34,445
113,0.617199,1.849402,0.740,0.508,0.0001,AT,35,449
114,0.618743,1.905502,0.740,0.514,0.0001,AT,36,453
115,0.615588,1.834870,0.742,0.502,0.0001,AT,37,457
116,0.615809,1.851977,0.742,0.500,0.0001,AT,38,461
117,0.615401,1.910484,0.743,0.494,0.0001,AT,39,465
118,0.615105,1.969077,0.744,0.502,0.0001,AT,40,469
119,0.615742,1.877548,0.741,0.514,0.0001,AT,41,473
120,0.615195,1.917400,0.742,0.521,0.0001,AT,42,477
121,0.615620,1.884694,0.742,0.514,0.0001,AT,43,481
122,0.613757,1.903035,0.742,0.498,0.0001,AT,44,485
123,0.615157,1.894317,0.741,0.502,0.0001,AT,45,489
124,0.611959,1.909802,0.745,0.498,0.0001,AT,46,493
125,0.615649,1.969695,0.742,0.504,0.0001,AT,47,497
126,0.612358,1.924871,0.744,0.502,0.0001,AT,48,500
127,0.612486,1.857546,0.743,0.502,0.0001,AT,49,504
128,0.612113,1.949389,0.744,0.518,0.0001,AT,50,508
129,0.611867,1.905012,0.742,0.512,0.0001,AT,51,512
130,0.610615,1.926899,0.743,0.508,0.0001,AT,52,516
131,0.610308,1.897445,0.743,0.502,0.0001,AT,53,520
132,0.611140,1.968024,0.745,0.498,0.0001,AT,54,524
133,0.610851,1.902968,0.743,0.514,0.0001,AT,55,528
134,0.611990,1.876406,0.744,0.490,0.0001,AT,56,532
135,0.609614,1.904332,0.744,0.510,0.0001,AT,57,536
136,0.611577,1.976906,0.743,0.506,0.0001,AT,58,540
137,0.610852,1.870385,0.744,0.494,0.0001,AT,59,544
138,0.609271,1.925163,0.743,0.496,0.0001,AT,60,548
139,0.608482,1.875288,0.743,0.510,0.0001,AT,61,552
140,0.607734,1.975403,0.745,0.498,0.0001,AT,62,556
141,0.609898,1.916617,0.742,0.510,0.0001,AT,63,560
142,0.606154,1.892892,0.746,0.498,0.0001,AT,64,564
143,0.607581,1.894795,0.744,0.490,0.0001,AT,65,568
144,0.606657,1.836738,0.745,0.520,0.0001,AT,66,572
145,0.605908,1.940984,0.745,0.510,0.0001,AT,67,576
146,0.606876,1.975374,0.745,0.500,0.0001,AT,68,580
147,0.605990,1.882951,0.745,0.500,0.0001,AT,69,584
148,0.606816,1.874839,0.746,0.527,0.0001,AT,70,588
149,0.606870,1.948318,0.745,0.494,0.0001,AT,71,592
150,0.606537,1.969199,0.744,0.490,0.0001,AT,72,596
