_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.371897,2.873874,0.341,0.227,0.1000,kl_2_3v,"0.000, 0.000, 2.282",0.9,30.0,0,3
2,2.178890,2.639781,0.444,0.287,0.1000,kl_2_3v,"0.000, 0.000, 2.145",0.9,30.0,0,7
3,2.073129,2.860703,0.499,0.270,0.1000,kl_2_3v,"0.000, 0.000, 2.058",0.9,30.0,1,11
4,1.996878,2.485167,0.537,0.295,0.1000,kl_2_3v,"0.000, 0.000, 1.975",0.9,30.0,0,15
5,1.949826,2.528921,0.560,0.307,0.1000,kl_2_3v,"0.000, 0.000, 1.938",0.9,30.0,0,18
6,1.910707,2.427793,0.576,0.350,0.1000,kl_2_3v,"0.000, 0.000, 1.902",0.9,30.0,0,22
7,1.881246,2.355334,0.590,0.365,0.1000,kl_2_3v,"0.000, 0.000, 1.867",0.9,30.0,0,26
8,1.860378,2.162627,0.599,0.395,0.1000,kl_2_3v,"0.000, 0.000, 1.863",0.9,30.0,0,30
9,1.838246,2.404552,0.610,0.381,0.1000,kl_2_3v,"0.000, 0.000, 1.845",0.9,30.0,1,34
10,1.817044,2.258870,0.619,0.395,0.1000,kl_2_3v,"0.000, 0.000, 1.816",0.9,30.0,0,37
11,1.802755,2.245392,0.623,0.383,0.1000,kl_2_3v,"0.000, 0.000, 1.785",0.9,30.0,1,41
12,1.791965,2.223011,0.630,0.393,0.1000,kl_2_3v,"0.000, 0.000, 1.789",0.9,30.0,2,45
13,1.780898,2.132205,0.636,0.414,0.1000,kl_2_3v,"0.000, 0.000, 1.782",0.9,30.0,0,49
14,1.769282,2.363447,0.635,0.359,0.1000,kl_2_3v,"0.000, 0.000, 1.771",0.9,30.0,1,52
15,1.764498,2.409970,0.641,0.389,0.1000,kl_2_3v,"0.000, 0.000, 1.780",0.9,30.0,2,56
16,1.754258,2.205321,0.642,0.410,0.1000,kl_2_3v,"0.000, 0.000, 1.766",0.9,30.0,3,60
17,1.746498,2.231856,0.649,0.410,0.1000,kl_2_3v,"0.000, 0.000, 1.739",0.9,30.0,4,64
18,1.742787,2.105741,0.653,0.414,0.1000,kl_2_3v,"0.000, 0.000, 1.743",0.9,30.0,0,67
19,1.735404,2.030424,0.654,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.739",0.9,30.0,0,71
20,1.729727,2.116139,0.658,0.400,0.1000,kl_2_3v,"0.000, 0.000, 1.731",0.9,30.0,1,75
21,1.719862,2.082107,0.660,0.420,0.1000,kl_2_3v,"0.000, 0.000, 1.718",0.9,30.0,2,79
22,1.725622,2.088970,0.659,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.732",0.9,30.0,3,83
23,1.716917,2.046719,0.663,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.714",0.9,30.0,4,86
24,1.715320,2.361818,0.663,0.424,0.1000,kl_2_3v,"0.000, 0.000, 1.728",0.9,30.0,5,90
25,1.705884,2.115820,0.668,0.438,0.1000,kl_2_3v,"0.000, 0.000, 1.718",0.9,30.0,0,94
26,1.706684,2.216353,0.668,0.387,0.1000,kl_2_3v,"0.000, 0.000, 1.710",0.9,30.0,1,98
27,1.696073,2.248761,0.671,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.708",0.9,30.0,0,101
28,1.695604,2.034170,0.670,0.463,0.1000,kl_2_3v,"0.000, 0.000, 1.701",0.9,30.0,0,105
29,1.689019,2.055903,0.672,0.463,0.1000,kl_2_3v,"0.000, 0.000, 1.679",0.9,30.0,0,109
30,1.689826,2.093880,0.673,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.686",0.9,30.0,1,113
31,1.685173,1.949214,0.673,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.696",0.9,30.0,2,116
32,1.684188,2.052545,0.673,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.677",0.9,30.0,3,120
33,1.680395,2.065571,0.677,0.471,0.1000,kl_2_3v,"0.000, 0.000, 1.685",0.9,30.0,0,124
34,1.676839,2.237356,0.678,0.432,0.1000,kl_2_3v,"0.000, 0.000, 1.681",0.9,30.0,1,128
35,1.672776,2.140505,0.679,0.432,0.1000,kl_2_3v,"0.000, 0.000, 1.664",0.9,30.0,2,131
36,1.671827,1.960706,0.681,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.671",0.9,30.0,3,135
37,1.669111,1.987786,0.678,0.475,0.1000,kl_2_3v,"0.000, 0.000, 1.676",0.9,30.0,0,139
38,1.663682,2.025958,0.683,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.664",0.9,30.0,1,143
39,1.664098,2.027004,0.681,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.661",0.9,30.0,2,147
40,1.666334,1.888616,0.683,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.672",0.9,30.0,3,150
41,1.661461,1.941180,0.683,0.465,0.1000,kl_2_3v,"0.000, 0.000, 1.657",0.9,30.0,4,154
42,1.658662,2.077848,0.686,0.463,0.1000,kl_2_3v,"0.000, 0.000, 1.670",0.9,30.0,5,158
43,1.662515,2.076846,0.686,0.459,0.1000,kl_2_3v,"0.000, 0.000, 1.660",0.9,30.0,6,162
44,1.668402,2.151872,0.682,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.662",0.9,30.0,7,165
45,1.656551,2.133644,0.686,0.441,0.1000,kl_2_3v,"0.000, 0.000, 1.660",0.9,30.0,8,169
46,1.655943,2.024066,0.687,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.653",0.9,30.0,9,173
47,1.654482,1.936107,0.685,0.477,0.1000,kl_2_3v,"0.000, 0.000, 1.661",0.9,30.0,0,177
48,1.650251,1.971759,0.689,0.453,0.1000,kl_2_3v,"0.000, 0.000, 1.653",0.9,30.0,1,180
