_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,0.475638,2.337311,0.195,0.228,0.1000,custom6,"4.540, 0.010, 0.463",0.9,30.0,0,3
2,0.453697,2.394011,0.239,0.234,0.1000,custom6,"4.391, 0.013, 0.450",0.9,30.0,0,7
3,0.442192,2.441431,0.257,0.258,0.1000,custom6,"4.259, 0.014, 0.438",0.9,30.0,0,11
4,0.435417,2.278651,0.273,0.269,0.1000,custom6,"4.177, 0.015, 0.431",0.9,30.0,0,14
5,0.428555,2.294438,0.285,0.279,0.1000,custom6,"4.133, 0.016, 0.428",0.9,30.0,0,18
6,0.422674,2.300533,0.294,0.284,0.1000,custom6,"4.035, 0.018, 0.419",0.9,30.0,0,22
7,0.417922,2.226610,0.306,0.297,0.1000,custom6,"3.991, 0.019, 0.416",0.9,30.0,0,25
8,0.413147,2.144504,0.316,0.313,0.1000,custom6,"3.934, 0.019, 0.410",0.9,30.0,0,29
9,0.408387,2.235899,0.327,0.303,0.1000,custom6,"3.905, 0.021, 0.409",0.9,30.0,1,33
10,0.404825,2.175550,0.333,0.333,0.1000,custom6,"3.844, 0.022, 0.404",0.9,30.0,0,37
11,0.399101,2.133884,0.341,0.328,0.1000,custom6,"3.803, 0.022, 0.400",0.9,30.0,1,40
12,0.396590,2.184790,0.349,0.337,0.1000,custom6,"3.751, 0.023, 0.396",0.9,30.0,0,44
13,0.392725,2.206989,0.357,0.332,0.1000,custom6,"3.702, 0.024, 0.392",0.9,30.0,1,48
14,0.389226,2.109104,0.362,0.348,0.1000,custom6,"3.670, 0.025, 0.389",0.9,30.0,0,51
15,0.386738,2.303812,0.368,0.329,0.1000,custom6,"3.619, 0.026, 0.385",0.9,30.0,1,55
16,0.384002,2.136014,0.374,0.347,0.1000,custom6,"3.605, 0.026, 0.384",0.9,30.0,2,59
17,0.380693,1.979254,0.374,0.366,0.1000,custom6,"3.555, 0.025, 0.378",0.9,30.0,0,62
18,0.378322,2.182842,0.383,0.359,0.1000,custom6,"3.563, 0.027, 0.380",0.9,30.0,1,66
19,0.375571,2.073148,0.387,0.370,0.1000,custom6,"3.516, 0.027, 0.375",0.9,30.0,0,70
20,0.372395,2.275527,0.394,0.362,0.1000,custom6,"3.487, 0.028, 0.374",0.9,30.0,1,74
21,0.368943,2.170833,0.400,0.372,0.1000,custom6,"3.451, 0.028, 0.370",0.9,30.0,0,77
22,0.369009,2.062064,0.401,0.361,0.1000,custom6,"3.452, 0.027, 0.370",0.9,30.0,1,81
23,0.365453,2.198918,0.409,0.356,0.1000,custom6,"3.446, 0.029, 0.371",0.9,30.0,2,85
24,0.363182,1.980481,0.414,0.382,0.1000,custom6,"3.366, 0.029, 0.362",0.9,30.0,0,88
25,0.360737,2.068405,0.418,0.377,0.1000,custom6,"3.355, 0.030, 0.362",0.9,30.0,1,92
26,0.360305,2.050758,0.420,0.369,0.1000,custom6,"3.327, 0.028, 0.358",0.9,30.0,2,96
27,0.358086,2.254507,0.423,0.373,0.1000,custom6,"3.313, 0.029, 0.357",0.9,30.0,3,99
28,0.354417,1.958545,0.430,0.381,0.1000,custom6,"3.294, 0.029, 0.356",0.9,30.0,4,103
29,0.353880,2.036316,0.433,0.377,0.1000,custom6,"3.229, 0.030, 0.350",0.9,30.0,5,107
30,0.351008,2.033370,0.432,0.398,0.1000,custom6,"3.251, 0.029, 0.351",0.9,30.0,0,111
31,0.350516,2.247414,0.435,0.379,0.1000,custom6,"3.205, 0.030, 0.348",0.9,30.0,1,114
32,0.350660,1.998768,0.438,0.391,0.1000,custom6,"3.177, 0.030, 0.344",0.9,30.0,2,118
33,0.346859,1.981509,0.445,0.391,0.1000,custom6,"3.205, 0.031, 0.348",0.9,30.0,3,122
34,0.344787,2.176003,0.448,0.357,0.1000,custom6,"3.167, 0.030, 0.344",0.9,30.0,4,125
35,0.347368,2.091210,0.441,0.343,0.1000,custom6,"3.203, 0.031, 0.348",0.9,30.0,5,129
36,0.344722,2.085746,0.448,0.392,0.1000,custom6,"3.176, 0.031, 0.346",0.9,30.0,6,133
37,0.343812,2.192272,0.449,0.382,0.1000,custom6,"3.124, 0.031, 0.340",0.9,30.0,7,136
38,0.342848,2.006279,0.451,0.408,0.1000,custom6,"3.187, 0.033, 0.348",0.9,30.0,0,140
39,0.339483,1.921248,0.458,0.390,0.1000,custom6,"3.123, 0.032, 0.341",0.9,30.0,1,144
40,0.340634,2.175377,0.454,0.385,0.1000,custom6,"3.115, 0.032, 0.340",0.9,30.0,2,147
41,0.339027,2.069091,0.459,0.380,0.1000,custom6,"3.077, 0.033, 0.337",0.9,30.0,3,151
42,0.340203,1.907504,0.456,0.386,0.1000,custom6,"3.128, 0.033, 0.342",0.9,30.0,4,155
43,0.339705,2.040451,0.453,0.394,0.1000,custom6,"3.057, 0.031, 0.333",0.9,30.0,5,159
44,0.339366,2.125587,0.459,0.328,0.1000,custom6,"3.095, 0.034, 0.340",0.9,30.0,6,162
45,0.332481,2.128880,0.466,0.388,0.1000,custom6,"3.028, 0.032, 0.332",0.9,30.0,7,166
46,0.335426,2.311965,0.463,0.382,0.1000,custom6,"3.043, 0.032, 0.333",0.9,30.0,8,170
47,0.335580,2.056115,0.466,0.392,0.1000,custom6,"3.078, 0.032, 0.337",0.9,30.0,9,173
48,0.342191,2.198879,0.451,0.386,0.1000,custom6,"3.082, 0.033, 0.338",0.9,30.0,10,177
49,0.333533,2.011989,0.467,0.408,0.1000,custom6,"3.069, 0.032, 0.336",0.9,30.0,0,181
50,0.334952,2.070032,0.462,0.404,0.1000,custom6,"3.108, 0.032, 0.340",0.9,30.0,1,184
51,0.331812,2.071325,0.470,0.407,0.1000,custom6,"2.993, 0.032, 0.328",0.9,30.0,2,188
52,0.330935,2.100492,0.473,0.411,0.1000,custom6,"2.996, 0.031, 0.328",0.9,30.0,0,192
53,0.337398,2.031162,0.462,0.402,0.1000,custom6,"3.081, 0.033, 0.338",0.9,30.0,1,196
54,0.330018,2.129684,0.473,0.410,0.1000,custom6,"2.993, 0.033, 0.329",0.9,30.0,2,199
55,0.332263,1.997315,0.469,0.383,0.1000,custom6,"3.062, 0.033, 0.336",0.9,30.0,3,203
56,0.334386,2.193191,0.466,0.375,0.1000,custom6,"3.073, 0.034, 0.338",0.9,30.0,4,207
57,0.329609,2.035546,0.474,0.397,0.1000,custom6,"3.030, 0.034, 0.333",0.9,30.0,5,210
58,0.332285,1.943646,0.469,0.421,0.1000,custom6,"3.074, 0.032, 0.337",0.9,30.0,0,214
59,0.329495,2.137378,0.475,0.409,0.1000,custom6,"2.947, 0.031, 0.322",0.9,30.0,1,218
60,0.327608,2.241354,0.478,0.422,0.1000,custom6,"2.971, 0.033, 0.327",0.9,30.0,0,222
61,0.328201,2.041006,0.476,0.417,0.1000,custom6,"2.973, 0.033, 0.327",0.9,30.0,1,225
62,0.324843,2.114279,0.482,0.394,0.1000,custom6,"2.973, 0.033, 0.327",0.9,30.0,2,229
63,0.331417,1.978319,0.475,0.410,0.1000,custom6,"2.955, 0.033, 0.325",0.9,30.0,3,233
64,0.328540,2.101593,0.480,0.405,0.1000,custom6,"2.969, 0.034, 0.327",0.9,30.0,4,236
65,0.324096,2.034801,0.484,0.375,0.1000,custom6,"2.951, 0.033, 0.324",0.9,30.0,5,240
66,0.326198,2.279515,0.483,0.394,0.1000,custom6,"2.934, 0.033, 0.323",0.9,30.0,6,244
67,0.329749,2.097483,0.474,0.363,0.1000,custom6,"2.997, 0.034, 0.331",0.9,30.0,7,247
68,0.327561,2.193069,0.476,0.385,0.1000,custom6,"2.972, 0.033, 0.327",0.9,30.0,8,251
69,0.328025,2.153810,0.480,0.386,0.1000,custom6,"2.981, 0.035, 0.330",0.9,30.0,9,255
70,0.329218,1.988923,0.476,0.419,0.1000,custom6,"2.998, 0.035, 0.331",0.9,30.0,10,258
71,0.326036,1.917154,0.480,0.430,0.1000,custom6,"2.993, 0.033, 0.329",0.9,30.0,0,262
72,0.326038,2.024769,0.484,0.411,0.1000,custom6,"3.071, 0.036, 0.339",0.9,30.0,1,266
73,0.324251,2.431022,0.487,0.405,0.1000,custom6,"2.926, 0.034, 0.323",0.9,30.0,2,270
74,0.329642,2.112267,0.478,0.406,0.1000,custom6,"2.988, 0.035, 0.331",0.9,30.0,3,273
75,0.326435,2.027565,0.485,0.398,0.1000,custom6,"2.958, 0.035, 0.327",0.9,30.0,4,277
76,0.324062,1.998401,0.491,0.415,0.1000,custom6,"2.955, 0.034, 0.326",0.9,30.0,5,281
77,0.323146,2.056279,0.492,0.392,0.1000,custom6,"2.991, 0.035, 0.331",0.9,30.0,6,284
78,0.322943,2.049203,0.484,0.423,0.1000,custom6,"3.044, 0.034, 0.335",0.9,30.0,7,288
79,0.321516,2.349148,0.491,0.395,0.1000,custom6,"2.868, 0.034, 0.317",0.9,30.0,8,292
80,0.324465,2.279663,0.486,0.405,0.1000,custom6,"2.924, 0.033, 0.322",0.9,30.0,9,295
81,0.328450,2.066995,0.480,0.366,0.1000,custom6,"2.954, 0.034, 0.326",0.9,30.0,10,299
82,0.325308,2.103820,0.486,0.412,0.1000,custom6,"3.095, 0.037, 0.342",0.9,30.0,11,303
83,0.323912,2.042243,0.487,0.418,0.1000,custom6,"2.860, 0.032, 0.315",0.9,30.0,12,307
84,0.324179,1.903783,0.486,0.413,0.1000,custom6,"2.873, 0.033, 0.317",0.9,30.0,13,310
85,0.327708,1.973407,0.485,0.414,0.1000,custom6,"2.948, 0.035, 0.326",0.9,30.0,14,314
86,0.324149,1.897490,0.486,0.413,0.1000,custom6,"2.935, 0.034, 0.324",0.9,30.0,15,318
87,0.323149,1.897491,0.489,0.430,0.1000,custom6,"2.949, 0.034, 0.325",0.9,30.0,16,321
88,0.319306,1.950233,0.494,0.420,0.1000,custom6,"2.907, 0.033, 0.320",0.9,30.0,17,325
89,0.321248,1.967554,0.494,0.387,0.1000,custom6,"2.946, 0.035, 0.326",0.9,30.0,18,329
90,0.322648,1.943930,0.491,0.379,0.1000,custom6,"2.925, 0.034, 0.323",0.9,30.0,19,332
91,0.323759,1.977735,0.486,0.425,0.1000,custom6,"2.970, 0.035, 0.328",0.9,30.0,20,336
92,0.319031,2.014728,0.493,0.395,0.1000,custom6,"2.943, 0.035, 0.325",0.9,30.0,21,340
93,0.323386,2.000351,0.490,0.400,0.1000,custom6,"2.945, 0.034, 0.325",0.9,30.0,22,344
94,0.322660,2.175793,0.489,0.425,0.1000,custom6,"2.906, 0.035, 0.322",0.9,30.0,23,347
95,0.319131,1.835224,0.497,0.416,0.1000,custom6,"2.917, 0.034, 0.322",0.9,30.0,24,351
96,0.326259,1.995500,0.487,0.402,0.1000,custom6,"2.997, 0.035, 0.331",0.9,30.0,25,355
97,0.324931,2.285820,0.489,0.323,0.1000,custom6,"2.956, 0.034, 0.326",0.9,30.0,26,358
98,0.328132,1.930159,0.480,0.414,0.1000,custom6,"2.942, 0.034, 0.325",0.9,30.0,27,362
99,0.313148,2.133652,0.506,0.413,0.1000,custom6,"2.836, 0.032, 0.313",0.9,30.0,28,366
100,0.325032,2.243548,0.488,0.367,0.1000,custom6,"2.901, 0.033, 0.320",0.9,30.0,29,369
101,0.288986,1.819711,0.535,0.464,0.0100,custom6,"2.542, 0.027, 0.279",0.9,30.0,0,373
102,0.271700,1.869195,0.563,0.472,0.0100,custom6,"2.454, 0.029, 0.271",0.9,30.0,0,377
103,0.267146,1.776798,0.573,0.475,0.0100,custom6,"2.438, 0.028, 0.269",0.9,30.0,0,381
104,0.263570,1.793294,0.581,0.476,0.0100,custom6,"2.378, 0.027, 0.262",0.9,30.0,0,384
105,0.259573,1.843951,0.587,0.479,0.0100,custom6,"2.345, 0.029, 0.260",0.9,30.0,0,388
106,0.256102,1.796072,0.592,0.481,0.0100,custom6,"2.301, 0.027, 0.255",0.9,30.0,0,392
107,0.255115,1.784819,0.596,0.479,0.0100,custom6,"2.336, 0.029, 0.260",0.9,30.0,1,395
108,0.252093,1.724501,0.599,0.482,0.0100,custom6,"2.281, 0.027, 0.252",0.9,30.0,0,399
109,0.250824,1.829110,0.604,0.492,0.0100,custom6,"2.264, 0.029, 0.253",0.9,30.0,0,403
110,0.249252,1.880200,0.606,0.487,0.0100,custom6,"2.257, 0.028, 0.251",0.9,30.0,1,407
111,0.246967,1.787876,0.610,0.494,0.0100,custom6,"2.231, 0.028, 0.248",0.9,30.0,0,410
112,0.247123,1.831589,0.608,0.492,0.0100,custom6,"2.231, 0.029, 0.249",0.9,30.0,1,414
113,0.246257,1.758759,0.614,0.482,0.0100,custom6,"2.232, 0.028, 0.249",0.9,30.0,2,418
114,0.243880,1.741375,0.617,0.477,0.0100,custom6,"2.208, 0.027, 0.246",0.9,30.0,3,421
115,0.243693,1.787347,0.615,0.479,0.0100,custom6,"2.174, 0.029, 0.243",0.9,30.0,4,425
116,0.240797,1.812633,0.621,0.474,0.0100,custom6,"2.163, 0.027, 0.241",0.9,30.0,5,429
117,0.239729,1.726090,0.626,0.479,0.0100,custom6,"2.153, 0.029, 0.242",0.9,30.0,6,432
118,0.238181,1.870323,0.629,0.494,0.0100,custom6,"2.125, 0.029, 0.238",0.9,30.0,7,436
119,0.239166,1.964155,0.625,0.495,0.0100,custom6,"2.128, 0.028, 0.238",0.9,30.0,0,440
120,0.238358,1.911052,0.628,0.490,0.0100,custom6,"2.156, 0.029, 0.242",0.9,30.0,1,443
121,0.237283,1.815930,0.627,0.489,0.0100,custom6,"2.119, 0.027, 0.236",0.9,30.0,2,447
122,0.237311,1.825340,0.632,0.482,0.0100,custom6,"2.159, 0.028, 0.241",0.9,30.0,3,451
123,0.236677,1.811157,0.630,0.483,0.0100,custom6,"2.103, 0.029, 0.236",0.9,30.0,4,455
124,0.236969,1.911376,0.633,0.491,0.0100,custom6,"2.118, 0.030, 0.238",0.9,30.0,5,458
125,0.236789,1.762312,0.630,0.465,0.0100,custom6,"2.107, 0.027, 0.235",0.9,30.0,6,462
126,0.233136,1.846889,0.638,0.487,0.0100,custom6,"2.100, 0.029, 0.236",0.9,30.0,7,466
127,0.234570,1.869449,0.636,0.484,0.0100,custom6,"2.108, 0.030, 0.238",0.9,30.0,8,469
128,0.232763,1.833572,0.635,0.485,0.0100,custom6,"2.104, 0.030, 0.237",0.9,30.0,9,473
129,0.231841,1.862555,0.639,0.486,0.0100,custom6,"2.074, 0.029, 0.233",0.9,30.0,10,477
130,0.231551,1.777878,0.640,0.484,0.0100,custom6,"2.069, 0.028, 0.232",0.9,30.0,11,480
131,0.231897,1.983250,0.639,0.495,0.0100,custom6,"2.055, 0.028, 0.231",0.9,30.0,0,484
132,0.233725,1.843532,0.639,0.479,0.0100,custom6,"2.072, 0.029, 0.233",0.9,30.0,1,488
133,0.231178,1.867056,0.643,0.485,0.0100,custom6,"2.055, 0.030, 0.233",0.9,30.0,2,492
134,0.229266,1.843322,0.644,0.494,0.0100,custom6,"2.050, 0.029, 0.231",0.9,30.0,3,495
135,0.230655,1.983391,0.644,0.487,0.0100,custom6,"2.032, 0.029, 0.229",0.9,30.0,4,499
136,0.229920,1.822565,0.645,0.484,0.0100,custom6,"2.052, 0.031, 0.233",0.9,30.0,5,503
137,0.230974,1.998516,0.644,0.492,0.0100,custom6,"2.082, 0.030, 0.235",0.9,30.0,6,507
138,0.229027,1.913359,0.647,0.494,0.0100,custom6,"2.037, 0.029, 0.230",0.9,30.0,7,510
