_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,1.535204,2.636477,0.310,0.215,0.1000,kl_2_3v,"0.000, 0.000, 1.385",0.9,30.0,0,3
2,1.249070,2.617287,0.416,0.223,0.1000,kl_2_3v,"0.000, 0.000, 1.196",0.9,30.0,0,7
3,1.113012,2.511541,0.462,0.273,0.1000,kl_2_3v,"0.000, 0.000, 1.068",0.9,30.0,0,11
4,1.020030,2.093614,0.501,0.311,0.1000,kl_2_3v,"0.000, 0.000, 0.987",0.9,30.0,0,15
5,0.951564,2.132890,0.524,0.322,0.1000,kl_2_3v,"0.000, 0.000, 0.931",0.9,30.0,0,18
6,0.901395,1.986064,0.545,0.311,0.1000,kl_2_3v,"0.000, 0.000, 0.891",0.9,30.0,1,22
7,0.865323,2.034072,0.560,0.340,0.1000,kl_2_3v,"0.000, 0.000, 0.856",0.9,30.0,0,26
8,0.841538,1.992720,0.570,0.352,0.1000,kl_2_3v,"0.000, 0.000, 0.833",0.9,30.0,0,30
9,0.817862,1.934512,0.581,0.346,0.1000,kl_2_3v,"0.000, 0.000, 0.817",0.9,30.0,1,33
10,0.801006,1.840896,0.584,0.369,0.1000,kl_2_3v,"0.000, 0.000, 0.796",0.9,30.0,0,37
11,0.786782,1.860084,0.594,0.359,0.1000,kl_2_3v,"0.000, 0.000, 0.796",0.9,30.0,1,41
12,0.768403,1.842221,0.597,0.387,0.1000,kl_2_3v,"0.000, 0.000, 0.769",0.9,30.0,0,45
13,0.759328,1.849375,0.603,0.383,0.1000,kl_2_3v,"0.000, 0.000, 0.755",0.9,30.0,1,48
14,0.745789,1.753947,0.609,0.391,0.1000,kl_2_3v,"0.000, 0.000, 0.742",0.9,30.0,0,52
15,0.739514,1.748090,0.611,0.379,0.1000,kl_2_3v,"0.000, 0.000, 0.744",0.9,30.0,1,56
16,0.737310,1.783009,0.615,0.379,0.1000,kl_2_3v,"0.000, 0.000, 0.744",0.9,30.0,2,60
17,0.728378,1.872922,0.614,0.379,0.1000,kl_2_3v,"0.000, 0.000, 0.723",0.9,30.0,3,64
18,0.717858,1.873159,0.621,0.396,0.1000,kl_2_3v,"0.000, 0.000, 0.720",0.9,30.0,0,67
19,0.722112,1.795563,0.620,0.379,0.1000,kl_2_3v,"0.000, 0.000, 0.729",0.9,30.0,1,71
20,0.711981,1.753205,0.623,0.408,0.1000,kl_2_3v,"0.000, 0.000, 0.704",0.9,30.0,0,75
21,0.701456,1.783745,0.627,0.398,0.1000,kl_2_3v,"0.000, 0.000, 0.707",0.9,30.0,1,79
22,0.704198,1.730478,0.625,0.410,0.1000,kl_2_3v,"0.000, 0.000, 0.705",0.9,30.0,0,82
23,0.700991,1.842192,0.626,0.406,0.1000,kl_2_3v,"0.000, 0.000, 0.702",0.9,30.0,1,86
24,0.694134,1.868859,0.628,0.400,0.1000,kl_2_3v,"0.000, 0.000, 0.702",0.9,30.0,2,90
25,0.694741,1.706690,0.631,0.414,0.1000,kl_2_3v,"0.000, 0.000, 0.702",0.9,30.0,0,94
