_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.339630,2.655831,0.341,0.227,0.1000,kl_2_3v,"0.000, 0.000, 2.236",0.9,30.0,0,3
2,2.127870,2.824524,0.442,0.244,0.1000,kl_2_3v,"0.000, 0.000, 2.074",0.9,30.0,0,7
3,2.003062,2.701334,0.496,0.258,0.1000,kl_2_3v,"0.000, 0.000, 1.971",0.9,30.0,0,11
4,1.930902,2.453482,0.529,0.311,0.1000,kl_2_3v,"0.000, 0.000, 1.912",0.9,30.0,0,15
5,1.865286,2.306053,0.558,0.326,0.1000,kl_2_3v,"0.000, 0.000, 1.839",0.9,30.0,0,18
6,1.830170,2.394725,0.572,0.342,0.1000,kl_2_3v,"0.000, 0.000, 1.808",0.9,30.0,0,22
7,1.789548,2.296130,0.589,0.340,0.1000,kl_2_3v,"0.000, 0.000, 1.779",0.9,30.0,1,26
8,1.765662,2.246410,0.598,0.367,0.1000,kl_2_3v,"0.000, 0.000, 1.764",0.9,30.0,0,30
9,1.736724,2.254960,0.605,0.375,0.1000,kl_2_3v,"0.000, 0.000, 1.736",0.9,30.0,0,34
10,1.719101,2.221228,0.616,0.389,0.1000,kl_2_3v,"0.000, 0.000, 1.728",0.9,30.0,0,37
11,1.702913,2.044000,0.624,0.424,0.1000,kl_2_3v,"0.000, 0.000, 1.698",0.9,30.0,0,41
12,1.692468,2.159084,0.630,0.408,0.1000,kl_2_3v,"0.000, 0.000, 1.699",0.9,30.0,1,45
13,1.677819,1.985559,0.630,0.412,0.1000,kl_2_3v,"0.000, 0.000, 1.680",0.9,30.0,2,49
14,1.660562,2.082460,0.641,0.402,0.1000,kl_2_3v,"0.000, 0.000, 1.666",0.9,30.0,3,53
15,1.651309,2.103286,0.642,0.395,0.1000,kl_2_3v,"0.000, 0.000, 1.649",0.9,30.0,4,56
16,1.642904,2.133590,0.645,0.404,0.1000,kl_2_3v,"0.000, 0.000, 1.650",0.9,30.0,5,60
17,1.639861,2.162616,0.648,0.420,0.1000,kl_2_3v,"0.000, 0.000, 1.635",0.9,30.0,6,64
18,1.627187,2.255853,0.652,0.402,0.1000,kl_2_3v,"0.000, 0.000, 1.634",0.9,30.0,7,68
19,1.616481,1.994051,0.657,0.430,0.1000,kl_2_3v,"0.000, 0.000, 1.622",0.9,30.0,0,71
20,1.614522,2.135044,0.659,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.613",0.9,30.0,1,75
21,1.609992,2.063998,0.658,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.615",0.9,30.0,2,79
22,1.606538,2.004312,0.664,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.607",0.9,30.0,0,83
23,1.596575,2.195766,0.668,0.426,0.1000,kl_2_3v,"0.000, 0.000, 1.597",0.9,30.0,1,87
24,1.593067,2.175498,0.667,0.426,0.1000,kl_2_3v,"0.000, 0.000, 1.599",0.9,30.0,2,90
25,1.584364,2.211343,0.671,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.593",0.9,30.0,3,94
26,1.584327,2.050554,0.671,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.595",0.9,30.0,4,98
27,1.578938,2.034305,0.673,0.426,0.1000,kl_2_3v,"0.000, 0.000, 1.595",0.9,30.0,5,102
28,1.569230,2.033718,0.676,0.438,0.1000,kl_2_3v,"0.000, 0.000, 1.581",0.9,30.0,0,105
29,1.571507,2.143315,0.679,0.416,0.1000,kl_2_3v,"0.000, 0.000, 1.577",0.9,30.0,1,109
30,1.567886,2.129965,0.676,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.568",0.9,30.0,2,113
31,1.557788,1.944348,0.683,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.557",0.9,30.0,0,117
