_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.283130,2.781978,0.336,0.225,0.1000,kl_2_3v,"0.000, 0.000, 2.165",0.9,30.0,0,3
2,2.070332,2.816688,0.440,0.221,0.1000,kl_2_3v,"0.000, 0.000, 2.024",0.9,30.0,1,7
3,1.953129,2.598650,0.496,0.248,0.1000,kl_2_3v,"0.000, 0.000, 1.927",0.9,30.0,0,11
4,1.872211,2.591896,0.532,0.297,0.1000,kl_2_3v,"0.000, 0.000, 1.838",0.9,30.0,0,15
5,1.808201,2.383954,0.553,0.334,0.1000,kl_2_3v,"0.000, 0.000, 1.800",0.9,30.0,0,18
6,1.769564,2.358698,0.573,0.363,0.1000,kl_2_3v,"0.000, 0.000, 1.762",0.9,30.0,0,22
7,1.734921,2.199217,0.586,0.365,0.1000,kl_2_3v,"0.000, 0.000, 1.732",0.9,30.0,0,26
8,1.715449,2.085954,0.596,0.381,0.1000,kl_2_3v,"0.000, 0.000, 1.711",0.9,30.0,0,30
9,1.684971,2.292026,0.609,0.371,0.1000,kl_2_3v,"0.000, 0.000, 1.688",0.9,30.0,1,34
10,1.661300,2.081523,0.616,0.400,0.1000,kl_2_3v,"0.000, 0.000, 1.654",0.9,30.0,0,37
11,1.648523,2.279550,0.620,0.383,0.1000,kl_2_3v,"0.000, 0.000, 1.647",0.9,30.0,1,41
12,1.632722,2.067405,0.630,0.371,0.1000,kl_2_3v,"0.000, 0.000, 1.629",0.9,30.0,2,45
13,1.619173,2.155330,0.634,0.396,0.1000,kl_2_3v,"0.000, 0.000, 1.625",0.9,30.0,3,49
14,1.613551,2.003433,0.640,0.400,0.1000,kl_2_3v,"0.000, 0.000, 1.619",0.9,30.0,0,52
15,1.599932,2.045871,0.643,0.424,0.1000,kl_2_3v,"0.000, 0.000, 1.594",0.9,30.0,0,56
16,1.589611,2.022582,0.645,0.414,0.1000,kl_2_3v,"0.000, 0.000, 1.600",0.9,30.0,1,60
17,1.581258,2.049488,0.652,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.582",0.9,30.0,0,64
18,1.574694,1.982083,0.656,0.426,0.1000,kl_2_3v,"0.000, 0.000, 1.580",0.9,30.0,1,67
