_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.349604,2.650716,0.335,0.240,0.1000,kl_2_3v,"0.000, 0.000, 2.230",0.9,30.0,0,3
2,2.130596,2.817303,0.443,0.227,0.1000,kl_2_3v,"0.000, 0.000, 2.078",0.9,30.0,1,7
3,2.010794,2.524649,0.494,0.273,0.1000,kl_2_3v,"0.000, 0.000, 1.969",0.9,30.0,0,11
4,1.934187,2.573557,0.524,0.293,0.1000,kl_2_3v,"0.000, 0.000, 1.919",0.9,30.0,0,15
5,1.873338,2.579423,0.554,0.328,0.1000,kl_2_3v,"0.000, 0.000, 1.862",0.9,30.0,0,18
6,1.828604,2.441401,0.571,0.322,0.1000,kl_2_3v,"0.000, 0.000, 1.809",0.9,30.0,1,22
7,1.794329,2.406455,0.586,0.367,0.1000,kl_2_3v,"0.000, 0.000, 1.790",0.9,30.0,0,26
8,1.769465,2.381606,0.599,0.375,0.1000,kl_2_3v,"0.000, 0.000, 1.757",0.9,30.0,0,30
9,1.744559,2.201900,0.606,0.367,0.1000,kl_2_3v,"0.000, 0.000, 1.738",0.9,30.0,1,34
10,1.724246,2.260275,0.613,0.375,0.1000,kl_2_3v,"0.000, 0.000, 1.725",0.9,30.0,0,37
11,1.708937,2.029410,0.619,0.406,0.1000,kl_2_3v,"0.000, 0.000, 1.715",0.9,30.0,0,41
12,1.693828,2.150272,0.628,0.400,0.1000,kl_2_3v,"0.000, 0.000, 1.702",0.9,30.0,1,45
13,1.680499,2.092899,0.630,0.404,0.1000,kl_2_3v,"0.000, 0.000, 1.675",0.9,30.0,2,49
14,1.664752,2.072218,0.639,0.424,0.1000,kl_2_3v,"0.000, 0.000, 1.677",0.9,30.0,0,52
15,1.651765,2.186655,0.643,0.406,0.1000,kl_2_3v,"0.000, 0.000, 1.661",0.9,30.0,1,56
16,1.648454,2.133883,0.645,0.422,0.1000,kl_2_3v,"0.000, 0.000, 1.654",0.9,30.0,2,60
