_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.349852,2.573557,0.334,0.205,0.1000,kl_2_3v,"0.000, 0.000, 2.223",0.9,30.0,0,3
2,2.137670,2.743863,0.435,0.252,0.1000,kl_2_3v,"0.000, 0.000, 2.083",0.9,30.0,0,7
3,2.009066,2.516918,0.495,0.299,0.1000,kl_2_3v,"0.000, 0.000, 1.983",0.9,30.0,0,11
4,1.929838,2.319657,0.529,0.334,0.1000,kl_2_3v,"0.000, 0.000, 1.920",0.9,30.0,0,15
5,1.873466,2.247083,0.553,0.324,0.1000,kl_2_3v,"0.000, 0.000, 1.860",0.9,30.0,1,19
6,1.826905,2.192692,0.575,0.326,0.1000,kl_2_3v,"0.000, 0.000, 1.810",0.9,30.0,2,22
7,1.795448,2.304208,0.585,0.373,0.1000,kl_2_3v,"0.000, 0.000, 1.798",0.9,30.0,0,26
8,1.767392,2.287824,0.597,0.348,0.1000,kl_2_3v,"0.000, 0.000, 1.758",0.9,30.0,1,30
9,1.738830,2.187015,0.608,0.357,0.1000,kl_2_3v,"0.000, 0.000, 1.739",0.9,30.0,2,34
10,1.720753,2.147920,0.614,0.369,0.1000,kl_2_3v,"0.000, 0.000, 1.722",0.9,30.0,3,37
11,1.704931,2.217730,0.624,0.404,0.1000,kl_2_3v,"0.000, 0.000, 1.693",0.9,30.0,0,41
12,1.690284,1.987433,0.629,0.422,0.1000,kl_2_3v,"0.000, 0.000, 1.683",0.9,30.0,0,45
13,1.679078,2.014429,0.633,0.418,0.1000,kl_2_3v,"0.000, 0.000, 1.666",0.9,30.0,1,49
14,1.663060,2.087725,0.635,0.410,0.1000,kl_2_3v,"0.000, 0.000, 1.686",0.9,30.0,2,53
15,1.653160,2.245355,0.642,0.424,0.1000,kl_2_3v,"0.000, 0.000, 1.654",0.9,30.0,0,56
16,1.643961,2.109938,0.646,0.426,0.1000,kl_2_3v,"0.000, 0.000, 1.642",0.9,30.0,0,60
17,1.633966,2.015633,0.648,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.625",0.9,30.0,0,64
18,1.620846,2.068154,0.650,0.418,0.1000,kl_2_3v,"0.000, 0.000, 1.609",0.9,30.0,1,68
19,1.615649,2.130144,0.657,0.416,0.1000,kl_2_3v,"0.000, 0.000, 1.625",0.9,30.0,2,72
20,1.611177,2.078715,0.658,0.414,0.1000,kl_2_3v,"0.000, 0.000, 1.616",0.9,30.0,3,75
21,1.607478,1.942379,0.661,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.604",0.9,30.0,0,79
22,1.602137,2.186077,0.661,0.408,0.1000,kl_2_3v,"0.000, 0.000, 1.614",0.9,30.0,1,83
23,1.591598,1.899661,0.666,0.430,0.1000,kl_2_3v,"0.000, 0.000, 1.599",0.9,30.0,2,87
24,1.579672,2.078563,0.669,0.432,0.1000,kl_2_3v,"0.000, 0.000, 1.597",0.9,30.0,3,90
25,1.579623,2.227060,0.667,0.393,0.1000,kl_2_3v,"0.000, 0.000, 1.576",0.9,30.0,4,94
26,1.575921,1.937157,0.672,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.569",0.9,30.0,0,98
27,1.570925,2.060452,0.672,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.558",0.9,30.0,0,102
28,1.573137,1.987562,0.673,0.430,0.1000,kl_2_3v,"0.000, 0.000, 1.587",0.9,30.0,1,106
29,1.560784,2.065260,0.675,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.565",0.9,30.0,2,109
30,1.556830,2.132038,0.675,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.564",0.9,30.0,3,113
31,1.555304,1.917634,0.677,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.554",0.9,30.0,4,117
32,1.550819,1.968244,0.679,0.469,0.1000,kl_2_3v,"0.000, 0.000, 1.553",0.9,30.0,0,121
33,1.547603,2.023269,0.683,0.461,0.1000,kl_2_3v,"0.000, 0.000, 1.545",0.9,30.0,1,125
34,1.539000,1.986206,0.681,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.539",0.9,30.0,2,128
35,1.538103,1.996832,0.681,0.475,0.1000,kl_2_3v,"0.000, 0.000, 1.548",0.9,30.0,0,132
36,1.536298,1.967518,0.681,0.461,0.1000,kl_2_3v,"0.000, 0.000, 1.539",0.9,30.0,1,136
37,1.533093,1.904500,0.682,0.477,0.1000,kl_2_3v,"0.000, 0.000, 1.530",0.9,30.0,0,140
38,1.528001,2.111195,0.686,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.539",0.9,30.0,1,144
39,1.531368,2.158678,0.684,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.532",0.9,30.0,2,147
