_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,1.694082,2.569315,0.331,0.238,0.1000,kl_2_3,"0.000, 0.000, 1.637",0.9,30.0,0,5
2,1.579772,2.697131,0.421,0.260,0.1000,kl_2_3,"0.000, 0.000, 1.556",0.9,30.0,0,11
3,1.523237,2.609218,0.465,0.289,0.1000,kl_2_3,"0.000, 0.000, 1.502",0.9,30.0,0,17
4,1.476395,2.844346,0.500,0.276,0.1000,kl_2_3,"0.000, 0.000, 1.458",0.9,30.0,1,23
5,1.446698,2.636745,0.527,0.318,0.1000,kl_2_3,"0.000, 0.000, 1.431",0.9,30.0,0,29
6,1.421894,2.484882,0.542,0.327,0.1000,kl_2_3,"0.000, 0.000, 1.422",0.9,30.0,0,35
7,1.399289,2.571879,0.557,0.353,0.1000,kl_2_3,"0.000, 0.000, 1.396",0.9,30.0,0,41
8,1.381544,2.430649,0.571,0.344,0.1000,kl_2_3,"0.000, 0.000, 1.385",0.9,30.0,1,46
9,1.370061,2.423763,0.579,0.364,0.1000,kl_2_3,"0.000, 0.000, 1.363",0.9,30.0,0,52
10,1.353462,2.510738,0.589,0.353,0.1000,kl_2_3,"0.000, 0.000, 1.346",0.9,30.0,1,58
11,1.344153,2.492928,0.598,0.360,0.1000,kl_2_3,"0.000, 0.000, 1.333",0.9,30.0,2,64
12,1.332814,2.353387,0.605,0.365,0.1000,kl_2_3,"0.000, 0.000, 1.342",0.9,30.0,0,70
13,1.333415,2.369935,0.607,0.380,0.1000,kl_2_3,"0.000, 0.000, 1.325",0.9,30.0,0,76
14,1.320950,2.127818,0.615,0.401,0.1000,kl_2_3,"0.000, 0.000, 1.316",0.9,30.0,0,82
15,1.308197,2.517396,0.620,0.384,0.1000,kl_2_3,"0.000, 0.000, 1.311",0.9,30.0,1,88
16,1.307014,2.189344,0.622,0.389,0.1000,kl_2_3,"0.000, 0.000, 1.308",0.9,30.0,2,93
17,1.293959,2.215911,0.626,0.407,0.1000,kl_2_3,"0.000, 0.000, 1.287",0.9,30.0,0,99
18,1.292546,2.343730,0.631,0.406,0.1000,kl_2_3,"0.000, 0.000, 1.301",0.9,30.0,1,105
19,1.289277,2.118711,0.637,0.407,0.1000,kl_2_3,"0.000, 0.000, 1.281",0.9,30.0,0,111
20,1.282943,2.186303,0.638,0.417,0.1000,kl_2_3,"0.000, 0.000, 1.292",0.9,30.0,0,117
21,1.279907,2.103401,0.639,0.416,0.1000,kl_2_3,"0.000, 0.000, 1.284",0.9,30.0,1,123
22,1.277841,2.253122,0.639,0.405,0.1000,kl_2_3,"0.000, 0.000, 1.281",0.9,30.0,2,129
23,1.272431,2.318771,0.644,0.411,0.1000,kl_2_3,"0.000, 0.000, 1.281",0.9,30.0,3,134
24,1.270636,2.318972,0.644,0.408,0.1000,kl_2_3,"0.000, 0.000, 1.276",0.9,30.0,4,140
25,1.266423,2.300218,0.649,0.415,0.1000,kl_2_3,"0.000, 0.000, 1.267",0.9,30.0,5,146
26,1.268024,2.308870,0.648,0.424,0.1000,kl_2_3,"0.000, 0.000, 1.269",0.9,30.0,0,152
27,1.262039,2.342305,0.650,0.419,0.1000,kl_2_3,"0.000, 0.000, 1.262",0.9,30.0,1,158
