_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,1.698075,2.776569,0.324,0.235,0.1000,kl_2_3,"0.000, 0.000, 1.634",0.9,30.0,0,3
2,1.582880,2.794886,0.416,0.260,0.1000,kl_2_3,"0.000, 0.000, 1.554",0.9,30.0,0,7
3,1.523460,2.791879,0.468,0.295,0.1000,kl_2_3,"0.000, 0.000, 1.507",0.9,30.0,0,11
4,1.480892,2.743814,0.497,0.295,0.1000,kl_2_3,"0.000, 0.000, 1.461",0.9,30.0,0,15
5,1.451225,2.579608,0.520,0.317,0.1000,kl_2_3,"0.000, 0.000, 1.440",0.9,30.0,0,19
6,1.421100,2.566623,0.541,0.323,0.1000,kl_2_3,"0.000, 0.000, 1.416",0.9,30.0,0,23
1,1.789507,2.387965,0.232,0.232,0.1000,kl_2_3,"0.000, 0.000, 1.752",0.9,30.0,0,4
2,1.723844,2.465007,0.274,0.255,0.1000,kl_2_3,"0.000, 0.000, 1.701",0.9,30.0,0,7
3,1.683736,2.454487,0.308,0.278,0.1000,kl_2_3,"0.000, 0.000, 1.678",0.9,30.0,0,11
1,1.699825,3.002724,0.322,0.237,0.1000,kl_2_3,"0.000, 0.000, 1.653",0.9,30.0,0,4
2,1.582662,2.824515,0.414,0.259,0.1000,kl_2_3,"0.000, 0.000, 1.557",0.9,30.0,0,7
1,1.696619,2.665616,0.320,0.220,0.1000,kl_2_3,"0.000, 0.000, 1.644",0.9,30.0,0,4
2,1.581229,2.632377,0.417,0.264,0.1000,kl_2_3,"0.000, 0.000, 1.562",0.9,30.0,0,9
3,1.521365,2.850977,0.467,0.283,0.1000,kl_2_3,"0.000, 0.000, 1.505",0.9,30.0,0,14
4,1.476342,2.600374,0.500,0.304,0.1000,kl_2_3,"0.000, 0.000, 1.469",0.9,30.0,0,19
5,1.446708,2.394426,0.520,0.334,0.1000,kl_2_3,"0.000, 0.000, 1.437",0.9,30.0,0,23
6,1.419226,2.607916,0.544,0.319,0.1000,kl_2_3,"0.000, 0.000, 1.411",0.9,30.0,1,28
7,1.401420,2.615959,0.556,0.328,0.1000,kl_2_3,"0.000, 0.000, 1.400",0.9,30.0,2,33
