_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,1.701384,2.572963,0.332,0.241,0.1000,kl_2_3,"0.000, 0.000, 1.642",0.9,30.0,0,3
2,1.587328,2.840452,0.438,0.267,0.1000,kl_2_3,"0.000, 0.000, 1.569",0.9,30.0,0,7
3,1.529681,2.599944,0.494,0.289,0.1000,kl_2_3,"0.000, 0.000, 1.526",0.9,30.0,0,11
4,1.484082,2.660588,0.532,0.300,0.1000,kl_2_3,"0.000, 0.000, 1.475",0.9,30.0,0,15
5,1.458900,2.397025,0.558,0.318,0.1000,kl_2_3,"0.000, 0.000, 1.462",0.9,30.0,0,19
6,1.431159,2.532077,0.581,0.323,0.1000,kl_2_3,"0.000, 0.000, 1.420",0.9,30.0,0,23
7,1.409981,2.397060,0.597,0.343,0.1000,kl_2_3,"0.000, 0.000, 1.407",0.9,30.0,0,27
8,1.394422,2.468674,0.615,0.355,0.1000,kl_2_3,"0.000, 0.000, 1.390",0.9,30.0,0,31
9,1.378535,2.399331,0.628,0.368,0.1000,kl_2_3,"0.000, 0.000, 1.370",0.9,30.0,0,35
10,1.364558,2.267693,0.634,0.364,0.1000,kl_2_3,"0.000, 0.000, 1.363",0.9,30.0,1,39
11,1.353499,2.456987,0.644,0.359,0.1000,kl_2_3,"0.000, 0.000, 1.347",0.9,30.0,2,42
12,1.346793,2.385372,0.652,0.375,0.1000,kl_2_3,"0.000, 0.000, 1.338",0.9,30.0,0,46
13,1.333839,2.277762,0.658,0.389,0.1000,kl_2_3,"0.000, 0.000, 1.332",0.9,30.0,0,50
14,1.328391,2.224798,0.665,0.384,0.1000,kl_2_3,"0.000, 0.000, 1.328",0.9,30.0,1,54
15,1.320660,2.116482,0.671,0.396,0.1000,kl_2_3,"0.000, 0.000, 1.316",0.9,30.0,0,58
16,1.318308,2.287538,0.676,0.380,0.1000,kl_2_3,"0.000, 0.000, 1.324",0.9,30.0,1,62
17,1.310507,2.275427,0.681,0.405,0.1000,kl_2_3,"0.000, 0.000, 1.313",0.9,30.0,0,66
18,1.305938,2.266921,0.685,0.401,0.1000,kl_2_3,"0.000, 0.000, 1.313",0.9,30.0,1,70
19,1.295744,2.306929,0.688,0.394,0.1000,kl_2_3,"0.000, 0.000, 1.303",0.9,30.0,2,74
20,1.291174,2.109198,0.691,0.401,0.1000,kl_2_3,"0.000, 0.000, 1.289",0.9,30.0,3,78
21,1.292115,2.217744,0.691,0.405,0.1000,kl_2_3,"0.000, 0.000, 1.295",0.9,30.0,4,82
22,1.287843,2.030278,0.697,0.411,0.1000,kl_2_3,"0.000, 0.000, 1.275",0.9,30.0,0,85
23,1.281493,2.236759,0.700,0.416,0.1000,kl_2_3,"0.000, 0.000, 1.279",0.9,30.0,0,89
24,1.283530,2.390089,0.702,0.413,0.1000,kl_2_3,"0.000, 0.000, 1.289",0.9,30.0,1,93
25,1.277318,2.141877,0.700,0.417,0.1000,kl_2_3,"0.000, 0.000, 1.283",0.9,30.0,0,97
26,1.279381,2.083041,0.706,0.428,0.1000,kl_2_3,"0.000, 0.000, 1.278",0.9,30.0,0,101
27,1.274445,2.145802,0.707,0.419,0.1000,kl_2_3,"0.000, 0.000, 1.286",0.9,30.0,1,105
28,1.273424,2.167461,0.710,0.424,0.1000,kl_2_3,"0.000, 0.000, 1.278",0.9,30.0,2,109
29,1.268939,2.095630,0.710,0.423,0.1000,kl_2_3,"0.000, 0.000, 1.271",0.9,30.0,3,113
30,1.267836,2.168719,0.713,0.411,0.1000,kl_2_3,"0.000, 0.000, 1.277",0.9,30.0,4,117
31,1.263568,2.225434,0.712,0.414,0.1000,kl_2_3,"0.000, 0.000, 1.275",0.9,30.0,5,121
32,1.266108,2.143096,0.716,0.432,0.1000,kl_2_3,"0.000, 0.000, 1.270",0.9,30.0,0,124
33,1.262176,2.189076,0.718,0.434,0.1000,kl_2_3,"0.000, 0.000, 1.254",0.9,30.0,0,128
34,1.255496,2.187392,0.721,0.435,0.1000,kl_2_3,"0.000, 0.000, 1.257",0.9,30.0,0,132
35,1.257560,2.089894,0.721,0.425,0.1000,kl_2_3,"0.000, 0.000, 1.255",0.9,30.0,1,136
