_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,1.688636,3.269125,0.318,0.174,0.1000,kl_2_3,"0.000, 0.000, 1.635",0.9,30.0,0,3
2,1.594624,3.148589,0.386,0.217,0.1000,kl_2_3,"0.000, 0.000, 1.574",0.9,30.0,0,7
1,1.894407,3.055112,0.180,0.115,0.1000,kl_2_3,"0.000, 0.000, 1.887",0.9,30.0,0,3
2,1.885838,2.745053,0.202,0.121,0.1000,kl_2_3,"0.000, 0.000, 1.885",0.9,30.0,0,7
1,1.579529,4.328492,0.373,0.188,0.1000,kl_2_3,"0.000, 0.000, 1.487",0.9,30.0,0,3
2,1.390890,4.017348,0.500,0.237,0.1000,kl_2_3,"0.000, 0.000, 1.355",0.9,30.0,0,7
3,1.283726,3.779131,0.565,0.261,0.1000,kl_2_3,"0.000, 0.000, 1.254",0.9,30.0,0,11
4,1.219223,3.426281,0.606,0.296,0.1000,kl_2_3,"0.000, 0.000, 1.208",0.9,30.0,0,15
5,1.172583,3.465021,0.631,0.318,0.1000,kl_2_3,"0.000, 0.000, 1.164",0.9,30.0,0,19
6,1.131718,3.687960,0.657,0.310,0.1000,kl_2_3,"0.000, 0.000, 1.126",0.9,30.0,1,23
7,1.101927,3.556023,0.671,0.328,0.1000,kl_2_3,"0.000, 0.000, 1.102",0.9,30.0,0,27
