_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,1.793165,2.395667,0.228,0.232,0.1000,kl_2_3,"0.000, 0.000, 1.750",0.9,30.0,0,4
2,1.726186,2.414976,0.275,0.260,0.1000,kl_2_3,"0.000, 0.000, 1.716",0.9,30.0,0,9
3,1.686499,2.517955,0.303,0.267,0.1000,kl_2_3,"0.000, 0.000, 1.680",0.9,30.0,0,13
4,1.660912,2.515538,0.322,0.292,0.1000,kl_2_3,"0.000, 0.000, 1.647",0.9,30.0,0,18
5,1.632394,2.414787,0.346,0.312,0.1000,kl_2_3,"0.000, 0.000, 1.627",0.9,30.0,0,23
6,1.613024,2.274059,0.360,0.315,0.1000,kl_2_3,"0.000, 0.000, 1.609",0.9,30.0,0,27
7,1.593589,2.243806,0.375,0.337,0.1000,kl_2_3,"0.000, 0.000, 1.600",0.9,30.0,0,32
8,1.571766,2.219807,0.388,0.336,0.1000,kl_2_3,"0.000, 0.000, 1.579",0.9,30.0,1,37
9,1.553731,2.214977,0.399,0.346,0.1000,kl_2_3,"0.000, 0.000, 1.554",0.9,30.0,0,41
10,1.542579,2.173948,0.409,0.353,0.1000,kl_2_3,"0.000, 0.000, 1.531",0.9,30.0,0,46
11,1.525643,2.126738,0.422,0.357,0.1000,kl_2_3,"0.000, 0.000, 1.534",0.9,30.0,0,51
12,1.513433,2.068032,0.430,0.363,0.1000,kl_2_3,"0.000, 0.000, 1.514",0.9,30.0,0,55
13,1.499643,2.456062,0.438,0.356,0.1000,kl_2_3,"0.000, 0.000, 1.492",0.9,30.0,1,60
14,1.489524,2.275689,0.444,0.367,0.1000,kl_2_3,"0.000, 0.000, 1.489",0.9,30.0,0,65
15,1.476370,2.153399,0.448,0.367,0.1000,kl_2_3,"0.000, 0.000, 1.474",0.9,30.0,0,69
16,1.468526,2.105276,0.457,0.390,0.1000,kl_2_3,"0.000, 0.000, 1.469",0.9,30.0,0,74
17,1.457959,2.209206,0.463,0.390,0.1000,kl_2_3,"0.000, 0.000, 1.468",0.9,30.0,1,79
18,1.441242,2.203324,0.472,0.386,0.1000,kl_2_3,"0.000, 0.000, 1.450",0.9,30.0,2,83
19,1.437420,1.952372,0.473,0.385,0.1000,kl_2_3,"0.000, 0.000, 1.433",0.9,30.0,3,88
20,1.427054,1.982556,0.481,0.399,0.1000,kl_2_3,"0.000, 0.000, 1.425",0.9,30.0,0,93
21,1.422980,2.180199,0.484,0.406,0.1000,kl_2_3,"0.000, 0.000, 1.438",0.9,30.0,0,97
22,1.415683,2.072905,0.488,0.406,0.1000,kl_2_3,"0.000, 0.000, 1.402",0.9,30.0,0,102
23,1.410841,2.086218,0.489,0.411,0.1000,kl_2_3,"0.000, 0.000, 1.404",0.9,30.0,0,107
24,1.404399,2.147556,0.494,0.403,0.1000,kl_2_3,"0.000, 0.000, 1.405",0.9,30.0,1,111
25,1.400085,2.039758,0.494,0.399,0.1000,kl_2_3,"0.000, 0.000, 1.410",0.9,30.0,2,116
26,1.395624,2.027159,0.499,0.408,0.1000,kl_2_3,"0.000, 0.000, 1.407",0.9,30.0,3,121
27,1.386762,2.136193,0.501,0.395,0.1000,kl_2_3,"0.000, 0.000, 1.375",0.9,30.0,4,125
28,1.383041,1.957859,0.507,0.420,0.1000,kl_2_3,"0.000, 0.000, 1.393",0.9,30.0,0,130
29,1.379047,2.019289,0.507,0.415,0.1000,kl_2_3,"0.000, 0.000, 1.370",0.9,30.0,1,135
30,1.371526,2.312808,0.515,0.407,0.1000,kl_2_3,"0.000, 0.000, 1.374",0.9,30.0,2,139
31,1.371776,2.092208,0.512,0.411,0.1000,kl_2_3,"0.000, 0.000, 1.372",0.9,30.0,3,144
32,1.364663,2.125239,0.521,0.419,0.1000,kl_2_3,"0.000, 0.000, 1.376",0.9,30.0,4,149
33,1.362292,2.035424,0.520,0.412,0.1000,kl_2_3,"0.000, 0.000, 1.392",0.9,30.0,5,153
34,1.355708,2.064263,0.522,0.414,0.1000,kl_2_3,"0.000, 0.000, 1.363",0.9,30.0,6,158
35,1.353445,2.021303,0.521,0.418,0.1000,kl_2_3,"0.000, 0.000, 1.353",0.9,30.0,7,163
