_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,1.778181,2.378936,0.220,0.237,0.1000,kl_2_3,"0.000, 0.000, 1.738",0.9,30.0,0,6
2,1.711298,2.426278,0.257,0.250,0.1000,kl_2_3,"0.000, 0.000, 1.687",0.9,30.0,0,12
3,1.670972,2.347905,0.286,0.275,0.1000,kl_2_3,"0.000, 0.000, 1.662",0.9,30.0,0,17
4,1.642227,2.180863,0.302,0.292,0.1000,kl_2_3,"0.000, 0.000, 1.636",0.9,30.0,0,23
5,1.617695,2.150483,0.321,0.310,0.1000,kl_2_3,"0.000, 0.000, 1.613",0.9,30.0,0,29
6,1.591487,2.098205,0.334,0.329,0.1000,kl_2_3,"0.000, 0.000, 1.575",0.9,30.0,0,35
7,1.573867,2.027872,0.347,0.345,0.1000,kl_2_3,"0.000, 0.000, 1.559",0.9,30.0,0,41
8,1.552758,2.051035,0.360,0.352,0.1000,kl_2_3,"0.000, 0.000, 1.548",0.9,30.0,0,47
9,1.540190,2.077843,0.370,0.353,0.1000,kl_2_3,"0.000, 0.000, 1.531",0.9,30.0,0,53
10,1.528801,2.000953,0.379,0.356,0.1000,kl_2_3,"0.000, 0.000, 1.528",0.9,30.0,0,59
11,1.515178,1.983573,0.390,0.358,0.1000,kl_2_3,"0.000, 0.000, 1.518",0.9,30.0,0,65
12,1.501110,1.953291,0.394,0.385,0.1000,kl_2_3,"0.000, 0.000, 1.492",0.9,30.0,0,71
13,1.493138,1.900333,0.403,0.386,0.1000,kl_2_3,"0.000, 0.000, 1.500",0.9,30.0,0,77
14,1.483811,1.897028,0.410,0.382,0.1000,kl_2_3,"0.000, 0.000, 1.479",0.9,30.0,1,83
15,1.477702,2.037559,0.416,0.380,0.1000,kl_2_3,"0.000, 0.000, 1.470",0.9,30.0,2,89
16,1.466080,1.820879,0.422,0.397,0.1000,kl_2_3,"0.000, 0.000, 1.471",0.9,30.0,0,95
17,1.461563,1.881200,0.427,0.399,0.1000,kl_2_3,"0.000, 0.000, 1.457",0.9,30.0,0,101
18,1.453442,1.841666,0.433,0.404,0.1000,kl_2_3,"0.000, 0.000, 1.456",0.9,30.0,0,107
19,1.444034,1.980573,0.437,0.392,0.1000,kl_2_3,"0.000, 0.000, 1.432",0.9,30.0,1,113
20,1.435797,1.833042,0.443,0.416,0.1000,kl_2_3,"0.000, 0.000, 1.432",0.9,30.0,0,119
21,1.431851,1.878478,0.445,0.408,0.1000,kl_2_3,"0.000, 0.000, 1.431",0.9,30.0,1,125
22,1.426250,1.799249,0.452,0.410,0.1000,kl_2_3,"0.000, 0.000, 1.423",0.9,30.0,2,131
23,1.420865,1.791564,0.454,0.418,0.1000,kl_2_3,"0.000, 0.000, 1.418",0.9,30.0,0,136
24,1.415767,1.869401,0.453,0.413,0.1000,kl_2_3,"0.000, 0.000, 1.419",0.9,30.0,1,142
25,1.414380,1.805753,0.460,0.414,0.1000,kl_2_3,"0.000, 0.000, 1.425",0.9,30.0,2,148
26,1.404781,1.871943,0.462,0.412,0.1000,kl_2_3,"0.000, 0.000, 1.411",0.9,30.0,3,154
27,1.400877,1.825160,0.463,0.412,0.1000,kl_2_3,"0.000, 0.000, 1.408",0.9,30.0,4,160
28,1.398777,1.919445,0.463,0.422,0.1000,kl_2_3,"0.000, 0.000, 1.396",0.9,30.0,0,166
29,1.391184,1.903314,0.470,0.420,0.1000,kl_2_3,"0.000, 0.000, 1.399",0.9,30.0,1,172
30,1.388701,1.812898,0.472,0.415,0.1000,kl_2_3,"0.000, 0.000, 1.396",0.9,30.0,2,178
31,1.386007,1.766016,0.473,0.427,0.1000,kl_2_3,"0.000, 0.000, 1.390",0.9,30.0,0,184
32,1.380012,1.909419,0.476,0.416,0.1000,kl_2_3,"0.000, 0.000, 1.380",0.9,30.0,1,190
33,1.375464,1.814099,0.478,0.427,0.1000,kl_2_3,"0.000, 0.000, 1.380",0.9,30.0,0,196
34,1.372530,1.820131,0.482,0.436,0.1000,kl_2_3,"0.000, 0.000, 1.369",0.9,30.0,0,202
35,1.370496,1.755631,0.482,0.439,0.1000,kl_2_3,"0.000, 0.000, 1.378",0.9,30.0,0,208
36,1.366670,1.795184,0.486,0.430,0.1000,kl_2_3,"0.000, 0.000, 1.365",0.9,30.0,1,214
37,1.361366,1.925083,0.489,0.414,0.1000,kl_2_3,"0.000, 0.000, 1.379",0.9,30.0,2,220
38,1.361359,1.819553,0.485,0.424,0.1000,kl_2_3,"0.000, 0.000, 1.370",0.9,30.0,3,226
39,1.355515,1.731649,0.490,0.443,0.1000,kl_2_3,"0.000, 0.000, 1.365",0.9,30.0,0,232
40,1.358510,1.853662,0.494,0.445,0.1000,kl_2_3,"0.000, 0.000, 1.358",0.9,30.0,0,238
41,1.349621,1.737169,0.492,0.444,0.1000,kl_2_3,"0.000, 0.000, 1.348",0.9,30.0,1,244
42,1.351746,1.830622,0.495,0.444,0.1000,kl_2_3,"0.000, 0.000, 1.367",0.9,30.0,2,250
43,1.348732,1.766827,0.497,0.447,0.1000,kl_2_3,"0.000, 0.000, 1.357",0.9,30.0,0,256
44,1.344742,1.795207,0.496,0.443,0.1000,kl_2_3,"0.000, 0.000, 1.349",0.9,30.0,1,261
45,1.342993,1.828878,0.497,0.434,0.1000,kl_2_3,"0.000, 0.000, 1.351",0.9,30.0,2,267
46,1.339897,1.839184,0.498,0.436,0.1000,kl_2_3,"0.000, 0.000, 1.347",0.9,30.0,3,273
47,1.336201,1.826986,0.499,0.451,0.1000,kl_2_3,"0.000, 0.000, 1.341",0.9,30.0,0,279
48,1.333792,1.815371,0.503,0.435,0.1000,kl_2_3,"0.000, 0.000, 1.341",0.9,30.0,1,285
49,1.331511,1.725086,0.503,0.448,0.1000,kl_2_3,"0.000, 0.000, 1.339",0.9,30.0,2,291
50,1.326974,1.815439,0.508,0.437,0.1000,kl_2_3,"0.000, 0.000, 1.333",0.9,30.0,3,297
