_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,1.674695,2.804479,0.331,0.234,0.1000,kl_2_3,"0.000, 0.000, 1.617",0.9,30.0,0,4
2,1.561525,2.935286,0.425,0.230,0.1000,kl_2_3,"0.000, 0.000, 1.540",0.9,30.0,1,8
3,1.498501,2.990670,0.477,0.241,0.1000,kl_2_3,"0.000, 0.000, 1.476",0.9,30.0,0,13
4,1.457183,2.573911,0.510,0.297,0.1000,kl_2_3,"0.000, 0.000, 1.447",0.9,30.0,0,17
5,1.425652,2.529644,0.532,0.322,0.1000,kl_2_3,"0.000, 0.000, 1.413",0.9,30.0,0,22
6,1.399679,2.500200,0.552,0.333,0.1000,kl_2_3,"0.000, 0.000, 1.380",0.9,30.0,0,26
7,1.375193,2.459872,0.567,0.332,0.1000,kl_2_3,"0.000, 0.000, 1.377",0.9,30.0,1,31
8,1.358287,2.449551,0.579,0.340,0.1000,kl_2_3,"0.000, 0.000, 1.351",0.9,30.0,0,35
9,1.346951,2.311491,0.587,0.346,0.1000,kl_2_3,"0.000, 0.000, 1.329",0.9,30.0,0,39
10,1.333164,2.311123,0.596,0.355,0.1000,kl_2_3,"0.000, 0.000, 1.327",0.9,30.0,0,44
11,1.322363,2.304175,0.604,0.355,0.1000,kl_2_3,"0.000, 0.000, 1.326",0.9,30.0,0,48
12,1.311603,2.280128,0.611,0.367,0.1000,kl_2_3,"0.000, 0.000, 1.317",0.9,30.0,0,53
13,1.305418,2.197730,0.616,0.380,0.1000,kl_2_3,"0.000, 0.000, 1.305",0.9,30.0,0,57
14,1.296785,2.134224,0.620,0.389,0.1000,kl_2_3,"0.000, 0.000, 1.290",0.9,30.0,0,61
15,1.295809,2.251488,0.623,0.396,0.1000,kl_2_3,"0.000, 0.000, 1.300",0.9,30.0,0,66
16,1.285882,2.292681,0.625,0.387,0.1000,kl_2_3,"0.000, 0.000, 1.281",0.9,30.0,1,70
17,1.282517,2.223152,0.631,0.387,0.1000,kl_2_3,"0.000, 0.000, 1.287",0.9,30.0,2,74
18,1.276372,2.131337,0.633,0.404,0.1000,kl_2_3,"0.000, 0.000, 1.282",0.9,30.0,0,79
19,1.273325,2.138119,0.638,0.406,0.1000,kl_2_3,"0.000, 0.000, 1.278",0.9,30.0,0,83
20,1.272403,2.357165,0.641,0.392,0.1000,kl_2_3,"0.000, 0.000, 1.277",0.9,30.0,1,88
21,1.264896,2.242789,0.641,0.396,0.1000,kl_2_3,"0.000, 0.000, 1.258",0.9,30.0,2,92
22,1.262090,2.299355,0.646,0.394,0.1000,kl_2_3,"0.000, 0.000, 1.257",0.9,30.0,3,96
23,1.257421,2.215926,0.646,0.396,0.1000,kl_2_3,"0.000, 0.000, 1.265",0.9,30.0,4,101
24,1.256112,2.172004,0.650,0.403,0.1000,kl_2_3,"0.000, 0.000, 1.251",0.9,30.0,5,105
25,1.257957,2.225482,0.648,0.408,0.1000,kl_2_3,"0.000, 0.000, 1.256",0.9,30.0,0,110
26,1.249570,2.156697,0.652,0.413,0.1000,kl_2_3,"0.000, 0.000, 1.259",0.9,30.0,0,114
27,1.245304,2.191608,0.655,0.400,0.1000,kl_2_3,"0.000, 0.000, 1.247",0.9,30.0,1,118
28,1.244809,2.230394,0.653,0.405,0.1000,kl_2_3,"0.000, 0.000, 1.243",0.9,30.0,2,123
29,1.242713,2.223171,0.656,0.425,0.1000,kl_2_3,"0.000, 0.000, 1.240",0.9,30.0,0,127
30,1.240130,2.165289,0.657,0.416,0.1000,kl_2_3,"0.000, 0.000, 1.241",0.9,30.0,1,131
31,1.235985,2.199661,0.660,0.411,0.1000,kl_2_3,"0.000, 0.000, 1.237",0.9,30.0,2,136
32,1.238340,2.256526,0.660,0.403,0.1000,kl_2_3,"0.000, 0.000, 1.240",0.9,30.0,3,140
33,1.234029,2.393497,0.664,0.400,0.1000,kl_2_3,"0.000, 0.000, 1.233",0.9,30.0,4,145
34,1.235859,2.093285,0.659,0.413,0.1000,kl_2_3,"0.000, 0.000, 1.239",0.9,30.0,5,149
35,1.235967,2.212984,0.663,0.422,0.1000,kl_2_3,"0.000, 0.000, 1.245",0.9,30.0,6,153
36,1.230664,2.192078,0.663,0.421,0.1000,kl_2_3,"0.000, 0.000, 1.240",0.9,30.0,7,158
37,1.232974,2.113251,0.660,0.412,0.1000,kl_2_3,"0.000, 0.000, 1.234",0.9,30.0,8,162
38,1.229052,2.018927,0.667,0.431,0.1000,kl_2_3,"0.000, 0.000, 1.243",0.9,30.0,0,167
39,1.226655,2.051706,0.667,0.422,0.1000,kl_2_3,"0.000, 0.000, 1.237",0.9,30.0,1,171
40,1.226978,2.117807,0.668,0.406,0.1000,kl_2_3,"0.000, 0.000, 1.226",0.9,30.0,2,175
41,1.228083,2.095834,0.664,0.430,0.1000,kl_2_3,"0.000, 0.000, 1.231",0.9,30.0,3,180
42,1.222021,2.076232,0.671,0.433,0.1000,kl_2_3,"0.000, 0.000, 1.230",0.9,30.0,0,184
43,1.223432,2.125587,0.671,0.431,0.1000,kl_2_3,"0.000, 0.000, 1.228",0.9,30.0,1,188
44,1.220930,2.030172,0.672,0.436,0.1000,kl_2_3,"0.000, 0.000, 1.229",0.9,30.0,0,193
45,1.222242,2.137595,0.670,0.435,0.1000,kl_2_3,"0.000, 0.000, 1.220",0.9,30.0,1,197
46,1.220847,2.133013,0.670,0.422,0.1000,kl_2_3,"0.000, 0.000, 1.223",0.9,30.0,2,202
47,1.218018,2.034310,0.673,0.433,0.1000,kl_2_3,"0.000, 0.000, 1.226",0.9,30.0,3,206
48,1.217824,2.172604,0.674,0.435,0.1000,kl_2_3,"0.000, 0.000, 1.217",0.9,30.0,4,210
49,1.217084,2.133614,0.675,0.437,0.1000,kl_2_3,"0.000, 0.000, 1.220",0.9,30.0,0,215
50,1.220349,2.113873,0.673,0.429,0.1000,kl_2_3,"0.000, 0.000, 1.224",0.9,30.0,1,219
51,1.213494,1.982326,0.678,0.425,0.1000,kl_2_3,"0.000, 0.000, 1.225",0.9,30.0,2,224
52,1.213529,2.208846,0.677,0.413,0.1000,kl_2_3,"0.000, 0.000, 1.222",0.9,30.0,3,228
53,1.213186,2.064314,0.676,0.416,0.1000,kl_2_3,"0.000, 0.000, 1.222",0.9,30.0,4,232
54,1.212509,2.211301,0.679,0.447,0.1000,kl_2_3,"0.000, 0.000, 1.205",0.9,30.0,0,237
55,1.213203,2.075659,0.676,0.431,0.1000,kl_2_3,"0.000, 0.000, 1.214",0.9,30.0,1,241
56,1.206829,2.157899,0.680,0.441,0.1000,kl_2_3,"0.000, 0.000, 1.214",0.9,30.0,2,245
57,1.206838,2.200109,0.679,0.424,0.1000,kl_2_3,"0.000, 0.000, 1.212",0.9,30.0,3,250
58,1.206768,1.949720,0.679,0.442,0.1000,kl_2_3,"0.000, 0.000, 1.212",0.9,30.0,4,254
59,1.206345,2.199872,0.683,0.439,0.1000,kl_2_3,"0.000, 0.000, 1.207",0.9,30.0,5,259
60,1.205617,2.044104,0.682,0.424,0.1000,kl_2_3,"0.000, 0.000, 1.206",0.9,30.0,6,263
61,1.204928,2.121098,0.682,0.441,0.1000,kl_2_3,"0.000, 0.000, 1.217",0.9,30.0,7,267
62,1.204768,2.101846,0.680,0.431,0.1000,kl_2_3,"0.000, 0.000, 1.208",0.9,30.0,8,272
63,1.206590,2.182766,0.682,0.443,0.1000,kl_2_3,"0.000, 0.000, 1.212",0.9,30.0,9,276
64,1.203805,1.943627,0.683,0.433,0.1000,kl_2_3,"0.000, 0.000, 1.203",0.9,30.0,10,281
65,1.202401,2.043985,0.682,0.438,0.1000,kl_2_3,"0.000, 0.000, 1.206",0.9,30.0,11,285
66,1.201591,2.053922,0.684,0.419,0.1000,kl_2_3,"0.000, 0.000, 1.220",0.9,30.0,12,289
67,1.200433,2.270438,0.683,0.432,0.1000,kl_2_3,"0.000, 0.000, 1.210",0.9,30.0,13,294
68,1.204690,2.109880,0.683,0.423,0.1000,kl_2_3,"0.000, 0.000, 1.213",0.9,30.0,14,298
69,1.201222,2.059352,0.685,0.437,0.1000,kl_2_3,"0.000, 0.000, 1.207",0.9,30.0,15,302
70,1.195566,2.086308,0.686,0.438,0.1000,kl_2_3,"0.000, 0.000, 1.205",0.9,30.0,16,307
71,1.198388,1.990432,0.685,0.441,0.1000,kl_2_3,"0.000, 0.000, 1.199",0.9,30.0,17,311
72,1.200892,2.107494,0.683,0.429,0.1000,kl_2_3,"0.000, 0.000, 1.196",0.9,30.0,18,316
73,1.198627,2.091518,0.686,0.434,0.1000,kl_2_3,"0.000, 0.000, 1.200",0.9,30.0,19,320
74,1.196639,2.132876,0.686,0.415,0.1000,kl_2_3,"0.000, 0.000, 1.193",0.9,30.0,20,324
75,1.199440,2.060297,0.684,0.430,0.1000,kl_2_3,"0.000, 0.000, 1.205",0.9,30.0,21,329
76,1.122674,1.914497,0.718,0.483,0.0100,kl_2_3,"0.000, 0.000, 1.103",0.9,30.0,0,333
77,1.098566,1.892330,0.730,0.493,0.0100,kl_2_3,"0.000, 0.000, 1.093",0.9,30.0,0,337
78,1.093548,1.884755,0.735,0.497,0.0100,kl_2_3,"0.000, 0.000, 1.095",0.9,30.0,0,342
79,1.082612,1.927960,0.739,0.491,0.0100,kl_2_3,"0.000, 0.000, 1.083",0.9,30.0,1,346
80,1.080304,1.964385,0.738,0.487,0.0100,kl_2_3,"0.000, 0.000, 1.078",0.9,30.0,2,351
81,1.073628,1.935063,0.743,0.484,0.0100,kl_2_3,"0.000, 0.000, 1.073",0.9,30.0,3,355
82,1.070310,1.913053,0.743,0.496,0.0100,kl_2_3,"0.000, 0.000, 1.075",0.9,30.0,4,359
83,1.067781,1.924739,0.746,0.499,0.0100,kl_2_3,"0.000, 0.000, 1.073",0.9,30.0,0,364
