_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,8.783810,2.796498,0.211,0.224,0.1000,kl_2_3,"0.000, 0.000, 8.503",0.5,30.0,0,3
2,8.294587,2.723789,0.250,0.259,0.1000,kl_2_3,"0.000, 0.000, 8.130",0.5,30.0,0,7
3,7.997698,2.783784,0.275,0.243,0.1000,kl_2_3,"0.000, 0.000, 7.925",0.5,30.0,1,11
4,7.757647,2.639908,0.298,0.285,0.1000,kl_2_3,"0.000, 0.000, 7.688",0.5,30.0,0,14
5,7.475425,2.813879,0.323,0.308,0.1000,kl_2_3,"0.000, 0.000, 7.427",0.5,30.0,0,18
6,7.302247,2.605917,0.339,0.314,0.1000,kl_2_3,"0.000, 0.000, 7.236",0.5,30.0,0,22
7,7.085066,2.589335,0.357,0.340,0.1000,kl_2_3,"0.000, 0.000, 7.062",0.5,30.0,0,25
8,6.941098,2.549406,0.372,0.351,0.1000,kl_2_3,"0.000, 0.000, 6.903",0.5,30.0,0,29
9,6.811065,2.479011,0.387,0.359,0.1000,kl_2_3,"0.000, 0.000, 6.771",0.5,30.0,0,33
10,6.706159,2.440421,0.395,0.369,0.1000,kl_2_3,"0.000, 0.000, 6.666",0.5,30.0,0,36
11,6.616822,2.372224,0.407,0.379,0.1000,kl_2_3,"0.000, 0.000, 6.648",0.5,30.0,0,40
12,6.486794,2.419407,0.417,0.394,0.1000,kl_2_3,"0.000, 0.000, 6.454",0.5,30.0,0,44
13,6.414085,2.556209,0.424,0.394,0.1000,kl_2_3,"0.000, 0.000, 6.430",0.5,30.0,0,48
14,6.325278,2.473377,0.432,0.401,0.1000,kl_2_3,"0.000, 0.000, 6.345",0.5,30.0,0,51
15,6.281458,2.811895,0.437,0.385,0.1000,kl_2_3,"0.000, 0.000, 6.225",0.5,30.0,1,55
16,6.198937,2.623439,0.444,0.398,0.1000,kl_2_3,"0.000, 0.000, 6.164",0.5,30.0,2,59
17,6.170889,2.341396,0.447,0.417,0.1000,kl_2_3,"0.000, 0.000, 6.187",0.5,30.0,0,62
18,6.087094,2.454306,0.452,0.407,0.1000,kl_2_3,"0.000, 0.000, 6.049",0.5,30.0,1,66
19,6.070509,2.477537,0.458,0.416,0.1000,kl_2_3,"0.000, 0.000, 6.130",0.5,30.0,2,70
20,6.029588,2.543586,0.463,0.405,0.1000,kl_2_3,"0.000, 0.000, 6.048",0.5,30.0,3,73
21,5.988181,2.443758,0.466,0.424,0.1000,kl_2_3,"0.000, 0.000, 6.066",0.5,30.0,0,77
22,5.938591,2.372376,0.468,0.425,0.1000,kl_2_3,"0.000, 0.000, 5.927",0.5,30.0,0,81
23,5.887131,2.417161,0.474,0.400,0.1000,kl_2_3,"0.000, 0.000, 5.900",0.5,30.0,1,84
24,5.854959,2.394052,0.476,0.423,0.1000,kl_2_3,"0.000, 0.000, 5.918",0.5,30.0,2,88
25,5.819201,2.266777,0.478,0.437,0.1000,kl_2_3,"0.000, 0.000, 5.863",0.5,30.0,0,92
26,5.794221,2.411887,0.484,0.417,0.1000,kl_2_3,"0.000, 0.000, 5.841",0.5,30.0,1,96
27,5.796522,2.459158,0.482,0.421,0.1000,kl_2_3,"0.000, 0.000, 5.807",0.5,30.0,2,99
28,5.723865,2.405394,0.488,0.428,0.1000,kl_2_3,"0.000, 0.000, 5.807",0.5,30.0,3,103
29,5.697743,2.336289,0.491,0.428,0.1000,kl_2_3,"0.000, 0.000, 5.744",0.5,30.0,4,107
30,5.687354,2.422376,0.492,0.422,0.1000,kl_2_3,"0.000, 0.000, 5.769",0.5,30.0,5,110
31,5.661229,2.540798,0.497,0.433,0.1000,kl_2_3,"0.000, 0.000, 5.669",0.5,30.0,6,114
32,5.664320,2.212718,0.494,0.438,0.1000,kl_2_3,"0.000, 0.000, 5.697",0.5,30.0,0,118
33,5.618313,2.649336,0.500,0.433,0.1000,kl_2_3,"0.000, 0.000, 5.650",0.5,30.0,1,122
34,5.598590,2.583038,0.499,0.442,0.1000,kl_2_3,"0.000, 0.000, 5.633",0.5,30.0,0,125
35,5.601939,2.419125,0.501,0.436,0.1000,kl_2_3,"0.000, 0.000, 5.593",0.5,30.0,1,129
36,5.562277,2.223796,0.503,0.449,0.1000,kl_2_3,"0.000, 0.000, 5.607",0.5,30.0,0,133
37,5.549930,2.534731,0.505,0.435,0.1000,kl_2_3,"0.000, 0.000, 5.602",0.5,30.0,1,136
38,5.545719,2.476361,0.505,0.431,0.1000,kl_2_3,"0.000, 0.000, 5.585",0.5,30.0,2,140
39,5.515794,2.469708,0.508,0.425,0.1000,kl_2_3,"0.000, 0.000, 5.592",0.5,30.0,3,144
40,5.485820,2.373721,0.512,0.440,0.1000,kl_2_3,"0.000, 0.000, 5.476",0.5,30.0,4,147
41,5.477006,2.332174,0.509,0.444,0.1000,kl_2_3,"0.000, 0.000, 5.541",0.5,30.0,5,151
42,5.463500,2.322624,0.512,0.445,0.1000,kl_2_3,"0.000, 0.000, 5.522",0.5,30.0,6,155
43,5.468126,2.280154,0.513,0.442,0.1000,kl_2_3,"0.000, 0.000, 5.568",0.5,30.0,7,158
44,5.431871,2.341131,0.516,0.446,0.1000,kl_2_3,"0.000, 0.000, 5.478",0.5,30.0,8,162
45,5.429968,2.245050,0.517,0.452,0.1000,kl_2_3,"0.000, 0.000, 5.492",0.5,30.0,0,166
46,5.409594,2.373693,0.519,0.440,0.1000,kl_2_3,"0.000, 0.000, 5.434",0.5,30.0,1,170
47,5.424208,2.319009,0.520,0.443,0.1000,kl_2_3,"0.000, 0.000, 5.449",0.5,30.0,2,173
48,5.365908,2.335569,0.521,0.435,0.1000,kl_2_3,"0.000, 0.000, 5.405",0.5,30.0,3,177
49,5.377333,2.164953,0.520,0.455,0.1000,kl_2_3,"0.000, 0.000, 5.430",0.5,30.0,0,181
50,5.393132,2.336743,0.521,0.451,0.1000,kl_2_3,"0.000, 0.000, 5.430",0.5,30.0,1,184
51,5.353506,2.385894,0.524,0.441,0.1000,kl_2_3,"0.000, 0.000, 5.419",0.5,30.0,2,188
52,5.333035,2.558655,0.524,0.443,0.1000,kl_2_3,"0.000, 0.000, 5.349",0.5,30.0,3,192
53,5.336430,2.444343,0.524,0.428,0.1000,kl_2_3,"0.000, 0.000, 5.353",0.5,30.0,4,195
54,5.312593,2.395927,0.527,0.447,0.1000,kl_2_3,"0.000, 0.000, 5.407",0.5,30.0,5,199
55,5.307551,2.411262,0.527,0.452,0.1000,kl_2_3,"0.000, 0.000, 5.389",0.5,30.0,6,203
56,5.305533,2.216572,0.528,0.443,0.1000,kl_2_3,"0.000, 0.000, 5.334",0.5,30.0,7,206
57,5.285037,2.352147,0.528,0.450,0.1000,kl_2_3,"0.000, 0.000, 5.333",0.5,30.0,8,210
58,5.285607,2.240549,0.527,0.455,0.1000,kl_2_3,"0.000, 0.000, 5.340",0.5,30.0,0,214
59,5.281015,2.372377,0.529,0.445,0.1000,kl_2_3,"0.000, 0.000, 5.320",0.5,30.0,1,218
60,5.272707,2.500371,0.530,0.445,0.1000,kl_2_3,"0.000, 0.000, 5.343",0.5,30.0,2,221
61,5.245983,2.332349,0.532,0.452,0.1000,kl_2_3,"0.000, 0.000, 5.279",0.5,30.0,3,225
62,5.242229,2.355606,0.535,0.451,0.1000,kl_2_3,"0.000, 0.000, 5.291",0.5,30.0,4,229
63,5.236927,2.280671,0.533,0.444,0.1000,kl_2_3,"0.000, 0.000, 5.318",0.5,30.0,5,232
64,5.223458,2.716232,0.534,0.430,0.1000,kl_2_3,"0.000, 0.000, 5.282",0.5,30.0,6,236
65,5.220139,2.398382,0.536,0.453,0.1000,kl_2_3,"0.000, 0.000, 5.231",0.5,30.0,7,240
66,5.227045,2.428844,0.537,0.441,0.1000,kl_2_3,"0.000, 0.000, 5.246",0.5,30.0,8,243
67,5.202328,2.248006,0.535,0.460,0.1000,kl_2_3,"0.000, 0.000, 5.229",0.5,30.0,0,247
68,5.218740,2.549755,0.534,0.433,0.1000,kl_2_3,"0.000, 0.000, 5.316",0.5,30.0,1,251
69,5.212266,2.384502,0.536,0.454,0.1000,kl_2_3,"0.000, 0.000, 5.231",0.5,30.0,2,255
70,5.187755,2.268162,0.539,0.454,0.1000,kl_2_3,"0.000, 0.000, 5.228",0.5,30.0,3,258
71,5.197057,2.207809,0.540,0.445,0.1000,kl_2_3,"0.000, 0.000, 5.249",0.5,30.0,4,262
72,5.180095,2.401211,0.537,0.443,0.1000,kl_2_3,"0.000, 0.000, 5.224",0.5,30.0,5,266
73,5.177674,2.270601,0.539,0.451,0.1000,kl_2_3,"0.000, 0.000, 5.243",0.5,30.0,6,269
74,5.176555,2.528198,0.540,0.443,0.1000,kl_2_3,"0.000, 0.000, 5.170",0.5,30.0,7,273
75,5.169192,2.384736,0.541,0.455,0.1000,kl_2_3,"0.000, 0.000, 5.202",0.5,30.0,8,277
76,5.165300,2.293350,0.540,0.459,0.1000,kl_2_3,"0.000, 0.000, 5.246",0.5,30.0,9,280
